ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379410,33,3,611,0.00015,0.47424,0.42826,v22_prostate
ENST00000379116,38,6,802,0.0002,0.46975,0.41937,v22_prostate
ENST00000378755,47,3,634,0.0001,0.45795,0.15089,v22_prostate
ENST00000378486,78,1,1416,1e-05,0.48739,0.32415,v22_prostate
ENST00000620687,78,1,1416,1e-05,0.48739,0.32415,v22_prostate
ENST00000356607,34,3,377,0.00023,0.41801,0.25287,v22_prostate
ENST00000503743,34,3,421,0.00021,0.45759,0.7118,v22_prostate
ENST00000374632,46,1,987,2e-05,0.56997,0.38399,v22_prostate
ENST00000635198,56,4,894,8e-05,0.41914,0.42701,v22_prostate
ENST00000437606,56,4,894,8e-05,0.41914,0.42701,v22_prostate
ENST00000308182,92,8,1661,5e-05,0.48484,0.57586,v22_prostate
ENST00000318074,40,2,550,9e-05,0.4475,0.55091,v22_prostate
ENST00000642937,34,6,655,0.00027,0.52802,0.52443,v22_prostate
ENST00000373484,54,6,476,0.00023,0.62842,0.67087,v22_prostate
ENST00000372653,60,8,301,0.00044,0.63206,0.63289,v22_prostate
ENST00000372299,33,4,389,0.00031,0.47464,0.46787,v22_prostate
ENST00000359947,102,11,1907,6e-05,0.54563,0.64656,v22_prostate
ENST00000355498,49,6,521,0.00024,0.49156,0.66475,v22_prostate
ENST00000354383,49,6,522,0.00023,0.49234,0.66539,v22_prostate
ENST00000672818,49,6,546,0.00022,0.51278,0.6801,v22_prostate
ENST00000414150,67,4,1334,4e-05,0.57897,0.64712,v22_prostate
ENST00000371146,35,14,785,0.00051,0.40593,0.42402,v22_prostate
ENST00000326637,40,7,835,0.00021,0.50219,0.5675,v22_prostate
ENST00000370571,96,31,1714,0.00019,0.52847,0.49601,v22_prostate
ENST00000370563,36,9,919,0.00027,0.47564,0.47963,v22_prostate
ENST00000370563,36,9,919,0.00027,0.47564,0.47963,v22_prostate
ENST00000337338,40,5,858,0.00015,0.53377,0.80839,v22_prostate
ENST00000512756,87,18,1690,0.00012,0.49557,0.44974,v22_prostate
ENST00000359785,36,6,807,0.00021,0.47752,0.48906,v22_prostate
ENST00000431239,47,8,825,0.00021,0.47701,0.59803,v22_prostate
ENST00000369140,48,7,640,0.00023,0.45514,0.59286,v22_prostate
ENST00000369041,66,2,877,3e-05,0.46643,0.27651,v22_prostate
ENST00000368969,64,12,1290,0.00015,0.45924,0.34328,v22_prostate
ENST00000312210,34,4,327,0.00036,0.60425,0.6445,v22_prostate
ENST00000290583,53,4,465,0.00016,0.60272,0.44355,v22_prostate
ENST00000290585,51,4,415,0.00019,0.60364,0.43675,v22_prostate
ENST00000368382,48,2,736,6e-05,0.41607,0.6644,v22_prostate
ENST00000611379,48,2,746,6e-05,0.4239,0.6689,v22_prostate
ENST00000541576,69,7,947,0.00011,0.50555,0.40127,v22_prostate
ENST00000368285,37,1,761,4e-05,0.4987,0.16032,v22_prostate
ENST00000392302,38,4,736,0.00014,0.49625,0.25238,v22_prostate
ENST00000627490,35,4,420,0.00027,0.51211,0.43393,v22_prostate
ENST00000538366,34,7,714,0.00029,0.54585,0.45478,v22_prostate
ENST00000367468,34,6,604,0.00029,0.5037,0.59023,v22_prostate
ENST00000367362,49,10,541,0.00038,0.52631,0.55527,v22_prostate
ENST00000332129,111,11,1624,6e-05,0.48398,0.41116,v22_prostate
ENST00000271764,43,10,584,0.0004,0.61883,0.60873,v22_prostate
ENST00000579436,32,4,418,0.0003,0.53334,0.56698,v22_prostate
ENST00000359470,43,5,601,0.00019,0.48052,0.56273,v22_prostate
ENST00000356082,108,5,1172,4e-05,0.5257,0.43498,v22_prostate
ENST00000675850,72,12,1524,0.00011,0.51541,0.67919,v22_prostate
ENST00000366872,36,4,703,0.00016,0.40035,0.28307,v22_prostate
ENST00000366767,95,23,1638,0.00015,0.49903,0.50714,v22_prostate
ENST00000271971,34,2,690,9e-05,0.43065,0.65652,v22_prostate
ENST00000613909,36,4,728,0.00015,0.50008,0.2184,v22_prostate
ENST00000324631,35,5,660,0.00022,0.52416,0.37273,v22_prostate
ENST00000282343,32,4,632,0.0002,0.55192,0.42682,v22_prostate
ENST00000396576,32,4,605,0.00021,0.53301,0.40124,v22_prostate
ENST00000538351,43,8,779,0.00024,0.49816,0.53482,v22_prostate
ENST00000355710,40,1,1114,2e-05,0.48088,0.7711,v22_prostate
ENST00000350537,94,10,1310,8e-05,0.59432,0.49855,v22_prostate
ENST00000346874,94,9,1319,7e-05,0.58529,0.47233,v22_prostate
ENST00000374391,37,1,674,4e-05,0.50533,0.2092,v22_prostate
ENST00000610656,37,1,674,4e-05,0.50533,0.2092,v22_prostate
ENST00000417912,35,5,714,0.0002,0.41288,0.39384,v22_prostate
ENST00000337910,37,3,696,0.00012,0.50516,0.65374,v22_prostate
ENST00000388768,56,14,641,0.00039,0.57282,0.61288,v22_prostate
ENST00000372724,120,26,1890,0.00011,0.57835,0.56219,v22_prostate
ENST00000628523,120,26,1890,0.00011,0.57835,0.56219,v22_prostate
ENST00000286627,43,4,1178,8e-05,0.59233,0.59868,v22_prostate
ENST00000298068,38,9,776,0.00031,0.50682,0.45103,v22_prostate
ENST00000358334,89,19,2048,0.0001,0.51402,0.52331,v22_prostate
ENST00000356016,35,12,433,0.00079,0.41966,0.52925,v22_prostate
ENST00000371027,33,5,485,0.00031,0.49853,0.64289,v22_prostate
ENST00000356713,33,4,951,0.00013,0.56196,0.67745,v22_prostate
ENST00000277982,62,12,1151,0.00017,0.58238,0.72169,v22_prostate
ENST00000370228,39,4,582,0.00018,0.49057,0.57302,v22_prostate
ENST00000299206,40,4,575,0.00017,0.4833,0.52522,v22_prostate
ENST00000020673,43,1,1024,2e-05,0.53831,0.46777,v22_prostate
ENST00000648076,65,7,1497,7e-05,0.51823,0.46817,v22_prostate
ENST00000263054,59,7,1168,0.0001,0.51918,0.65362,v22_prostate
ENST00000277945,36,9,579,0.00043,0.53536,0.57551,v22_prostate
ENST00000629706,35,9,584,0.00044,0.53009,0.57629,v22_prostate
ENST00000415217,43,1,742,3e-05,0.5351,0.38814,v22_prostate
ENST00000543663,47,5,930,0.00011,0.49513,0.48516,v22_prostate
ENST00000627256,95,16,2382,7e-05,0.39274,0.56224,v22_prostate
ENST00000421673,105,14,2439,5e-05,0.42934,0.51002,v22_prostate
ENST00000627926,91,14,1978,8e-05,0.43553,0.61162,v22_prostate
ENST00000696290,53,2,1165,3e-05,0.50317,0.97038,v22_prostate
ENST00000389989,48,5,811,0.00013,0.63813,0.66387,v22_prostate
ENST00000254605,32,5,456,0.00034,0.49692,0.43026,v22_prostate
ENST00000536344,40,7,625,0.00028,0.37192,0.40206,v22_prostate
ENST00000530181,43,9,733,0.00029,0.46848,0.60618,v22_prostate
ENST00000450649,47,2,807,5e-05,0.58929,0.48451,v22_prostate
ENST00000520467,51,3,971,6e-05,0.56667,0.42705,v22_prostate
ENST00000349880,123,10,2429,3e-05,0.4294,0.51284,v22_prostate
ENST00000396085,123,10,2432,3e-05,0.42913,0.51246,v22_prostate
ENST00000407859,80,5,1565,4e-05,0.46646,0.52128,v22_prostate
ENST00000311027,89,6,1647,4e-05,0.47329,0.54483,v22_prostate
ENST00000674617,35,4,611,0.00019,0.4881,0.50123,v22_prostate
ENST00000394818,73,2,918,3e-05,0.56921,0.56863,v22_prostate
ENST00000532787,42,7,840,0.0002,0.55811,0.5148,v22_prostate
ENST00000532463,40,7,832,0.00021,0.54189,0.51975,v22_prostate
ENST00000528621,43,8,879,0.00021,0.52864,0.48052,v22_prostate
ENST00000529873,45,8,887,0.0002,0.54443,0.47618,v22_prostate
ENST00000526357,46,8,908,0.00019,0.54262,0.46517,v22_prostate
ENST00000325234,78,6,1167,7e-05,0.5849,0.69151,v22_prostate
ENST00000528057,43,1,765,3e-05,0.54637,0.3817,v22_prostate
ENST00000279247,33,0,714,0.0,0.38664,,v22_prostate
ENST00000377387,41,6,673,0.00022,0.55746,0.54259,v22_prostate
ENST00000322147,68,2,1256,2e-05,0.47589,0.24164,v22_prostate
ENST00000311034,44,3,802,9e-05,0.54747,0.52785,v22_prostate
ENST00000308127,64,7,659,0.00017,0.48724,0.55495,v22_prostate
ENST00000436757,61,6,1243,8e-05,0.49737,0.57308,v22_prostate
ENST00000634661,115,30,2223,0.00012,0.45622,0.51452,v22_prostate
ENST00000528231,41,13,934,0.00034,0.42338,0.46805,v22_prostate
ENST00000409404,182,28,4557,3e-05,0.5393,0.46124,v22_prostate
ENST00000650373,272,79,4314,7e-05,0.47402,0.48146,v22_prostate
ENST00000316851,46,4,858,0.0001,0.44046,0.47931,v22_prostate
ENST00000619839,49,6,884,0.00014,0.44101,0.46154,v22_prostate
ENST00000534358,224,37,3972,4e-05,0.51561,0.51642,v22_prostate
ENST00000260264,34,5,438,0.00034,0.37973,0.33014,v22_prostate
ENST00000543440,34,5,436,0.00034,0.37689,0.32706,v22_prostate
ENST00000358825,109,15,1160,0.00012,0.59446,0.46494,v22_prostate
ENST00000412006,41,9,456,0.00048,0.50112,0.58187,v22_prostate
ENST00000345598,33,1,522,6e-05,0.48537,0.18774,v22_prostate
ENST00000528499,39,1,695,4e-05,0.51703,0.14101,v22_prostate
ENST00000340908,195,47,2634,9e-05,0.50812,0.4547,v22_prostate
ENST00000342628,42,9,801,0.00027,0.46371,0.56374,v22_prostate
ENST00000252322,43,6,395,0.00035,0.50933,0.47764,v22_prostate
ENST00000399655,95,7,2138,3e-05,0.55833,0.64981,v22_prostate
ENST00000644235,95,7,2138,3e-05,0.55833,0.64981,v22_prostate
ENST00000399638,95,7,2166,3e-05,0.5571,0.64879,v22_prostate
