Gene,OptionalDataColumns
ENST00000378891,17
ENST00000310991,4
ENST00000378466,19
ENST00000615291,19
ENST00000378251,14
ENST00000377658,18
ENST00000377411,9
ENST00000340305,19
ENST00000376085,7
ENST00000294454,16
ENST00000707396,18
ENST00000375486,18
ENST00000420770,20
ENST00000375534,14
ENST00000450454,8
ENST00000635035,8
ENST00000436439,10
ENST00000327575,10
ENST00000374272,23
ENST00000374266,7
ENST00000374278,12
ENST00000361547,6
ENST00000373736,8
ENST00000536384,16
ENST00000373602,8
ENST00000373471,10
ENST00000373471,10
ENST00000373237,8
ENST00000373129,17
ENST00000373014,21
ENST00000373016,11
ENST00000235628,15
ENST00000509682,20
ENST00000413844,12
ENST00000531451,3
ENST00000372362,4
ENST00000545417,5
ENST00000347631,11
ENST00000372372,10
ENST00000341183,14
ENST00000360840,17
ENST00000371244,20
ENST00000407246,18
ENST00000371084,22
ENST00000371083,19
ENST00000370976,13
ENST00000411986,17
ENST00000370867,10
ENST00000370665,23
ENST00000370673,6
ENST00000394834,6
ENST00000370668,6
ENST00000370558,14
ENST00000482504,15
ENST00000260563,16
ENST00000370137,18
ENST00000370137,18
ENST00000342173,13
ENST00000369872,11
ENST00000310611,1
ENST00000369538,21
ENST00000520113,22
ENST00000475797,13
ENST00000497365,13
ENST00000357836,16
ENST00000336751,18
ENST00000369347,12
ENST00000369347,12
ENST00000606888,16
ENST00000582693,13
ENST00000583313,4
ENST00000368892,10
ENST00000368884,13
ENST00000368820,14
ENST00000271690,9
ENST00000295314,19
ENST00000368485,13
ENST00000651641,11
ENST00000361147,15
ENST00000421487,13
ENST00000368336,17
ENST00000368336,17
ENST00000368396,6
ENST00000368396,6
ENST00000368078,5
ENST00000368074,21
ENST00000458050,14
ENST00000392190,14
ENST00000358671,10
ENST00000359842,14
ENST00000236137,13
ENST00000367607,22
ENST00000482587,6
ENST00000540564,9
ENST00000434571,10
ENST00000417584,10
ENST00000361379,4
ENST00000367443,22
ENST00000367249,10
ENST00000241651,7
ENST00000255416,20
ENST00000290419,14
ENST00000367079,22
ENST00000367064,12
ENST00000314754,16
ENST00000442471,10
ENST00000322918,7
ENST00000408911,17
ENST00000366938,17
ENST00000366641,13
ENST00000391858,9
ENST00000366639,14
ENST00000277517,8
ENST00000459912,5
ENST00000397176,21
ENST00000379775,20
ENST00000396913,8
ENST00000263038,15
ENST00000465530,4
ENST00000433779,8
ENST00000373910,7
ENST00000355790,4
ENST00000357631,1
ENST00000299432,16
ENST00000359322,13
ENST00000394890,20
ENST00000394829,16
ENST00000713561,12
ENST00000707120,17
ENST00000713560,7
ENST00000472493,12
ENST00000360830,4
ENST00000464716,4
ENST00000645440,4
ENST00000623056,22
ENST00000372066,11
ENST00000429277,20
ENST00000492756,3
ENST00000630152,20
ENST00000307518,15
ENST00000353979,11
ENST00000370002,8
ENST00000369905,13
ENST00000369780,13
ENST00000369889,19
ENST00000542051,18
ENST00000425699,1
ENST00000355422,14
ENST00000532097,20
ENST00000381911,7
ENST00000673526,7
ENST00000381905,7
ENST00000672155,7
ENST00000673157,13
ENST00000381558,13
ENST00000250699,11
ENST00000397068,9
ENST00000359918,9
ENST00000423813,15
ENST00000335790,4
ENST00000300730,6
ENST00000528848,17
ENST00000250003,7
ENST00000339994,9
ENST00000528731,7
ENST00000672712,3
ENST00000405158,3
ENST00000672418,3
ENST00000532858,3
ENST00000437761,4
ENST00000651785,4
ENST00000241041,17
ENST00000298852,18
ENST00000539589,21
ENST00000298838,21
ENST00000528494,23
ENST00000352508,14
ENST00000298854,14
ENST00000527972,15
ENST00000302731,12
ENST00000255681,8
ENST00000309318,4
ENST00000356000,8
ENST00000317459,9
ENST00000438980,8
ENST00000357440,11
ENST00000421552,19
ENST00000425825,14
ENST00000393877,6
ENST00000393597,4
ENST00000393596,4
ENST00000294064,19
ENST00000314032,7
ENST00000426995,5
ENST00000393324,17
ENST00000529974,4
ENST00000305991,1
ENST00000526088,17
ENST00000359862,12
ENST00000330775,8
ENST00000710542,8
ENST00000710540,8
ENST00000357590,8
ENST00000525735,12
ENST00000260187,21
ENST00000453788,20
ENST00000618733,20
ENST00000298317,17
ENST00000358409,16
ENST00000359864,18
ENST00000397122,11
ENST00000229239,5
ENST00000279550,14
ENST00000228251,20
ENST00000447411,8
ENST00000266579,8
ENST00000317697,6
ENST00000547587,23
ENST00000312352,23
ENST00000547026,23
ENST00000303460,6
ENST00000394349,5
ENST00000695999,5
ENST00000308197,8
ENST00000293502,6
ENST00000332782,13
ENST00000551116,13
ENST00000308259,3
ENST00000488961,14
ENST00000330891,19
ENST00000540209,12
ENST00000551641,17
ENST00000228641,10
ENST00000358678,3
ENST00000228318,12
ENST00000397655,23
ENST00000541210,8
ENST00000426426,1
ENST00000538010,11
ENST00000526639,10
ENST00000443358,9
ENST00000218867,13
ENST00000379561,23
ENST00000680254,12
ENST00000478244,11
ENST00000356501,7
ENST00000375418,8
ENST00000344581,16
ENST00000708773,16
ENST00000412779,4
ENST00000397851,18
ENST00000397858,18
ENST00000298687,18
ENST00000324366,22
ENST00000361611,8
ENST00000267426,7
ENST00000644407,7
ENST00000554970,9
ENST00000554970,9
ENST00000261479,10
ENST00000298159,4
ENST00000557185,11
ENST00000645694,16
ENST00000381216,10
ENST00000216568,4
ENST00000356921,20
ENST00000528359,20
ENST00000381269,20
ENST00000394234,13
ENST00000266126,5
ENST00000361786,17
ENST00000349555,11
ENST00000419727,6
ENST00000418736,16
ENST00000629617,17
ENST00000315988,17
ENST00000555019,21
ENST00000612647,21
ENST00000329331,17
ENST00000286918,9
ENST00000330877,19
ENST00000379937,20
ENST00000567348,16
ENST00000448395,11
ENST00000397573,19
ENST00000617768,13
ENST00000444189,11
ENST00000290497,1
ENST00000397200,17
ENST00000261868,9
ENST00000458412,2
ENST00000261854,13
ENST00000302000,23
ENST00000432196,11
ENST00000569896,7
ENST00000306917,21
ENST00000342683,3
ENST00000542035,9
ENST00000340912,9
ENST00000562924,5
ENST00000359750,13
ENST00000319622,15
ENST00000673461,20
ENST00000361351,20
ENST00000322347,3
ENST00000346495,6
ENST00000348639,13
ENST00000559722,9
ENST00000618205,13
ENST00000334574,21
ENST00000261721,21
ENST00000327355,0
ENST00000378919,6
ENST00000535714,4
ENST00000329082,16
ENST00000611875,19
ENST00000399932,12
ENST00000293897,5
ENST00000566339,7
ENST00000709230,9
ENST00000268661,9
ENST00000709233,17
ENST00000268668,17
ENST00000646147,20
ENST00000262306,8
ENST00000399609,16
ENST00000614397,16
ENST00000355296,16
ENST00000262375,16
ENST00000612103,16
ENST00000616009,6
ENST00000318059,6
ENST00000406590,10
ENST00000612525,10
ENST00000381920,17
ENST00000311745,19
ENST00000355637,18
ENST00000396385,8
ENST00000617552,8
ENST00000395878,10
ENST00000341901,8
ENST00000317058,12
ENST00000322861,7
ENST00000563060,13
ENST00000412304,13
ENST00000643777,13
ENST00000320159,18
ENST00000322122,19
ENST00000287490,1
ENST00000423026,5
ENST00000299759,7
ENST00000422424,5
ENST00000540947,17
ENST00000219251,20
ENST00000219345,11
ENST00000566454,10
ENST00000254950,12
ENST00000316341,21
ENST00000219313,9
ENST00000335325,3
ENST00000302445,16
ENST00000319410,18
ENST00000613075,7
ENST00000428848,23
ENST00000253461,4
ENST00000614302,15
ENST00000002501,4
ENST00000628478,4
ENST00000627182,4
ENST00000336868,12
ENST00000323434,14
ENST00000632000,14
ENST00000396981,4
ENST00000338859,12
ENST00000389313,17
ENST00000270586,8
ENST00000354194,1
ENST00000519584,13
ENST00000323997,14
ENST00000345901,13
ENST00000225328,15
ENST00000317370,22
ENST00000673224,22
ENST00000574322,7
ENST00000318988,7
ENST00000639692,14
ENST00000306071,14
ENST00000380535,14
ENST00000625791,13
