Gene,OptionalDataColumns
ENST00000378083,20
ENST00000377845,15
ENST00000234590,12
ENST00000376667,12
ENST00000251546,14
ENST00000376629,5
ENST00000375826,15
ENST00000294454,26
ENST00000376014,13
ENST00000329454,7
ENST00000375662,18
ENST00000375679,24
ENST00000375667,16
ENST00000331433,28
ENST00000375692,27
ENST00000375471,27
ENST00000631074,27
ENST00000361640,16
ENST00000538309,21
ENST00000375341,24
ENST00000429712,6
ENST00000375121,11
ENST00000332947,13
ENST00000542643,30
ENST00000374514,6
ENST00000617979,17
ENST00000617979,17
ENST00000354361,8
ENST00000374395,16
ENST00000374393,10
ENST00000374282,24
ENST00000346452,9
ENST00000374278,20
ENST00000374276,21
ENST00000320567,16
ENST00000374168,30
ENST00000629832,30
ENST00000526219,23
ENST00000645794,8
ENST00000373842,8
ENST00000465645,5
ENST00000647380,5
ENST00000536384,20
ENST00000526031,16
ENST00000373476,25
ENST00000372844,14
ENST00000621281,3
ENST00000372815,4
ENST00000372699,15
ENST00000372587,11
ENST00000372539,10
ENST00000296387,10
ENST00000523677,3
ENST00000498139,8
ENST00000472174,2
ENST00000372003,9
ENST00000424390,9
ENST00000294338,5
ENST00000307089,11
ENST00000474844,26
ENST00000335071,5
ENST00000334793,8
ENST00000371839,26
ENST00000438567,24
ENST00000413473,27
ENST00000313334,8
ENST00000388876,14
ENST00000525202,1
ENST00000361921,6
ENST00000371268,6
ENST00000371276,29
ENST00000371274,22
ENST00000302250,28
ENST00000371129,29
ENST00000650283,2
ENST00000370985,7
ENST00000420607,25
ENST00000370871,13
ENST00000340866,14
ENST00000417775,14
ENST00000370756,13
ENST00000628037,13
ENST00000460330,14
ENST00000356595,19
ENST00000306666,14
ENST00000370924,16
ENST00000479918,13
ENST00000271227,27
ENST00000370119,26
ENST00000415432,11
ENST00000538610,11
ENST00000331565,19
ENST00000256644,7
ENST00000541986,10
ENST00000472422,13
ENST00000369781,8
ENST00000369779,13
ENST00000359172,27
ENST00000369722,21
ENST00000607941,11
ENST00000393316,11
ENST00000369500,27
ENST00000325945,22
ENST00000361035,22
ENST00000328189,6
ENST00000369458,10
ENST00000419275,5
ENST00000451928,19
ENST00000417171,25
ENST00000344770,25
ENST00000414276,4
ENST00000368954,16
ENST00000339643,11
ENST00000368718,1
ENST00000368708,7
ENST00000271889,24
ENST00000622330,21
ENST00000368439,3
ENST00000392414,25
ENST00000571194,25
ENST00000427500,21
ENST00000613861,21
ENST00000438413,12
ENST00000338684,13
ENST00000338684,13
ENST00000343256,6
ENST00000368393,13
ENST00000368392,15
ENST00000368390,15
ENST00000337604,16
ENST00000620103,20
ENST00000537040,21
ENST00000537040,21
ENST00000613460,3
ENST00000368155,18
ENST00000255040,11
ENST00000644903,17
ENST00000289707,15
ENST00000368100,18
ENST00000392190,17
ENST00000412844,30
ENST00000367985,29
ENST00000426740,13
ENST00000271417,25
ENST00000367749,21
ENST00000367846,4
ENST00000367740,7
ENST00000356198,18
ENST00000367554,18
ENST00000367553,20
