Gene,OptionalDataColumns
ENST00000379198,0
ENST00000339381,4
ENST00000379268,4
ENST00000673477,5
ENST00000338660,2
ENST00000620829,0
ENST00000378755,6
ENST00000288774,2
ENST00000378427,0
ENST00000628389,2
ENST00000352527,1
ENST00000164247,2
ENST00000377507,9
ENST00000604074,5
ENST00000354437,6
ENST00000378285,6
ENST00000348333,0
ENST00000377414,3
ENST00000377346,5
ENST00000376637,4
ENST00000441801,1
ENST00000330263,3
ENST00000375535,6
ENST00000375105,0
ENST00000357071,6
ENST00000374472,1
ENST00000374497,2
ENST00000308873,0
ENST00000399916,0
ENST00000354361,3
ENST00000454452,3
ENST00000436717,1
ENST00000412742,4
ENST00000374280,6
ENST00000374268,1
ENST00000340849,3
ENST00000374271,8
ENST00000531382,6
ENST00000628256,6
ENST00000399173,7
ENST00000373921,8
ENST00000236412,0
ENST00000373826,1
ENST00000460170,9
ENST00000373831,5
ENST00000403528,2
ENST00000373582,0
ENST00000468695,4
ENST00000336890,4
ENST00000417239,0
ENST00000521580,0
ENST00000373237,3
ENST00000494695,0
ENST00000545417,3
ENST00000262915,2
ENST00000334815,6
ENST00000307089,0
ENST00000428112,6
ENST00000517870,1
ENST00000371330,3
ENST00000302250,3
ENST00000370994,9
ENST00000361219,9
ENST00000370894,7
ENST00000457880,5
ENST00000370688,6
ENST00000394839,5
ENST00000616170,9
ENST00000361321,3
ENST00000427103,1
ENST00000315713,5
ENST00000370203,4
ENST00000538610,3
ENST00000369769,5
ENST00000487146,6
ENST00000648608,1
ENST00000369744,5
ENST00000466741,5
ENST00000369716,2
ENST00000369630,2
ENST00000361886,1
ENST00000331491,0
ENST00000331128,0
ENST00000414276,1
ENST00000360244,2
ENST00000290524,8
ENST00000368888,7
ENST00000368910,1
ENST00000602841,3
ENST00000368905,4
ENST00000368825,8
ENST00000368713,0
ENST00000368531,3
ENST00000368431,6
ENST00000648231,4
ENST00000368445,8
ENST00000303343,2
ENST00000334634,9
ENST00000427500,6
ENST00000613861,6
ENST00000245564,7
ENST00000615517,1
ENST00000343256,1
ENST00000368392,5
ENST00000611010,8
ENST00000368284,4
