ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000338591,24,3,642,0.00019,0.3332,0.29232,v22_prostate
ENST00000379407,31,7,576,0.00039,0.46948,0.48685,v22_prostate
ENST00000379410,33,7,611,0.00035,0.47424,0.46972,v22_prostate
ENST00000304952,5,1,221,0.0009,0.49955,0.24887,v22_prostate
ENST00000428771,7,2,247,0.00116,0.46154,0.27531,v22_prostate
ENST00000537107,20,1,399,0.00013,0.51579,0.03759,v22_prostate
ENST00000476993,19,1,445,0.00012,0.47037,0.27416,v22_prostate
ENST00000545578,30,0,571,0.0,0.53596,,v22_prostate
ENST00000378755,47,6,634,0.0002,0.45795,0.34516,v22_prostate
ENST00000378486,78,3,1416,3e-05,0.48739,0.49152,v22_prostate
ENST00000620687,78,3,1416,3e-05,0.48739,0.49152,v22_prostate
ENST00000612705,10,0,166,0.0,0.49096,,v22_prostate
ENST00000378453,10,0,166,0.0,0.49096,,v22_prostate
ENST00000444870,3,0,78,0.0,0.18376,,v22_prostate
ENST00000377658,25,2,597,0.00013,0.43745,0.67923,v22_prostate
ENST00000377627,10,5,175,0.00286,0.488,0.65371,v22_prostate
ENST00000604074,26,5,403,0.00048,0.60594,0.64616,v22_prostate
ENST00000356607,34,6,377,0.00047,0.41801,0.32007,v22_prostate
ENST00000602296,6,0,143,0.0,0.65035,,v22_prostate
ENST00000376629,5,3,152,0.00395,0.77237,0.68421,v22_prostate
ENST00000334600,22,7,474,0.00067,0.40526,0.42706,v22_prostate
ENST00000376014,13,1,253,0.0003,0.53846,0.17787,v22_prostate
ENST00000376008,13,1,253,0.0003,0.53846,0.17787,v22_prostate
ENST00000487038,4,2,120,0.00417,0.6,0.52916,v22_prostate
ENST00000503743,34,5,421,0.00035,0.45759,0.73349,v22_prostate
ENST00000375471,27,6,663,0.00034,0.54539,0.52866,v22_prostate
ENST00000631074,27,6,663,0.00034,0.54539,0.52866,v22_prostate
ENST00000251296,15,3,467,0.00043,0.44511,0.63026,v22_prostate
ENST00000375534,17,6,182,0.00194,0.38849,0.37271,v22_prostate
ENST00000375535,17,6,183,0.00193,0.39184,0.37614,v22_prostate
ENST00000375111,4,2,144,0.00347,0.6059,0.70834,v22_prostate
ENST00000374765,31,6,663,0.00029,0.49706,0.57919,v22_prostate
ENST00000615215,12,2,215,0.00078,0.47248,0.46976,v22_prostate
ENST00000374632,46,5,987,0.00011,0.56997,0.64296,v22_prostate
ENST00000374392,3,0,102,0.0,0.92157,,v22_prostate
ENST00000361548,19,6,602,0.00052,0.57869,0.67442,v22_prostate
ENST00000356046,18,6,556,0.0006,0.57664,0.64748,v22_prostate
ENST00000236255,19,6,607,0.00052,0.58216,0.6771,v22_prostate
ENST00000436717,11,1,183,0.0005,0.48783,0.85792,v22_prostate
ENST00000616511,6,1,116,0.00144,0.51437,0.77586,v22_prostate
ENST00000374393,10,2,115,0.00174,0.63478,0.73478,v22_prostate
ENST00000374278,20,3,323,0.00046,0.49768,0.66667,v22_prostate
ENST00000374300,8,2,292,0.00086,0.497,0.86986,v22_prostate
ENST00000318074,40,4,550,0.00018,0.4475,0.49182,v22_prostate
ENST00000373857,14,2,342,0.00042,0.55806,0.58626,v22_prostate
ENST00000536384,20,3,459,0.00033,0.57941,0.52941,v22_prostate
ENST00000420504,10,0,307,0.0,0.55993,,v22_prostate
ENST00000609129,21,7,495,0.00067,0.53285,0.60924,v22_prostate
ENST00000339480,5,1,266,0.00075,0.32181,0.29699,v22_prostate
ENST00000338513,7,3,273,0.00157,0.5573,0.68498,v22_prostate
ENST00000373366,12,0,270,0.0,0.5179,,v22_prostate
ENST00000373362,12,0,270,0.0,0.5179,,v22_prostate
ENST00000621781,4,1,84,0.00298,0.65774,0.96429,v22_prostate
ENST00000373012,21,0,451,0.0,0.46078,,v22_prostate
ENST00000621281,3,2,110,0.00606,0.66667,0.91364,v22_prostate
ENST00000372816,19,3,364,0.00043,0.71009,0.69872,v22_prostate
ENST00000397332,20,3,394,0.00038,0.69797,0.72166,v22_prostate
ENST00000372815,4,1,236,0.00106,0.49046,0.95339,v22_prostate
ENST00000372587,11,4,178,0.00204,0.57712,0.68961,v22_prostate
ENST00000509682,27,2,641,0.00012,0.52233,0.51404,v22_prostate
ENST00000347132,28,2,695,0.0001,0.52045,0.51295,v22_prostate
ENST00000372508,14,1,284,0.00025,0.46202,0.97535,v22_prostate
ENST00000539749,13,2,218,0.00071,0.48377,0.38991,v22_prostate
ENST00000523677,3,2,113,0.0059,0.68142,0.76549,v22_prostate
ENST00000372359,7,0,220,0.0,0.51493,,v22_prostate
ENST00000531451,3,2,139,0.0048,0.64269,0.84532,v22_prostate
ENST00000372362,4,3,155,0.00484,0.56452,0.68172,v22_prostate
ENST00000351035,12,2,429,0.00039,0.60334,0.2739,v22_prostate
ENST00000528077,7,6,106,0.00809,0.72642,0.7217,v22_prostate
ENST00000371946,26,6,453,0.00051,0.53124,0.27778,v22_prostate
ENST00000371655,11,2,219,0.00083,0.59485,0.56164,v22_prostate
ENST00000312233,31,6,620,0.00031,0.50255,0.65806,v22_prostate
ENST00000371116,24,5,478,0.00044,0.56224,0.58578,v22_prostate
ENST00000371092,10,3,216,0.00139,0.41065,0.63889,v22_prostate
ENST00000354777,19,6,543,0.00058,0.56053,0.72253,v22_prostate
ENST00000370976,15,5,450,0.00074,0.61467,0.616,v22_prostate
ENST00000477717,28,2,336,0.00021,0.32749,0.5372,v22_prostate
ENST00000534056,14,8,340,0.00168,0.32206,0.40294,v22_prostate
ENST00000457880,9,5,226,0.00246,0.37119,0.41947,v22_prostate
ENST00000370867,14,7,259,0.00193,0.38803,0.42195,v22_prostate
ENST00000370756,13,7,297,0.00181,0.55115,0.5113,v22_prostate
ENST00000254821,12,1,320,0.00026,0.57786,0.99375,v22_prostate
ENST00000370689,14,6,351,0.00122,0.46703,0.36515,v22_prostate
ENST00000652648,10,2,390,0.00051,0.60051,0.54488,v22_prostate
ENST00000342173,14,6,284,0.00151,0.62022,0.598,v22_prostate
ENST00000370068,20,7,539,0.00065,0.46865,0.49192,v22_prostate
ENST00000686434,18,7,501,0.00078,0.609,0.44083,v22_prostate
ENST00000357155,21,3,354,0.0004,0.43274,0.24953,v22_prostate
ENST00000349334,4,0,181,0.0,0.45028,,v22_prostate
ENST00000369836,6,2,218,0.00153,0.45872,0.5688,v22_prostate
ENST00000359172,27,9,483,0.00069,0.42896,0.43133,v22_prostate
