Gene,OptionalDataColumns
ENST00000378891,4
ENST00000378756,5
ENST00000505820,8
ENST00000520777,7
ENST00000355826,8
ENST00000310991,2
ENST00000378466,5
ENST00000615291,5
ENST00000378251,2
ENST00000377658,2
ENST00000377411,3
ENST00000340305,1
ENST00000376085,0
ENST00000375799,7
ENST00000294454,4
ENST00000707396,1
ENST00000375486,1
ENST00000420770,6
ENST00000375534,6
ENST00000450454,1
ENST00000635035,1
ENST00000436439,6
ENST00000327575,2
ENST00000374272,4
ENST00000374266,2
ENST00000374278,3
ENST00000361547,1
ENST00000361771,6
ENST00000373736,2
ENST00000373779,9
ENST00000536384,3
ENST00000373602,0
ENST00000291416,6
ENST00000373471,2
ENST00000373471,2
ENST00000373237,3
ENST00000373129,3
ENST00000373016,3
ENST00000235628,7
ENST00000509682,2
ENST00000413844,3
ENST00000531451,2
ENST00000372362,3
ENST00000545417,3
ENST00000347631,2
ENST00000372372,1
ENST00000341183,1
ENST00000360840,8
ENST00000371244,9
ENST00000371084,2
ENST00000371083,3
ENST00000370976,5
ENST00000411986,5
ENST00000370867,7
ENST00000370673,3
ENST00000394834,3
ENST00000370668,3
ENST00000370558,9
ENST00000482504,9
ENST00000260563,5
ENST00000370137,9
ENST00000370137,9
ENST00000342173,6
ENST00000369872,1
ENST00000310611,0
ENST00000487146,6
ENST00000369538,8
ENST00000520113,8
ENST00000475797,7
ENST00000497365,7
ENST00000357836,7
ENST00000336751,8
ENST00000369347,4
ENST00000369347,4
ENST00000606888,4
ENST00000582693,7
ENST00000583313,2
ENST00000368892,6
ENST00000368884,2
ENST00000368820,2
ENST00000271690,3
ENST00000295314,9
ENST00000368485,3
ENST00000651641,4
ENST00000361147,2
ENST00000271915,7
ENST00000245564,7
ENST00000421487,7
ENST00000368336,9
ENST00000368336,9
ENST00000368396,1
ENST00000368396,1
ENST00000368078,4
ENST00000368074,6
ENST00000458050,2
ENST00000392190,5
ENST00000358671,2
ENST00000359842,5
ENST00000236137,9
ENST00000482587,3
ENST00000540564,6
ENST00000434571,5
ENST00000417584,3
ENST00000361379,1
ENST00000367249,6
ENST00000241651,0
ENST00000255416,4
ENST00000290419,4
ENST00000367079,8
ENST00000442471,2
ENST00000322918,3
ENST00000408911,6
ENST00000366938,6
ENST00000366777,5
ENST00000366641,3
ENST00000391858,2
ENST00000277517,2
ENST00000459912,1
ENST00000379775,2
ENST00000396913,2
ENST00000263038,6
ENST00000465530,1
ENST00000433779,5
ENST00000373910,6
ENST00000355790,1
ENST00000357631,1
ENST00000299432,9
ENST00000359322,5
ENST00000372873,6
ENST00000394829,6
ENST00000713561,1
ENST00000707120,6
ENST00000713560,1
ENST00000472493,1
ENST00000360830,2
ENST00000464716,2
ENST00000645440,2
ENST00000623056,3
ENST00000372066,0
ENST00000429277,2
ENST00000492756,1
ENST00000307518,3
ENST00000353979,4
ENST00000370002,2
ENST00000369905,4
ENST00000369780,0
ENST00000369889,9
ENST00000542051,3
ENST00000425699,0
ENST00000355422,7
ENST00000532097,9
ENST00000381911,1
ENST00000673526,1
ENST00000381905,1
ENST00000672155,1
ENST00000673157,3
ENST00000381558,3
ENST00000250699,0
ENST00000389989,7
ENST00000397068,4
ENST00000359918,4
ENST00000300737,8
ENST00000359518,9
ENST00000423813,4
ENST00000335790,2
ENST00000300730,2
ENST00000396553,6
ENST00000528848,5
ENST00000250003,0
ENST00000339994,0
ENST00000528731,0
ENST00000672712,1
ENST00000405158,1
ENST00000672418,1
ENST00000532858,1
ENST00000437761,2
ENST00000651785,2
ENST00000241041,3
ENST00000454345,7
ENST00000298852,3
ENST00000539589,5
ENST00000298838,5
ENST00000352508,0
ENST00000298854,0
ENST00000527972,6
ENST00000302731,7
ENST00000316059,8
ENST00000255681,3
ENST00000309318,1
ENST00000356000,5
ENST00000377432,3
ENST00000164139,4
ENST00000317459,3
ENST00000438980,4
ENST00000270176,7
ENST00000420247,7
ENST00000357440,4
ENST00000513398,6
ENST00000316924,4
ENST00000421552,3
ENST00000425825,6
ENST00000393877,0
ENST00000393597,0
ENST00000393596,0
ENST00000294064,8
ENST00000314032,1
ENST00000426995,1
ENST00000393324,2
ENST00000529974,2
ENST00000305991,1
ENST00000392996,8
ENST00000359862,6
ENST00000330775,2
ENST00000710542,2
ENST00000710540,2
ENST00000357590,2
ENST00000525735,4
ENST00000260187,6
ENST00000453788,9
ENST00000298317,9
ENST00000358409,4
ENST00000359864,5
ENST00000397122,4
ENST00000229239,0
ENST00000229268,4
ENST00000672694,9
ENST00000455147,9
ENST00000279550,5
ENST00000228251,9
ENST00000447411,2
ENST00000266579,2
ENST00000317697,1
ENST00000547587,5
ENST00000312352,5
ENST00000421952,7
ENST00000550311,8
ENST00000303460,2
ENST00000394349,2
ENST00000695999,1
ENST00000308197,1
ENST00000293502,4
ENST00000332782,3
ENST00000551116,5
ENST00000308259,2
ENST00000488961,4
ENST00000330891,6
ENST00000551641,9
ENST00000228641,2
ENST00000358678,1
ENST00000228318,4
ENST00000314045,7
ENST00000392561,8
ENST00000541210,4
ENST00000426426,1
ENST00000538010,6
ENST00000376874,7
ENST00000526639,0
ENST00000321867,7
ENST00000443358,3
ENST00000218867,9
ENST00000379561,8
ENST00000680254,3
ENST00000478244,7
ENST00000356501,2
ENST00000375418,2
ENST00000344581,4
ENST00000708773,4
ENST00000412779,1
ENST00000397851,8
ENST00000397858,8
ENST00000298687,8
ENST00000324366,7
ENST00000361611,1
ENST00000267426,2
ENST00000644407,2
ENST00000554970,5
ENST00000554970,5
ENST00000261479,7
ENST00000298159,2
ENST00000557185,1
ENST00000645694,1
ENST00000381216,4
ENST00000216568,1
ENST00000356921,5
ENST00000528359,6
ENST00000381269,5
ENST00000394234,1
ENST00000266126,3
ENST00000349555,3
ENST00000419727,0
ENST00000629617,2
ENST00000315988,2
ENST00000555019,2
ENST00000612647,2
ENST00000329331,7
ENST00000286918,0
ENST00000351691,9
ENST00000330877,4
ENST00000379937,7
ENST00000448395,4
ENST00000397573,5
ENST00000617768,4
ENST00000444189,3
ENST00000399518,9
ENST00000290497,1
ENST00000397200,5
