Gene,OptionalDataColumns
ENST00000401095,17
ENST00000358897,62
ENST00000430580,93
ENST00000713538,180
ENST00000375541,33
ENST00000342104,27
ENST00000404138,35
ENST00000374632,20
ENST00000374630,20
ENST00000635198,25
ENST00000437606,25
ENST00000634561,26
ENST00000336689,26
ENST00000314011,16
ENST00000635400,16
ENST00000374011,20
ENST00000373672,32
ENST00000373800,17
ENST00000537469,24
ENST00000314607,67
ENST00000373484,19
ENST00000246314,33
ENST00000373036,26
ENST00000528956,21
ENST00000610710,42
ENST00000359600,32
ENST00000372192,21
ENST00000421127,19
ENST00000528266,20
ENST00000371877,53
ENST00000371568,23
ENST00000371714,17
ENST00000371201,20
ENST00000371026,30
ENST00000371016,15
ENST00000294664,22
ENST00000370425,52
ENST00000610020,25
ENST00000545708,15
ENST00000287474,18
ENST00000353414,47
ENST00000369763,34
ENST00000369732,15
ENST00000360743,15
ENST00000358039,15
ENST00000336338,74
ENST00000682167,32
ENST00000682167,32
ENST00000369140,19
ENST00000505755,30
ENST00000368801,453
ENST00000368339,27
ENST00000368156,15
ENST00000368160,16
ENST00000368099,24
ENST00000367763,25
ENST00000367758,18
ENST00000361833,24
ENST00000367661,15
ENST00000367588,25
ENST00000367589,22
ENST00000709532,39
ENST00000294725,39
ENST00000367470,15
ENST00000691036,16
ENST00000573034,30
ENST00000642603,25
ENST00000258243,43
ENST00000255380,17
ENST00000535983,23
ENST00000439617,29
ENST00000366637,28
ENST00000509513,22
ENST00000397167,23
ENST00000397053,48
ENST00000484800,31
ENST00000377799,18
ENST00000298032,18
ENST00000376624,20
ENST00000305242,24
ENST00000436087,27
ENST00000361085,22
ENST00000545260,47
ENST00000537517,32
ENST00000374201,31
ENST00000511769,15
ENST00000373886,29
ENST00000331173,28
ENST00000613657,51
ENST00000616684,23
ENST00000224721,51
ENST00000619887,17
ENST00000394890,19
ENST00000286628,20
ENST00000334512,28
ENST00000298068,26
ENST00000357060,63
ENST00000277900,23
ENST00000369310,17
ENST00000369271,15
ENST00000341276,15
ENST00000522781,15
ENST00000304613,28
ENST00000368614,16
ENST00000313726,15
ENST00000534127,15
ENST00000547195,15
ENST00000527619,41
ENST00000338965,15
ENST00000406071,28
ENST00000650167,95
ENST00000332351,16
ENST00000452863,16
ENST00000448076,16
ENST00000241001,17
ENST00000531120,16
ENST00000335185,52
ENST00000622142,15
ENST00000525123,27
ENST00000645431,27
ENST00000407859,29
ENST00000529618,25
ENST00000338608,16
ENST00000278836,19
ENST00000265460,19
ENST00000394818,16
ENST00000532787,19
ENST00000361391,23
ENST00000361332,24
ENST00000301459,17
ENST00000279230,22
ENST00000322147,21
ENST00000311034,16
ENST00000278568,15
ENST00000278550,39
ENST00000445632,39
ENST00000298050,46
ENST00000332349,19
ENST00000541150,31
ENST00000325455,24
ENST00000325455,24
ENST00000322536,32
ENST00000651296,25
ENST00000534980,21
ENST00000527524,16
ENST00000543440,17
ENST00000392693,30
ENST00000263577,29
ENST00000310343,54
ENST00000575724,26
ENST00000538872,31
ENST00000571363,16
ENST00000382841,16
ENST00000645965,16
ENST00000399637,35
ENST00000399601,35
ENST00000644660,35
ENST00000683482,35
ENST00000710479,35
ENST00000544040,40
ENST00000356654,29
ENST00000632393,19
ENST00000536668,19
ENST00000424268,54
ENST00000282881,18
ENST00000458174,22
ENST00000445693,19
ENST00000413632,19
ENST00000320267,29
ENST00000395901,22
ENST00000548411,23
ENST00000652176,31
ENST00000548696,24
ENST00000344862,20
ENST00000344862,20
ENST00000432584,24
ENST00000337299,24
ENST00000380518,24
ENST00000320516,19
ENST00000453097,22
ENST00000257863,15
ENST00000449260,16
ENST00000394147,16
ENST00000300134,21
ENST00000543426,18
ENST00000409445,32
ENST00000393217,70
ENST00000437004,37
ENST00000339839,48
ENST00000392979,24
ENST00000548884,21
ENST00000392986,21
ENST00000188403,23
ENST00000551379,23
ENST00000228347,32
ENST00000312777,23
ENST00000335621,18
ENST00000328963,17
ENST00000631855,71
ENST00000638045,99
ENST00000405201,38
ENST00000261655,15
ENST00000539354,29
ENST00000432561,21
ENST00000380808,18
ENST00000337343,30
ENST00000492622,50
ENST00000355568,28
ENST00000613252,18
ENST00000629385,24
ENST00000403766,16
ENST00000257336,16
ENST00000382554,29
ENST00000357798,15
ENST00000684589,28
ENST00000396158,32
ENST00000013125,25
ENST00000395606,17
ENST00000395425,35
ENST00000317623,23
ENST00000556437,21
ENST00000556437,21
ENST00000556489,18
ENST00000330753,18
ENST00000554922,43
ENST00000304338,35
ENST00000619905,35
ENST00000267584,22
ENST00000649591,35
ENST00000429774,21
ENST00000340660,22
ENST00000262241,22
ENST00000423312,15
ENST00000673192,15
ENST00000650528,15
ENST00000382448,17
ENST00000349748,21
ENST00000535302,76
ENST00000355997,15
ENST00000316364,29
ENST00000251076,104
ENST00000389286,26
ENST00000281282,56
ENST00000333725,22
ENST00000261523,29
ENST00000395898,134
ENST00000261889,17
ENST00000327987,16
ENST00000352385,23
ENST00000315757,17
ENST00000538941,56
ENST00000339465,16
ENST00000610657,64
ENST00000268148,19
ENST00000382862,15
ENST00000348261,25
ENST00000426824,18
ENST00000396324,60
