Gene,OptionalDataColumns
ENST00000379236,6
ENST00000379289,8
ENST00000379265,3
ENST00000400930,7
ENST00000520777,11
ENST00000377263,3
ENST00000294435,3
ENST00000376629,3
ENST00000452018,1
ENST00000359318,11
ENST00000355096,8
ENST00000697200,8
ENST00000480945,11
ENST00000400797,8
ENST00000375448,12
ENST00000628229,12
ENST00000357071,14
ENST00000656825,5
ENST00000328664,5
ENST00000374024,2
ENST00000354982,2
ENST00000270879,2
ENST00000399173,9
ENST00000374005,9
ENST00000373921,12
ENST00000539896,4
ENST00000465518,5
ENST00000457433,7
ENST00000271064,9
ENST00000372539,3
ENST00000296387,3
ENST00000262915,6
ENST00000312233,13
ENST00000371330,7
ENST00000312553,8
ENST00000534056,9
ENST00000628037,5
ENST00000460330,5
ENST00000306666,5
ENST00000370924,7
ENST00000212355,14
ENST00000369805,13
ENST00000369464,9
ENST00000530472,13
ENST00000368905,8
ENST00000368825,12
ENST00000392653,5
ENST00000368750,5
ENST00000368737,5
ENST00000331860,9
ENST00000368738,2
ENST00000368733,1
ENST00000355956,14
ENST00000368198,7
ENST00000367996,9
ENST00000432287,1
ENST00000650385,3
ENST00000545495,4
ENST00000271450,9
ENST00000367972,9
ENST00000367967,4
ENST00000489294,12
ENST00000367755,10
ENST00000344529,5
ENST00000444639,3
ENST00000444639,3
ENST00000417584,5
ENST00000537898,4
ENST00000626327,4
ENST00000391895,7
ENST00000366910,5
ENST00000272091,10
ENST00000357246,3
ENST00000366584,7
ENST00000497571,2
ENST00000459912,3
ENST00000380753,7
ENST00000455190,2
ENST00000379775,10
ENST00000397145,10
ENST00000378165,7
ENST00000642324,12
ENST00000617711,12
ENST00000419761,6
ENST00000682389,4
ENST00000490841,11
ENST00000376170,12
ENST00000376140,14
ENST00000374821,13
ENST00000374822,14
ENST00000544000,3
ENST00000373970,8
ENST00000399165,4
ENST00000373218,2
ENST00000372841,5
ENST00000672429,9
ENST00000673027,8
ENST00000372687,9
ENST00000339284,8
ENST00000429989,7
ENST00000241891,3
ENST00000372188,4
ENST00000238983,7
ENST00000484444,1
ENST00000652046,9
ENST00000343195,3
ENST00000299353,8
ENST00000369315,9
ENST00000704414,13
ENST00000682743,8
ENST00000369023,12
ENST00000613221,1
ENST00000595228,1
ENST00000336615,4
ENST00000449825,9
ENST00000672629,5
ENST00000381589,5
ENST00000672349,6
ENST00000406638,6
ENST00000313407,6
ENST00000440480,6
ENST00000335425,0
ENST00000477358,1
ENST00000300730,3
ENST00000278243,4
ENST00000299596,7
ENST00000278175,4
ENST00000532814,10
ENST00000379554,12
ENST00000672712,2
ENST00000405158,2
ENST00000672418,2
ENST00000532858,2
ENST00000334274,11
ENST00000452374,4
ENST00000434472,4
ENST00000442528,3
ENST00000314134,3
ENST00000227163,6
ENST00000405853,8
ENST00000257264,11
ENST00000395032,0
ENST00000711440,0
ENST00000358152,4
ENST00000711439,4
ENST00000358246,8
ENST00000300184,9
ENST00000378149,9
ENST00000312403,8
ENST00000325558,9
ENST00000377897,13
ENST00000415826,4
ENST00000415826,4
ENST00000540857,3
ENST00000340246,7
ENST00000394618,7
ENST00000415491,6
ENST00000279263,2
ENST00000377313,7
ENST00000312562,6
ENST00000341318,7
ENST00000298223,4
ENST00000393705,4
ENST00000531380,5
ENST00000315274,13
ENST00000299855,8
ENST00000444749,8
ENST00000447913,0
ENST00000613512,1
ENST00000417998,2
ENST00000398006,11
ENST00000529887,5
ENST00000302783,7
ENST00000313005,9
ENST00000408930,2
ENST00000534087,11
ENST00000319397,10
ENST00000299164,12
ENST00000412586,8
ENST00000299665,6
ENST00000299663,6
ENST00000357529,7
ENST00000304361,8
ENST00000543300,4
ENST00000304084,8
ENST00000356591,5
ENST00000541295,5
ENST00000354662,4
ENST00000441439,4
ENST00000441439,4
ENST00000538118,8
ENST00000342945,6
ENST00000337682,6
ENST00000617411,6
ENST00000440781,9
ENST00000613694,13
ENST00000547230,13
ENST00000335154,13
ENST00000293662,5
ENST00000340970,3
ENST00000262055,9
ENST00000262052,13
ENST00000330722,9
ENST00000252250,12
ENST00000551956,13
ENST00000549732,4
ENST00000444623,12
ENST00000546378,5
ENST00000550620,14
ENST00000257895,6
ENST00000551116,7
ENST00000299178,10
ENST00000462788,3
ENST00000547496,4
ENST00000550402,2
ENST00000361483,0
ENST00000242607,10
ENST00000534951,5
ENST00000458477,9
ENST00000359949,5
ENST00000538733,6
ENST00000435159,13
ENST00000544181,4
ENST00000615840,13
ENST00000355779,12
ENST00000377211,7
ENST00000426073,12
ENST00000304639,4
ENST00000304625,10
ENST00000206513,1
ENST00000710588,2
ENST00000335125,2
ENST00000554970,5
ENST00000554970,5
ENST00000418030,14
ENST00000646612,14
ENST00000554068,14
ENST00000646612,14
ENST00000644025,5
ENST00000554050,5
ENST00000342213,10
ENST00000555449,10
ENST00000318317,3
ENST00000342677,14
ENST00000341653,2
ENST00000409014,10
ENST00000409949,10
ENST00000617124,3
ENST00000509153,6
ENST00000216484,10
ENST00000448921,10
ENST00000614317,10
ENST00000359366,4
ENST00000454394,12
ENST00000349310,9
ENST00000335449,6
ENST00000396402,11
ENST00000396404,11
ENST00000396307,3
ENST00000695545,9
ENST00000379727,10
ENST00000395135,11
ENST00000300055,7
ENST00000430628,7
ENST00000394232,14
