Gene,OptionalDataColumns
ENST00000428161,367
ENST00000376480,151
ENST00000294454,304
ENST00000696689,91
ENST00000375662,280
ENST00000375499,280
ENST00000375108,138
ENST00000374395,241
ENST00000374272,353
ENST00000374300,292
ENST00000373713,133
ENST00000373471,212
ENST00000496770,153
ENST00000235628,368
ENST00000431473,391
ENST00000311672,91
ENST00000532925,240
ENST00000610401,388
ENST00000371244,552
ENST00000371204,502
ENST00000420607,425
ENST00000370841,421
ENST00000446538,358
ENST00000370137,335
ENST00000370137,335
ENST00000370137,335
ENST00000357155,354
ENST00000369722,256
ENST00000630362,500
ENST00000369626,500
ENST00000261448,399
ENST00000475797,200
ENST00000357836,313
ENST00000336751,426
ENST00000369347,173
ENST00000369347,173
ENST00000582693,304
ENST00000579774,358
ENST00000545683,134
ENST00000368921,90
ENST00000427500,487
ENST00000613861,487
ENST00000368304,95
ENST00000342751,150
ENST00000545495,318
ENST00000512372,267
ENST00000511676,319
ENST00000426197,315
ENST00000367889,152
ENST00000530507,185
ENST00000367434,422
ENST00000412633,285
ENST00000422165,295
ENST00000367318,288
ENST00000491336,208
ENST00000290419,224
ENST00000429964,474
ENST00000506784,504
ENST00000360066,474
ENST00000367137,513
ENST00000367079,471
ENST00000367093,154
ENST00000366957,433
ENST00000408911,458
ENST00000391890,435
ENST00000493603,435
ENST00000493603,435
ENST00000359162,435
ENST00000328205,558
ENST00000602873,201
ENST00000450372,359
ENST00000335698,297
ENST00000361271,288
ENST00000377602,398
ENST00000376510,182
ENST00000376495,481
ENST00000396271,525
ENST00000376140,481
ENST00000345491,300
ENST00000373910,147
ENST00000355790,184
ENST00000372919,488
ENST00000394936,524
ENST00000707120,291
ENST00000472493,198
ENST00000225174,207
ENST00000464716,132
ENST00000372066,283
ENST00000623007,330
ENST00000371947,315
ENST00000371697,319
ENST00000307534,461
ENST00000356016,433
ENST00000298808,327
ENST00000307518,360
ENST00000453258,517
ENST00000467928,257
ENST00000370002,302
ENST00000348850,225
ENST00000343195,220
ENST00000353068,227
ENST00000358038,252
ENST00000356640,270
ENST00000461105,285
ENST00000309579,58
ENST00000542051,534
ENST00000382743,399
ENST00000182290,320
ENST00000456145,178
ENST00000278243,315
ENST00000309357,183
ENST00000396505,350
ENST00000326932,350
ENST00000265968,194
ENST00000448418,277
ENST00000525528,247
ENST00000227868,501
ENST00000359513,517
ENST00000528494,550
ENST00000332539,395
ENST00000541278,216
ENST00000322776,464
ENST00000393375,200
ENST00000282441,504
ENST00000444749,376
ENST00000532593,474
ENST00000438022,545
ENST00000509359,32
ENST00000236850,267
ENST00000525735,396
ENST00000375095,245
ENST00000529187,148
ENST00000453788,493
ENST00000529694,419
ENST00000266544,377
ENST00000537971,239
ENST00000011653,458
ENST00000536844,191
ENST00000390677,303
ENST00000613662,303
ENST00000574870,303
ENST00000228938,128
ENST00000261192,386
ENST00000546179,540
ENST00000534854,180
ENST00000449723,146
ENST00000351328,466
ENST00000308197,247
ENST00000433805,215
ENST00000262030,529
ENST00000261187,478
ENST00000308259,185
ENST00000228318,362
ENST00000549558,414
ENST00000610966,548
ENST00000228510,396
ENST00000354300,304
ENST00000228841,166
ENST00000361483,262
ENST00000552374,337
ENST00000405440,518
ENST00000349716,468
ENST00000359949,404
ENST00000541022,128
ENST00000241125,435
ENST00000218867,291
ENST00000248484,417
ENST00000382258,423
ENST00000380808,348
ENST00000380615,490
ENST00000539099,541
ENST00000611198,86
ENST00000519676,291
ENST00000682523,346
ENST00000376705,471
ENST00000376143,247
ENST00000257336,503
ENST00000478244,259
ENST00000356501,272
ENST00000375418,354
ENST00000622767,486
ENST00000250405,193
ENST00000267426,292
ENST00000644407,292
ENST00000298159,166
ENST00000298159,166
ENST00000337827,558
ENST00000402788,437
ENST00000553530,472
ENST00000238671,67
ENST00000380887,508
ENST00000448935,444
ENST00000605997,58
ENST00000286918,317
ENST00000557649,160
ENST00000630349,160
ENST00000286953,58
ENST00000400097,240
ENST00000290378,377
ENST00000566621,281
ENST00000567389,183
ENST00000358005,185
ENST00000428046,328
ENST00000380565,438
ENST00000267853,466
ENST00000413507,373
ENST00000300069,209
ENST00000403994,284
ENST00000432196,458
ENST00000562924,278
ENST00000563691,394
ENST00000345330,398
ENST00000319622,531
ENST00000395018,158
ENST00000322347,150
ENST00000557943,333
ENST00000299518,366
ENST00000421388,535
ENST00000379403,385
ENST00000268164,375
ENST00000558812,437
ENST00000316163,446
ENST00000689027,364
ENST00000538492,281
ENST00000709230,407
ENST00000268661,407
ENST00000709233,172
ENST00000268668,172
ENST00000569417,326
ENST00000399609,473
ENST00000311745,418
ENST00000355637,395
ENST00000219599,314
ENST00000268379,453
ENST00000007516,156
ENST00000563998,152
ENST00000380897,176
ENST00000447459,331
ENST00000287490,97
ENST00000290552,446
ENST00000394636,483
ENST00000245206,430
ENST00000318129,216
ENST00000258187,371
ENST00000394282,391
ENST00000394279,371
ENST00000569923,284
ENST00000568640,357
ENST00000566192,339
ENST00000356752,369
ENST00000393335,353
ENST00000709372,353
ENST00000262430,493
ENST00000299709,435
ENST00000253452,169
ENST00000360900,383
ENST00000519584,391
ENST00000323997,434
ENST00000396628,300
ENST00000671820,316
ENST00000643221,492
ENST00000571134,311
ENST00000330255,312
ENST00000226218,478
ENST00000636154,198
ENST00000620215,549
ENST00000617279,549
ENST00000409446,118
ENST00000451885,123
ENST00000226004,185
ENST00000496503,315
ENST00000293414,453
ENST00000354968,197
ENST00000393450,197
ENST00000393366,136
ENST00000398154,96
ENST00000419580,360
ENST00000575734,134
ENST00000572558,231
ENST00000572558,231
ENST00000514264,152
ENST00000336844,167
ENST00000357146,436
ENST00000243457,427
ENST00000685175,449
ENST00000217652,171
ENST00000437807,187
ENST00000651643,272
ENST00000618847,443
ENST00000300249,327
ENST00000315087,376
ENST00000398752,553
ENST00000315456,374
ENST00000554864,371
ENST00000597599,510
ENST00000269192,452
ENST00000353909,556
ENST00000343998,419
ENST00000360242,513
ENST00000494131,98
ENST00000330475,471
ENST00000323469,198
ENST00000168977,230
ENST00000360067,320
ENST00000548381,71
ENST00000317060,189
ENST00000538517,421
ENST00000672131,421
ENST00000444449,435
ENST00000457269,504
ENST00000304863,274
ENST00000541435,178
ENST00000649813,86
ENST00000292907,79
ENST00000269980,445
ENST00000589970,185
ENST00000406449,392
ENST00000221476,381
ENST00000293261,459
ENST00000436458,401
ENST00000601151,419
ENST00000344887,210
ENST00000455045,487
ENST00000612221,359
ENST00000343280,489
ENST00000614513,304
ENST00000617330,304
ENST00000640609,304
ENST00000613265,304
ENST00000611193,304
ENST00000614725,304
ENST00000458098,366
ENST00000295156,191
ENST00000317799,474
ENST00000233505,114
ENST00000380075,358
ENST00000296098,400
ENST00000309052,414
ENST00000409913,94
ENST00000233114,334
ENST00000409476,210
ENST00000432309,352
ENST00000377982,399
ENST00000244221,123
ENST00000258091,543
ENST00000165698,201
ENST00000419482,490
ENST00000604011,251
ENST00000283632,391
ENST00000412401,229
ENST00000322142,279
ENST00000393352,279
ENST00000312988,450
ENST00000709789,450
ENST00000324938,365
ENST00000486700,339
ENST00000321253,450
ENST00000392687,392
ENST00000282077,436
ENST00000284727,142
ENST00000682840,109
ENST00000264110,505
ENST00000342506,100
ENST00000237889,98
ENST00000409588,285
ENST00000450242,550
ENST00000264275,496
ENST00000252711,355
ENST00000246080,199
ENST00000246024,349
ENST00000378106,345
ENST00000374954,132
ENST00000374385,299
ENST00000396825,262
ENST00000342272,129
ENST00000457232,442
ENST00000316673,452
ENST00000372722,112
ENST00000372710,161
ENST00000372717,112
ENST00000361300,448
ENST00000355969,511
ENST00000348257,186
ENST00000400165,200
ENST00000400131,236
ENST00000400090,108
ENST00000290299,213
ENST00000399289,129
ENST00000380588,407
ENST00000340344,108
ENST00000348499,237
ENST00000438754,346
ENST00000431044,322
ENST00000403477,515
ENST00000397326,154
ENST00000397328,154
ENST00000359787,154
ENST00000323205,445
ENST00000303592,445
ENST00000303592,445
ENST00000306149,153
ENST00000621082,397
ENST00000407623,278
ENST00000687198,278
ENST00000406477,397
ENST00000311981,335
ENST00000343849,151
ENST00000343849,151
ENST00000442720,258
ENST00000420173,376
ENST00000287675,368
ENST00000651800,191
ENST00000232905,113
ENST00000310417,504
ENST00000441594,504
ENST00000395905,371
ENST00000292327,195
ENST00000203407,480
ENST00000356401,493
ENST00000316436,164
ENST00000621469,382
ENST00000621469,382
ENST00000426034,162
ENST00000357203,162
ENST00000477703,70
ENST00000420581,560
ENST00000472437,468
ENST00000448226,519
ENST00000394351,419
ENST00000452448,539
ENST00000491511,559
ENST00000643065,180
ENST00000484193,180
ENST00000264231,364
ENST00000334384,315
ENST00000184266,129
ENST00000383598,461
ENST00000265052,313
ENST00000429747,557
ENST00000334546,529
ENST00000423968,208
ENST00000340634,377
ENST00000478894,258
ENST00000471745,258
ENST00000445224,244
ENST00000320474,331
ENST00000651117,331
ENST00000392781,331
ENST00000241256,366
ENST00000486355,59
ENST00000411922,107
ENST00000169293,380
ENST00000707996,380
ENST00000445105,181
ENST00000397537,214
ENST00000296333,276
ENST00000507039,255
ENST00000340083,504
ENST00000309065,511
ENST00000264318,554
ENST00000264318,554
ENST00000441222,366
ENST00000381210,363
ENST00000305107,528
ENST00000264888,125
ENST00000349321,378
ENST00000355810,389
ENST00000312465,268
ENST00000311469,421
ENST00000512196,469
ENST00000608933,372
ENST00000509540,502
ENST00000505992,248
ENST00000380180,234
ENST00000432483,232
ENST00000348706,305
ENST00000394686,365
ENST00000307128,264
ENST00000394427,431
ENST00000342666,499
ENST00000394522,492
ENST00000508738,489
ENST00000444616,414
ENST00000539002,76
ENST00000505036,76
ENST00000296530,519
ENST00000541354,316
ENST00000281456,298
ENST00000231357,519
ENST00000399816,161
ENST00000708565,161
ENST00000332432,402
ENST00000399793,356
ENST00000265113,542
ENST00000377801,321
ENST00000302005,150
ENST00000396954,188
ENST00000622294,295
ENST00000256441,103
ENST00000613100,103
ENST00000406374,250
ENST00000380860,118
ENST00000247655,63
ENST00000254035,419
ENST00000437669,419
ENST00000424301,419
ENST00000509053,298
ENST00000345721,175
ENST00000360683,455
ENST00000542322,440
ENST00000378670,82
ENST00000296873,429
ENST00000357560,486
ENST00000344120,322
ENST00000360966,60
ENST00000334744,189
ENST00000394450,148
ENST00000521735,378
ENST00000231121,215
ENST00000435422,289
ENST00000337851,290
ENST00000402432,128
ENST00000274625,207
ENST00000329198,324
ENST00000521848,151
ENST00000424406,112
ENST00000522692,417
ENST00000377291,397
ENST00000310032,332
ENST00000390654,540
ENST00000405617,358
ENST00000265012,402
ENST00000644492,402
ENST00000397456,151
ENST00000606117,310
ENST00000379284,287
ENST00000603223,148
ENST00000544682,247
ENST00000425446,178
ENST00000318204,191
ENST00000378386,443
ENST00000614911,136
ENST00000553137,536
ENST00000432222,8
ENST00000552809,536
ENST00000548769,536
ENST00000376883,536
ENST00000548574,536
ENST00000548337,536
ENST00000549167,536
ENST00000344279,406
ENST00000451316,410
ENST00000244458,444
ENST00000373738,286
ENST00000373256,463
ENST00000244669,224
ENST00000373161,170
ENST00000373188,385
ENST00000372569,204
ENST00000372449,557
ENST00000371374,243
ENST00000417285,354
ENST00000274897,458
ENST00000620514,130
ENST00000254765,291
ENST00000446408,360
ENST00000314641,360
ENST00000426155,130
ENST00000368923,282
ENST00000368498,462
ENST00000419517,496
ENST00000357525,52
ENST00000628709,297
ENST00000546248,286
ENST00000542443,167
ENST00000608991,358
ENST00000361131,165
ENST00000367233,380
ENST00000360961,109
ENST00000366889,257
ENST00000337019,296
ENST00000392127,319
ENST00000457378,278
ENST00000404774,270
ENST00000339600,81
ENST00000403527,437
ENST00000258761,419
ENST00000456174,562
ENST00000305786,105
ENST00000322275,166
ENST00000521082,40
ENST00000409689,538
ENST00000396299,475
ENST00000341843,397
ENST00000396211,496
ENST00000408931,447
ENST00000223364,175
ENST00000258682,517
ENST00000395747,518
ENST00000340652,325
ENST00000698575,376
ENST00000447137,123
ENST00000315758,338
ENST00000275569,115
ENST00000615241,115
ENST00000338056,473
