ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000343090,80,29,1302,0.00028,0.49915,0.50167,v26_muscle
ENST00000377093,69,29,1153,0.00036,0.61704,0.62344,v26_muscle
ENST00000361445,167,37,2549,9e-05,0.49263,0.47876,v26_muscle
ENST00000345034,40,26,617,0.00105,0.45389,0.4444,v26_muscle
ENST00000375254,286,83,5183,6e-05,0.48541,0.42288,v26_muscle
ENST00000404138,72,21,1239,0.00024,0.53994,0.47584,v26_muscle
ENST00000634561,57,11,903,0.00021,0.41837,0.39716,v26_muscle
ENST00000336689,57,11,903,0.00021,0.41837,0.39716,v26_muscle
ENST00000374434,67,12,1437,0.00012,0.47925,0.56193,v26_muscle
ENST00000374343,45,19,664,0.00064,0.57855,0.53995,v26_muscle
ENST00000252992,81,25,762,0.00041,0.62229,0.62178,v26_muscle
ENST00000642937,34,17,655,0.00076,0.52802,0.54423,v26_muscle
ENST00000409190,57,15,482,0.00055,0.63981,0.70788,v26_muscle
ENST00000373014,25,11,253,0.00174,0.56759,0.65217,v26_muscle
ENST00000372856,39,15,631,0.00061,0.63156,0.60106,v26_muscle
ENST00000372858,42,15,660,0.00054,0.62789,0.58343,v26_muscle
ENST00000372572,63,32,622,0.00082,0.58041,0.57998,v26_muscle
ENST00000361776,63,32,588,0.00086,0.56625,0.56473,v26_muscle
ENST00000372343,75,16,963,0.00022,0.46009,0.47605,v26_muscle
ENST00000361297,96,29,1798,0.00017,0.49667,0.42674,v26_muscle
ENST00000672818,49,11,546,0.00041,0.51278,0.63203,v26_muscle
ENST00000396153,40,24,650,0.00092,0.50473,0.51083,v26_muscle
ENST00000371586,65,17,858,0.0003,0.53369,0.51831,v26_muscle
ENST00000294353,48,20,744,0.00056,0.52316,0.58125,v26_muscle
ENST00000294383,153,74,2620,0.00018,0.5609,0.54153,v26_muscle
ENST00000539524,47,21,1087,0.00041,0.49837,0.46292,v26_muscle
ENST00000352171,47,22,1151,0.00041,0.51866,0.47291,v26_muscle
ENST00000407246,22,14,523,0.00122,0.57527,0.66266,v26_muscle
ENST00000674203,46,26,862,0.00066,0.51445,0.48965,v26_muscle
ENST00000334785,44,25,675,0.00084,0.46754,0.48308,v26_muscle
ENST00000370665,28,14,361,0.00139,0.60121,0.49683,v26_muscle
ENST00000271234,41,26,605,0.00105,0.44499,0.37997,v26_muscle
ENST00000465892,36,12,850,0.00039,0.51307,0.46206,v26_muscle
ENST00000294724,70,36,1532,0.00034,0.45267,0.42035,v26_muscle
ENST00000393274,49,23,928,0.00051,0.5616,0.45216,v26_muscle
ENST00000207157,34,12,496,0.00071,0.54762,0.48572,v26_muscle
ENST00000261443,40,24,767,0.00078,0.51004,0.49381,v26_muscle
ENST00000369530,42,26,813,0.00076,0.51447,0.486,v26_muscle
ENST00000610726,43,27,844,0.00074,0.51598,0.48398,v26_muscle
ENST00000369356,237,85,2362,0.00015,0.4429,0.40137,v26_muscle
ENST00000618462,228,82,2240,0.00016,0.43462,0.39459,v26_muscle
ENST00000369354,233,84,2346,0.00015,0.43639,0.39701,v26_muscle
ENST00000369349,125,51,969,0.00042,0.47503,0.48287,v26_muscle
ENST00000368969,64,22,1290,0.00027,0.45924,0.42156,v26_muscle
ENST00000360674,52,11,772,0.00027,0.54031,0.39178,v26_muscle
ENST00000348159,46,16,521,0.00067,0.54369,0.56574,v26_muscle
ENST00000708596,46,16,521,0.00067,0.54369,0.56574,v26_muscle
ENST00000361831,49,22,739,0.00061,0.40797,0.32507,v26_muscle
ENST00000295566,51,22,796,0.00054,0.44775,0.38825,v26_muscle
ENST00000368081,48,14,1029,0.00028,0.49119,0.49917,v26_muscle
ENST00000312263,44,20,860,0.00053,0.49302,0.5386,v26_muscle
ENST00000432587,58,26,920,0.00049,0.47198,0.51095,v26_muscle
ENST00000367840,58,26,951,0.00047,0.48863,0.5269,v26_muscle
ENST00000367500,51,27,900,0.00059,0.54227,0.57025,v26_muscle
ENST00000331314,42,27,619,0.00104,0.55758,0.58517,v26_muscle
ENST00000335211,126,37,3708,8e-05,0.52513,0.40976,v26_muscle
ENST00000367443,22,11,518,0.00097,0.36881,0.44402,v26_muscle
ENST00000608999,56,12,982,0.00022,0.48038,0.58639,v26_muscle
ENST00000367064,14,11,381,0.00206,0.50581,0.54235,v26_muscle
ENST00000314754,19,12,440,0.00144,0.5549,0.51212,v26_muscle
ENST00000452621,27,14,449,0.00115,0.59746,0.5964,v26_muscle
ENST00000419091,40,21,553,0.00095,0.62098,0.62878,v26_muscle
ENST00000366993,76,40,948,0.00056,0.60285,0.49747,v26_muscle
ENST00000366923,73,41,1512,0.00037,0.54196,0.56136,v26_muscle
ENST00000284548,395,49,6620,2e-05,0.49432,0.52512,v26_muscle
ENST00000422127,471,62,7968,2e-05,0.48939,0.53072,v26_muscle
ENST00000258243,105,28,1524,0.00017,0.47891,0.46564,v26_muscle
ENST00000366647,26,14,680,0.00079,0.53971,0.55389,v26_muscle
ENST00000366661,52,13,860,0.00029,0.42616,0.50895,v26_muscle
ENST00000366578,57,11,894,0.00022,0.53364,0.53579,v26_muscle
ENST00000602682,39,15,517,0.00074,0.50955,0.51889,v26_muscle
ENST00000224949,62,23,1037,0.00036,0.49001,0.45155,v26_muscle
ENST00000355029,43,11,596,0.00043,0.56247,0.48749,v26_muscle
ENST00000263125,33,12,706,0.00052,0.4178,0.40179,v26_muscle
ENST00000417956,47,19,490,0.00083,0.52766,0.52492,v26_muscle
ENST00000378757,40,18,577,0.00078,0.54636,0.54699,v26_muscle
ENST00000378747,40,18,577,0.00078,0.54636,0.54699,v26_muscle
ENST00000378748,40,18,577,0.00078,0.54636,0.54699,v26_muscle
ENST00000376454,107,37,1943,0.00018,0.51302,0.5584,v26_muscle
ENST00000342386,38,25,840,0.00078,0.56498,0.55838,v26_muscle
ENST00000355867,113,31,2214,0.00012,0.45111,0.41296,v26_muscle
ENST00000452305,46,21,818,0.00056,0.48942,0.43812,v26_muscle
ENST00000374794,87,22,1244,0.0002,0.59799,0.62464,v26_muscle
ENST00000346874,94,25,1319,0.0002,0.58529,0.57902,v26_muscle
ENST00000374788,99,26,1353,0.00019,0.59063,0.58156,v26_muscle
ENST00000340077,54,15,1031,0.00027,0.46478,0.48788,v26_muscle
ENST00000374144,78,28,1435,0.00025,0.4863,0.46147,v26_muscle
ENST00000618804,44,16,585,0.00062,0.47405,0.5093,v26_muscle
ENST00000309334,50,19,945,0.0004,0.5128,0.36647,v26_muscle
ENST00000682758,46,21,895,0.00051,0.4958,0.50833,v26_muscle
ENST00000354393,62,28,1045,0.00043,0.46919,0.49713,v26_muscle
ENST00000613327,85,37,1320,0.00033,0.45435,0.48866,v26_muscle
ENST00000358913,85,37,1320,0.00033,0.45435,0.48866,v26_muscle
ENST00000394890,24,16,534,0.00125,0.47846,0.47144,v26_muscle
ENST00000372919,40,25,488,0.00128,0.53735,0.46885,v26_muscle
ENST00000394810,63,12,977,0.00019,0.46807,0.36174,v26_muscle
ENST00000265997,55,13,698,0.00034,0.3758,0.51686,v26_muscle
ENST00000265986,50,21,1019,0.00041,0.57817,0.62465,v26_muscle
ENST00000630152,23,12,508,0.00103,0.3955,0.3522,v26_muscle
ENST00000430368,29,11,459,0.00083,0.57171,0.56229,v26_muscle
ENST00000370992,59,13,1297,0.00017,0.55617,0.46011,v26_muscle
ENST00000371247,70,22,1292,0.00024,0.5719,0.63928,v26_muscle
ENST00000677240,92,21,1856,0.00012,0.51266,0.48255,v26_muscle
ENST00000676993,91,21,1855,0.00012,0.51612,0.48238,v26_muscle
ENST00000369519,69,19,1227,0.00022,0.39394,0.44434,v26_muscle
ENST00000263054,59,20,1168,0.00029,0.51918,0.52547,v26_muscle
ENST00000360478,110,39,1695,0.00021,0.50693,0.40414,v26_muscle
ENST00000359988,111,40,1730,0.00021,0.50955,0.40386,v26_muscle
ENST00000369085,46,12,575,0.00045,0.48306,0.59855,v26_muscle
ENST00000369144,107,33,1382,0.00022,0.4646,0.34493,v26_muscle
ENST00000369043,36,15,518,0.0008,0.51287,0.3695,v26_muscle
ENST00000513429,61,14,1094,0.00021,0.56905,0.44091,v26_muscle
ENST00000369005,169,50,2948,0.0001,0.47563,0.39322,v26_muscle
ENST00000260733,54,12,1026,0.00022,0.61508,0.47864,v26_muscle
ENST00000359653,38,20,708,0.00074,0.58382,0.6096,v26_muscle
ENST00000397111,35,14,748,0.00053,0.49198,0.52884,v26_muscle
ENST00000633248,35,14,748,0.00053,0.49198,0.52884,v26_muscle
ENST00000380525,42,15,831,0.00043,0.45877,0.53951,v26_muscle
ENST00000612826,42,15,831,0.00043,0.45877,0.53951,v26_muscle
ENST00000380525,42,15,831,0.00043,0.45877,0.53951,v26_muscle
ENST00000612826,42,15,831,0.00043,0.45877,0.53951,v26_muscle
ENST00000526601,31,13,610,0.00069,0.39603,0.33443,v26_muscle
ENST00000379719,77,43,1038,0.00054,0.47923,0.52312,v26_muscle
ENST00000397004,43,19,920,0.00048,0.49861,0.50126,v26_muscle
ENST00000339865,66,34,1287,0.0004,0.46821,0.45142,v26_muscle
ENST00000256194,52,16,1124,0.00027,0.48926,0.53275,v26_muscle
ENST00000528252,78,34,801,0.00054,0.45427,0.42524,v26_muscle
ENST00000396356,77,34,808,0.00055,0.4522,0.42156,v26_muscle
ENST00000324559,42,17,913,0.00044,0.46164,0.49185,v26_muscle
ENST00000378623,71,11,1905,8e-05,0.50533,0.60811,v26_muscle
ENST00000311764,49,12,720,0.00034,0.44963,0.47222,v26_muscle
ENST00000395336,88,20,1581,0.00014,0.48724,0.54728,v26_muscle
ENST00000358597,45,16,486,0.00073,0.51417,0.44985,v26_muscle
ENST00000532048,45,16,512,0.00069,0.53915,0.47827,v26_muscle
ENST00000300146,68,32,770,0.00061,0.51585,0.50154,v26_muscle
ENST00000339997,35,18,1013,0.00051,0.53093,0.52512,v26_muscle
ENST00000532504,47,22,583,0.0008,0.54261,0.47848,v26_muscle
ENST00000672685,47,22,583,0.0008,0.54261,0.47848,v26_muscle
ENST00000433060,82,19,956,0.00024,0.41518,0.3252,v26_muscle
ENST00000393094,49,26,780,0.00068,0.46991,0.4432,v26_muscle
ENST00000278590,55,24,883,0.00049,0.56359,0.50708,v26_muscle
ENST00000200135,41,22,779,0.00069,0.48862,0.50741,v26_muscle
ENST00000003302,75,38,1077,0.00047,0.48707,0.45577,v26_muscle
ENST00000526088,25,11,539,0.00082,0.53039,0.55709,v26_muscle
ENST00000300650,51,20,703,0.00056,0.49591,0.43819,v26_muscle
ENST00000412006,41,15,456,0.0008,0.50112,0.5114,v26_muscle
ENST00000340908,195,100,2634,0.00019,0.50812,0.50894,v26_muscle
ENST00000642583,95,19,2146,9e-05,0.55867,0.66981,v26_muscle
ENST00000399591,95,19,2146,9e-05,0.55867,0.66981,v26_muscle
ENST00000399466,56,13,808,0.00029,0.60447,0.79141,v26_muscle
ENST00000261201,60,32,1549,0.00034,0.48431,0.48535,v26_muscle
ENST00000350437,76,11,856,0.00017,0.52615,0.48959,v26_muscle
ENST00000432584,32,17,506,0.00105,0.49821,0.55987,v26_muscle
ENST00000547026,31,15,424,0.00114,0.48463,0.3522,v26_muscle
ENST00000394023,71,21,1152,0.00026,0.57965,0.57771,v26_muscle
ENST00000550952,46,25,925,0.00059,0.53774,0.54893,v26_muscle
ENST00000347140,113,39,976,0.00035,0.54918,0.49616,v26_muscle
ENST00000537215,56,13,737,0.00031,0.4928,0.60056,v26_muscle
ENST00000266674,31,15,907,0.00053,0.41011,0.44616,v26_muscle
ENST00000550746,42,23,691,0.00079,0.548,0.54357,v26_muscle
ENST00000551310,50,28,1176,0.00048,0.51862,0.41682,v26_muscle
ENST00000436874,53,30,779,0.00073,0.48589,0.46354,v26_muscle
ENST00000434735,52,17,1068,0.00031,0.41998,0.42234,v26_muscle
ENST00000308664,34,11,997,0.00032,0.4715,0.45901,v26_muscle
ENST00000457474,45,22,681,0.00072,0.56058,0.4763,v26_muscle
ENST00000397655,30,11,573,0.00064,0.54218,0.54117,v26_muscle
ENST00000618760,81,14,1468,0.00012,0.54884,0.36245,v26_muscle
ENST00000300648,140,30,2671,8e-05,0.45634,0.4307,v26_muscle
ENST00000620786,99,43,1438,0.0003,0.52397,0.61576,v26_muscle
ENST00000308736,58,13,1157,0.00019,0.48696,0.42504,v26_muscle
ENST00000541932,30,13,733,0.00059,0.50086,0.586,v26_muscle
ENST00000458659,127,70,1073,0.00051,0.57591,0.55995,v26_muscle
ENST00000261667,36,23,521,0.00123,0.54569,0.62205,v26_muscle
ENST00000376065,46,28,1249,0.00049,0.55582,0.52602,v26_muscle
ENST00000627024,65,24,1253,0.00029,0.46498,0.43615,v26_muscle
ENST00000375440,43,17,759,0.00052,0.50538,0.64861,v26_muscle
ENST00000448790,55,24,621,0.0007,0.57365,0.57488,v26_muscle
ENST00000646647,176,62,2581,0.00014,0.42557,0.419,v26_muscle
ENST00000405093,131,18,1939,7e-05,0.57744,0.57618,v26_muscle
ENST00000355349,129,17,1935,7e-05,0.56748,0.51537,v26_muscle
ENST00000324103,82,15,1072,0.00017,0.50735,0.56405,v26_muscle
ENST00000647495,82,15,1072,0.00017,0.50735,0.56405,v26_muscle
ENST00000644840,43,14,636,0.00051,0.55598,0.48585,v26_muscle
ENST00000267425,43,14,636,0.00051,0.55598,0.48585,v26_muscle
ENST00000465357,30,13,483,0.0009,0.44431,0.58497,v26_muscle
ENST00000399332,126,64,2610,0.00019,0.49319,0.47964,v26_muscle
ENST00000280979,121,46,2319,0.00016,0.42981,0.51266,v26_muscle
ENST00000355683,31,15,713,0.00068,0.36067,0.44675,v26_muscle
ENST00000396165,38,25,775,0.00085,0.43976,0.39794,v26_muscle
ENST00000396165,38,25,775,0.00085,0.43976,0.39794,v26_muscle
ENST00000556148,38,26,729,0.00094,0.40596,0.34826,v26_muscle
ENST00000013125,40,24,846,0.00071,0.51962,0.543,v26_muscle
ENST00000395168,52,26,1203,0.00042,0.5261,0.54671,v26_muscle
ENST00000395311,127,74,1306,0.00045,0.53074,0.55518,v26_muscle
ENST00000395314,133,78,1357,0.00043,0.52834,0.55191,v26_muscle
ENST00000216513,50,16,781,0.00041,0.52256,0.63732,v26_muscle
ENST00000389722,181,24,2328,6e-05,0.49924,0.41676,v26_muscle
ENST00000458046,41,15,556,0.00066,0.55514,0.54988,v26_muscle
ENST00000553530,35,13,472,0.00079,0.5359,0.51499,v26_muscle
ENST00000361786,24,11,399,0.00115,0.57508,0.58715,v26_muscle
ENST00000621494,30,11,477,0.00077,0.42131,0.58014,v26_muscle
ENST00000503767,40,17,346,0.00123,0.58829,0.51037,v26_muscle
ENST00000360184,283,93,4646,7e-05,0.48933,0.42138,v26_muscle
ENST00000619401,44,28,1023,0.00062,0.52088,0.55551,v26_muscle
ENST00000567348,20,11,501,0.0011,0.52994,0.51697,v26_muscle
ENST00000558589,45,16,1141,0.00031,0.58644,0.55171,v26_muscle
