Gene,OptionalDataColumns
ENST00000304457,33
ENST00000235372,36
ENST00000318249,16
ENST00000373797,23
ENST00000372718,17
ENST00000372708,17
ENST00000539317,14
ENST00000372584,25
ENST00000372653,14
ENST00000355498,11
ENST00000371877,40
ENST00000371568,17
ENST00000371568,17
ENST00000610401,11
ENST00000414851,22
ENST00000371509,14
ENST00000371014,11
ENST00000371016,11
ENST00000370608,13
ENST00000342203,30
ENST00000317336,20
ENST00000370459,23
ENST00000347652,11
ENST00000359785,14
ENST00000369478,13
ENST00000682167,27
ENST00000682167,27
ENST00000369259,13
ENST00000369049,15
ENST00000368863,22
ENST00000292180,11
ENST00000529168,12
ENST00000368236,12
ENST00000708590,12
ENST00000368184,11
ENST00000361516,12
ENST00000368130,11
ENST00000368140,11
ENST00000368138,11
ENST00000263285,11
ENST00000368059,11
ENST00000368059,11
ENST00000368057,11
ENST00000368013,21
ENST00000263686,15
ENST00000367763,22
ENST00000344730,20
ENST00000511413,20
ENST00000367362,18
ENST00000348564,33
ENST00000442510,34
ENST00000360529,15
ENST00000461742,15
ENST00000454264,14
ENST00000367058,15
ENST00000367057,15
ENST00000400960,61
ENST00000367049,105
ENST00000367025,23
ENST00000336184,11
ENST00000261464,15
ENST00000469075,17
ENST00000518483,17
ENST00000427495,12
ENST00000380989,23
ENST00000397167,13
ENST00000378076,20
ENST00000538630,16
ENST00000537177,27
ENST00000374875,12
ENST00000374446,19
ENST00000325239,54
ENST00000373965,41
ENST00000617271,35
ENST00000395430,52
ENST00000361148,11
ENST00000605216,27
ENST00000348459,24
ENST00000414986,12
ENST00000371027,14
ENST00000371205,12
ENST00000344386,15
ENST00000612478,11
ENST00000393081,14
ENST00000392790,14
ENST00000254667,16
ENST00000306042,16
ENST00000343338,12
ENST00000399602,12
ENST00000526601,13
ENST00000254579,97
ENST00000429814,18
ENST00000005226,12
ENST00000672527,18
ENST00000265963,18
ENST00000348124,15
ENST00000358681,13
ENST00000311764,12
ENST00000406482,19
ENST00000356786,31
ENST00000394432,13
ENST00000377497,13
ENST00000354755,22
ENST00000675489,13
ENST00000263464,21
ENST00000530497,14
ENST00000260257,20
ENST00000426998,19
ENST00000431736,31
ENST00000525863,11
ENST00000392693,29
ENST00000438015,12
ENST00000440314,19
ENST00000683482,19
ENST00000710479,19
ENST00000399638,19
ENST00000644048,19
ENST00000011653,13
ENST00000548696,26
ENST00000425752,19
ENST00000394943,20
ENST00000548115,17
ENST00000331886,12
ENST00000551156,12
ENST00000551156,12
ENST00000546141,18
ENST00000229195,15
ENST00000261207,33
ENST00000549325,36
