Gene,OptionalDataColumns
ENST00000333172,39
ENST00000377728,44
ENST00000400915,46
ENST00000376030,54
ENST00000373220,72
ENST00000372572,63
ENST00000371153,60
ENST00000370565,48
ENST00000263174,32
ENST00000370096,90
ENST00000207157,34
ENST00000682167,64
ENST00000369041,66
ENST00000368912,40
ENST00000368849,33
ENST00000368863,88
ENST00000643759,194
ENST00000367922,40
ENST00000294816,34
ENST00000545172,75
ENST00000538366,34
ENST00000367696,72
ENST00000239462,71
ENST00000294848,60
ENST00000344730,48
ENST00000362061,73
ENST00000439764,37
ENST00000391911,108
ENST00000356082,108
ENST00000336119,52
ENST00000397146,49
ENST00000397145,37
ENST00000357447,58
ENST00000378748,40
ENST00000396432,109
ENST00000436087,47
ENST00000560721,74
ENST00000537177,48
ENST00000417912,35
ENST00000435790,34
ENST00000613657,73
ENST00000299366,32
ENST00000398788,42
ENST00000371027,33
ENST00000371241,42
ENST00000648076,65
ENST00000348367,46
ENST00000348367,46
ENST00000277945,36
ENST00000284694,43
ENST00000368679,47
ENST00000368676,35
ENST00000450649,47
ENST00000520467,51
ENST00000529419,38
ENST00000256737,44
ENST00000622144,36
ENST00000652299,36
ENST00000318201,59
ENST00000354024,36
ENST00000513398,65
ENST00000393958,54
ENST00000393960,54
ENST00000393801,47
ENST00000278550,116
ENST00000282499,37
ENST00000304987,94
ENST00000426998,34
ENST00000311129,37
ENST00000527614,33
ENST00000431736,77
ENST00000356063,82
ENST00000525863,47
ENST00000422000,41
ENST00000342628,42
ENST00000011684,63
ENST00000396988,63
ENST00000356654,80
ENST00000609686,56
ENST00000337299,68
ENST00000423947,44
ENST00000425752,43
ENST00000301190,35
ENST00000394815,34
ENST00000332411,36
ENST00000394048,70
ENST00000546141,53
ENST00000547405,39
ENST00000553190,35
ENST00000541119,39
ENST00000550270,36
ENST00000545503,39
ENST00000361685,35
ENST00000550527,62
ENST00000551662,47
ENST00000310903,47
ENST00000553118,41
ENST00000351677,36
ENST00000445409,32
ENST00000310346,32
ENST00000435159,56
ENST00000536435,66
ENST00000400366,63
ENST00000377865,54
ENST00000356711,102
ENST00000405925,37
ENST00000375604,66
ENST00000451119,36
ENST00000355349,129
ENST00000396165,38
ENST00000013125,40
ENST00000216392,35
ENST00000395606,34
ENST00000395168,52
ENST00000555755,49
ENST00000682763,84
ENST00000429774,35
ENST00000644486,42
ENST00000650110,34
ENST00000619401,44
ENST00000342159,50
ENST00000648595,47
ENST00000441366,46
ENST00000349114,42
ENST00000220420,44
ENST00000357568,40
ENST00000397163,40
ENST00000450115,126
ENST00000399231,128
ENST00000380565,43
ENST00000380568,48
ENST00000530406,38
ENST00000558939,41
ENST00000557856,39
ENST00000341735,40
ENST00000562208,63
ENST00000574025,47
ENST00000631534,47
ENST00000617235,52
ENST00000537233,52
ENST00000205557,90
ENST00000620078,92
ENST00000395503,32
ENST00000690258,39
ENST00000710316,146
ENST00000447066,94
ENST00000268613,32
ENST00000538234,54
ENST00000648651,59
ENST00000414043,65
ENST00000252172,139
ENST00000403437,141
ENST00000255381,137
ENST00000226207,136
ENST00000397183,139
ENST00000245503,139
ENST00000314728,44
ENST00000604641,52
ENST00000614428,128
ENST00000613687,128
ENST00000254051,47
ENST00000301653,32
ENST00000452774,40
ENST00000253799,42
ENST00000591713,37
ENST00000468300,43
ENST00000319977,51
ENST00000290216,38
