NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_003327,ENST00000379236,14,6,277,0.00155,0.6065,0.6438
NM_001130045,ENST00000379289,33,8,673,0.00036,0.48404,0.50594
NM_148902,ENST00000379265,13,3,234,0.00099,0.54076,0.18091
NM_194315,ENST00000400930,15,7,275,0.0017,0.57939,0.60312
NM_001170686,ENST00000520777,51,11,951,0.00023,0.50605,0.65233
NM_020248,ENST00000377263,7,3,81,0.00529,0.52381,0.38683
NM_052960,ENST00000294435,6,3,134,0.00373,0.70025,0.95273
NM_001040194,ENST00000376629,5,3,152,0.00395,0.77237,0.85965
NM_001040196,ENST00000452018,7,1,155,0.00092,0.61106,0.67097
NM_001103170,ENST00000359318,16,11,407,0.00169,0.52165,0.56913
NM_001012277,ENST00000355096,27,8,474,0.00063,0.4632,0.38634
NM_001012277,ENST00000697200,27,8,474,0.00063,0.4632,0.38634
NM_032341,ENST00000480945,33,11,399,0.00084,0.49373,0.58008
NM_001017999,ENST00000400797,26,8,327,0.00094,0.43707,0.61812
NM_012387,ENST00000375448,30,12,663,0.0006,0.50593,0.38952
NM_012387,ENST00000628229,30,12,663,0.0006,0.50593,0.38952
NM_001113347,ENST00000357071,33,14,758,0.00056,0.42044,0.52818
NM_001039802,ENST00000656825,7,5,191,0.00374,0.45625,0.57487
NM_004442,ENST00000374632,46,20,987,0.00044,0.56997,0.56895
NM_016124,ENST00000328664,11,5,417,0.00109,0.4371,0.37362
NM_005281,ENST00000374024,8,2,330,0.00076,0.76856,0.80303
NM_173452,ENST00000354982,11,2,288,0.00063,0.50947,0.71007
NM_003665,ENST00000270879,12,2,299,0.00056,0.5014,0.72074
NM_001042747,ENST00000399173,24,9,529,0.00071,0.61256,0.65764
NM_005248,ENST00000374005,24,9,529,0.00071,0.61256,0.65764
NM_001105556,ENST00000373921,37,12,643,0.0005,0.49477,0.62273
NM_001164721,ENST00000539896,14,4,342,0.00084,0.55806,0.55848
NM_001193532,ENST00000465518,15,5,218,0.00153,0.63639,0.47431
NM_001166006,ENST00000373797,42,28,720,0.00093,0.4502,0.38229
NM_001204414,ENST00000457433,18,7,436,0.00089,0.41106,0.52916
NM_022164,ENST00000271064,23,9,467,0.00084,0.3981,0.49679
NM_177422,ENST00000246314,51,33,626,0.00103,0.49568,0.49564
NM_000760,ENST00000373106,52,18,836,0.00041,0.47898,0.4782
NM_001123395,ENST00000372539,10,3,211,0.00142,0.41137,0.21485
NM_148960,ENST00000296387,10,3,224,0.00134,0.3875,0.20238
NM_174963,ENST00000262915,13,6,444,0.00104,0.57502,0.4542
NM_003629,ENST00000262741,31,19,461,0.00133,0.55475,0.54664
NM_147193,ENST00000312233,31,13,620,0.00068,0.50255,0.51228
NM_201546,ENST00000371330,14,7,449,0.00111,0.59418,0.59497
NM_001199080,ENST00000312553,25,8,613,0.00052,0.48653,0.58728
NM_001199328,ENST00000534056,14,9,340,0.00189,0.32206,0.38431
