Gene,OptionalDataColumns
ENST00000338591,15
ENST00000379407,18
ENST00000339381,20
ENST00000379268,9
ENST00000347370,10
ENST00000378209,15
ENST00000627654,5
ENST00000537325,5
ENST00000611123,10
ENST00000352527,9
ENST00000428161,11
ENST00000377507,13
ENST00000054668,4
ENST00000377627,8
ENST00000351748,12
ENST00000377782,17
ENST00000356876,17
ENST00000510563,5
ENST00000377414,7
ENST00000376819,17
ENST00000251546,8
ENST00000487038,3
ENST00000375535,14
ENST00000400548,7
ENST00000375153,8
ENST00000375105,7
ENST00000375111,4
ENST00000375111,4
ENST00000634683,21
ENST00000361729,21
ENST00000374472,7
ENST00000374392,2
ENST00000374421,16
ENST00000308873,9
ENST00000399916,9
ENST00000374338,13
ENST00000374395,10
ENST00000374393,9
ENST00000314675,15
ENST00000531382,15
ENST00000628256,15
ENST00000526219,13
ENST00000374005,16
ENST00000373888,10
ENST00000373894,15
ENST00000373949,22
ENST00000373925,22
ENST00000236412,2
ENST00000373826,9
ENST00000465518,14
ENST00000465645,3
ENST00000647380,3
ENST00000373832,10
ENST00000373582,9
ENST00000373534,9
ENST00000336890,16
ENST00000336890,16
ENST00000419121,11
ENST00000373087,18
ENST00000372827,17
ENST00000439569,20
ENST00000539749,7
ENST00000372359,3
ENST00000372362,4
ENST00000271139,9
ENST00000528077,7
ENST00000334793,3
ENST00000517870,5
ENST00000072644,8
ENST00000371274,13
ENST00000486942,17
ENST00000407246,18
ENST00000371116,18
ENST00000371092,6
ENST00000370976,13
ENST00000346806,16
ENST00000370871,11
ENST00000457880,6
ENST00000370608,23
ENST00000370662,12
ENST00000431532,17
ENST00000370685,16
ENST00000370332,12
ENST00000427103,12
ENST00000616709,12
ENST00000263893,8
ENST00000369868,4
ENST00000369769,15
ENST00000316361,15
ENST00000648608,5
ENST00000271324,5
ENST00000472422,13
ENST00000545121,16
ENST00000369744,16
ENST00000466741,14
ENST00000369717,7
ENST00000369510,22
ENST00000369478,19
ENST00000369489,8
ENST00000313835,19
ENST00000414276,2
ENST00000360244,4
ENST00000369109,5
ENST00000680288,9
ENST00000295294,7
ENST00000357235,2
ENST00000368910,4
ENST00000602841,12
ENST00000368738,5
ENST00000368432,19
ENST00000618489,18
ENST00000428024,17
ENST00000339922,3
ENST00000295694,7
ENST00000368284,21
ENST00000368279,8
ENST00000368276,10
ENST00000368184,21
ENST00000368174,18
ENST00000289429,14
ENST00000368170,17
ENST00000361835,22
ENST00000358292,16
ENST00000491942,12
ENST00000368176,12
ENST00000368130,17
ENST00000368199,19
ENST00000392306,19
ENST00000368106,23
ENST00000392254,17
ENST00000392252,17
ENST00000368140,18
ENST00000289707,11
ENST00000368093,8
ENST00000302101,2
ENST00000302035,11
ENST00000368043,8
ENST00000368046,9
ENST00000613788,12
ENST00000368039,5
ENST00000368055,12
ENST00000368059,15
ENST00000368057,15
ENST00000322302,18
ENST00000368033,23
ENST00000534968,9
ENST00000368054,12
ENST00000311224,12
ENST00000622395,14
ENST00000392179,19
ENST00000650385,9
ENST00000367948,12
ENST00000368007,14
ENST00000367961,10
ENST00000358671,10
ENST00000504010,23
ENST00000350710,4
ENST00000236938,19
ENST00000367953,19
ENST00000367868,13
ENST00000392122,11
ENST00000362089,12
ENST00000367819,5
ENST00000367818,5
ENST00000236147,12
ENST00000236147,12
ENST00000367755,15
ENST00000367721,11
ENST00000682279,15
ENST00000434571,10
ENST00000614012,14
ENST00000367554,15
ENST00000367460,13
ENST00000391985,9
ENST00000304244,4
ENST00000573477,8
ENST00000573679,12
ENST00000367262,6
ENST00000356764,20
ENST00000491855,20
ENST00000367217,21
ENST00000442561,20
ENST00000367167,9
ENST00000264515,17
ENST00000367183,9
ENST00000659997,10
ENST00000580449,19
ENST00000577571,14
ENST00000611909,4
ENST00000628511,9
ENST00000367091,13
ENST00000399639,9
ENST00000680073,7
ENST00000366998,16
ENST00000360212,6
ENST00000537898,10
ENST00000626327,10
ENST00000391894,13
ENST00000445590,10
ENST00000366890,10
ENST00000693095,2
ENST00000647549,2
ENST00000366559,16
ENST00000366632,9
ENST00000317586,8
ENST00000450372,11
ENST00000696618,15
ENST00000329291,18
ENST00000451251,17
ENST00000366471,17
ENST00000379959,17
ENST00000613909,23
ENST00000378217,8
ENST00000378197,11
ENST00000433779,8
ENST00000542547,16
ENST00000376166,23
ENST00000395797,18
ENST00000488328,8
ENST00000490511,10
ENST00000542434,23
ENST00000622021,23
ENST00000417247,22
ENST00000395255,21
ENST00000411732,12
ENST00000399162,6
ENST00000441259,20
ENST00000441259,20
ENST00000412663,4
ENST00000440381,20
ENST00000394936,18
ENST00000299381,4
ENST00000446342,17
ENST00000372325,7
ENST00000415557,10
ENST00000371176,21
ENST00000371021,12
ENST00000352634,8
ENST00000393760,11
ENST00000344386,22
ENST00000337540,12
ENST00000299353,13
ENST00000369788,5
ENST00000447005,5
ENST00000369093,2
ENST00000628426,20
ENST00000368901,1
ENST00000332826,21
ENST00000431843,14
ENST00000454668,20
ENST00000622905,20
ENST00000330243,17
ENST00000632827,17
ENST00000348655,17
ENST00000633943,17
ENST00000707559,3
ENST00000612541,3
ENST00000412090,3
ENST00000628787,3
ENST00000619083,3
ENST00000625554,3
ENST00000707558,3
ENST00000382171,3
ENST00000352909,19
ENST00000316375,12
ENST00000379965,21
ENST00000614314,17
ENST00000396847,17
ENST00000380027,20
ENST00000309737,13
ENST00000396986,7
ENST00000529942,5
ENST00000309357,6
ENST00000437750,13
ENST00000431742,2
ENST00000395833,6
ENST00000442151,2
ENST00000434472,7
ENST00000227163,12
ENST00000426335,19
ENST00000287275,14
ENST00000395074,13
ENST00000684409,6
ENST00000534668,8
ENST00000345732,8
ENST00000452451,18
ENST00000352009,19
ENST00000005286,22
ENST00000278893,13
ENST00000441250,15
ENST00000350490,22
ENST00000438980,8
ENST00000316409,6
ENST00000307886,16
ENST00000525457,13
ENST00000326294,5
ENST00000526387,10
ENST00000542590,23
ENST00000529635,12
ENST00000393893,9
ENST00000064780,13
ENST00000393580,13
ENST00000393597,4
ENST00000393592,10
ENST00000620017,6
ENST00000404792,11
ENST00000393399,19
ENST00000612612,0
ENST00000389958,10
ENST00000340353,10
ENST00000534731,20
ENST00000457199,10
ENST00000647220,10
ENST00000544612,12
ENST00000571244,12
ENST00000315274,23
ENST00000320578,10
ENST00000418434,8
ENST00000418434,8
ENST00000709446,14
ENST00000494737,3
ENST00000393067,10
ENST00000695719,12
ENST00000375478,20
ENST00000292067,13
ENST00000356289,13
ENST00000227752,20
ENST00000361763,8
ENST00000532917,17
ENST00000392884,9
ENST00000300692,10
ENST00000292174,6
ENST00000527410,12
ENST00000350777,21
ENST00000227348,15
ENST00000375095,4
ENST00000428830,16
ENST00000237837,8
ENST00000331010,14
ENST00000266557,10
ENST00000361716,10
ENST00000431922,8
ENST00000329858,8
ENST00000487279,12
ENST00000203629,22
ENST00000229264,9
ENST00000329913,16
ENST00000299665,8
ENST00000229335,6
ENST00000356986,10
ENST00000229402,10
ENST00000617889,12
ENST00000228434,6
ENST00000350667,12
ENST00000396439,10
ENST00000240618,12
ENST00000240618,12
ENST00000309384,7
ENST00000290855,10
ENST00000381908,10
ENST00000350274,10
ENST00000347831,7
ENST00000408006,7
ENST00000396484,10
ENST00000651487,10
ENST00000228936,17
ENST00000228945,4
ENST00000545102,16
ENST00000354454,16
ENST00000395901,23
ENST00000395568,22
ENST00000546455,16
ENST00000293549,7
ENST00000453172,4
ENST00000552212,11
ENST00000316299,12
ENST00000394904,18
ENST00000293745,21
ENST00000534842,16
ENST00000267085,22
ENST00000420353,23
ENST00000435572,13
ENST00000441881,6
ENST00000430041,21
ENST00000422156,11
ENST00000266643,14
ENST00000555116,2
ENST00000540209,12
ENST00000266673,4
ENST00000256010,4
ENST00000552192,15
ENST00000548729,20
ENST00000397833,10
ENST00000456569,6
ENST00000425043,10
ENST00000329406,7
ENST00000392830,22
ENST00000550948,22
ENST00000397655,23
ENST00000439744,11
ENST00000355445,15
ENST00000449768,12
ENST00000541210,8
ENST00000454402,18
ENST00000392542,15
ENST00000537312,2
ENST00000390680,16
ENST00000539248,10
ENST00000398795,13
ENST00000543956,13
ENST00000282026,4
ENST00000375887,14
ENST00000397470,9
ENST00000397473,9
ENST00000267339,15
ENST00000680254,12
ENST00000375353,9
ENST00000351487,16
ENST00000304677,9
ENST00000304625,14
ENST00000216714,12
ENST00000708794,12
ENST00000267396,11
ENST00000285850,11
ENST00000397505,4
ENST00000555345,9
ENST00000553711,9
ENST00000397154,19
ENST00000710588,6
ENST00000335125,6
ENST00000382708,9
ENST00000646132,9
ENST00000611366,16
ENST00000642486,16
ENST00000287913,17
ENST00000643387,17
ENST00000267406,4
ENST00000216338,10
ENST00000399395,15
ENST00000644874,17
ENST00000396618,17
ENST00000557346,5
ENST00000540712,3
ENST00000672419,5
ENST00000306051,9
ENST00000442975,10
ENST00000555846,18
ENST00000536224,6
ENST00000539616,20
ENST00000420622,23
ENST00000439696,10
ENST00000394330,4
ENST00000617124,7
ENST00000481935,4
ENST00000334521,21
ENST00000673765,21
ENST00000553716,6
ENST00000286639,11
ENST00000556460,1
ENST00000238671,1
ENST00000238628,11
ENST00000435893,6
ENST00000341211,12
ENST00000267549,4
ENST00000650645,11
ENST00000610758,21
ENST00000435962,21
ENST00000674397,16
ENST00000345514,20
ENST00000448921,14
ENST00000614317,14
ENST00000329797,7
ENST00000398337,12
ENST00000352127,17
ENST00000337435,5
ENST00000673341,5
ENST00000548421,7
ENST00000448395,11
ENST00000431415,16
ENST00000397573,19
ENST00000344320,10
ENST00000444189,11
ENST00000645673,10
ENST00000450592,20
ENST00000559596,22
ENST00000409960,8
ENST00000455976,5
ENST00000396402,14
ENST00000396307,9
ENST00000268043,23
ENST00000616065,15
ENST00000569896,7
ENST00000695545,23
ENST00000395476,20
ENST00000395205,19
ENST00000220003,14
ENST00000439220,14
ENST00000562765,1
ENST00000569035,21
ENST00000290759,19
ENST00000558012,21
ENST00000267953,11
ENST00000394652,21
ENST00000302824,6
ENST00000616533,13
ENST00000565774,8
ENST00000611163,17
ENST00000619696,17
ENST00000353598,12
ENST00000319070,18
ENST00000338401,2
ENST00000397515,6
ENST00000674376,10
ENST00000356120,13
ENST00000709271,13
ENST00000320700,11
ENST00000328540,10
ENST00000413459,18
ENST00000005995,12
ENST00000336577,21
ENST00000396958,5
ENST00000586536,4
ENST00000415496,19
ENST00000312499,3
ENST00000053243,4
ENST00000300093,15
ENST00000321728,23
ENST00000337929,15
ENST00000564089,15
ENST00000395754,15
ENST00000324662,16
ENST00000538922,16
ENST00000337120,17
ENST00000395461,7
ENST00000360872,5
ENST00000395456,5
ENST00000329410,2
ENST00000334536,9
ENST00000652691,6
ENST00000398841,3
ENST00000219150,10
ENST00000570045,10
ENST00000569466,11
ENST00000652617,17
ENST00000613509,18
ENST00000320159,18
ENST00000280606,18
ENST00000262520,7
ENST00000538906,13
ENST00000457010,21
ENST00000300590,6
ENST00000330943,11
ENST00000219833,18
ENST00000219235,3
ENST00000219244,3
ENST00000340339,19
ENST00000426538,15
ENST00000394279,14
ENST00000299759,7
ENST00000568146,11
ENST00000332695,2
ENST00000339176,6
ENST00000574481,9
ENST00000219251,20
ENST00000429149,13
ENST00000302628,9
ENST00000635371,9
ENST00000355906,14
ENST00000426362,8
ENST00000308807,23
ENST00000435200,5
ENST00000332281,4
ENST00000541206,8
ENST00000327483,15
ENST00000268679,17
ENST00000312060,18
ENST00000421184,11
ENST00000510811,1
ENST00000418391,15
ENST00000563795,20
ENST00000322941,14
ENST00000576742,21
ENST00000456349,9
ENST00000269260,12
ENST00000592813,22
ENST00000329125,16
ENST00000550383,16
ENST00000551178,13
ENST00000345901,13
ENST00000547178,15
ENST00000225328,15
ENST00000574081,6
ENST00000571664,17
ENST00000575112,6
ENST00000571558,6
ENST00000673003,6
ENST00000538261,6
ENST00000571739,1
ENST00000317814,6
ENST00000585124,12
ENST00000316425,3
ENST00000439238,12
ENST00000226193,10
ENST00000284110,10
ENST00000616147,18
ENST00000611902,18
ENST00000420162,9
ENST00000360954,6
ENST00000522212,5
ENST00000261652,12
ENST00000344415,2
ENST00000395704,6
ENST00000640637,6
ENST00000284154,6
ENST00000419071,8
ENST00000536323,8
ENST00000467111,5
ENST00000301032,6
ENST00000462804,8
ENST00000605140,2
