Gene,OptionalDataColumns
ENST00000378285,5
ENST00000377728,6
ENST00000400915,6
ENST00000373925,5
ENST00000373220,14
ENST00000372572,18
ENST00000371714,5
ENST00000371153,8
ENST00000370565,10
ENST00000263174,9
ENST00000370138,5
ENST00000370096,18
ENST00000682167,9
ENST00000368849,5
ENST00000295314,6
ENST00000368863,10
ENST00000245564,5
ENST00000368168,5
ENST00000643759,33
ENST00000368163,5
ENST00000368167,5
ENST00000367922,7
ENST00000294816,5
ENST00000545172,14
ENST00000538366,7
ENST00000367696,13
ENST00000239462,9
ENST00000294848,15
ENST00000344730,10
ENST00000362061,7
ENST00000367483,8
ENST00000439764,5
ENST00000391911,5
ENST00000356082,5
ENST00000366997,5
ENST00000446108,7
ENST00000357447,6
ENST00000378165,5
ENST00000378748,9
ENST00000396432,23
ENST00000436087,9
ENST00000560721,23
ENST00000537177,12
ENST00000417912,5
ENST00000435790,5
ENST00000613657,15
ENST00000299366,5
ENST00000642044,5
ENST00000371027,5
ENST00000371241,9
ENST00000648076,7
ENST00000348367,9
ENST00000348367,9
ENST00000619563,5
ENST00000361048,7
ENST00000369312,5
ENST00000369310,7
ENST00000277945,9
ENST00000284694,8
ENST00000429814,7
ENST00000526063,6
ENST00000336930,7
ENST00000256737,7
ENST00000344743,6
ENST00000278400,6
ENST00000354024,7
ENST00000393801,10
ENST00000278550,12
ENST00000282499,7
ENST00000304987,11
ENST00000426998,8
ENST00000311129,8
ENST00000341980,7
ENST00000527614,7
ENST00000431736,17
ENST00000356063,10
ENST00000422000,9
ENST00000342628,9
ENST00000011684,6
ENST00000396988,6
ENST00000356654,10
ENST00000539744,6
ENST00000396007,9
ENST00000266503,9
ENST00000308666,7
ENST00000332700,5
ENST00000337299,6
ENST00000423947,9
ENST00000425752,10
ENST00000547825,6
ENST00000394048,9
ENST00000615206,5
ENST00000546141,10
ENST00000258145,5
ENST00000250559,9
ENST00000483530,7
ENST00000362025,7
ENST00000547405,6
ENST00000553190,5
ENST00000541119,6
ENST00000550270,6
ENST00000545503,6
ENST00000361685,5
ENST00000550527,12
ENST00000551662,12
ENST00000310903,9
ENST00000553118,12
ENST00000351677,10
ENST00000536435,14
ENST00000403412,7
ENST00000400366,8
ENST00000377865,9
ENST00000376958,5
ENST00000356711,25
ENST00000376440,7
ENST00000405925,13
ENST00000622767,8
ENST00000361283,7
ENST00000355349,8
ENST00000396165,14
ENST00000013125,13
ENST00000356218,7
ENST00000395606,6
ENST00000395168,14
ENST00000555755,11
ENST00000429774,9
ENST00000644486,10
ENST00000445922,8
ENST00000445922,8
ENST00000650110,8
ENST00000619401,13
ENST00000567348,5
ENST00000450115,24
ENST00000359031,6
ENST00000399231,22
ENST00000380568,6
ENST00000341735,5
ENST00000562208,7
ENST00000205557,5
ENST00000620078,6
ENST00000393335,7
ENST00000709372,7
ENST00000710316,15
ENST00000447066,13
ENST00000268613,6
ENST00000538234,7
ENST00000414043,9
ENST00000252172,14
ENST00000403437,22
ENST00000255381,29
ENST00000226207,29
ENST00000397183,22
ENST00000245503,22
ENST00000314728,5
ENST00000421975,7
ENST00000604641,7
ENST00000614428,20
ENST00000613687,20
ENST00000209718,5
ENST00000574480,5
ENST00000452774,5
ENST00000253799,5
ENST00000591713,6
ENST00000468300,11
ENST00000319977,6
ENST00000290216,5
ENST00000514181,5
ENST00000507609,5
ENST00000269081,15
ENST00000200181,6
ENST00000374782,6
ENST00000306749,8
ENST00000353319,6
ENST00000317571,6
ENST00000399499,8
ENST00000257189,8
ENST00000434452,7
ENST00000300227,13
ENST00000596745,8
ENST00000598774,9
ENST00000348997,10
ENST00000262717,6
ENST00000435432,9
ENST00000561831,6
ENST00000262963,6
ENST00000315599,5
ENST00000264828,9
ENST00000264827,6
ENST00000600359,9
ENST00000244289,16
ENST00000403444,7
ENST00000454662,11
ENST00000301096,8
ENST00000616438,5
ENST00000622453,5
ENST00000326321,5
ENST00000621155,5
ENST00000617666,5
ENST00000618616,5
ENST00000615147,5
ENST00000639529,5
ENST00000610296,5
ENST00000613610,5
ENST00000615208,5
ENST00000617354,5
ENST00000617398,5
ENST00000611608,5
ENST00000622024,5
ENST00000619683,5
ENST00000611628,5
ENST00000620550,5
ENST00000614753,5
ENST00000620485,5
ENST00000615308,5
ENST00000639934,5
ENST00000620817,5
ENST00000613891,5
ENST00000621701,5
ENST00000613612,5
ENST00000638665,5
ENST00000618237,5
ENST00000622249,5
ENST00000617957,5
ENST00000610587,5
ENST00000613851,6
ENST00000618694,6
ENST00000611642,6
ENST00000622773,6
ENST00000616903,6
ENST00000427260,6
ENST00000618789,6
ENST00000610346,7
ENST00000618943,6
ENST00000622444,6
ENST00000435660,6
ENST00000406384,6
ENST00000272321,11
ENST00000431489,13
ENST00000272367,7
ENST00000413157,5
ENST00000295802,5
ENST00000709863,5
ENST00000393359,9
ENST00000409078,13
ENST00000264162,12
ENST00000409198,55
ENST00000427231,91
ENST00000536575,6
