ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378378,51,5,709,0.00014,0.50842,0.46009,v34_kidney
ENST00000404249,34,5,780,0.00019,0.44653,0.27974,v34_kidney
ENST00000645284,44,5,854,0.00013,0.57994,0.78361,v34_kidney
ENST00000337907,94,10,1566,7e-05,0.55304,0.51769,v34_kidney
ENST00000375679,24,1,687,6e-05,0.50328,0.74527,v34_kidney
ENST00000331433,28,2,687,0.0001,0.56353,0.84134,v34_kidney
ENST00000375692,27,2,686,0.00011,0.55183,0.84184,v34_kidney
ENST00000375471,27,4,663,0.00022,0.54539,0.55166,v34_kidney
ENST00000631074,27,4,663,0.00022,0.54539,0.55166,v34_kidney
ENST00000400664,42,4,777,0.00012,0.42735,0.27703,v34_kidney
ENST00000289815,61,3,1215,4e-05,0.5325,0.32702,v34_kidney
ENST00000495204,35,3,727,0.00012,0.48512,0.56809,v34_kidney
ENST00000542643,30,3,681,0.00015,0.47954,0.53793,v34_kidney
ENST00000374168,30,5,735,0.00023,0.61116,0.60082,v34_kidney
ENST00000629832,30,5,735,0.00023,0.61116,0.60082,v34_kidney
ENST00000438567,24,2,681,0.00012,0.50906,0.88399,v34_kidney
ENST00000413473,27,2,581,0.00013,0.457,0.22978,v34_kidney
ENST00000371568,57,9,861,0.00018,0.54551,0.44819,v34_kidney
ENST00000343744,34,1,594,5e-05,0.49634,0.17845,v34_kidney
ENST00000302250,28,2,585,0.00012,0.51313,0.68206,v34_kidney
ENST00000371158,106,23,1801,0.00012,0.50918,0.53688,v34_kidney
ENST00000371059,36,6,958,0.00017,0.51775,0.51566,v34_kidney
ENST00000370793,55,13,942,0.00025,0.4653,0.39621,v34_kidney
ENST00000342203,50,16,614,0.00052,0.49762,0.41205,v34_kidney
ENST00000370214,38,7,659,0.00028,0.52508,0.47627,v34_kidney
ENST00000271227,27,2,653,0.00011,0.5171,0.83997,v34_kidney
ENST00000370119,26,5,677,0.00028,0.53647,0.71462,v34_kidney
ENST00000331565,19,0,727,0.0,0.34489,,v34_kidney
ENST00000359785,36,6,807,0.00021,0.47752,0.48906,v34_kidney
ENST00000369486,73,5,1194,6e-05,0.43529,0.50569,v34_kidney
ENST00000369483,76,5,1214,5e-05,0.43439,0.50725,v34_kidney
ENST00000295598,44,4,1023,9e-05,0.52997,0.51833,v34_kidney
ENST00000369496,43,3,992,7e-05,0.52759,0.67574,v34_kidney
ENST00000313431,122,28,1132,0.0002,0.54435,0.60399,v34_kidney
ENST00000369140,48,7,640,0.00023,0.45514,0.59286,v34_kidney
ENST00000529168,62,6,1200,8e-05,0.37633,0.2475,v34_kidney
ENST00000313667,70,6,985,9e-05,0.55063,0.51303,v34_kidney
ENST00000368285,37,1,761,4e-05,0.4987,0.16032,v34_kidney
ENST00000368285,37,1,761,4e-05,0.4987,0.16032,v34_kidney
ENST00000368339,55,10,888,0.0002,0.4605,0.45991,v34_kidney
ENST00000361831,49,10,739,0.00028,0.40797,0.35102,v34_kidney
ENST00000368195,59,8,1297,0.0001,0.51045,0.54376,v34_kidney
ENST00000271417,25,1,639,6e-05,0.45052,0.16588,v34_kidney
ENST00000649689,39,5,645,0.0002,0.38942,0.34232,v34_kidney
ENST00000367662,83,10,1791,7e-05,0.50142,0.53261,v34_kidney
ENST00000367614,60,15,981,0.00025,0.52955,0.36337,v34_kidney
ENST00000621791,106,8,2251,3e-05,0.52685,0.70441,v34_kidney
ENST00000507173,53,10,1058,0.00018,0.53806,0.69414,v34_kidney
ENST00000367500,51,6,900,0.00013,0.54227,0.48833,v34_kidney
ENST00000367342,37,5,677,0.0002,0.44756,0.45465,v34_kidney
ENST00000367177,34,4,713,0.00017,0.4691,0.34993,v34_kidney
ENST00000539706,65,1,1189,1e-05,0.51756,0.75021,v34_kidney
ENST00000367134,43,5,887,0.00013,0.57002,0.54769,v34_kidney
ENST00000359470,43,5,601,0.00019,0.48052,0.56273,v34_kidney
ENST00000367030,108,5,1172,4e-05,0.5257,0.43498,v34_kidney
ENST00000366992,75,19,942,0.00027,0.60174,0.52084,v34_kidney
ENST00000366872,36,4,703,0.00016,0.40035,0.28307,v34_kidney
ENST00000340871,39,8,667,0.00031,0.54219,0.58621,v34_kidney
ENST00000391875,41,9,750,0.00029,0.56423,0.54578,v34_kidney
ENST00000469075,46,10,765,0.00028,0.51637,0.51294,v34_kidney
ENST00000366624,56,10,1036,0.00017,0.49916,0.63137,v34_kidney
ENST00000377833,162,21,3623,4e-05,0.4638,0.54715,v34_kidney
ENST00000643096,33,4,584,0.00021,0.52361,0.42937,v34_kidney
ENST00000350537,94,10,1310,8e-05,0.59432,0.49855,v34_kidney
ENST00000350537,49,6,1310,9e-05,0.34089,0.27417,v34_kidney
ENST00000374391,37,1,674,4e-05,0.50533,0.2092,v34_kidney
ENST00000610656,37,1,674,4e-05,0.50533,0.2092,v34_kidney
ENST00000432695,35,1,801,4e-05,0.51036,0.38702,v34_kidney
ENST00000374103,45,2,1010,4e-05,0.49943,0.26336,v34_kidney
ENST00000435790,34,5,704,0.00021,0.42392,0.39432,v34_kidney
ENST00000373995,32,5,594,0.00026,0.58512,0.68013,v34_kidney
ENST00000373997,33,5,586,0.00026,0.56298,0.67577,v34_kidney
ENST00000373886,53,14,974,0.00027,0.46639,0.45138,v34_kidney
ENST00000358410,55,13,1060,0.00022,0.47084,0.36604,v34_kidney
ENST00000354624,41,3,917,8e-05,0.57898,0.72047,v34_kidney
ENST00000605216,82,14,1837,9e-05,0.48187,0.53181,v34_kidney
ENST00000358334,89,19,2048,0.0001,0.51402,0.52331,v34_kidney
ENST00000647814,76,13,1545,0.00011,0.46582,0.39716,v34_kidney
ENST00000370397,43,13,745,0.00041,0.53791,0.6666,v34_kidney
ENST00000433628,31,3,853,0.00011,0.60742,0.87652,v34_kidney
ENST00000263054,59,7,1168,0.0001,0.51918,0.65362,v34_kidney
ENST00000369271,39,7,814,0.00022,0.42122,0.37522,v34_kidney
ENST00000682550,25,3,704,0.00017,0.56636,0.66714,v34_kidney
ENST00000369056,29,3,769,0.00013,0.5437,0.58214,v34_kidney
ENST00000392790,29,5,607,0.00028,0.617,0.44679,v34_kidney
ENST00000349570,30,4,651,0.0002,0.41813,0.63479,v34_kidney
ENST00000619215,30,4,651,0.0002,0.41813,0.63479,v34_kidney
ENST00000617105,43,8,845,0.00022,0.45301,0.59157,v34_kidney
ENST00000358353,43,8,839,0.00022,0.45342,0.59222,v34_kidney
ENST00000397542,43,8,845,0.00022,0.45301,0.59157,v34_kidney
ENST00000617105,43,8,845,0.00022,0.45301,0.59157,v34_kidney
ENST00000696290,53,2,1165,3e-05,0.50317,0.97038,v34_kidney
ENST00000155840,28,0,676,0.0,0.6456,,v34_kidney
ENST00000389989,48,5,811,0.00013,0.63813,0.66387,v34_kidney
ENST00000342245,23,2,631,0.00014,0.56391,0.33518,v34_kidney
ENST00000530181,43,9,733,0.00029,0.46848,0.60618,v34_kidney
ENST00000389707,25,4,625,0.00026,0.4729,0.6136,v34_kidney
ENST00000355661,93,9,1121,9e-05,0.53221,0.50045,v34_kidney
ENST00000396356,77,23,808,0.00037,0.4522,0.39303,v34_kidney
ENST00000005226,50,5,899,0.00011,0.47177,0.70323,v34_kidney
ENST00000532434,36,4,763,0.00015,0.45034,0.22968,v34_kidney
ENST00000357134,36,4,810,0.00014,0.43872,0.21636,v34_kidney
ENST00000396005,23,4,618,0.00028,0.49156,0.5716,v34_kidney
ENST00000379214,36,9,951,0.00026,0.4946,0.53896,v34_kidney
ENST00000531159,57,7,953,0.00013,0.47571,0.60216,v34_kidney
ENST00000299440,38,3,1043,8e-05,0.4452,0.52956,v34_kidney
ENST00000421244,61,3,929,5e-05,0.57284,0.53211,v34_kidney
ENST00000418331,51,11,1337,0.00016,0.51629,0.45754,v34_kidney
ENST00000529618,38,11,704,0.00041,0.54602,0.51369,v34_kidney
ENST00000415361,43,7,867,0.00019,0.5553,0.50173,v34_kidney
ENST00000377313,35,2,615,9e-05,0.58276,0.84553,v34_kidney
ENST00000279247,33,0,714,0.0,0.38664,,v34_kidney
ENST00000377387,41,6,673,0.00022,0.55746,0.54259,v34_kidney
ENST00000533211,198,10,2390,2e-05,0.53329,0.73444,v34_kidney
ENST00000393955,54,3,1178,5e-05,0.46465,0.45246,v34_kidney
ENST00000359152,116,30,2239,0.00012,0.4569,0.51227,v34_kidney
