ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,1,221,0.0009,0.49955,0.42534,v32_lung
ENST00000428771,7,2,247,0.00116,0.46154,0.35425,v32_lung
ENST00000379289,33,8,673,0.00036,0.48404,0.50594,v32_lung
ENST00000379268,15,3,241,0.00083,0.56957,0.17566,v32_lung
ENST00000611612,41,7,566,0.0003,0.47445,0.45331,v32_lung
ENST00000401095,72,17,1079,0.00022,0.50441,0.4466,v32_lung
ENST00000378567,25,13,592,0.00088,0.51426,0.52586,v32_lung
ENST00000303635,105,49,1673,0.00028,0.59187,0.64847,v32_lung
ENST00000354437,30,11,499,0.00073,0.53995,0.51922,v32_lung
ENST00000378295,41,13,636,0.0005,0.54268,0.47666,v32_lung
ENST00000378288,39,13,587,0.00057,0.53318,0.43297,v32_lung
ENST00000378290,38,13,565,0.00061,0.52892,0.41089,v32_lung
ENST00000344008,43,13,1166,0.00026,0.50985,0.47592,v32_lung
ENST00000376753,19,6,293,0.00108,0.68996,0.82196,v32_lung
ENST00000304457,68,36,860,0.00062,0.52396,0.51095,v32_lung
ENST00000358897,125,62,1412,0.00035,0.51705,0.52137,v32_lung
ENST00000361144,33,9,415,0.00066,0.46499,0.6324,v32_lung
ENST00000400797,26,8,327,0.00094,0.43707,0.61812,v32_lung
ENST00000375448,30,12,663,0.0006,0.50593,0.38952,v32_lung
ENST00000628229,30,12,663,0.0006,0.50593,0.38952,v32_lung
ENST00000375105,11,1,145,0.00063,0.58809,0.86897,v32_lung
ENST00000615215,12,3,215,0.00116,0.47248,0.44961,v32_lung
ENST00000342104,50,27,621,0.00087,0.45192,0.5187,v32_lung
ENST00000302291,53,26,1076,0.00046,0.48234,0.44552,v32_lung
ENST00000617979,17,4,348,0.00068,0.59179,0.53161,v32_lung
ENST00000374421,22,7,491,0.00065,0.44918,0.42537,v32_lung
ENST00000308873,17,7,415,0.00099,0.545,0.58554,v32_lung
ENST00000328664,11,5,417,0.00109,0.4371,0.37362,v32_lung
ENST00000374395,16,5,241,0.0013,0.48885,0.48216,v32_lung
ENST00000308182,92,26,1661,0.00017,0.48484,0.56222,v32_lung
ENST00000361530,53,20,713,0.00053,0.4952,0.50673,v32_lung
ENST00000339276,11,1,248,0.00037,0.49707,0.60887,v32_lung
ENST00000374168,30,10,735,0.00045,0.61116,0.53619,v32_lung
ENST00000629832,30,10,735,0.00045,0.61116,0.53619,v32_lung
ENST00000531382,31,8,744,0.00035,0.5963,0.66499,v32_lung
ENST00000628256,31,8,744,0.00035,0.5963,0.66499,v32_lung
ENST00000374024,8,2,330,0.00076,0.76856,0.80303,v32_lung
ENST00000354982,11,2,288,0.00063,0.50947,0.71007,v32_lung
ENST00000270879,12,2,299,0.00056,0.5014,0.72074,v32_lung
ENST00000362020,2,0,134,0.0,0.3806,,v32_lung
ENST00000361157,2,0,130,0.0,0.37692,,v32_lung
ENST00000399173,24,9,529,0.00071,0.61256,0.65764,v32_lung
ENST00000374005,24,9,529,0.00071,0.61256,0.65764,v32_lung
ENST00000373888,13,6,373,0.00124,0.57393,0.64299,v32_lung
