Gene,OptionalDataColumns
ENST00000377004,16
ENST00000343090,41
ENST00000377093,34
ENST00000361445,66
ENST00000674817,25
ENST00000375799,16
ENST00000345034,26
ENST00000375254,132
ENST00000404138,35
ENST00000634561,26
ENST00000336689,26
ENST00000374434,29
ENST00000374343,26
ENST00000252992,28
ENST00000373779,26
ENST00000642937,21
ENST00000291416,16
ENST00000409190,23
ENST00000373014,15
ENST00000372856,19
ENST00000372858,19
ENST00000372572,37
ENST00000361776,37
ENST00000372343,26
ENST00000361297,37
ENST00000396153,27
ENST00000371586,21
ENST00000294353,31
ENST00000294383,109
ENST00000371244,16
ENST00000539524,31
ENST00000352171,31
ENST00000674203,29
ENST00000334785,31
ENST00000370665,17
ENST00000271234,32
ENST00000294724,49
ENST00000487146,23
ENST00000369538,16
ENST00000520113,17
ENST00000393274,33
ENST00000207157,15
ENST00000261443,27
ENST00000369530,29
ENST00000610726,29
ENST00000369356,111
ENST00000618462,108
ENST00000369354,110
ENST00000369349,65
ENST00000368969,35
ENST00000295314,15
ENST00000318247,15
ENST00000271915,17
ENST00000348159,16
ENST00000708596,16
ENST00000361831,25
ENST00000295566,26
ENST00000368081,21
ENST00000342310,16
ENST00000361200,18
ENST00000312263,28
ENST00000432587,36
ENST00000367840,36
ENST00000367607,16
ENST00000367500,28
ENST00000331314,30
ENST00000362061,27
ENST00000335211,39
ENST00000367443,16
ENST00000608999,22
ENST00000452621,15
ENST00000419091,25
ENST00000366993,52
ENST00000366923,44
ENST00000284548,71
ENST00000422127,88
ENST00000258243,43
ENST00000366647,20
ENST00000366661,23
ENST00000366578,21
ENST00000602682,21
ENST00000224949,27
ENST00000355029,19
ENST00000417956,22
ENST00000378757,22
ENST00000378747,22
ENST00000378748,22
ENST00000376454,46
ENST00000342386,26
ENST00000355867,51
ENST00000452305,26
ENST00000374794,47
ENST00000346874,52
ENST00000374788,54
ENST00000340077,34
ENST00000374144,42
ENST00000618804,19
ENST00000337910,18
ENST00000309334,29
ENST00000682758,26
ENST00000354393,34
ENST00000613327,45
ENST00000358913,45
ENST00000394890,19
ENST00000372919,23
ENST00000394810,19
ENST00000265997,24
ENST00000265986,30
ENST00000630152,16
ENST00000370992,16
ENST00000371247,27
ENST00000677240,32
ENST00000676993,32
ENST00000369519,28
ENST00000263054,25
ENST00000360478,47
ENST00000359988,47
ENST00000369144,56
ENST00000369043,24
ENST00000513429,24
ENST00000369005,65
ENST00000260733,22
ENST00000359653,22
ENST00000532097,15
ENST00000389989,18
ENST00000397111,18
ENST00000633248,18
ENST00000380525,19
ENST00000612826,19
ENST00000380525,19
ENST00000612826,19
ENST00000526601,20
ENST00000379719,58
ENST00000397004,23
ENST00000339865,49
ENST00000256194,22
ENST00000528252,41
ENST00000396356,39
ENST00000324559,22
ENST00000378623,21
ENST00000311764,16
ENST00000454345,22
ENST00000395336,32
ENST00000358597,20
ENST00000532048,20
ENST00000300146,39
ENST00000316059,20
ENST00000339997,18
ENST00000377387,20
ENST00000513398,21
ENST00000532504,29
ENST00000672685,29
ENST00000433060,30
ENST00000393094,35
ENST00000278590,32
ENST00000200135,24
ENST00000003302,47
ENST00000526088,15
ENST00000300650,27
ENST00000412006,25
ENST00000340908,106
ENST00000642583,35
ENST00000399591,35
ENST00000399466,18
ENST00000229268,16
ENST00000261201,35
ENST00000350437,21
ENST00000432584,24
ENST00000547026,15
ENST00000421952,16
ENST00000394023,36
ENST00000550952,28
ENST00000347140,50
ENST00000537215,16
ENST00000266674,18
ENST00000550746,29
ENST00000551310,33
ENST00000436874,36
ENST00000434735,31
ENST00000308664,21
ENST00000457474,28
ENST00000397655,15
ENST00000314045,16
ENST00000392561,15
ENST00000618760,32
ENST00000300648,58
ENST00000319080,15
ENST00000629738,15
ENST00000620786,53
