ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378285,28,5,450,0.0004,0.52992,0.48978,v39_breast
ENST00000377728,44,6,1006,0.00014,0.59583,0.51425,v39_breast
ENST00000400915,46,6,1043,0.00013,0.58429,0.53148,v39_breast
ENST00000373925,25,5,260,0.00077,0.62292,0.78923,v39_breast
ENST00000373220,72,14,1275,0.00015,0.56747,0.4316,v39_breast
ENST00000372572,63,18,622,0.00046,0.58041,0.56333,v39_breast
ENST00000371714,31,5,723,0.00022,0.40396,0.44288,v39_breast
ENST00000371153,60,8,995,0.00013,0.47864,0.35126,v39_breast
ENST00000370565,48,10,943,0.00022,0.48131,0.40361,v39_breast
ENST00000263174,32,9,551,0.00051,0.41408,0.2561,v39_breast
ENST00000370138,20,5,339,0.00074,0.52065,0.65015,v39_breast
ENST00000370096,90,18,1806,0.00011,0.50707,0.47438,v39_breast
ENST00000682167,64,9,1021,0.00014,0.41747,0.51855,v39_breast
ENST00000368849,33,5,390,0.00039,0.53675,0.48359,v39_breast
ENST00000295314,26,6,345,0.00067,0.53623,0.41014,v39_breast
ENST00000368863,88,10,1315,9e-05,0.47967,0.4581,v39_breast
ENST00000245564,31,5,570,0.00028,0.5103,0.63228,v39_breast
ENST00000368168,25,5,333,0.0006,0.46366,0.4012,v39_breast
ENST00000643759,194,33,2419,7e-05,0.50385,0.51825,v39_breast
ENST00000368163,25,5,321,0.00062,0.45944,0.51527,v39_breast
ENST00000368167,30,5,388,0.00043,0.45412,0.48918,v39_breast
ENST00000367922,40,7,855,0.0002,0.59123,0.65297,v39_breast
ENST00000294816,34,5,382,0.00038,0.58439,0.6267,v39_breast
ENST00000545172,75,14,1457,0.00013,0.51791,0.54064,v39_breast
ENST00000538366,34,7,714,0.00029,0.54585,0.45478,v39_breast
ENST00000367696,72,13,1133,0.00016,0.33457,0.39976,v39_breast
ENST00000239462,71,9,1299,0.0001,0.49095,0.26114,v39_breast
ENST00000294848,60,15,981,0.00025,0.52955,0.36337,v39_breast
ENST00000344730,48,10,1064,0.0002,0.59461,0.69586,v39_breast
ENST00000362061,73,7,1873,5e-05,0.56142,0.51041,v39_breast
ENST00000367483,29,8,1363,0.0002,0.59119,0.59776,v39_breast
ENST00000439764,37,5,828,0.00016,0.39039,0.19541,v39_breast
ENST00000391911,108,5,1172,4e-05,0.5257,0.43498,v39_breast
ENST00000356082,108,5,1172,4e-05,0.5257,0.43498,v39_breast
ENST00000366997,18,5,370,0.00075,0.51592,0.6,v39_breast
ENST00000446108,22,7,401,0.00079,0.34607,0.43819,v39_breast
ENST00000357447,58,6,1039,0.0001,0.5304,0.31697,v39_breast
ENST00000378165,25,5,498,0.0004,0.36072,0.46145,v39_breast
ENST00000378748,40,9,577,0.00039,0.54636,0.57712,v39_breast
ENST00000396432,109,23,1958,0.00011,0.42572,0.42157,v39_breast
ENST00000436087,47,9,828,0.00023,0.48507,0.50282,v39_breast
ENST00000560721,74,23,1104,0.00028,0.50345,0.49287,v39_breast
ENST00000537177,48,12,758,0.00033,0.53177,0.4812,v39_breast
ENST00000417912,35,5,714,0.0002,0.41288,0.39384,v39_breast
ENST00000435790,34,5,704,0.00021,0.42392,0.39432,v39_breast
ENST00000613657,73,15,1790,0.00011,0.45815,0.4476,v39_breast
ENST00000299366,32,5,1061,0.00015,0.41435,0.53252,v39_breast
ENST00000642044,29,5,482,0.00036,0.52897,0.5751,v39_breast
ENST00000371027,33,5,485,0.00031,0.49853,0.64289,v39_breast
ENST00000371241,42,9,684,0.00031,0.57334,0.68876,v39_breast
ENST00000648076,65,7,1497,7e-05,0.51823,0.46817,v39_breast
ENST00000348367,46,9,828,0.00024,0.55156,0.64157,v39_breast
ENST00000348367,46,9,828,0.00024,0.55156,0.64157,v39_breast
ENST00000619563,26,5,366,0.00053,0.49275,0.37541,v39_breast
ENST00000361048,27,7,363,0.00071,0.48434,0.45691,v39_breast
ENST00000369312,26,5,366,0.00053,0.49275,0.37541,v39_breast
