Gene,OptionalDataColumns
ENST00000379116,16
ENST00000378755,17
ENST00000378486,17
ENST00000620687,17
ENST00000374632,20
ENST00000635198,25
ENST00000437606,25
ENST00000308182,26
ENST00000642937,21
ENST00000373484,19
ENST00000372653,18
ENST00000372299,15
ENST00000359947,46
ENST00000414150,17
ENST00000371146,29
ENST00000326637,25
ENST00000370571,62
ENST00000370563,27
ENST00000370563,27
ENST00000337338,24
ENST00000457765,16
ENST00000512756,46
ENST00000359785,23
ENST00000431239,24
ENST00000369140,19
ENST00000369041,17
ENST00000368969,35
ENST00000290583,16
ENST00000290585,16
ENST00000541576,27
ENST00000392302,16
ENST00000538366,22
ENST00000367468,22
ENST00000367362,27
ENST00000332129,37
ENST00000367136,15
ENST00000271764,23
ENST00000579436,16
ENST00000356082,27
ENST00000675850,43
ENST00000366872,20
ENST00000366767,61
ENST00000642610,20
ENST00000255380,17
ENST00000324631,16
ENST00000538351,24
ENST00000351773,22
ENST00000350537,51
ENST00000346874,52
ENST00000337910,18
ENST00000388768,32
ENST00000680035,15
ENST00000372724,55
ENST00000628523,55
ENST00000286627,20
ENST00000298068,26
ENST00000358334,46
ENST00000356016,26
ENST00000371027,17
ENST00000356713,16
ENST00000371207,16
ENST00000277982,25
ENST00000370228,20
ENST00000648076,24
ENST00000263054,25
ENST00000277945,17
ENST00000629706,17
ENST00000543663,18
ENST00000627256,29
ENST00000421673,32
ENST00000627926,30
ENST00000696290,15
ENST00000389989,18
ENST00000005082,20
ENST00000526601,20
ENST00000429541,19
ENST00000254605,15
ENST00000530181,20
ENST00000450649,22
ENST00000520467,23
ENST00000349880,38
ENST00000396085,38
ENST00000428726,15
ENST00000256999,16
ENST00000256999,16
ENST00000407859,29
ENST00000311027,33
ENST00000674617,18
ENST00000394818,16
ENST00000532787,19
ENST00000532463,20
ENST00000528621,22
ENST00000529873,21
ENST00000526357,22
ENST00000325234,22
ENST00000377387,20
ENST00000322147,21
ENST00000311034,16
ENST00000308127,16
ENST00000634661,73
ENST00000528231,30
ENST00000526033,21
ENST00000409404,104
ENST00000534731,16
ENST00000650373,201
ENST00000316851,16
ENST00000619839,17
ENST00000534358,106
ENST00000260264,17
ENST00000543440,17
ENST00000358825,39
ENST00000412006,25
ENST00000345598,16
ENST00000528499,20
ENST00000340908,106
ENST00000342628,20
ENST00000252322,16
ENST00000399655,35
ENST00000644235,35
ENST00000399638,35
ENST00000644048,35
ENST00000075503,15
ENST00000538714,55
ENST00000451604,34
ENST00000546179,20
ENST00000402685,25
ENST00000539469,20
ENST00000348761,16
ENST00000345127,24
ENST00000344862,20
ENST00000380518,24
ENST00000420353,17
ENST00000293379,24
ENST00000394147,16
ENST00000537215,16
ENST00000300134,21
ENST00000379141,27
ENST00000320743,27
ENST00000229195,16
ENST00000378778,16
ENST00000342084,19
ENST00000552192,15
ENST00000546369,37
ENST00000548729,15
ENST00000258494,22
ENST00000434735,31
ENST00000392533,42
ENST00000328963,17
ENST00000539354,29
ENST00000381527,19
ENST00000542859,73
ENST00000379705,27
ENST00000261491,28
ENST00000613252,18
ENST00000647374,21
ENST00000629385,24
ENST00000375604,25
ENST00000375741,23
ENST00000622767,15
ENST00000298119,22
ENST00000280083,31
ENST00000356218,21
ENST00000423743,56
ENST00000619722,56
ENST00000557164,15
ENST00000312994,18
ENST00000553530,21
ENST00000557658,19
ENST00000614987,21
ENST00000262233,22
ENST00000539721,16
ENST00000333244,86
ENST00000355341,18
ENST00000603300,29
ENST00000389037,26
ENST00000380565,17
ENST00000359440,30
ENST00000394275,21
ENST00000336292,30
ENST00000565831,25
ENST00000268655,18
ENST00000396560,18
ENST00000307493,18
ENST00000256797,17
ENST00000566605,18
ENST00000353782,27
ENST00000564887,24
ENST00000354436,143
ENST00000393420,21
ENST00000710316,49
ENST00000428848,16
ENST00000572940,19
ENST00000440741,49
ENST00000333942,22
ENST00000610930,19
ENST00000613929,19
ENST00000612895,56
ENST00000611803,56
ENST00000620260,16
ENST00000517484,18
ENST00000504681,18
ENST00000509773,16
ENST00000514717,19
ENST00000503485,21
ENST00000325752,18
ENST00000340993,17
ENST00000449996,17
ENST00000200181,24
ENST00000335146,19
ENST00000269394,15
ENST00000400155,19
ENST00000590202,32
ENST00000399499,17
ENST00000257189,30
ENST00000360428,19
ENST00000434452,17
ENST00000300227,41
ENST00000589544,17
ENST00000436190,17
ENST00000350494,36
ENST00000598334,29
ENST00000360242,25
ENST00000394601,15
ENST00000450331,19
ENST00000204801,16
ENST00000302851,17
ENST00000683217,16
ENST00000344979,18
ENST00000589677,38
ENST00000242786,17
ENST00000447275,19
ENST00000434377,23
ENST00000523638,15
ENST00000592282,15
ENST00000308370,19
ENST00000403444,16
ENST00000358394,17
ENST00000642316,45
ENST00000403906,19
ENST00000319783,24
ENST00000429604,32
ENST00000601469,39
ENST00000421033,26
ENST00000301096,20
ENST00000617686,17
ENST00000396332,17
ENST00000619093,17
ENST00000611410,24
ENST00000543010,24
ENST00000611679,24
ENST00000613062,24
ENST00000616040,24
ENST00000619454,24
ENST00000621200,24
ENST00000620082,25
ENST00000615521,24
ENST00000622042,24
ENST00000537055,19
ENST00000318203,19
ENST00000415379,15
ENST00000401053,21
ENST00000315872,69
ENST00000304031,15
ENST00000407661,21
ENST00000405222,19
ENST00000295055,24
ENST00000449105,16
ENST00000406316,29
ENST00000402114,49
ENST00000406226,26
ENST00000430487,23
ENST00000409933,29
ENST00000429174,37
ENST00000409366,38
ENST00000409064,45
ENST00000617923,15
ENST00000709668,18
ENST00000317620,18
ENST00000403131,18
ENST00000709669,18
ENST00000523221,24
ENST00000676053,20
ENST00000264169,21
ENST00000407073,66
ENST00000638005,19
ENST00000201943,17
ENST00000263635,45
ENST00000259075,21
ENST00000409044,45
ENST00000295500,28
ENST00000310015,66
ENST00000397062,24
ENST00000520309,55
ENST00000349953,21
ENST00000402774,20
ENST00000357118,15
ENST00000360409,15
ENST00000450993,22
ENST00000392105,32
ENST00000392070,16
ENST00000258381,18
ENST00000409897,15
ENST00000324695,19
ENST00000392000,26
ENST00000358649,18
ENST00000392004,27
ENST00000217289,19
ENST00000689910,32
ENST00000397800,16
ENST00000374114,18
ENST00000279024,19
ENST00000619850,15
ENST00000603338,35
ENST00000395343,49
ENST00000395340,20
ENST00000269844,28
ENST00000437626,16
ENST00000389861,15
ENST00000400274,26
ENST00000400451,16
ENST00000314328,38
ENST00000347557,18
ENST00000358743,19
ENST00000333137,20
ENST00000619644,18
ENST00000645711,40
ENST00000335539,20
ENST00000395741,16
ENST00000455057,15
ENST00000295981,17
ENST00000302328,46
ENST00000447116,24
ENST00000418905,15
ENST00000440367,21
ENST00000296474,23
ENST00000295951,49
ENST00000263665,24
ENST00000314557,19
ENST00000498215,40
ENST00000461057,21
ENST00000498619,18
ENST00000295605,19
ENST00000471785,31
ENST00000296266,29
ENST00000423778,17
ENST00000508532,30
ENST00000332047,31
ENST00000544716,22
ENST00000316549,22
ENST00000460851,15
ENST00000485419,16
ENST00000628990,30
ENST00000341852,35
ENST00000357327,37
ENST00000357474,21
ENST00000354600,21
ENST00000626242,29
ENST00000346145,29
ENST00000452595,26
ENST00000512465,20
ENST00000389609,20
ENST00000511884,20
ENST00000695919,20
ENST00000286719,21
ENST00000395310,55
ENST00000457823,41
ENST00000317968,15
ENST00000273962,15
ENST00000394706,18
ENST00000329798,63
ENST00000358102,28
ENST00000510741,18
ENST00000357545,19
ENST00000296525,15
ENST00000280190,35
ENST00000319471,19
ENST00000393528,18
ENST00000506376,39
ENST00000296604,23
ENST00000306862,26
ENST00000230658,15
ENST00000514067,30
ENST00000381055,34
ENST00000503258,27
ENST00000507116,30
ENST00000502484,32
ENST00000454295,15
ENST00000614617,15
ENST00000511297,57
ENST00000380774,26
ENST00000621806,26
ENST00000346042,17
ENST00000407847,16
ENST00000262461,24
ENST00000379244,18
ENST00000265342,18
ENST00000319854,17
ENST00000378679,17
ENST00000618441,25
ENST00000708384,15
ENST00000239449,15
ENST00000333677,19
ENST00000360453,15
ENST00000274599,33
ENST00000261800,91
ENST00000576222,20
ENST00000617050,15
ENST00000393915,51
ENST00000521089,29
ENST00000322434,28
ENST00000320129,24
ENST00000437570,19
ENST00000639436,19
ENST00000289788,20
ENST00000252211,23
ENST00000623276,27
ENST00000344279,26
ENST00000455349,18
ENST00000376734,17
ENST00000433864,17
ENST00000453266,17
ENST00000445679,17
ENST00000449412,17
ENST00000357569,17
ENST00000420257,35
ENST00000412443,35
ENST00000452530,35
ENST00000383587,35
ENST00000376545,35
ENST00000421042,35
ENST00000448939,35
ENST00000549812,35
ENST00000498271,35
ENST00000546746,35
ENST00000274938,19
ENST00000647337,16
ENST00000339488,20
ENST00000636954,21
ENST00000306858,35
ENST00000370939,20
ENST00000370765,132
ENST00000370598,39
ENST00000620364,29
ENST00000357250,20
ENST00000437994,51
ENST00000369303,33
ENST00000355238,19
ENST00000275053,54
ENST00000358577,23
ENST00000358807,25
ENST00000452085,34
ENST00000368498,17
ENST00000368491,48
ENST00000368357,25
ENST00000357639,18
ENST00000608991,15
ENST00000530767,27
ENST00000230173,28
ENST00000275246,20
ENST00000392185,17
ENST00000396912,18
ENST00000399429,38
ENST00000403527,16
ENST00000258738,36
ENST00000405010,33
ENST00000321453,21
ENST00000396182,19
ENST00000408931,15
ENST00000242067,42
ENST00000395969,19
ENST00000357271,18
ENST00000435495,19
ENST00000643230,16
ENST00000643230,16
ENST00000338056,24
ENST00000493277,30
ENST00000306312,15
ENST00000360264,58
ENST00000340010,17
ENST00000379024,30
ENST00000350908,70
ENST00000350908,70
ENST00000350908,70
ENST00000403559,70
ENST00000611485,18
ENST00000359396,19
ENST00000710442,15
ENST00000643242,15
ENST00000392811,18
ENST00000398612,22
ENST00000521829,17
ENST00000265807,21
ENST00000337221,15
ENST00000240093,19
ENST00000379917,21
ENST00000520810,32
ENST00000260128,22
ENST00000644229,24
ENST00000388742,22
ENST00000262209,34
ENST00000336148,37
ENST00000336148,37
ENST00000423620,24
ENST00000433389,25
ENST00000311812,17
ENST00000617590,15
ENST00000523601,19
ENST00000427660,17
ENST00000531443,39
ENST00000520356,26
ENST00000417550,19
ENST00000382297,44
ENST00000397611,45
ENST00000486161,45
ENST00000355233,45
ENST00000455600,30
ENST00000643932,18
ENST00000360823,31
ENST00000373322,30
ENST00000372948,37
ENST00000361069,26
ENST00000393160,17
ENST00000380718,23
ENST00000380787,19
ENST00000379361,16
ENST00000682600,19
ENST00000343523,34
ENST00000682238,45
ENST00000541735,45
ENST00000378677,196
ENST00000345781,26
ENST00000396965,22
ENST00000276054,28
ENST00000377045,16
ENST00000519389,28
ENST00000262753,26
ENST00000373125,18
ENST00000297977,33
ENST00000373034,20
ENST00000504220,21
ENST00000372782,35
ENST00000324342,15
ENST00000332262,18
ENST00000535209,18
ENST00000543253,18
ENST00000415986,25
ENST00000334504,29
ENST00000372216,29
ENST00000328300,41
ENST00000371822,21
ENST00000254029,25
ENST00000540167,15
ENST00000394363,19
ENST00000370766,22
ENST00000394143,61
ENST00000519895,53
ENST00000370490,24
ENST00000370490,24
ENST00000370490,24
ENST00000361971,32
ENST00000538966,32
ENST00000710012,17
ENST00000539731,17
ENST00000710012,17
ENST00000539731,17
ENST00000393531,17
ENST00000625061,16
ENST00000362096,54
ENST00000355905,19
