ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000338591,24,15,642,0.00097,0.3332,0.23499,v22_prostate
ENST00000379407,31,18,576,0.00101,0.46948,0.4455,v22_prostate
ENST00000379410,33,18,611,0.00089,0.47424,0.44272,v22_prostate
ENST00000304952,5,2,221,0.00181,0.49955,0.3371,v22_prostate
ENST00000428771,7,4,247,0.00231,0.46154,0.32085,v22_prostate
ENST00000537107,20,10,399,0.00125,0.51579,0.43584,v22_prostate
ENST00000476993,19,11,445,0.0013,0.47037,0.56609,v22_prostate
ENST00000545578,30,21,571,0.00123,0.53596,0.54508,v22_prostate
ENST00000612705,10,6,166,0.00361,0.49096,0.42771,v22_prostate
ENST00000378453,10,6,166,0.00361,0.49096,0.42771,v22_prostate
ENST00000444870,3,2,78,0.00855,0.18376,0.25641,v22_prostate
ENST00000377658,25,18,597,0.00121,0.43745,0.36683,v22_prostate
ENST00000377627,10,8,175,0.00457,0.488,0.52071,v22_prostate
ENST00000604074,26,16,403,0.00153,0.60594,0.63136,v22_prostate
ENST00000356607,34,21,377,0.00164,0.41801,0.35165,v22_prostate
ENST00000602296,6,3,143,0.0035,0.65035,0.58508,v22_prostate
ENST00000376629,5,4,152,0.00526,0.77237,0.7204,v22_prostate
ENST00000334600,22,15,474,0.00144,0.40526,0.46034,v22_prostate
ENST00000376014,13,9,253,0.00274,0.53846,0.63724,v22_prostate
ENST00000376008,13,9,253,0.00274,0.53846,0.63724,v22_prostate
ENST00000487038,4,3,120,0.00625,0.6,0.49167,v22_prostate
ENST00000375471,27,20,663,0.00112,0.54539,0.53152,v22_prostate
ENST00000631074,27,20,663,0.00112,0.54539,0.53152,v22_prostate
ENST00000251296,15,11,467,0.00157,0.44511,0.42398,v22_prostate
ENST00000375534,17,14,182,0.00452,0.38849,0.36264,v22_prostate
ENST00000375535,17,14,183,0.0045,0.39184,0.36612,v22_prostate
ENST00000375111,4,4,144,0.00694,0.6059,0.6059,v22_prostate
ENST00000374765,31,22,663,0.00107,0.49706,0.48732,v22_prostate
ENST00000615215,12,8,215,0.0031,0.47248,0.575,v22_prostate
ENST00000374392,3,2,102,0.00654,0.92157,0.88726,v22_prostate
ENST00000361548,19,14,602,0.00122,0.57869,0.60536,v22_prostate
ENST00000356046,18,13,556,0.0013,0.57664,0.62037,v22_prostate
ENST00000236255,19,14,607,0.00121,0.58216,0.60861,v22_prostate
ENST00000436717,11,7,183,0.00348,0.48783,0.44028,v22_prostate
ENST00000616511,6,3,116,0.00431,0.51437,0.58046,v22_prostate
ENST00000374393,10,9,115,0.00783,0.63478,0.64638,v22_prostate
ENST00000374278,20,12,323,0.00186,0.49768,0.50826,v22_prostate
ENST00000374300,8,6,292,0.00257,0.497,0.57078,v22_prostate
ENST00000373857,14,9,342,0.00188,0.55806,0.5653,v22_prostate
ENST00000536384,20,16,459,0.00174,0.57941,0.59858,v22_prostate
ENST00000420504,10,5,307,0.00163,0.55993,0.58567,v22_prostate
ENST00000609129,21,17,495,0.00164,0.53285,0.52906,v22_prostate
ENST00000339480,5,4,266,0.00301,0.32181,0.17669,v22_prostate
ENST00000338513,7,4,273,0.00209,0.5573,0.56502,v22_prostate
ENST00000373366,12,9,270,0.00278,0.5179,0.4321,v22_prostate
ENST00000373362,12,9,270,0.00278,0.5179,0.4321,v22_prostate
ENST00000621781,4,3,84,0.00893,0.65774,0.62699,v22_prostate
ENST00000373012,21,14,451,0.00148,0.46078,0.43918,v22_prostate
ENST00000621281,3,3,110,0.00909,0.66667,0.66667,v22_prostate
ENST00000372816,19,14,364,0.00202,0.71009,0.67484,v22_prostate
ENST00000397332,20,15,394,0.0019,0.69797,0.65618,v22_prostate
ENST00000372815,4,4,236,0.00424,0.49046,0.49046,v22_prostate
ENST00000372587,11,7,178,0.00358,0.57712,0.74238,v22_prostate
ENST00000509682,27,20,641,0.00116,0.52233,0.51895,v22_prostate
ENST00000347132,28,21,695,0.00108,0.52045,0.51559,v22_prostate
ENST00000372508,14,10,284,0.00252,0.46202,0.40493,v22_prostate
ENST00000539749,13,7,218,0.00247,0.48377,0.35714,v22_prostate
ENST00000523677,3,1,113,0.00295,0.68142,0.84071,v22_prostate
ENST00000372359,7,3,220,0.00195,0.51493,0.24848,v22_prostate
ENST00000531451,3,3,139,0.00719,0.64269,0.64269,v22_prostate
ENST00000372362,4,4,155,0.00645,0.56452,0.56452,v22_prostate
ENST00000351035,12,11,429,0.00214,0.60334,0.59165,v22_prostate
ENST00000528077,7,7,106,0.00943,0.72642,0.72642,v22_prostate
ENST00000371946,26,21,453,0.00178,0.53124,0.51403,v22_prostate
ENST00000371655,11,9,219,0.00374,0.59485,0.5723,v22_prostate
ENST00000312233,31,23,620,0.0012,0.50255,0.51865,v22_prostate
ENST00000371116,24,18,478,0.00157,0.56224,0.57938,v22_prostate
ENST00000371092,10,6,216,0.00278,0.41065,0.45293,v22_prostate
ENST00000354777,19,18,543,0.00174,0.56053,0.56528,v22_prostate
ENST00000370976,15,13,450,0.00193,0.61467,0.60376,v22_prostate
ENST00000477717,28,23,336,0.00244,0.32749,0.31962,v22_prostate
ENST00000534056,14,12,340,0.00252,0.32206,0.31912,v22_prostate
ENST00000457880,9,6,226,0.00295,0.37119,0.37463,v22_prostate
ENST00000370867,14,10,259,0.00276,0.38803,0.39189,v22_prostate
ENST00000370756,13,12,297,0.00311,0.55115,0.53114,v22_prostate
ENST00000254821,12,11,320,0.00286,0.57786,0.61335,v22_prostate
ENST00000370689,14,13,351,0.00265,0.46703,0.44686,v22_prostate
ENST00000652648,10,8,390,0.00205,0.60051,0.56699,v22_prostate
ENST00000457765,29,23,657,0.00121,0.52947,0.4917,v22_prostate
ENST00000342173,14,13,284,0.00327,0.62022,0.66062,v22_prostate
ENST00000370068,20,15,539,0.00139,0.46865,0.42894,v22_prostate
ENST00000686434,18,12,501,0.00133,0.609,0.56238,v22_prostate
ENST00000357155,21,14,354,0.00188,0.43274,0.44552,v22_prostate
ENST00000349334,4,3,181,0.00414,0.45028,0.39963,v22_prostate
ENST00000369836,6,6,218,0.00459,0.45872,0.45872,v22_prostate
ENST00000359172,27,22,483,0.00169,0.42896,0.46273,v22_prostate
ENST00000369709,15,12,184,0.00435,0.46377,0.40625,v22_prostate
ENST00000687939,15,12,184,0.00435,0.46377,0.40625,v22_prostate
ENST00000369516,9,8,221,0.00402,0.70639,0.74717,v22_prostate
ENST00000369500,27,22,362,0.00225,0.47422,0.49548,v22_prostate
ENST00000369510,25,22,522,0.00169,0.59739,0.59674,v22_prostate
ENST00000256585,9,6,158,0.00422,0.66596,0.62975,v22_prostate
ENST00000313835,22,19,455,0.0019,0.5005,0.5262,v22_prostate
ENST00000369152,6,5,137,0.00608,0.63625,0.6,v22_prostate
ENST00000616917,8,8,220,0.00455,0.54034,0.54034,v22_prostate
ENST00000295294,12,7,275,0.00212,0.5897,0.58546,v22_prostate
ENST00000368908,13,11,227,0.00373,0.53202,0.56067,v22_prostate
ENST00000368762,17,12,89,0.00793,0.3655,0.27622,v22_prostate
ENST00000368718,1,1,92,0.01087,0.69565,0.69565,v22_prostate
ENST00000368708,7,7,98,0.0102,0.62099,0.62099,v22_prostate
ENST00000368600,21,16,375,0.00203,0.58883,0.57817,v22_prostate
ENST00000271889,24,19,395,0.002,0.54747,0.52259,v22_prostate
ENST00000368600,21,16,375,0.00203,0.58883,0.57817,v22_prostate
ENST00000575430,22,14,668,0.00095,0.41766,0.4383,v22_prostate
ENST00000361361,22,14,668,0.00095,0.41766,0.4383,v22_prostate
ENST00000618489,23,18,449,0.00174,0.4282,0.45273,v22_prostate
ENST00000428024,23,17,449,0.00165,0.4282,0.42067,v22_prostate
ENST00000368336,20,17,398,0.00214,0.42852,0.41502,v22_prostate
ENST00000368390,15,14,255,0.00366,0.42667,0.40476,v22_prostate
ENST00000368392,15,14,264,0.00354,0.44394,0.42262,v22_prostate
ENST00000337604,16,14,273,0.00321,0.44322,0.43459,v22_prostate
ENST00000359751,8,5,193,0.00324,0.63925,0.61243,v22_prostate
ENST00000295694,13,7,394,0.00137,0.43069,0.47969,v22_prostate
ENST00000368222,5,4,138,0.0058,0.52609,0.63768,v22_prostate
ENST00000621784,5,4,138,0.0058,0.52609,0.63768,v22_prostate
ENST00000392252,21,17,452,0.00179,0.62979,0.6576,v22_prostate
ENST00000368138,22,18,483,0.00169,0.60512,0.63319,v22_prostate
ENST00000368012,28,17,510,0.00119,0.50987,0.48754,v22_prostate
ENST00000367948,18,12,426,0.00156,0.47757,0.4419,v22_prostate
ENST00000368007,17,14,312,0.00264,0.55015,0.54144,v22_prostate
ENST00000236937,8,5,291,0.00215,0.29253,0.32165,v22_prostate
ENST00000367961,13,10,303,0.00254,0.40848,0.46535,v22_prostate
ENST00000512372,26,20,267,0.00288,0.552,0.51479,v22_prostate
ENST00000504010,28,23,280,0.00293,0.55676,0.55047,v22_prostate
ENST00000294796,13,11,225,0.00376,0.46564,0.49131,v22_prostate
ENST00000421743,12,10,302,0.00276,0.52704,0.52484,v22_prostate
ENST00000619224,16,13,340,0.00239,0.50662,0.52489,v22_prostate
ENST00000235382,14,11,211,0.00372,0.4956,0.49591,v22_prostate
ENST00000571439,6,6,59,0.01695,0.32486,0.32486,v22_prostate
ENST00000309309,6,6,59,0.01695,0.32486,0.32486,v22_prostate
ENST00000413687,30,20,578,0.00115,0.45548,0.4622,v22_prostate
ENST00000412633,17,12,285,0.00248,0.6194,0.62485,v22_prostate
ENST00000533432,8,5,193,0.00324,0.51166,0.42798,v22_prostate
ENST00000340006,8,5,193,0.00324,0.51166,0.42798,v22_prostate
ENST00000340006,8,5,193,0.00324,0.51166,0.42798,v22_prostate
ENST00000367284,20,15,371,0.00202,0.46402,0.46092,v22_prostate
ENST00000367145,18,11,553,0.00111,0.57535,0.68617,v22_prostate
ENST00000367183,10,9,164,0.00549,0.44146,0.43835,v22_prostate
ENST00000367136,31,23,502,0.00148,0.53862,0.55898,v22_prostate
ENST00000678498,22,14,363,0.00175,0.48735,0.53916,v22_prostate
ENST00000358184,25,18,396,0.00182,0.49,0.56734,v22_prostate
ENST00000399639,10,9,265,0.0034,0.54755,0.55598,v22_prostate
ENST00000367006,22,20,436,0.00209,0.55088,0.54209,v22_prostate
ENST00000366988,4,4,172,0.00581,0.49128,0.49128,v22_prostate
ENST00000366965,11,6,311,0.00175,0.67758,0.68971,v22_prostate
ENST00000526641,19,17,253,0.00354,0.56626,0.60846,v22_prostate
ENST00000341491,13,11,181,0.00467,0.59796,0.63636,v22_prostate
ENST00000391895,16,14,422,0.00207,0.38744,0.37729,v22_prostate
ENST00000424254,17,15,179,0.00493,0.43937,0.47672,v22_prostate
ENST00000366788,6,5,141,0.00591,0.79787,0.76737,v22_prostate
ENST00000438896,17,15,401,0.0022,0.5988,0.65819,v22_prostate
ENST00000366746,10,6,128,0.00469,0.57734,0.77213,v22_prostate
ENST00000450593,3,2,75,0.00889,0.31111,0.32667,v22_prostate
ENST00000366488,9,7,135,0.00576,0.33909,0.39788,v22_prostate
ENST00000455190,6,6,139,0.00719,0.5036,0.5036,v22_prostate
