ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000339381,46,20,852,0.00051,0.52302,0.42447,v37_adrenal_gland
ENST00000673477,43,24,648,0.00086,0.41333,0.47164,v37_adrenal_gland
ENST00000378755,47,30,634,0.00101,0.45795,0.44863,v37_adrenal_gland
ENST00000340850,44,30,1006,0.00068,0.59583,0.56776,v37_adrenal_gland
ENST00000377346,56,40,1044,0.00068,0.44574,0.43101,v37_adrenal_gland
ENST00000304457,68,61,860,0.00104,0.52396,0.51918,v37_adrenal_gland
ENST00000235372,84,58,1718,0.0004,0.52804,0.54972,v37_adrenal_gland
ENST00000318249,53,46,633,0.00137,0.45641,0.47885,v37_adrenal_gland
ENST00000357071,33,26,758,0.00104,0.42044,0.40983,v37_adrenal_gland
ENST00000374280,37,24,676,0.00096,0.45614,0.46271,v37_adrenal_gland
ENST00000373921,37,26,643,0.00109,0.49477,0.43504,v37_adrenal_gland
ENST00000460170,74,53,1440,0.0005,0.44192,0.43892,v37_adrenal_gland
ENST00000373797,42,38,720,0.00126,0.4502,0.4462,v37_adrenal_gland
ENST00000372718,37,31,429,0.00195,0.55837,0.55688,v37_adrenal_gland
ENST00000372708,35,29,399,0.00208,0.55639,0.56115,v37_adrenal_gland
ENST00000372584,119,74,2405,0.00026,0.46588,0.46881,v37_adrenal_gland
ENST00000372653,60,40,301,0.00221,0.63206,0.65216,v37_adrenal_gland
ENST00000355498,49,36,521,0.00141,0.49156,0.46732,v37_adrenal_gland
ENST00000371877,74,67,1288,0.0007,0.55467,0.56372,v37_adrenal_gland
ENST00000371568,57,38,861,0.00077,0.54551,0.54915,v37_adrenal_gland
ENST00000371568,57,38,861,0.00077,0.54551,0.54915,v37_adrenal_gland
ENST00000414851,43,36,555,0.00151,0.53082,0.52297,v37_adrenal_gland
ENST00000342203,50,45,614,0.00147,0.49762,0.48512,v37_adrenal_gland
ENST00000317336,38,34,636,0.00141,0.59177,0.57843,v37_adrenal_gland
ENST00000370459,53,47,586,0.00151,0.65754,0.6639,v37_adrenal_gland
ENST00000487146,46,35,969,0.00079,0.60237,0.63335,v37_adrenal_gland
ENST00000359785,36,31,807,0.00107,0.47752,0.45313,v37_adrenal_gland
ENST00000682167,64,57,1021,0.00087,0.41747,0.42286,v37_adrenal_gland
ENST00000682167,64,57,1021,0.00087,0.41747,0.42286,v37_adrenal_gland
ENST00000369259,42,34,693,0.00117,0.43953,0.46486,v37_adrenal_gland
ENST00000369049,44,31,567,0.00124,0.43218,0.42248,v37_adrenal_gland
ENST00000368863,88,73,1315,0.00063,0.47967,0.49268,v37_adrenal_gland
ENST00000292180,33,25,587,0.00129,0.47525,0.4956,v37_adrenal_gland
ENST00000648231,38,27,931,0.00076,0.4195,0.44615,v37_adrenal_gland
ENST00000529168,62,47,1200,0.00063,0.37633,0.36649,v37_adrenal_gland
ENST00000334634,49,31,759,0.00083,0.4251,0.4857,v37_adrenal_gland
ENST00000368236,48,35,582,0.00125,0.43331,0.44325,v37_adrenal_gland
ENST00000708590,48,35,582,0.00125,0.43331,0.44325,v37_adrenal_gland
ENST00000368184,33,21,734,0.00087,0.41949,0.36765,v37_adrenal_gland
ENST00000361835,32,22,977,0.0007,0.38738,0.30087,v37_adrenal_gland
ENST00000263285,33,26,655,0.0012,0.54129,0.56412,v37_adrenal_gland
ENST00000368013,55,34,1101,0.00056,0.54899,0.59745,v37_adrenal_gland
ENST00000263686,44,36,830,0.00099,0.46131,0.4338,v37_adrenal_gland
ENST00000367763,39,35,369,0.00243,0.41929,0.44011,v37_adrenal_gland
ENST00000344730,48,41,1064,0.0008,0.59461,0.59621,v37_adrenal_gland
ENST00000511413,53,42,1079,0.00073,0.54484,0.58745,v37_adrenal_gland
ENST00000367362,49,40,541,0.00151,0.52631,0.54968,v37_adrenal_gland
ENST00000348564,57,52,1145,0.0008,0.6127,0.63861,v37_adrenal_gland
ENST00000442510,61,56,1306,0.0007,0.62047,0.64019,v37_adrenal_gland
ENST00000360529,110,85,1610,0.00048,0.48353,0.4818,v37_adrenal_gland
ENST00000461742,110,85,1623,0.00048,0.48082,0.47916,v37_adrenal_gland
ENST00000367279,36,27,399,0.00188,0.51915,0.52919,v37_adrenal_gland
ENST00000309017,32,25,360,0.00217,0.53394,0.52122,v37_adrenal_gland
ENST00000309017,32,25,360,0.00217,0.53394,0.52122,v37_adrenal_gland
ENST00000309017,32,25,360,0.00217,0.53394,0.52122,v37_adrenal_gland
ENST00000691036,32,25,360,0.00217,0.53394,0.52122,v37_adrenal_gland
ENST00000403080,33,27,619,0.00132,0.47506,0.48699,v37_adrenal_gland
ENST00000584998,43,28,631,0.00103,0.57233,0.63199,v37_adrenal_gland
ENST00000581977,48,31,716,0.0009,0.56436,0.61908,v37_adrenal_gland
ENST00000367058,49,41,1033,0.00081,0.56793,0.57942,v37_adrenal_gland
ENST00000367057,50,42,1092,0.00077,0.56238,0.5752,v37_adrenal_gland
ENST00000400960,135,116,2039,0.00042,0.46197,0.44358,v37_adrenal_gland
ENST00000367049,230,206,2489,0.00036,0.44037,0.42755,v37_adrenal_gland
ENST00000367025,72,55,551,0.00139,0.53148,0.54206,v37_adrenal_gland
ENST00000261464,39,33,557,0.00152,0.46854,0.43518,v37_adrenal_gland
ENST00000469075,46,41,765,0.00117,0.51637,0.52846,v37_adrenal_gland
ENST00000518483,37,33,803,0.00111,0.49843,0.50175,v37_adrenal_gland
ENST00000366496,49,35,977,0.00073,0.52902,0.54046,v37_adrenal_gland
ENST00000348069,47,34,920,0.00079,0.53781,0.55368,v37_adrenal_gland
ENST00000380989,62,55,1038,0.00085,0.48982,0.50436,v37_adrenal_gland
ENST00000397167,41,29,894,0.00079,0.52213,0.56044,v37_adrenal_gland
ENST00000378076,56,41,1063,0.00069,0.50546,0.51571,v37_adrenal_gland
ENST00000537177,48,43,758,0.00118,0.53177,0.51798,v37_adrenal_gland
ENST00000374446,35,27,458,0.00168,0.47311,0.4007,v37_adrenal_gland
ENST00000374391,37,26,674,0.00104,0.50533,0.51712,v37_adrenal_gland
ENST00000610656,37,26,674,0.00104,0.50533,0.51712,v37_adrenal_gland
ENST00000374391,37,26,674,0.00104,0.50533,0.51712,v37_adrenal_gland
ENST00000610656,37,26,674,0.00104,0.50533,0.51712,v37_adrenal_gland
ENST00000325239,178,136,3184,0.00024,0.46175,0.45696,v37_adrenal_gland
ENST00000373965,70,63,1677,0.00054,0.46941,0.48538,v37_adrenal_gland
ENST00000617271,64,56,1539,0.00057,0.46515,0.4696,v37_adrenal_gland
ENST00000395430,83,73,1952,0.00045,0.48101,0.48618,v37_adrenal_gland
ENST00000263563,54,33,856,0.00071,0.49377,0.39677,v37_adrenal_gland
ENST00000373207,64,42,1223,0.00054,0.55379,0.53539,v37_adrenal_gland
ENST00000335350,44,27,945,0.00065,0.47066,0.46659,v37_adrenal_gland
ENST00000605216,82,63,1837,0.00042,0.48187,0.47667,v37_adrenal_gland
ENST00000348459,46,43,838,0.00112,0.48573,0.47835,v37_adrenal_gland
ENST00000414986,57,40,1236,0.00057,0.55239,0.53956,v37_adrenal_gland
ENST00000371027,33,28,485,0.00175,0.49853,0.5229,v37_adrenal_gland
ENST00000612478,33,29,792,0.00111,0.46805,0.45912,v37_adrenal_gland
ENST00000369966,57,34,900,0.00066,0.49242,0.46827,v37_adrenal_gland
ENST00000254667,53,43,700,0.00116,0.61461,0.62924,v37_adrenal_gland
ENST00000306042,52,43,642,0.00129,0.59136,0.59574,v37_adrenal_gland
ENST00000445355,44,29,824,0.0008,0.50414,0.4651,v37_adrenal_gland
ENST00000312165,58,36,892,0.0007,0.57656,0.57078,v37_adrenal_gland
ENST00000332826,32,21,782,0.00084,0.42196,0.38923,v37_adrenal_gland
ENST00000411829,53,31,893,0.00065,0.51169,0.51201,v37_adrenal_gland
ENST00000254579,381,290,4753,0.00016,0.49531,0.5019,v37_adrenal_gland
ENST00000529419,38,24,507,0.00125,0.53426,0.59229,v37_adrenal_gland
ENST00000005226,50,37,899,0.00082,0.47177,0.46135,v37_adrenal_gland
ENST00000672527,37,32,548,0.00158,0.558,0.58246,v37_adrenal_gland
ENST00000265963,37,32,548,0.00158,0.558,0.58246,v37_adrenal_gland
ENST00000348124,37,35,522,0.00181,0.56234,0.56951,v37_adrenal_gland
ENST00000311764,49,34,720,0.00096,0.44963,0.41078,v37_adrenal_gland
ENST00000527911,37,27,934,0.00078,0.37687,0.3469,v37_adrenal_gland
ENST00000406482,79,57,1479,0.00049,0.48095,0.49609,v37_adrenal_gland
ENST00000347785,41,28,495,0.00138,0.49037,0.45902,v37_adrenal_gland
ENST00000356786,149,88,1476,0.0004,0.54335,0.5578,v37_adrenal_gland
ENST00000394432,36,27,609,0.00123,0.49521,0.47941,v37_adrenal_gland
ENST00000377497,36,27,609,0.00123,0.49521,0.47941,v37_adrenal_gland
ENST00000394224,52,41,1042,0.00076,0.51873,0.52097,v37_adrenal_gland
ENST00000308639,37,28,548,0.00138,0.50616,0.5,v37_adrenal_gland
ENST00000531863,40,29,737,0.00098,0.48813,0.43485,v37_adrenal_gland
ENST00000308595,36,27,689,0.00109,0.597,0.57211,v37_adrenal_gland
ENST00000542590,41,23,446,0.00126,0.52937,0.50507,v37_adrenal_gland
ENST00000354755,54,49,562,0.00161,0.54326,0.56362,v37_adrenal_gland
ENST00000530497,37,27,902,0.00081,0.3886,0.33054,v37_adrenal_gland
ENST00000260257,39,34,624,0.0014,0.57865,0.58352,v37_adrenal_gland
ENST00000303941,42,33,765,0.00103,0.5314,0.52549,v37_adrenal_gland
ENST00000426998,34,31,603,0.00151,0.55385,0.53287,v37_adrenal_gland
ENST00000431736,77,70,1073,0.00085,0.47876,0.49242,v37_adrenal_gland
ENST00000525863,47,33,921,0.00076,0.53108,0.53828,v37_adrenal_gland
ENST00000392693,53,44,1287,0.00065,0.52962,0.51844,v37_adrenal_gland
ENST00000645018,50,34,1137,0.0006,0.55091,0.48642,v37_adrenal_gland
ENST00000382722,50,34,1137,0.0006,0.55091,0.48642,v37_adrenal_gland
ENST00000440314,61,47,731,0.00105,0.42013,0.42923,v37_adrenal_gland
ENST00000683482,95,73,2135,0.00036,0.55789,0.55024,v37_adrenal_gland
ENST00000710479,95,73,2135,0.00036,0.55789,0.55024,v37_adrenal_gland
ENST00000399638,95,73,2166,0.00035,0.5571,0.54942,v37_adrenal_gland
ENST00000644048,95,73,2166,0.00035,0.5571,0.54942,v37_adrenal_gland
ENST00000356896,35,29,563,0.00147,0.49688,0.49182,v37_adrenal_gland
ENST00000011653,35,29,458,0.00181,0.49426,0.4415,v37_adrenal_gland
ENST00000399448,43,29,597,0.00113,0.49367,0.44429,v37_adrenal_gland
ENST00000456013,38,27,624,0.00114,0.41793,0.3883,v37_adrenal_gland
ENST00000318974,43,29,595,0.00113,0.49197,0.44242,v37_adrenal_gland
ENST00000548696,52,45,831,0.00104,0.50685,0.5117,v37_adrenal_gland
ENST00000425752,43,34,929,0.00085,0.45135,0.43529,v37_adrenal_gland
