ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000333172,39,10,841,0.0003,0.44544,0.55922,v39_breast
ENST00000377728,44,14,1006,0.00032,0.59583,0.55915,v39_breast
ENST00000400915,46,15,1043,0.00031,0.58429,0.53742,v39_breast
ENST00000376030,54,17,775,0.00041,0.42167,0.54755,v39_breast
ENST00000373220,72,47,1275,0.00051,0.56747,0.56345,v39_breast
ENST00000372572,63,37,622,0.00094,0.58041,0.58582,v39_breast
ENST00000371153,60,24,995,0.0004,0.47864,0.46277,v39_breast
ENST00000370565,48,24,943,0.00053,0.48131,0.44035,v39_breast
ENST00000263174,32,23,551,0.0013,0.41408,0.38168,v39_breast
ENST00000370096,90,48,1806,0.0003,0.50707,0.52207,v39_breast
ENST00000207157,34,15,496,0.00089,0.54762,0.48105,v39_breast
ENST00000682167,64,32,1021,0.00049,0.41747,0.45666,v39_breast
ENST00000369041,66,17,877,0.00029,0.46643,0.38708,v39_breast
ENST00000368912,40,14,922,0.00038,0.42522,0.44515,v39_breast
ENST00000368849,33,13,390,0.00101,0.53675,0.50178,v39_breast
ENST00000368863,88,38,1315,0.00033,0.47967,0.50174,v39_breast
ENST00000643759,194,108,2419,0.00023,0.50385,0.49264,v39_breast
ENST00000367922,40,21,855,0.00061,0.59123,0.6142,v39_breast
ENST00000294816,34,16,382,0.00123,0.58439,0.59751,v39_breast
ENST00000545172,75,46,1457,0.00042,0.51791,0.5006,v39_breast
ENST00000538366,34,22,714,0.00091,0.54585,0.57385,v39_breast
ENST00000367696,72,37,1133,0.00045,0.33457,0.34105,v39_breast
ENST00000239462,71,21,1299,0.00023,0.49095,0.45288,v39_breast
ENST00000294848,60,35,981,0.00059,0.52955,0.51743,v39_breast
ENST00000344730,48,22,1064,0.00043,0.59461,0.61077,v39_breast
ENST00000362061,73,27,1873,0.0002,0.56142,0.55575,v39_breast
ENST00000439764,37,22,828,0.00072,0.39039,0.37478,v39_breast
ENST00000391911,108,27,1172,0.00021,0.5257,0.52907,v39_breast
ENST00000356082,108,27,1172,0.00021,0.5257,0.52907,v39_breast
ENST00000336119,52,24,1034,0.00045,0.52903,0.54856,v39_breast
ENST00000397146,49,15,942,0.00032,0.47758,0.5247,v39_breast
ENST00000397145,37,10,702,0.00039,0.46135,0.4641,v39_breast
ENST00000357447,58,24,1039,0.0004,0.5304,0.44498,v39_breast
ENST00000378748,40,22,577,0.00095,0.54636,0.51465,v39_breast
