ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378486,78,49,1416,0.00044,0.48739,0.47076,v1_cerebrum
ENST00000620687,78,49,1416,0.00044,0.48739,0.47076,v1_cerebrum
ENST00000262450,85,64,1954,0.00039,0.60167,0.63467,v1_cerebrum
ENST00000303635,105,78,1673,0.00044,0.59187,0.62283,v1_cerebrum
ENST00000604479,37,26,540,0.0013,0.56862,0.61254,v1_cerebrum
ENST00000378288,39,29,587,0.00127,0.53318,0.5546,v1_cerebrum
ENST00000263934,87,67,1770,0.00044,0.50166,0.49323,v1_cerebrum
ENST00000294484,70,44,1392,0.00045,0.45457,0.46534,v1_cerebrum
ENST00000346436,38,27,869,0.00082,0.54012,0.47368,v1_cerebrum
ENST00000235372,84,58,1718,0.0004,0.52804,0.54972,v1_cerebrum
ENST00000376030,54,42,775,0.001,0.42167,0.46402,v1_cerebrum
ENST00000341676,61,43,1158,0.00061,0.50296,0.5249,v1_cerebrum
ENST00000495204,35,25,727,0.00098,0.48512,0.47444,v1_cerebrum
ENST00000374280,37,24,676,0.00096,0.45614,0.46271,v1_cerebrum
ENST00000345512,74,53,1446,0.0005,0.44539,0.44384,v1_cerebrum
ENST00000460170,74,53,1440,0.0005,0.44192,0.43892,v1_cerebrum
ENST00000373347,54,41,979,0.00078,0.53486,0.52871,v1_cerebrum
ENST00000373388,153,120,3487,0.00022,0.48269,0.48554,v1_cerebrum
ENST00000373253,38,29,712,0.00107,0.55866,0.56601,v1_cerebrum
ENST00000373243,39,30,729,0.00106,0.55471,0.55738,v1_cerebrum
ENST00000356090,39,30,729,0.00106,0.55471,0.55738,v1_cerebrum
ENST00000373091,38,28,919,0.0008,0.47775,0.45065,v1_cerebrum
ENST00000373048,50,38,1008,0.00075,0.56264,0.53206,v1_cerebrum
ENST00000372748,41,23,689,0.00081,0.55007,0.58648,v1_cerebrum
ENST00000354383,49,36,522,0.00141,0.49234,0.46812,v1_cerebrum
ENST00000493793,37,30,582,0.00139,0.34471,0.32136,v1_cerebrum
ENST00000357206,62,49,1366,0.00058,0.51524,0.47843,v1_cerebrum
ENST00000371454,33,25,904,0.00084,0.49249,0.50084,v1_cerebrum
ENST00000371316,33,26,607,0.0013,0.47481,0.45413,v1_cerebrum
ENST00000414851,43,36,555,0.00151,0.53082,0.52297,v1_cerebrum
ENST00000395325,55,43,913,0.00086,0.55163,0.53173,v1_cerebrum
ENST00000329654,39,33,736,0.00115,0.50007,0.50222,v1_cerebrum
ENST00000341517,39,33,736,0.00115,0.50007,0.50222,v1_cerebrum
ENST00000423207,37,30,721,0.00112,0.51228,0.53315,v1_cerebrum
ENST00000326665,61,49,1530,0.00053,0.52388,0.51246,v1_cerebrum
ENST00000557284,47,41,936,0.00093,0.47891,0.46683,v1_cerebrum
ENST00000260505,58,49,887,0.00095,0.48029,0.44972,v1_cerebrum
ENST00000437941,49,44,587,0.00153,0.48444,0.4722,v1_cerebrum
ENST00000342203,50,45,614,0.00147,0.49762,0.48512,v1_cerebrum
ENST00000342203,50,45,614,0.00147,0.49762,0.48512,v1_cerebrum
ENST00000370563,36,34,919,0.00103,0.47564,0.48045,v1_cerebrum
