Gene,OptionalDataColumns
ENST00000518681,52
ENST00000645284,44
ENST00000270800,37
ENST00000347529,46
ENST00000431635,32
ENST00000310638,35
ENST00000371891,34
ENST00000371486,33
ENST00000343433,35
ENST00000453295,32
ENST00000349533,43
ENST00000371059,36
ENST00000616738,33
ENST00000294671,40
ENST00000370214,38
ENST00000465892,36
ENST00000370161,67
ENST00000356728,40
ENST00000368863,88
ENST00000648231,38
ENST00000295566,51
ENST00000361509,61
ENST00000368094,62
ENST00000511676,32
ENST00000367981,32
ENST00000367982,33
ENST00000367980,33
ENST00000361897,40
ENST00000367851,82
ENST00000367797,119
ENST00000308284,79
ENST00000367429,48
ENST00000236914,44
ENST00000435016,58
ENST00000307340,263
ENST00000348069,47
ENST00000397167,41
ENST00000358415,52
ENST00000263035,58
ENST00000326799,37
ENST00000560721,74
ENST00000340058,40
ENST00000682911,46
ENST00000373995,32
ENST00000373997,33
ENST00000373993,33
ENST00000395495,32
ENST00000373997,33
ENST00000299366,32
ENST00000398788,42
ENST00000412050,56
ENST00000414986,57
ENST00000265992,34
ENST00000647814,76
ENST00000210633,37
ENST00000348367,46
ENST00000622100,39
ENST00000397583,39
ENST00000617105,43
ENST00000358353,43
ENST00000397542,43
ENST00000617105,43
ENST00000379965,34
ENST00000438420,43
ENST00000672334,43
ENST00000241051,32
ENST00000311388,32
ENST00000311907,34
ENST00000672073,33
ENST00000526357,46
ENST00000361332,50
ENST00000528057,43
ENST00000393955,54
ENST00000428359,34
ENST00000311129,37
ENST00000527614,33
ENST00000614711,58
ENST00000630669,58
ENST00000227474,36
ENST00000345598,33
ENST00000642583,95
ENST00000399591,95
ENST00000011653,35
ENST00000433979,79
ENST00000449260,41
ENST00000425394,59
ENST00000548884,34
ENST00000392986,34
ENST00000648861,34
ENST00000188403,37
ENST00000551379,37
ENST00000388887,119
ENST00000359972,59
ENST00000261726,99
ENST00000455480,57
ENST00000257555,53
ENST00000281496,61
ENST00000674147,62
ENST00000400366,63
ENST00000602402,32
ENST00000376503,36
ENST00000216780,32
ENST00000645217,32
ENST00000559115,41
ENST00000642239,41
ENST00000396941,37
ENST00000644566,37
ENST00000341749,38
ENST00000395153,36
ENST00000652337,35
ENST00000380656,33
ENST00000393287,40
ENST00000503767,40
ENST00000644486,42
ENST00000688303,52
ENST00000650110,34
ENST00000346991,127
ENST00000355166,42
ENST00000560508,53
ENST00000360509,47
ENST00000299022,32
ENST00000703585,37
ENST00000268059,68
ENST00000300060,43
ENST00000268171,45
ENST00000268070,59
ENST00000618548,38
ENST00000611716,40
ENST00000611967,32
ENST00000421665,62
ENST00000205557,90
ENST00000620078,92
ENST00000329697,35
ENST00000566501,53
ENST00000357890,77
ENST00000394748,63
ENST00000285737,45
ENST00000570206,64
ENST00000251020,71
ENST00000407228,98
ENST00000303334,35
ENST00000317091,34
ENST00000620267,92
ENST00000450523,36
ENST00000615103,36
ENST00000453066,38
ENST00000618883,38
ENST00000622842,38
ENST00000382061,38
ENST00000419248,36
ENST00000613381,36
ENST00000225519,34
ENST00000414043,65
ENST00000380173,37
ENST00000581552,48
ENST00000226218,32
ENST00000491747,50
ENST00000285238,71
ENST00000505279,78
ENST00000240361,98
ENST00000592554,34
ENST00000592554,34
ENST00000392676,66
ENST00000538886,36
ENST00000411744,44
ENST00000261326,46
ENST00000423854,44
ENST00000350494,47
ENST00000251047,41
ENST00000632301,45
ENST00000613122,53
ENST00000649857,45
ENST00000592528,43
ENST00000592099,83
ENST00000245907,102
ENST00000306708,38
ENST00000450331,66
ENST00000596363,66
ENST00000327325,72
ENST00000327325,72
ENST00000253109,34
ENST00000221363,61
ENST00000397668,72
ENST00000669674,37
ENST00000673296,37
ENST00000614135,32
ENST00000611002,33
ENST00000647358,32
ENST00000252486,32
ENST00000614318,36
ENST00000616618,36
ENST00000449561,36
ENST00000621867,36
ENST00000619608,36
ENST00000263434,54
ENST00000376350,64
ENST00000589093,42
ENST00000263093,33
ENST00000707961,243
ENST00000233242,243
ENST00000264717,45
ENST00000379416,50
ENST00000324589,34
ENST00000405322,34
ENST00000272430,36
ENST00000430215,42
ENST00000233838,46
ENST00000331393,34
ENST00000443124,34
ENST00000650372,73
ENST00000286063,44
ENST00000446151,38
ENST00000426833,37
ENST00000264110,38
ENST00000190611,51
ENST00000392318,64
ENST00000374700,61
ENST00000264275,33
ENST00000309955,33
ENST00000233072,55
ENST00000357867,136
ENST00000446046,147
ENST00000248444,54
ENST00000258415,39
ENST00000264051,43
ENST00000324695,43
ENST00000244815,37
ENST00000380469,39
ENST00000408042,102
ENST00000400440,39
ENST00000710292,39
ENST00000355480,63
ENST00000710295,63
ENST00000522411,37
ENST00000407755,32
ENST00000346753,43
ENST00000381683,37
ENST00000380903,33
ENST00000359139,43
ENST00000383812,48
ENST00000403601,48
ENST00000397077,51
ENST00000360273,54
ENST00000207870,34
ENST00000453664,76
ENST00000449682,47
ENST00000310271,37
ENST00000484952,37
ENST00000436784,33
ENST00000436784,33
ENST00000449956,35
ENST00000406595,59
ENST00000266041,61
ENST00000537050,43
ENST00000537050,43
ENST00000302819,46
ENST00000431670,68
ENST00000614479,359
ENST00000360356,56
ENST00000360304,101
ENST00000264990,47
ENST00000264613,36
ENST00000344722,72
ENST00000241274,43
ENST00000456310,32
ENST00000231887,36
ENST00000446828,40
ENST00000323830,37
ENST00000361715,66
ENST00000330198,38
ENST00000398516,33
ENST00000512465,34
ENST00000334304,67
ENST00000257408,48
ENST00000395792,42
ENST00000334306,46
ENST00000457717,45
ENST00000509841,34
ENST00000326639,60
ENST00000264690,35
ENST00000337836,52
ENST00000230882,35
ENST00000612626,35
ENST00000511297,91
ENST00000255189,43
ENST00000319854,52
ENST00000378679,53
ENST00000261944,61
ENST00000253496,39
ENST00000292408,34
ENST00000292408,34
ENST00000379933,81
ENST00000230036,33
ENST00000420257,66
ENST00000412443,66
ENST00000452530,66
ENST00000383587,66
ENST00000376545,66
ENST00000421042,66
ENST00000448939,66
ENST00000428577,72
ENST00000450090,72
ENST00000676266,72
ENST00000415079,72
ENST00000383369,73
ENST00000383540,72
ENST00000549812,107
ENST00000498271,107
ENST00000546746,107
ENST00000373825,43
ENST00000244565,36
ENST00000347162,47
ENST00000544460,99
ENST00000274813,43
ENST00000359831,43
ENST00000368213,79
ENST00000618215,79
ENST00000528282,47
ENST00000367826,38
ENST00000618822,44
ENST00000296932,45
ENST00000316300,323
ENST00000308192,34
ENST00000395969,36
ENST00000381160,62
ENST00000297323,43
ENST00000357271,50
ENST00000344576,33
ENST00000429400,38
ENST00000313375,41
ENST00000453593,68
ENST00000649586,71
ENST00000265723,72
ENST00000265724,63
ENST00000265631,37
ENST00000416240,38
ENST00000223051,45
