Gene,OptionalDataColumns
ENST00000347370,0.53502
ENST00000520777,0.54101
ENST00000611123,0.98272
ENST00000352527,0.91501
ENST00000377507,0.56863
ENST00000054668,0.6295
ENST00000377627,0.68572
ENST00000251546,0.90625
ENST00000487038,0.52916
ENST00000375111,0.6875
ENST00000375111,0.6875
ENST00000374338,0.63798
ENST00000374395,0.69917
ENST00000374393,0.73478
ENST00000314675,0.53
ENST00000531382,0.7463
ENST00000628256,0.7463
ENST00000374005,0.93384
ENST00000373949,0.6277
ENST00000373925,0.78923
ENST00000373832,0.67399
ENST00000419121,0.57665
ENST00000246314,0.53269
ENST00000373087,0.77574
ENST00000372827,0.60697
ENST00000372718,0.58081
ENST00000372708,0.54929
ENST00000539317,0.58395
ENST00000427410,0.63872
ENST00000372362,0.6
ENST00000456914,0.66475
ENST00000355498,0.66475
ENST00000710952,0.68184
ENST00000371975,0.68942
ENST00000528077,0.59906
ENST00000517870,0.54737
ENST00000306052,0.65732
ENST00000486942,0.76613
ENST00000407246,0.6007
ENST00000371116,0.59833
ENST00000371092,0.77778
ENST00000347310,0.62551
ENST00000370976,0.53334
ENST00000370459,0.8057
ENST00000370459,0.8057
ENST00000337338,0.80839
ENST00000616709,0.81301
ENST00000263893,0.65641
ENST00000369769,0.61218
ENST00000369784,0.7871
ENST00000369717,0.99248
ENST00000369510,0.63666
ENST00000369478,0.59449
ENST00000369464,0.70107
ENST00000431239,0.59803
ENST00000602841,0.68205
ENST00000368432,0.60706
ENST00000334634,0.67458
ENST00000368356,0.63544
ENST00000339922,0.90647
ENST00000368170,0.53604
ENST00000358292,0.62607
ENST00000368199,0.7455
ENST00000392306,0.75188
ENST00000392254,0.64599
ENST00000392252,0.63894
ENST00000368140,0.66057
ENST00000289707,0.54912
ENST00000302035,0.77015
ENST00000613788,0.68519
ENST00000263285,0.66936
ENST00000534968,0.56231
ENST00000368054,0.62195
ENST00000311224,0.60362
ENST00000368013,0.61632
ENST00000367948,0.71362
ENST00000368007,0.61432
ENST00000367961,0.58416
ENST00000358671,0.59355
ENST00000236938,0.53482
ENST00000367953,0.54246
ENST00000367819,0.63158
ENST00000367818,0.63158
ENST00000367755,0.53007
ENST00000434571,0.70094
ENST00000367554,0.58804
ENST00000367460,0.73192
ENST00000367350,0.54976
ENST00000348564,0.5626
ENST00000442510,0.57178
ENST00000581977,0.64386
ENST00000580449,0.55059
ENST00000577571,0.58365
ENST00000367058,0.52129
ENST00000628511,0.68736
ENST00000399639,0.54906
ENST00000261464,0.54174
ENST00000366998,0.60781
ENST00000419091,0.62857
ENST00000360212,0.66761
ENST00000537898,0.71262
ENST00000626327,0.71262
ENST00000445590,0.85865
ENST00000439617,0.60794
ENST00000427495,0.63256
ENST00000336119,0.61871
ENST00000329291,0.74324
ENST00000451251,0.57157
ENST00000366471,0.52637
ENST00000379999,0.6042
ENST00000416382,0.60871
ENST00000378217,0.6761
ENST00000378197,0.5318
ENST00000373789,0.6445
ENST00000411732,0.87324
ENST00000373207,0.70421
ENST00000440381,0.57597
ENST00000299381,0.61818
ENST00000371447,0.59557
ENST00000371485,0.55415
ENST00000371176,0.70631
ENST00000393760,0.54377
ENST00000453258,0.53772
ENST00000344386,0.52263
ENST00000318222,0.67122
ENST00000439817,0.56416
ENST00000299353,0.8915
ENST00000369788,0.85449
ENST00000263054,0.65362
ENST00000263054,0.65362
ENST00000447005,0.77143
ENST00000417178,0.68437
ENST00000389989,0.66387
ENST00000265978,0.90467
ENST00000614314,0.60628
ENST00000299481,0.56557
ENST00000396986,0.7717
ENST00000529942,0.65563
ENST00000309357,0.64207
ENST00000396554,0.53222
ENST00000672413,0.57369
ENST00000396253,0.57369
ENST00000437750,0.57996
ENST00000431742,0.95455
ENST00000395833,0.91772
ENST00000426335,0.5355
ENST00000287275,0.62018
ENST00000395074,0.93264
ENST00000395005,0.60121
ENST00000300187,0.61119
ENST00000534668,0.71212
ENST00000345732,0.71212
ENST00000278893,0.73752
ENST00000350490,0.56182
ENST00000356786,0.59381
ENST00000294066,0.57439
ENST00000164133,0.70926
ENST00000438980,0.72475
ENST00000394224,0.55182
ENST00000308595,0.91147
ENST00000525457,0.65083
ENST00000511455,0.62521
ENST00000526387,0.64032
ENST00000542590,0.6151
ENST00000529635,0.58904
ENST00000064780,0.73837
ENST00000393580,0.73837
ENST00000393592,0.96341
ENST00000620017,0.93558
ENST00000404792,0.89175
ENST00000533655,0.55879
ENST00000457199,0.66134
ENST00000647220,0.66134
ENST00000544612,0.53975
ENST00000541150,0.5358
ENST00000236826,0.56317
ENST00000571244,0.86596
ENST00000263464,0.76589
ENST00000263464,0.76589
ENST00000315274,0.60384
ENST00000418434,0.82649
ENST00000418434,0.82649
ENST00000675843,0.52065
ENST00000494737,0.66129
ENST00000292067,0.98958
ENST00000356289,0.98985
ENST00000227752,0.7859
ENST00000392884,0.74803
ENST00000300692,0.81287
ENST00000227348,0.743
ENST00000375095,0.57143
ENST00000428830,0.74054
ENST00000412006,0.58187
ENST00000627656,0.59053
ENST00000237837,0.8247
ENST00000643701,0.64959
ENST00000399649,0.64959
ENST00000647521,0.64951
ENST00000399595,0.64951
ENST00000431922,0.97849
ENST00000329858,0.97849
ENST00000355772,0.75813
ENST00000203629,0.75762
ENST00000456013,0.63301
ENST00000318974,0.66387
ENST00000229335,0.87879
ENST00000290855,0.63613
ENST00000381908,0.68156
ENST00000350274,0.61487
ENST00000347831,0.53023
ENST00000408006,0.53023
ENST00000651487,0.72771
ENST00000228936,0.53423
ENST00000545102,0.71841
ENST00000354454,0.55511
ENST00000395901,0.63328
ENST00000345127,0.55802
ENST00000395568,0.76674
ENST00000546455,0.6493
ENST00000432584,0.52214
ENST00000316299,0.53725
ENST00000257909,0.58856
ENST00000547905,0.56276
ENST00000548115,0.704
ENST00000293745,0.52348
ENST00000267082,0.5967
ENST00000534842,0.64991
ENST00000420353,0.60985
ENST00000435572,0.61751
ENST00000430041,0.54418
ENST00000424809,0.69969
ENST00000393791,0.65892
ENST00000422156,0.88204
ENST00000266643,0.62139
ENST00000266673,0.71429
ENST00000552192,0.54655
ENST00000548729,0.60826
ENST00000258526,0.5716
ENST00000329406,0.57576
ENST00000392830,0.54182
ENST00000397655,0.62304
ENST00000439744,0.89427
ENST00000257604,0.54467
ENST00000261741,0.54088
ENST00000328963,0.63698
ENST00000328963,0.63698
ENST00000331738,0.68318
ENST00000346530,0.79253
ENST00000320574,0.73316
ENST00000545875,0.5654
ENST00000443047,0.52797
ENST00000539248,0.72593
ENST00000379673,0.59384
ENST00000625359,0.59832
ENST00000375887,0.74737
ENST00000397470,0.62688
ENST00000397473,0.62688
ENST00000267339,0.57262
ENST00000680254,0.83587
ENST00000375353,0.53374
ENST00000351487,0.66366
ENST00000304625,0.61077
ENST00000216714,0.73585
ENST00000708794,0.73585
ENST00000611366,0.66636
ENST00000642486,0.66636
ENST00000287913,0.59908
ENST00000643387,0.59908
ENST00000216338,0.55894
ENST00000399395,0.70649
ENST00000441560,0.59539
ENST00000324330,0.62397
ENST00000453196,0.58677
ENST00000555846,0.66989
ENST00000536224,0.85916
ENST00000539616,0.62922
ENST00000608382,0.54904
ENST00000394330,0.73239
ENST00000481935,0.66071
ENST00000673765,0.54246
ENST00000621494,0.58674
ENST00000267549,0.63304
ENST00000610758,0.58455
ENST00000435962,0.58455
ENST00000448921,0.6882
ENST00000614317,0.6882
ENST00000393287,0.54229
ENST00000337435,0.54103
ENST00000673341,0.54103
ENST00000310803,0.71393
ENST00000397702,0.67553
ENST00000561208,0.60744
ENST00000260402,0.56182
ENST00000397573,0.71196
ENST00000349748,0.76132
ENST00000434130,0.65009
ENST00000305560,0.63688
ENST00000455976,0.79268
ENST00000396402,0.85222
ENST00000396307,0.52941
ENST00000616065,0.84318
ENST00000569896,0.6871
ENST00000395205,0.65322
ENST00000569035,0.6282
ENST00000290759,0.88858
ENST00000558012,0.78606
ENST00000305428,0.53948
ENST00000302824,0.86854
ENST00000352105,0.68153
ENST00000444422,0.59375
ENST00000219611,0.56446
ENST00000397515,0.79325
ENST00000674376,0.71429
ENST00000320700,0.53846
ENST00000328540,0.88158
ENST00000413459,0.76992
ENST00000336577,0.68416
ENST00000541159,0.65056
ENST00000359128,0.56776
ENST00000415496,0.60472
ENST00000324288,0.62507
ENST00000388957,0.53466
ENST00000321728,0.6468
ENST00000337120,0.87034
