ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,1,221,0.0009,0.49955,0.42534,v32_lung
ENST00000428771,7,2,247,0.00116,0.46154,0.35425,v32_lung
ENST00000379268,15,3,241,0.00083,0.56957,0.17566,v32_lung
ENST00000377507,14,10,255,0.0028,0.52913,0.50431,v32_lung
ENST00000054668,4,4,139,0.00719,0.58094,0.58094,v32_lung
ENST00000354437,30,11,499,0.00073,0.53995,0.51922,v32_lung
ENST00000376753,19,6,293,0.00108,0.68996,0.82196,v32_lung
ENST00000614859,10,6,194,0.00309,0.48247,0.49141,v32_lung
ENST00000361144,33,9,415,0.00066,0.46499,0.6324,v32_lung
ENST00000400797,26,8,327,0.00094,0.43707,0.61812,v32_lung
ENST00000375534,17,8,182,0.00259,0.38849,0.37569,v32_lung
ENST00000375105,11,1,145,0.00063,0.58809,0.86897,v32_lung
ENST00000289749,10,4,216,0.00185,0.55509,0.34722,v32_lung
ENST00000615215,12,3,215,0.00116,0.47248,0.44961,v32_lung
ENST00000566855,4,1,121,0.00207,0.49587,0.61157,v32_lung
ENST00000617979,17,4,348,0.00068,0.59179,0.53161,v32_lung
ENST00000374421,22,7,491,0.00065,0.44918,0.42537,v32_lung
ENST00000308873,17,7,415,0.00099,0.545,0.58554,v32_lung
ENST00000328664,11,5,417,0.00109,0.4371,0.37362,v32_lung
ENST00000618490,6,2,116,0.00287,0.51437,0.46552,v32_lung
ENST00000374395,16,5,241,0.0013,0.48885,0.48216,v32_lung
ENST00000346452,9,4,266,0.00167,0.45614,0.4032,v32_lung
ENST00000349438,12,6,354,0.00141,0.50494,0.50753,v32_lung
ENST00000339276,11,1,248,0.00037,0.49707,0.60887,v32_lung
ENST00000374027,8,3,173,0.00217,0.4711,0.7264,v32_lung
ENST00000374024,8,2,330,0.00076,0.76856,0.80303,v32_lung
ENST00000354982,11,2,288,0.00063,0.50947,0.71007,v32_lung
ENST00000270879,12,2,299,0.00056,0.5014,0.72074,v32_lung
ENST00000362020,2,0,134,0.0,0.3806,,v32_lung
ENST00000361157,2,0,130,0.0,0.37692,,v32_lung
ENST00000399173,24,9,529,0.00071,0.61256,0.65764,v32_lung
ENST00000374005,24,9,529,0.00071,0.61256,0.65764,v32_lung
ENST00000373888,13,6,373,0.00124,0.57393,0.64299,v32_lung
ENST00000234549,29,13,312,0.00144,0.51857,0.52465,v32_lung
ENST00000539896,14,4,342,0.00084,0.55806,0.55848,v32_lung
ENST00000373765,23,7,496,0.00061,0.48545,0.49769,v32_lung
ENST00000398958,21,7,421,0.00079,0.53489,0.679,v32_lung
ENST00000373831,24,8,452,0.00074,0.50913,0.62721,v32_lung
ENST00000409358,24,8,349,0.00096,0.57032,0.6053,v32_lung
ENST00000336890,26,10,509,0.00076,0.51368,0.57957,v32_lung
ENST00000526031,16,6,335,0.00112,0.36735,0.3786,v32_lung
ENST00000339480,5,1,266,0.00075,0.32181,0.29699,v32_lung
ENST00000373362,12,2,270,0.00062,0.5179,0.50556,v32_lung
ENST00000207457,34,12,430,0.00082,0.43523,0.3876,v32_lung
