Gene,OptionalDataColumns
ENST00000304952,0.0009
ENST00000379289,0.00018
ENST00000611612,0.00022
ENST00000401095,9e-05
ENST00000378567,0.00047
ENST00000303635,0.00015
ENST00000354437,0.0004
ENST00000378295,0.00027
ENST00000378288,0.00031
ENST00000378290,0.00033
ENST00000344008,8e-05
ENST00000376753,0.00054
ENST00000304457,0.00056
ENST00000358897,0.00023
ENST00000361144,0.00037
ENST00000400797,0.00059
ENST00000375448,0.0003
ENST00000628229,0.0003
ENST00000375105,0.0
ENST00000615215,0.00078
ENST00000342104,0.00048
ENST00000302291,0.00035
ENST00000617979,0.00034
ENST00000374421,0.00046
ENST00000308873,0.0
ENST00000328664,0.00065
ENST00000374395,0.00078
ENST00000346452,0.00084
ENST00000308182,0.00012
ENST00000361530,0.0004
ENST00000339276,0.0
ENST00000374168,0.00036
ENST00000629832,0.00036
ENST00000531382,0.00026
ENST00000628256,0.00026
ENST00000374024,0.00038
ENST00000354982,0.00063
ENST00000270879,0.00056
ENST00000362020,0.0
ENST00000361157,0.0
ENST00000399173,0.00055
ENST00000374005,0.00055
ENST00000373888,0.00062
ENST00000373921,0.00034
ENST00000539896,0.00042
ENST00000373765,9e-05
ENST00000398958,0.00057
ENST00000373831,0.00046
ENST00000360482,0.0002
ENST00000409358,0.00072
ENST00000336890,0.0003
ENST00000526031,0.00075
ENST00000339480,0.00075
ENST00000373362,0.0
ENST00000207457,0.00034
ENST00000373087,0.00035
ENST00000373106,0.00037
ENST00000373103,0.00037
ENST00000615459,0.00026
ENST00000361689,7e-05
ENST00000372583,9e-05
ENST00000236040,0.00027
ENST00000431635,0.00078
ENST00000610710,0.00026
ENST00000414809,0.0
ENST00000372359,0.0
ENST00000621943,0.0009
ENST00000359947,0.00011
ENST00000372372,0.00022
ENST00000528266,0.0005
ENST00000537798,0.00085
ENST00000691006,0.0
ENST00000341183,0.00016
ENST00000271153,9e-05
ENST00000404795,0.0
ENST00000438567,0.00018
ENST00000236495,0.00017
ENST00000306052,0.00015
ENST00000371273,0.00033
ENST00000302118,0.00033
ENST00000495776,0.0
ENST00000371201,0.00078
ENST00000347310,0.00087
ENST00000371026,0.00062
ENST00000616738,0.00061
ENST00000326665,0.00026
ENST00000319517,0.00032
ENST00000370608,0.00082
ENST00000294664,0.00048
ENST00000370565,0.00046
ENST00000370481,0.00075
ENST00000370473,0.00071
ENST00000294671,0.00055
ENST00000355754,0.00045
ENST00000370456,0.00055
ENST00000370459,0.00074
ENST00000370459,0.00074
ENST00000427103,0.00016
ENST00000358392,0.00035
ENST00000370083,0.00065
ENST00000330330,0.00065
ENST00000370083,0.00065
ENST00000369949,0.0008
ENST00000369868,0.0
ENST00000369769,0.0004
ENST00000469655,0.00013
ENST00000369740,0.0005
ENST00000369748,0.00071
ENST00000369642,0.00065
ENST00000528414,0.00043
ENST00000359785,0.00048
ENST00000336338,0.00021
ENST00000682167,0.00041
ENST00000295598,0.00029
ENST00000537345,0.00029
ENST00000369304,0.00029
ENST00000534502,0.00089
ENST00000579774,0.00061
ENST00000369041,0.00028
ENST00000368969,0.00027
ENST00000368738,0.0
ENST00000368713,0.0
ENST00000368708,0.0
ENST00000368706,0.0
ENST00000368474,0.00017
ENST00000615517,0.00076
ENST00000620103,0.00084
ENST00000620103,0.00084
ENST00000360674,0.00027
ENST00000355956,0.00026
ENST00000361831,0.00061
ENST00000337428,0.00048
ENST00000361835,0.00016
ENST00000643759,0.00016
ENST00000368198,0.00077
ENST00000368198,0.00077
ENST00000368199,0.00069
ENST00000368196,0.00016
ENST00000255030,0.00064
ENST00000368106,0.00072
ENST00000368099,0.00047
ENST00000368100,0.00027
ENST00000368097,0.00087
ENST00000368092,0.00084
ENST00000302035,0.00085
ENST00000368043,0.0006
ENST00000263285,0.00051
ENST00000368012,0.00035
ENST00000368026,0.00096
ENST00000367996,0.00019
ENST00000309758,0.00016
