Gene,OptionalDataColumns
ENST00000377507,5
ENST00000378288,6
ENST00000337907,10
ENST00000376819,5
ENST00000373925,5
ENST00000647103,5
ENST00000373797,9
ENST00000246314,13
ENST00000373106,5
ENST00000373103,7
ENST00000372718,6
ENST00000372708,6
ENST00000539317,5
ENST00000427410,10
ENST00000236040,5
ENST00000456914,6
ENST00000355498,6
ENST00000710952,6
ENST00000371568,9
ENST00000407246,6
ENST00000347310,9
ENST00000341517,5
ENST00000431532,6
ENST00000370459,14
ENST00000370459,14
ENST00000337338,5
ENST00000370303,5
ENST00000370161,13
ENST00000512756,18
ENST00000359785,6
ENST00000682167,9
ENST00000682167,9
ENST00000369304,8
ENST00000313835,6
ENST00000431239,8
ENST00000682118,16
ENST00000368236,6
ENST00000708590,6
ENST00000361516,7
ENST00000358292,7
ENST00000392254,5
ENST00000392252,5
ENST00000368140,6
ENST00000263285,7
ENST00000368059,6
ENST00000368057,6
ENST00000368033,5
ENST00000368013,14
ENST00000367763,13
ENST00000367460,5
ENST00000709532,12
ENST00000294725,12
ENST00000367350,26
ENST00000348564,11
ENST00000442510,12
ENST00000360529,11
ENST00000332129,11
ENST00000255427,5
ENST00000367229,5
ENST00000367217,5
ENST00000442561,5
ENST00000367025,14
ENST00000261464,8
ENST00000366998,5
ENST00000419091,10
ENST00000440600,18
ENST00000366668,13
ENST00000602873,6
ENST00000439617,11
ENST00000366548,9
ENST00000518483,9
ENST00000427495,6
ENST00000416382,9
ENST00000538630,9
ENST00000560721,23
ENST00000361085,5
ENST00000395797,5
ENST00000325239,27
ENST00000617271,12
ENST00000373789,8
ENST00000358410,13
ENST00000440381,10
ENST00000371447,7
ENST00000371485,16
ENST00000371176,6
ENST00000344386,7
ENST00000318222,9
ENST00000370345,16
ENST00000439817,8
ENST00000263054,7
ENST00000263054,7
ENST00000368653,56
ENST00000389989,5
ENST00000379965,5
ENST00000536344,7
ENST00000278319,6
ENST00000299481,12
ENST00000672413,10
ENST00000396253,10
ENST00000312055,25
ENST00000411426,11
ENST00000395005,18
ENST00000300187,18
ENST00000356786,15
ENST00000394432,7
ENST00000377497,7
ENST00000533655,18
ENST00000389958,5
ENST00000541150,13
ENST00000236826,5
ENST00000263464,10
ENST00000263464,10
ENST00000315274,5
ENST00000530497,7
ENST00000675843,42
ENST00000695719,5
ENST00000360871,15
ENST00000412006,9
ENST00000627656,7
ENST00000252322,6
ENST00000643701,7
ENST00000399649,7
ENST00000647521,7
ENST00000399595,7
ENST00000229402,5
ENST00000395901,9
ENST00000345127,14
ENST00000395568,6
ENST00000432584,10
ENST00000257909,10
ENST00000547905,9
ENST00000615107,5
ENST00000548115,5
ENST00000394904,8
ENST00000267082,6
ENST00000550804,12
ENST00000420353,9
ENST00000331886,6
ENST00000551156,6
ENST00000425394,5
ENST00000430041,6
ENST00000424809,5
ENST00000393791,6
ENST00000257897,5
ENST00000353364,8
ENST00000540209,7
ENST00000548159,7
ENST00000322886,13
ENST00000258526,11
ENST00000299314,9
ENST00000388887,23
ENST00000392830,5
ENST00000550948,15
ENST00000326470,6
ENST00000553118,12
ENST00000361006,13
ENST00000355445,6
ENST00000257604,6
ENST00000392583,7
ENST00000342315,7
ENST00000331738,10
ENST00000320574,9
ENST00000392321,8
ENST00000328654,10
ENST00000545875,12
ENST00000241453,7
ENST00000255486,7
ENST00000379673,10
ENST00000625359,15
ENST00000313640,6
ENST00000429979,7
ENST00000258607,10
ENST00000427887,7
ENST00000262715,17
ENST00000708760,17
ENST00000644874,6
ENST00000396618,6
ENST00000324330,33
ENST00000453196,43
ENST00000539616,8
ENST00000608382,6
ENST00000358738,8
ENST00000394586,6
ENST00000334521,5
ENST00000673765,5
ENST00000621494,8
ENST00000238628,5
ENST00000610758,7
ENST00000435962,7
ENST00000502250,6
ENST00000429774,9
ENST00000393287,9
ENST00000310803,8
ENST00000397702,7
ENST00000561208,8
ENST00000355341,5
ENST00000305560,7
ENST00000310958,13
ENST00000395476,5
ENST00000443425,11
ENST00000346246,7
ENST00000305428,6
ENST00000220244,5
ENST00000394660,12
ENST00000394652,5
ENST00000353598,5
ENST00000352105,5
ENST00000361188,11
ENST00000451018,11
ENST00000382862,5
ENST00000359128,6
ENST00000324288,6
ENST00000303383,6
ENST00000566605,6
ENST00000254108,10
ENST00000353782,7
ENST00000311559,9
ENST00000688547,8
ENST00000564887,8
ENST00000334583,10
ENST00000674443,6
ENST00000354436,54
ENST00000418647,5
ENST00000479780,6
ENST00000393207,6
ENST00000389301,15
ENST00000341923,30
ENST00000262467,11
ENST00000571451,12
ENST00000651323,8
ENST00000639332,6
ENST00000406438,6
ENST00000225388,9
ENST00000324238,7
ENST00000708441,16
ENST00000330927,16
ENST00000462804,5
ENST00000260908,7
ENST00000674182,8
ENST00000620215,5
ENST00000617279,6
ENST00000621136,19
ENST00000618176,19
ENST00000394310,5
ENST00000253799,5
ENST00000319349,6
ENST00000331495,6
ENST00000509773,6
ENST00000503485,5
ENST00000581322,5
ENST00000207549,7
ENST00000636395,21
ENST00000588061,20
ENST00000582970,29
ENST00000582707,11
ENST00000651870,5
ENST00000400020,35
ENST00000317571,6
ENST00000399516,27
ENST00000587184,19
ENST00000327201,6
ENST00000589544,10
ENST00000538170,6
ENST00000423854,10
ENST00000280200,5
ENST00000398339,10
ENST00000263094,7
ENST00000381407,5
ENST00000381404,5
ENST00000359920,7
ENST00000315599,5
ENST00000315591,5
ENST00000394173,5
ENST00000359526,6
ENST00000672064,5
ENST00000263379,5
ENST00000636549,11
ENST00000594294,5
ENST00000458235,6
ENST00000335393,5
ENST00000261560,8
ENST00000392288,5
ENST00000439785,6
ENST00000085219,5
ENST00000392197,6
ENST00000333987,6
ENST00000396857,5
ENST00000421176,6
ENST00000454662,11
ENST00000536630,6
ENST00000305628,5
ENST00000598614,6
ENST00000291707,8
ENST00000451628,5
ENST00000445347,7
ENST00000620623,5
ENST00000610507,5
ENST00000613586,5
ENST00000618273,5
ENST00000622574,5
ENST00000622784,5
ENST00000612166,5
ENST00000615318,5
ENST00000616505,5
ENST00000616626,5
ENST00000615608,5
ENST00000619026,5
ENST00000270442,5
ENST00000616854,5
ENST00000611872,5
ENST00000640567,5
ENST00000622579,5
ENST00000640534,5
ENST00000618475,5
ENST00000620280,5
ENST00000612733,5
ENST00000615712,5
ENST00000612138,5
ENST00000617481,5
ENST00000616961,5
ENST00000613029,5
ENST00000617684,5
ENST00000611859,5
ENST00000610914,5
ENST00000612018,5
ENST00000638389,5
ENST00000613109,5
ENST00000614879,9
ENST00000613233,9
ENST00000340844,9
ENST00000621584,9
ENST00000618261,9
ENST00000620183,9
ENST00000615699,9
ENST00000618995,9
ENST00000610790,9
ENST00000614922,9
ENST00000616408,9
ENST00000396331,9
ENST00000618055,9
ENST00000324602,9
ENST00000612636,9
ENST00000619395,9
ENST00000318203,5
ENST00000333478,9
ENST00000404032,7
