ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000376480,6,3,151,0.00331,0.47903,0.4128,v25_heart
ENST00000375108,5,2,138,0.0029,0.59275,0.76812,v25_heart
ENST00000373471,11,4,212,0.00172,0.53345,0.57194,v25_heart
ENST00000496770,8,4,153,0.00327,0.39052,0.30229,v25_heart
ENST00000311672,4,1,91,0.00275,0.37912,0.64835,v25_heart
ENST00000532925,18,10,240,0.00231,0.52199,0.54542,v25_heart
ENST00000610401,19,12,388,0.00163,0.41793,0.37414,v25_heart
ENST00000420607,25,20,425,0.00188,0.46984,0.44306,v25_heart
ENST00000370841,24,19,421,0.00188,0.48367,0.45968,v25_heart
ENST00000446538,14,8,358,0.0016,0.47745,0.46438,v25_heart
ENST00000370137,19,12,335,0.00189,0.50338,0.45721,v25_heart
ENST00000370137,19,12,335,0.00189,0.50338,0.45721,v25_heart
ENST00000370137,19,12,335,0.00189,0.50338,0.45721,v25_heart
ENST00000369722,21,9,256,0.00167,0.64174,0.72873,v25_heart
ENST00000475797,16,8,200,0.0025,0.38875,0.35562,v25_heart
ENST00000357836,20,11,313,0.00176,0.51502,0.47546,v25_heart
ENST00000369347,17,9,173,0.00306,0.51377,0.51895,v25_heart
ENST00000369347,17,9,173,0.00306,0.51377,0.51895,v25_heart
ENST00000582693,15,8,304,0.00175,0.64978,0.63898,v25_heart
ENST00000545683,3,1,134,0.00249,0.40796,0.70896,v25_heart
ENST00000368921,3,1,90,0.0037,0.41852,0.62222,v25_heart
ENST00000368304,7,2,95,0.00301,0.52632,0.36316,v25_heart
ENST00000512372,26,11,267,0.00158,0.552,0.46578,v25_heart
ENST00000367889,6,4,152,0.00439,0.56908,0.57237,v25_heart
ENST00000530507,8,3,185,0.00203,0.52568,0.66666,v25_heart
ENST00000367434,20,14,422,0.00166,0.51671,0.5479,v25_heart
ENST00000491336,13,8,208,0.00296,0.52145,0.5637,v25_heart
ENST00000290419,20,11,224,0.00246,0.62299,0.61323,v25_heart
ENST00000367093,18,6,154,0.00216,0.42172,0.3106,v25_heart
ENST00000602873,29,18,201,0.00309,0.52376,0.42537,v25_heart
ENST00000450372,11,7,359,0.00177,0.33578,0.32352,v25_heart
ENST00000335698,14,7,297,0.00168,0.37975,0.30976,v25_heart
ENST00000361271,6,3,288,0.00174,0.61921,0.5706,v25_heart
ENST00000377602,14,9,398,0.00162,0.5271,0.50614,v25_heart
ENST00000345491,29,15,300,0.00172,0.54081,0.56845,v25_heart
ENST00000373910,7,6,147,0.00583,0.44121,0.47733,v25_heart
ENST00000355790,7,3,184,0.00233,0.48602,0.52536,v25_heart
ENST00000707120,23,12,291,0.00179,0.49903,0.40865,v25_heart
ENST00000472493,16,7,198,0.00221,0.48359,0.36652,v25_heart
ENST00000464716,5,4,132,0.00606,0.40151,0.30114,v25_heart
ENST00000356016,35,26,433,0.00172,0.41966,0.44759,v25_heart
ENST00000467928,9,5,257,0.00216,0.58625,0.41478,v25_heart
ENST00000309579,2,1,58,0.00862,0.15517,0.17241,v25_heart
ENST00000456145,5,2,178,0.00225,0.66404,0.47191,v25_heart
ENST00000278243,7,4,315,0.00181,0.58957,0.6254,v25_heart
ENST00000309357,7,4,183,0.00312,0.44262,0.47404,v25_heart
ENST00000265968,8,6,194,0.00387,0.55928,0.56443,v25_heart
ENST00000448418,13,9,277,0.0025,0.48209,0.48817,v25_heart
ENST00000393375,6,6,200,0.005,0.48667,0.48667,v25_heart
ENST00000444749,14,8,376,0.00152,0.57846,0.62965,v25_heart
ENST00000266544,14,8,377,0.00152,0.36851,0.45159,v25_heart
ENST00000261192,13,8,386,0.00159,0.49203,0.41159,v25_heart
ENST00000546179,24,20,540,0.00154,0.50694,0.52083,v25_heart
ENST00000534854,11,5,180,0.00253,0.43232,0.54778,v25_heart
ENST00000449723,8,4,146,0.00342,0.38185,0.44007,v25_heart
ENST00000433805,12,4,215,0.00155,0.46008,0.47093,v25_heart
ENST00000354300,13,6,304,0.00152,0.61285,0.71875,v25_heart
ENST00000228841,7,4,166,0.00344,0.36747,0.32982,v25_heart
ENST00000552374,21,12,337,0.0017,0.56521,0.4451,v25_heart
ENST00000541022,6,3,128,0.00391,0.53125,0.21615,v25_heart
ENST00000218867,15,10,291,0.00229,0.54135,0.48935,v25_heart
ENST00000248484,24,16,417,0.0016,0.54327,0.4946,v25_heart
ENST00000611198,13,3,86,0.00268,0.62791,0.6938,v25_heart
ENST00000519676,17,8,291,0.00162,0.46513,0.50773,v25_heart
ENST00000478244,12,8,259,0.00257,0.30502,0.28475,v25_heart
ENST00000356501,8,4,272,0.00184,0.52344,0.61948,v25_heart
ENST00000250405,10,4,193,0.00207,0.42694,0.42228,v25_heart
ENST00000298159,5,2,166,0.00241,0.40723,0.21084,v25_heart
ENST00000298159,5,2,166,0.00241,0.40723,0.21084,v25_heart
ENST00000238671,3,1,67,0.00498,0.29353,0.28358,v25_heart
ENST00000605997,2,2,58,0.01724,0.46552,0.46552,v25_heart
ENST00000557649,5,2,160,0.0025,0.34125,0.10625,v25_heart
ENST00000630349,5,2,160,0.0025,0.34125,0.10625,v25_heart
ENST00000286953,2,2,58,0.01724,0.19828,0.19828,v25_heart
ENST00000566621,17,10,281,0.00209,0.35231,0.48043,v25_heart
ENST00000567389,8,7,183,0.00478,0.40847,0.43326,v25_heart
ENST00000358005,13,6,185,0.00249,0.53555,0.62612,v25_heart
ENST00000428046,18,15,328,0.00254,0.47476,0.51463,v25_heart
ENST00000413507,14,10,373,0.00191,0.48985,0.52842,v25_heart
ENST00000300069,6,3,209,0.00239,0.76396,0.563,v25_heart
ENST00000395018,12,4,158,0.00211,0.49473,0.37184,v25_heart
ENST00000322347,4,2,150,0.00333,0.37667,0.21334,v25_heart
ENST00000557943,16,10,333,0.00188,0.44594,0.44264,v25_heart
ENST00000299518,11,7,366,0.00174,0.4158,0.30484,v25_heart
ENST00000709233,19,9,172,0.00275,0.60679,0.63178,v25_heart
ENST00000268668,19,9,172,0.00275,0.60679,0.63178,v25_heart
ENST00000007516,8,5,156,0.00401,0.48558,0.56923,v25_heart
ENST00000380897,8,5,176,0.00355,0.68608,0.83977,v25_heart
ENST00000287490,1,1,97,0.01031,0.63918,0.63918,v25_heart
ENST00000318129,14,7,216,0.00231,0.63426,0.71759,v25_heart
ENST00000393335,31,21,353,0.00192,0.49822,0.431,v25_heart
ENST00000709372,31,21,353,0.00192,0.49822,0.431,v25_heart
ENST00000253452,7,2,169,0.00169,0.53593,0.41716,v25_heart
ENST00000396628,16,8,300,0.00167,0.66479,0.73917,v25_heart
ENST00000671820,16,8,316,0.00158,0.68176,0.75237,v25_heart
ENST00000393366,6,3,136,0.00368,0.4277,0.46324,v25_heart
ENST00000398154,9,3,96,0.00347,0.58912,0.46875,v25_heart
ENST00000575734,4,4,134,0.00746,0.7444,0.7444,v25_heart
ENST00000572558,11,5,231,0.00197,0.58756,0.78009,v25_heart
ENST00000572558,11,5,231,0.00197,0.58756,0.78009,v25_heart
ENST00000514264,6,4,152,0.00439,0.38158,0.40296,v25_heart
ENST00000336844,10,5,167,0.00299,0.39701,0.33653,v25_heart
ENST00000357146,27,18,436,0.00153,0.44784,0.41998,v25_heart
ENST00000685175,15,11,449,0.00163,0.44855,0.45455,v25_heart
ENST00000217652,6,6,171,0.00585,0.24951,0.24951,v25_heart
ENST00000437807,6,2,187,0.00178,0.58645,0.7246,v25_heart
ENST00000651643,18,10,272,0.00204,0.36091,0.30441,v25_heart
ENST00000618847,20,15,443,0.00169,0.38375,0.45779,v25_heart
ENST00000300249,26,14,327,0.00165,0.58833,0.52862,v25_heart
ENST00000315456,22,16,374,0.00194,0.48274,0.52423,v25_heart
ENST00000554864,22,16,371,0.00196,0.48665,0.52847,v25_heart
ENST00000494131,3,3,98,0.0102,0.2483,0.2483,v25_heart
ENST00000168977,15,7,230,0.00203,0.55797,0.47329,v25_heart
ENST00000360067,22,12,320,0.0017,0.33906,0.26745,v25_heart
ENST00000317060,14,4,189,0.00151,0.38095,0.45767,v25_heart
ENST00000541435,12,5,178,0.00234,0.43446,0.32697,v25_heart
ENST00000649813,7,5,86,0.00831,0.51827,0.47907,v25_heart
ENST00000292907,7,4,79,0.00723,0.30561,0.40506,v25_heart
ENST00000589970,9,6,185,0.0036,0.44324,0.46306,v25_heart
ENST00000601151,20,16,419,0.00191,0.45406,0.52774,v25_heart
ENST00000344887,12,5,210,0.00198,0.46905,0.56572,v25_heart
ENST00000295156,14,4,191,0.0015,0.52132,0.56152,v25_heart
ENST00000233505,7,3,114,0.00376,0.48245,0.53216,v25_heart
ENST00000309052,14,9,414,0.00155,0.62733,0.71122,v25_heart
ENST00000409913,4,3,94,0.00798,0.49202,0.32624,v25_heart
ENST00000233114,11,6,334,0.00163,0.4423,0.34032,v25_heart
ENST00000409476,7,3,210,0.00204,0.36871,0.32699,v25_heart
ENST00000377982,18,12,399,0.00167,0.60512,0.72201,v25_heart
ENST00000244221,12,9,123,0.0061,0.54065,0.58627,v25_heart
ENST00000604011,12,5,251,0.00166,0.47444,0.45657,v25_heart
ENST00000283632,28,17,391,0.00155,0.49169,0.51963,v25_heart
ENST00000412401,4,2,229,0.00218,0.71506,0.66376,v25_heart
ENST00000392687,16,13,392,0.00207,0.42124,0.39914,v25_heart
ENST00000282077,20,14,436,0.00161,0.43096,0.47018,v25_heart
ENST00000284727,8,4,142,0.00352,0.42518,0.44718,v25_heart
ENST00000682840,10,5,109,0.00459,0.4734,0.29541,v25_heart
ENST00000342506,3,1,100,0.00333,0.7,0.75,v25_heart
ENST00000237889,2,2,98,0.0102,0.2653,0.2653,v25_heart
ENST00000409588,11,6,285,0.00191,0.64561,0.72866,v25_heart
ENST00000252711,18,11,355,0.00172,0.58341,0.70371,v25_heart
ENST00000246080,9,5,199,0.00279,0.55723,0.50251,v25_heart
ENST00000378106,13,9,345,0.00201,0.5476,0.62351,v25_heart
ENST00000374954,3,1,132,0.00253,0.51515,0.45455,v25_heart
ENST00000374385,22,11,299,0.00167,0.35923,0.38918,v25_heart
ENST00000372710,8,2,161,0.00155,0.31599,0.52484,v25_heart
ENST00000348257,8,4,186,0.00269,0.50269,0.57796,v25_heart
ENST00000400165,9,7,200,0.00389,0.565,0.525,v25_heart
ENST00000400131,18,13,236,0.00306,0.50871,0.5176,v25_heart
ENST00000400090,8,4,108,0.00463,0.54282,0.37731,v25_heart
ENST00000290299,11,5,213,0.00213,0.42766,0.53239,v25_heart
ENST00000399289,6,2,129,0.00258,0.46253,0.531,v25_heart
ENST00000340344,11,3,108,0.00253,0.42256,0.13271,v25_heart
ENST00000438754,28,16,346,0.00165,0.56389,0.62356,v25_heart
ENST00000397326,7,3,154,0.00278,0.58813,0.69264,v25_heart
ENST00000397328,7,3,154,0.00278,0.58813,0.69264,v25_heart
ENST00000359787,7,3,154,0.00278,0.58813,0.69264,v25_heart
ENST00000306149,6,4,153,0.00436,0.74837,0.7598,v25_heart
ENST00000311981,16,9,335,0.00168,0.47089,0.45174,v25_heart
ENST00000343849,4,1,151,0.00166,0.47682,0.17219,v25_heart
ENST00000343849,4,1,151,0.00166,0.47682,0.17219,v25_heart
ENST00000442720,19,12,258,0.00245,0.4796,0.54877,v25_heart
ENST00000232905,10,6,113,0.00531,0.5177,0.60914,v25_heart
ENST00000292327,7,3,195,0.0022,0.50403,0.40513,v25_heart
ENST00000426034,8,3,162,0.00231,0.75849,0.7716,v25_heart
ENST00000357203,8,3,162,0.00231,0.75849,0.7716,v25_heart
ENST00000477703,7,2,70,0.00408,0.45102,0.88572,v25_heart
ENST00000643065,13,6,180,0.00256,0.43547,0.58148,v25_heart
ENST00000484193,13,6,180,0.00256,0.43547,0.58148,v25_heart
ENST00000334384,27,16,315,0.00188,0.5177,0.57718,v25_heart
ENST00000184266,7,3,129,0.00332,0.50941,0.55556,v25_heart
ENST00000265052,10,5,313,0.0016,0.45846,0.44856,v25_heart
ENST00000423968,11,5,208,0.00219,0.54939,0.55673,v25_heart
ENST00000478894,16,10,258,0.00242,0.49128,0.49263,v25_heart
ENST00000471745,16,10,258,0.00242,0.49128,0.49263,v25_heart
ENST00000445224,20,9,244,0.00184,0.5043,0.3602,v25_heart
ENST00000486355,4,2,59,0.00847,0.52966,0.6017,v25_heart
ENST00000296333,9,6,276,0.00242,0.51248,0.5,v25_heart
ENST00000381210,15,10,363,0.00184,0.43324,0.46915,v25_heart
ENST00000305107,18,15,528,0.00158,0.47064,0.4798,v25_heart
ENST00000264888,12,9,125,0.006,0.63867,0.66311,v25_heart
ENST00000349321,25,17,378,0.0018,0.46667,0.50062,v25_heart
ENST00000355810,25,17,389,0.00175,0.45573,0.48979,v25_heart
ENST00000312465,13,6,268,0.00172,0.48134,0.4801,v25_heart
ENST00000505992,12,9,248,0.00302,0.45901,0.45072,v25_heart
ENST00000380180,15,7,234,0.00199,0.49003,0.55372,v25_heart
ENST00000432483,7,3,232,0.00185,0.62808,0.74569,v25_heart
ENST00000394686,13,10,365,0.00211,0.55469,0.65178,v25_heart
ENST00000307128,13,6,264,0.00175,0.29924,0.29924,v25_heart
ENST00000539002,3,1,76,0.00439,0.50877,0.78947,v25_heart
ENST00000505036,3,1,76,0.00439,0.50877,0.78947,v25_heart
ENST00000541354,17,12,316,0.00223,0.45532,0.48101,v25_heart
ENST00000399793,20,15,356,0.00211,0.65126,0.6397,v25_heart
ENST00000302005,10,6,150,0.004,0.47867,0.51778,v25_heart
ENST00000396954,2,1,188,0.00266,0.45479,0.31915,v25_heart
ENST00000622294,16,11,295,0.00233,0.55424,0.60986,v25_heart
ENST00000256441,6,5,103,0.00809,0.64887,0.62136,v25_heart
ENST00000613100,6,5,103,0.00809,0.64887,0.62136,v25_heart
ENST00000406374,10,4,250,0.0016,0.6332,0.557,v25_heart
ENST00000380860,4,4,118,0.00847,0.53813,0.53813,v25_heart
ENST00000247655,2,1,63,0.00794,0.48412,0.92063,v25_heart
ENST00000509053,10,6,298,0.00201,0.34597,0.44519,v25_heart
ENST00000345721,4,2,175,0.00286,0.44857,0.50286,v25_heart
ENST00000542322,29,20,440,0.00157,0.49475,0.59977,v25_heart
ENST00000378670,2,2,82,0.0122,0.45122,0.45122,v25_heart
ENST00000344120,14,8,322,0.00177,0.40572,0.3125,v25_heart
ENST00000360966,1,1,60,0.01667,0.9,0.9,v25_heart
ENST00000334744,11,8,189,0.00385,0.54257,0.61442,v25_heart
ENST00000394450,8,7,148,0.00591,0.64612,0.61583,v25_heart
ENST00000231121,9,5,215,0.00258,0.67132,0.58326,v25_heart
ENST00000435422,13,6,289,0.0016,0.4099,0.52365,v25_heart
ENST00000337851,13,6,290,0.00159,0.41194,0.52529,v25_heart
ENST00000402432,7,2,128,0.00223,0.48437,0.66797,v25_heart
ENST00000274625,12,7,207,0.00282,0.45652,0.40304,v25_heart
ENST00000521848,7,3,151,0.00284,0.53453,0.39294,v25_heart
ENST00000424406,3,2,112,0.00595,0.19643,0.19196,v25_heart
ENST00000522692,22,17,417,0.00185,0.43492,0.39597,v25_heart
ENST00000397456,10,5,151,0.00331,0.43907,0.60795,v25_heart
ENST00000379284,17,8,287,0.00164,0.53474,0.48084,v25_heart
ENST00000603223,9,5,148,0.00375,0.6464,0.58108,v25_heart
ENST00000544682,8,6,247,0.00304,0.34109,0.20648,v25_heart
ENST00000425446,18,8,178,0.0025,0.65106,0.51686,v25_heart
ENST00000318204,18,8,191,0.00233,0.67481,0.54974,v25_heart
ENST00000614911,9,5,136,0.00408,0.48856,0.34118,v25_heart
ENST00000344279,41,26,406,0.00156,0.4499,0.47414,v25_heart
ENST00000244669,13,5,224,0.00172,0.54842,0.81429,v25_heart
ENST00000373161,5,4,170,0.00471,0.54235,0.43824,v25_heart
