Gene,OptionalDataColumns
ENST00000338591,0.3676
ENST00000379407,0.46817
ENST00000339381,0.03052
ENST00000379268,0.21162
ENST00000673477,0.5054
ENST00000378755,0.15089
ENST00000378625,0.34179
ENST00000378209,0.47929
ENST00000428161,0.50545
ENST00000378288,0.44492
ENST00000377414,0.10246
ENST00000377346,0.11015
ENST00000376819,0.39942
ENST00000263932,0.15294
ENST00000375535,0.47268
ENST00000634683,0.47597
ENST00000361729,0.47597
ENST00000374421,0.38086
ENST00000374280,0.43344
ENST00000526219,0.17687
ENST00000647103,0.50882
ENST00000373797,0.31049
ENST00000336890,0.33399
ENST00000336890,0.33399
ENST00000373106,0.36986
ENST00000373103,0.48303
ENST00000454994,0.39688
ENST00000439569,0.02457
ENST00000539749,0.12844
ENST00000236040,0.3806
ENST00000271139,0.13658
ENST00000371568,0.44819
ENST00000072644,0.22549
ENST00000371274,0.10753
ENST00000341517,0.32282
ENST00000346806,0.36288
ENST00000370871,0.35367
ENST00000457880,0.5
ENST00000370608,0.46201
ENST00000370662,0.29412
ENST00000431532,0.4826
ENST00000370685,0.32286
ENST00000370303,0.40037
ENST00000370161,0.43982
ENST00000512756,0.44974
ENST00000316361,0.39479
ENST00000648608,0.48858
ENST00000271324,0.48858
ENST00000472422,0.50912
ENST00000545121,0.33173
ENST00000359785,0.48906
ENST00000369489,0.456
ENST00000369304,0.34704
ENST00000313835,0.50146
ENST00000682118,0.36799
ENST00000360244,0.33198
ENST00000369109,0.30943
ENST00000680288,0.18149
ENST00000618040,0.36863
ENST00000618489,0.39922
ENST00000428024,0.39922
ENST00000295694,0.17386
ENST00000368236,0.29696
ENST00000708590,0.29696
ENST00000368279,0.40556
ENST00000368276,0.33182
ENST00000368184,0.22139
ENST00000361516,0.25225
ENST00000368174,0.11527
ENST00000289429,0.23548
ENST00000361835,0.21648
ENST00000491942,0.36098
ENST00000368176,0.36014
ENST00000368130,0.46647
ENST00000368106,0.39401
ENST00000368043,0.47314
ENST00000368046,0.22222
ENST00000368039,0.13472
ENST00000368055,0.3043
ENST00000368059,0.41037
ENST00000368057,0.40914
ENST00000322302,0.32418
ENST00000368033,0.31892
ENST00000392179,0.38512
ENST00000650385,0.42918
ENST00000504010,0.42381
ENST00000392122,0.10736
ENST00000362089,0.10671
ENST00000236147,0.3871
ENST00000236147,0.3871
ENST00000367763,0.42902
ENST00000367721,0.38078
ENST00000682279,0.2907
ENST00000614012,0.43988
ENST00000709532,0.31101
ENST00000294725,0.31101
ENST00000391985,0.34015
ENST00000573477,0.39146
ENST00000573679,0.43491
ENST00000360529,0.41474
ENST00000332129,0.41116
ENST00000367262,0.33333
ENST00000367279,0.3703
ENST00000309017,0.42685
ENST00000691036,0.42685
ENST00000255427,0.48993
ENST00000367229,0.50258
ENST00000491855,0.48837
ENST00000367217,0.3178
ENST00000442561,0.34522
ENST00000367167,0.44314
ENST00000264515,0.38382
ENST00000367183,0.40854
ENST00000659997,0.35594
ENST00000611909,0.06349
ENST00000367091,0.42949
ENST00000367025,0.48198
ENST00000391894,0.18248
ENST00000366890,0.26488
ENST00000693095,0.1746
ENST00000647549,0.1746
ENST00000366668,0.48085
ENST00000366559,0.38615
ENST00000366632,0.2199
ENST00000317586,0.22764
ENST00000602873,0.32836
ENST00000366548,0.39165
ENST00000518483,0.41262
ENST00000450372,0.2298
ENST00000696618,0.36973
ENST00000379959,0.50736
ENST00000613909,0.2184
ENST00000433779,0.35526
ENST00000538630,0.34297
ENST00000542547,0.25553
ENST00000376166,0.14798
ENST00000560721,0.49287
ENST00000361085,0.47237
ENST00000395797,0.45348
ENST00000488328,0.24771
ENST00000490511,0.27434
ENST00000542434,0.22853
ENST00000622021,0.22853
ENST00000325239,0.45845
ENST00000417247,0.50384
ENST00000617271,0.38109
ENST00000395255,0.5015
ENST00000358410,0.36604
ENST00000441259,0.17717
ENST00000441259,0.17717
ENST00000446342,0.51208
ENST00000415557,0.41645
ENST00000352634,0.45844
ENST00000370345,0.45918
ENST00000628426,0.1749
ENST00000368653,0.44537
ENST00000485491,0.14552
ENST00000415217,0.38814
ENST00000445355,0.34951
ENST00000332826,0.18414
ENST00000454668,0.33854
ENST00000622905,0.33854
ENST00000330243,0.46899
ENST00000632827,0.46899
ENST00000348655,0.46783
ENST00000633943,0.46783
ENST00000352909,0.01811
ENST00000316375,0.3964
ENST00000379965,0.46868
ENST00000536344,0.40206
ENST00000278319,0.31915
ENST00000396847,0.28386
ENST00000380027,0.30214
ENST00000309737,0.47696
ENST00000442151,0.42857
ENST00000527911,0.39562
ENST00000312055,0.44457
ENST00000227163,0.00738
ENST00000411426,0.51369
ENST00000684409,0.4263
ENST00000674617,0.50123
ENST00000361723,0.50123
ENST00000347785,0.27474
ENST00000452451,0.41385
ENST00000352009,0.40765
ENST00000313421,0.36677
ENST00000005286,0.34106
ENST00000377891,0.4786
ENST00000441250,0.39167
ENST00000394432,0.47807
ENST00000377497,0.47807
ENST00000406246,0.44646
ENST00000326294,0.51456
ENST00000540345,0.2669
ENST00000393399,0.46374
ENST00000389958,0.39835
ENST00000340353,0.39373
ENST00000534731,0.51487
ENST00000530497,0.39753
ENST00000320578,0.44124
ENST00000709446,0.24047
ENST00000695719,0.32794
ENST00000375478,0.49449
ENST00000361763,0.49758
ENST00000532917,0.42125
ENST00000527410,0.13246
ENST00000350777,0.44584
ENST00000263578,0.21399
ENST00000360871,0.46517
ENST00000252322,0.47764
ENST00000331010,0.48768
ENST00000361716,0.42735
ENST00000011653,0.43941
ENST00000329913,0.40522
ENST00000356986,0.12698
ENST00000229402,0.42844
ENST00000617889,0.48918
ENST00000228434,0.09548
ENST00000350667,0.28017
ENST00000396439,0.07916
ENST00000309384,0.12026
ENST00000396484,0.46726
ENST00000228945,0.1393
ENST00000542838,0.27732
ENST00000293549,0.18108
ENST00000552212,0.4738
ENST00000615107,0.39328
ENST00000394904,0.4947
ENST00000267085,0.51346
