ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000339381,46,4,852,0.0001,0.52302,0.55164,v37_adrenal_gland
ENST00000673477,43,5,648,0.00018,0.41333,0.47438,v37_adrenal_gland
ENST00000378755,47,6,634,0.0002,0.45795,0.34516,v37_adrenal_gland
ENST00000340850,44,10,1006,0.00023,0.59583,0.63459,v37_adrenal_gland
ENST00000377346,56,5,1044,9e-05,0.44574,0.37394,v37_adrenal_gland
ENST00000304457,68,33,860,0.00056,0.52396,0.53541,v37_adrenal_gland
ENST00000235372,84,36,1718,0.00025,0.52804,0.51424,v37_adrenal_gland
ENST00000318249,53,16,633,0.00048,0.45641,0.43651,v37_adrenal_gland
ENST00000357071,33,6,758,0.00024,0.42044,0.69723,v37_adrenal_gland
ENST00000374280,37,6,676,0.00024,0.45614,0.4184,v37_adrenal_gland
ENST00000531382,31,6,744,0.00026,0.5963,0.66196,v37_adrenal_gland
ENST00000628256,31,6,744,0.00026,0.5963,0.66196,v37_adrenal_gland
ENST00000373921,37,8,643,0.00034,0.49477,0.52255,v37_adrenal_gland
ENST00000460170,74,9,1440,8e-05,0.44192,0.44676,v37_adrenal_gland
ENST00000373797,42,23,720,0.00076,0.4502,0.39251,v37_adrenal_gland
ENST00000372584,119,25,2405,9e-05,0.46588,0.43024,v37_adrenal_gland
ENST00000371877,74,40,1288,0.00042,0.55467,0.56035,v37_adrenal_gland
ENST00000371568,57,17,861,0.00035,0.54551,0.51377,v37_adrenal_gland
ENST00000371568,57,17,861,0.00035,0.54551,0.51377,v37_adrenal_gland
ENST00000302250,28,3,585,0.00018,0.51313,0.4604,v37_adrenal_gland
ENST00000342203,50,30,614,0.00098,0.49762,0.41156,v37_adrenal_gland
ENST00000317336,38,20,636,0.00083,0.59177,0.64678,v37_adrenal_gland
ENST00000370459,53,23,586,0.00074,0.65754,0.7076,v37_adrenal_gland
ENST00000347652,25,11,647,0.00068,0.54046,0.54419,v37_adrenal_gland
ENST00000487146,46,6,969,0.00013,0.60237,0.66133,v37_adrenal_gland
ENST00000359785,36,14,807,0.00048,0.47752,0.54789,v37_adrenal_gland
ENST00000682167,64,27,1021,0.00041,0.41747,0.47089,v37_adrenal_gland
ENST00000682167,64,27,1021,0.00041,0.41747,0.47089,v37_adrenal_gland
ENST00000369259,42,13,693,0.00045,0.43953,0.60761,v37_adrenal_gland
ENST00000290524,30,8,616,0.00043,0.51667,0.50933,v37_adrenal_gland
ENST00000368863,88,22,1315,0.00019,0.47967,0.49139,v37_adrenal_gland
ENST00000292180,33,11,587,0.00057,0.47525,0.52191,v37_adrenal_gland
ENST00000648231,38,4,931,0.00011,0.4195,0.40414,v37_adrenal_gland
ENST00000529168,62,12,1200,0.00016,0.37633,0.20868,v37_adrenal_gland
ENST00000368445,26,8,583,0.00053,0.6425,0.59112,v37_adrenal_gland
ENST00000334634,49,9,759,0.00024,0.4251,0.50886,v37_adrenal_gland
ENST00000368284,29,4,629,0.00022,0.53336,0.54134,v37_adrenal_gland
ENST00000368236,48,12,582,0.00043,0.43331,0.37614,v37_adrenal_gland
ENST00000708590,48,12,582,0.00043,0.43331,0.37614,v37_adrenal_gland
ENST00000368184,33,11,734,0.00045,0.41949,0.40785,v37_adrenal_gland
ENST00000361835,32,5,977,0.00016,0.38738,0.18894,v37_adrenal_gland
ENST00000263285,33,11,655,0.00051,0.54129,0.68105,v37_adrenal_gland
ENST00000368013,55,21,1101,0.00035,0.54899,0.6693,v37_adrenal_gland
ENST00000263686,44,15,830,0.00041,0.46131,0.54795,v37_adrenal_gland
ENST00000344730,48,20,1064,0.00039,0.59461,0.63609,v37_adrenal_gland
