ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,0,221,0.0,0.49955,,v22_prostate
ENST00000428771,7,0,247,0.0,0.46154,,v22_prostate
ENST00000537107,20,1,399,0.00013,0.51579,0.03759,v22_prostate
ENST00000476993,19,1,445,0.00012,0.47037,0.27416,v22_prostate
ENST00000612705,10,0,166,0.0,0.49096,,v22_prostate
ENST00000378453,10,0,166,0.0,0.49096,,v22_prostate
ENST00000444870,3,0,78,0.0,0.18376,,v22_prostate
ENST00000377627,10,2,175,0.00114,0.488,0.68572,v22_prostate
ENST00000604074,26,4,403,0.00038,0.60594,0.58623,v22_prostate
ENST00000356607,34,3,377,0.00023,0.41801,0.25287,v22_prostate
ENST00000602296,6,0,143,0.0,0.65035,,v22_prostate
ENST00000376629,5,0,152,0.0,0.77237,,v22_prostate
ENST00000334600,22,3,474,0.00029,0.40526,0.40999,v22_prostate
ENST00000376014,13,0,253,0.0,0.53846,,v22_prostate
ENST00000376008,13,0,253,0.0,0.53846,,v22_prostate
ENST00000487038,4,2,120,0.00417,0.6,0.52916,v22_prostate
ENST00000503743,34,3,421,0.00021,0.45759,0.7118,v22_prostate
ENST00000251296,15,2,467,0.00029,0.44511,0.55353,v22_prostate
ENST00000375534,17,4,182,0.00129,0.38849,0.46978,v22_prostate
ENST00000375535,17,4,183,0.00129,0.39184,0.47268,v22_prostate
ENST00000375111,4,1,144,0.00174,0.6059,0.6875,v22_prostate
ENST00000615215,12,2,215,0.00078,0.47248,0.46976,v22_prostate
ENST00000374392,3,0,102,0.0,0.92157,,v22_prostate
ENST00000356046,18,3,556,0.0003,0.57664,0.3693,v22_prostate
ENST00000436717,11,1,183,0.0005,0.48783,0.85792,v22_prostate
ENST00000616511,6,1,116,0.00144,0.51437,0.77586,v22_prostate
ENST00000374393,10,2,115,0.00174,0.63478,0.73478,v22_prostate
ENST00000374278,20,0,323,0.0,0.49768,,v22_prostate
ENST00000374300,8,1,292,0.00043,0.497,0.86644,v22_prostate
ENST00000318074,40,2,550,9e-05,0.4475,0.55091,v22_prostate
ENST00000373857,14,0,342,0.0,0.55806,,v22_prostate
ENST00000536384,20,2,459,0.00022,0.57941,0.72113,v22_prostate
ENST00000420504,10,0,307,0.0,0.55993,,v22_prostate
ENST00000609129,21,5,495,0.00048,0.53285,0.59515,v22_prostate
ENST00000339480,5,1,266,0.00075,0.32181,0.29699,v22_prostate
ENST00000338513,7,1,273,0.00052,0.5573,0.87546,v22_prostate
ENST00000373366,12,0,270,0.0,0.5179,,v22_prostate
ENST00000373362,12,0,270,0.0,0.5179,,v22_prostate
ENST00000373484,54,6,476,0.00023,0.62842,0.67087,v22_prostate
ENST00000621781,4,1,84,0.00298,0.65774,0.96429,v22_prostate
ENST00000373012,21,0,451,0.0,0.46078,,v22_prostate
ENST00000621281,3,0,110,0.0,0.66667,,v22_prostate
ENST00000372816,19,2,364,0.00029,0.71009,0.76236,v22_prostate
ENST00000397332,20,2,394,0.00025,0.69797,0.78046,v22_prostate
ENST00000372815,4,0,236,0.0,0.49046,,v22_prostate
ENST00000372587,11,3,178,0.00153,0.57712,0.7397,v22_prostate
ENST00000372653,60,8,301,0.00044,0.63206,0.63289,v22_prostate
ENST00000372508,14,1,284,0.00025,0.46202,0.97535,v22_prostate
ENST00000539749,13,1,218,0.00035,0.48377,0.12844,v22_prostate
ENST00000523677,3,1,113,0.00295,0.68142,0.69027,v22_prostate
ENST00000372359,7,0,220,0.0,0.51493,,v22_prostate
ENST00000372299,33,4,389,0.00031,0.47464,0.46787,v22_prostate
ENST00000531451,3,1,139,0.0024,0.64269,0.86331,v22_prostate
ENST00000372362,4,2,155,0.00323,0.56452,0.6,v22_prostate
ENST00000351035,12,1,429,0.00019,0.60334,0.11655,v22_prostate
ENST00000355498,49,6,521,0.00024,0.49156,0.66475,v22_prostate
ENST00000354383,49,6,522,0.00023,0.49234,0.66539,v22_prostate
ENST00000672818,49,6,546,0.00022,0.51278,0.6801,v22_prostate
ENST00000528077,7,2,106,0.0027,0.72642,0.59906,v22_prostate
ENST00000371946,26,2,453,0.00017,0.53124,0.14018,v22_prostate
ENST00000371655,11,1,219,0.00042,0.59485,0.58447,v22_prostate
ENST00000371116,24,3,478,0.00026,0.56224,0.59833,v22_prostate
ENST00000371092,10,2,216,0.00093,0.41065,0.77778,v22_prostate
ENST00000354777,19,2,543,0.00019,0.56053,0.6059,v22_prostate
ENST00000370976,15,2,450,0.0003,0.61467,0.53334,v22_prostate
ENST00000477717,28,1,336,0.00011,0.32749,0.13393,v22_prostate
ENST00000534056,14,3,340,0.00063,0.32206,0.42157,v22_prostate
ENST00000457880,9,2,226,0.00098,0.37119,0.5,v22_prostate
ENST00000370867,14,4,259,0.0011,0.38803,0.46718,v22_prostate
ENST00000370756,13,4,297,0.00104,0.55115,0.50084,v22_prostate
ENST00000254821,12,1,320,0.00026,0.57786,0.99375,v22_prostate
ENST00000370689,14,2,351,0.00041,0.46703,0.23219,v22_prostate
ENST00000652648,10,2,390,0.00051,0.60051,0.54488,v22_prostate
ENST00000342173,14,3,284,0.00075,0.62022,0.39554,v22_prostate
ENST00000370068,20,3,539,0.00028,0.46865,0.52628,v22_prostate
ENST00000686434,18,2,501,0.00022,0.609,0.67864,v22_prostate
ENST00000357155,21,1,354,0.00013,0.43274,0.09322,v22_prostate
ENST00000349334,4,0,181,0.0,0.45028,,v22_prostate
ENST00000369836,6,1,218,0.00076,0.45872,0.63761,v22_prostate
ENST00000369801,29,5,438,0.00039,0.547,0.56119,v22_prostate
ENST00000359172,27,4,483,0.00031,0.42896,0.48499,v22_prostate
ENST00000369709,15,5,184,0.00181,0.46377,0.58587,v22_prostate
ENST00000687939,15,5,184,0.00181,0.46377,0.58587,v22_prostate
ENST00000369516,9,1,221,0.0005,0.70639,0.71493,v22_prostate
ENST00000369500,27,2,362,0.0002,0.47422,0.50276,v22_prostate
ENST00000369510,25,3,522,0.00023,0.59739,0.63666,v22_prostate
ENST00000256585,9,1,158,0.0007,0.66596,0.62658,v22_prostate
ENST00000313835,22,6,455,0.0006,0.5005,0.50146,v22_prostate
ENST00000369152,6,1,137,0.00122,0.63625,0.60584,v22_prostate
ENST00000616917,8,0,220,0.0,0.54034,,v22_prostate
ENST00000295294,12,0,275,0.0,0.5897,,v22_prostate
ENST00000312210,34,4,327,0.00036,0.60425,0.6445,v22_prostate
ENST00000290583,53,4,465,0.00016,0.60272,0.44355,v22_prostate
ENST00000290585,51,4,415,0.00019,0.60364,0.43675,v22_prostate
ENST00000368908,13,4,227,0.00136,0.53202,0.39207,v22_prostate
ENST00000368762,17,1,89,0.00066,0.3655,0.24719,v22_prostate
ENST00000368718,1,0,92,0.0,0.69565,,v22_prostate
ENST00000368708,7,0,98,0.0,0.62099,,v22_prostate
ENST00000368600,21,2,375,0.00025,0.58883,0.63066,v22_prostate
ENST00000271889,24,4,395,0.00042,0.54747,0.37912,v22_prostate
ENST00000368600,21,2,375,0.00025,0.58883,0.63066,v22_prostate
ENST00000618489,23,4,449,0.00039,0.4282,0.39922,v22_prostate
ENST00000428024,23,4,449,0.00039,0.4282,0.39922,v22_prostate
ENST00000368336,20,3,398,0.00038,0.42852,0.4598,v22_prostate
ENST00000368390,15,3,255,0.00078,0.42667,0.39477,v22_prostate
ENST00000368392,15,3,264,0.00076,0.44394,0.41541,v22_prostate
ENST00000337604,16,3,273,0.00069,0.44322,0.43468,v22_prostate
ENST00000359751,8,0,193,0.0,0.63925,,v22_prostate
ENST00000295694,13,2,394,0.00039,0.43069,0.17386,v22_prostate
ENST00000368222,5,1,138,0.00145,0.52609,0.32609,v22_prostate
ENST00000621784,5,1,138,0.00145,0.52609,0.32609,v22_prostate
ENST00000392252,21,5,452,0.00053,0.62979,0.63894,v22_prostate
ENST00000368138,22,6,483,0.00056,0.60512,0.65424,v22_prostate
ENST00000368012,28,2,510,0.00014,0.50987,0.91667,v22_prostate
