Gene,OptionalDataColumns
ENST00000379116,0.0002
ENST00000378785,0.00018
ENST00000378531,0.0004
ENST00000611612,0.00013
ENST00000401095,5e-05
ENST00000378378,0.00014
ENST00000288774,0.00032
ENST00000270722,0.0
ENST00000378567,0.00027
ENST00000378156,0.00011
ENST00000377411,0.0
ENST00000377093,0.00015
ENST00000613099,4e-05
ENST00000359621,0.0
ENST00000329454,0.0
ENST00000375667,0.00012
ENST00000375692,0.00011
ENST00000375375,0.00025
ENST00000400661,0.00025
ENST00000420770,0.00013
ENST00000375031,0.00018
ENST00000495204,0.00012
ENST00000374765,0.00015
ENST00000542643,0.00015
ENST00000374434,4e-05
ENST00000374392,0.0
ENST00000374272,0.0002
ENST00000374276,0.0
ENST00000361530,0.00026
ENST00000320567,0.00016
ENST00000374168,0.00023
ENST00000629832,0.00023
ENST00000373888,0.0
ENST00000373894,0.0
ENST00000465645,0.0
ENST00000647380,0.0
ENST00000403528,0.00034
ENST00000536384,0.00022
ENST00000536384,0.00022
ENST00000373480,9e-05
ENST00000453908,0.0
ENST00000354267,0.00028
ENST00000373104,0.00013
ENST00000331593,0.00011
ENST00000372815,0.0
ENST00000324379,0.0
ENST00000372827,0.00011
ENST00000372583,4e-05
ENST00000372653,0.00044
ENST00000450269,0.0
ENST00000372372,0.0
ENST00000262915,0.00017
ENST00000334815,0.0003
ENST00000672818,0.00022
ENST00000371528,0.00026
ENST00000357206,0.00019
ENST00000536120,0.00024
ENST00000388876,0.00036
ENST00000354412,5e-05
ENST00000347547,5e-05
ENST00000371454,3e-05
ENST00000371276,0.00012
ENST00000343744,5e-05
ENST00000371316,5e-05
ENST00000371250,0.0
ENST00000421030,3e-05
ENST00000425300,0.00012
ENST00000371218,0.00034
ENST00000403491,0.00038
ENST00000370938,0.00024
ENST00000357692,0.00025
ENST00000370589,0.00017
ENST00000370425,0.00026
ENST00000436063,0.00041
ENST00000545708,0.00028
ENST00000294724,0.00014
ENST00000353414,0.00011
ENST00000370083,0.00022
ENST00000369872,0.00023
ENST00000527748,0.0001
ENST00000310611,0.0
ENST00000369801,0.00039
ENST00000359172,0.00031
ENST00000343210,0.00039
ENST00000307546,0.00012
ENST00000369483,5e-05
ENST00000369442,0.00024
ENST00000295598,9e-05
ENST00000369496,7e-05
ENST00000369530,0.00032
ENST00000610726,0.0003
ENST00000369356,8e-05
ENST00000618462,8e-05
ENST00000369349,0.00026
ENST00000579512,0.0
ENST00000369158,0.0
ENST00000578186,0.0
ENST00000331128,0.0
ENST00000312210,0.00036
ENST00000493834,0.0004
ENST00000368913,2e-05
ENST00000368890,0.00036
ENST00000368799,8e-05
ENST00000531094,0.0001
ENST00000368718,0.0
ENST00000440685,0.0
ENST00000476133,0.0
ENST00000368482,0.0003
ENST00000651641,0.00022
ENST00000368431,0.00021
ENST00000368382,6e-05
ENST00000327247,0.0003
ENST00000574670,0.0003
ENST00000327247,0.0003
ENST00000574670,0.0003
ENST00000615517,0.0
ENST00000359751,0.0
ENST00000356955,8e-05
ENST00000313667,9e-05
ENST00000368285,4e-05
ENST00000614643,0.00015
ENST00000368232,0.00019
ENST00000368218,0.00023
ENST00000475733,0.00026
ENST00000622395,0.0
ENST00000309758,0.0
ENST00000294796,0.00034
ENST00000361200,0.0001
ENST00000367862,0.00036
ENST00000538366,0.00029
ENST00000367840,0.00024
ENST00000476371,0.0
ENST00000294848,0.00025
ENST00000417329,0.00026
ENST00000344730,0.0002
ENST00000493293,0.00015
ENST00000362061,5e-05
ENST00000335211,4e-05
ENST00000367478,0.00013
ENST00000361565,0.00022
ENST00000340006,0.0
ENST00000367278,0.0001
ENST00000439764,0.00016
ENST00000241651,0.0
ENST00000255416,8e-05
ENST00000367157,0.00023
ENST00000367135,0.00014
ENST00000678498,0.00013
ENST00000358184,0.0002
ENST00000581977,6e-05
ENST00000367080,0.00037
ENST00000358170,0.00043
ENST00000628693,0.00037
ENST00000545154,0.00037
ENST00000629360,0.00028
ENST00000261458,0.00028
ENST00000367010,0.00028
ENST00000625820,0.00028
ENST00000391894,0.00016
ENST00000444842,0.00016
ENST00000343410,0.00013
ENST00000350027,0.00035
ENST00000391878,0.00027
ENST00000272164,0.00021
ENST00000284548,1e-05
ENST00000422127,1e-05
ENST00000470540,0.00016
ENST00000366578,0.0
ENST00000490107,0.0001
ENST00000366481,0.0
ENST00000360358,0.00035
ENST00000316157,0.00023
ENST00000509513,0.00023
ENST00000263125,0.00017
ENST00000397053,0.00022
ENST00000327347,0.00038
ENST00000378278,0.00019
ENST00000417816,0.00019
ENST00000326799,0.00035
ENST00000346832,0.00016
ENST00000436087,0.00023
ENST00000452305,0.00024
ENST00000350537,9e-05
ENST00000374773,0.00012
ENST00000374446,0.00031
ENST00000374314,0.00017
ENST00000374391,4e-05
ENST00000610656,4e-05
ENST00000340258,0.0
ENST00000540872,0.00022
ENST00000298454,0.0
ENST00000374144,0.00013
ENST00000374103,4e-05
ENST00000579039,0.00025
ENST00000613657,0.00011
ENST00000503366,0.0001
ENST00000354393,0.00022
ENST00000688812,0.00027
ENST00000358913,0.00015
ENST00000399169,0.00021
ENST00000642044,0.00036
ENST00000372873,9e-05
ENST00000394810,6e-05
ENST00000615507,0.0
ENST00000673027,0.00041
ENST00000713561,0.0
ENST00000713560,0.0
ENST00000286628,8e-05
ENST00000334512,0.0001
ENST00000327946,0.00012
ENST00000241891,0.0
ENST00000372066,0.0
ENST00000238983,0.00016
ENST00000394375,0.00015
ENST00000371790,0.00029
ENST00000311575,0.0
ENST00000260762,0.0003
ENST00000371380,6e-05
ENST00000630152,0.00043
ENST00000307518,0.00014
ENST00000370397,0.00041
ENST00000370584,0.00027
ENST00000612478,0.00027
ENST00000371247,0.00013
ENST00000370269,0.00024
ENST00000370033,0.00016
ENST00000369893,0.00039
ENST00000448841,0.00042
ENST00000343289,0.00034
ENST00000404739,0.00034
ENST00000369875,0.0
ENST00000450629,0.0
ENST00000369707,0.0
ENST00000263054,0.0001
ENST00000348367,0.00024
ENST00000542051,0.0
ENST00000360478,9e-05
ENST00000304129,0.00022
ENST00000369271,0.00022
ENST00000369085,0.00015
ENST00000513429,9e-05
ENST00000260733,0.00011
ENST00000357555,0.00012
ENST00000457416,0.00015
ENST00000360144,0.00017
ENST00000368642,7e-05
ENST00000631148,0.00022
ENST00000625755,0.0
ENST00000673157,0.00025
ENST00000381558,0.00025
ENST00000672629,0.00026
ENST00000381589,0.00026
ENST00000278317,0.00024
ENST00000672214,0.00024
ENST00000155840,0.0
ENST00000389832,0.00029
ENST00000380525,0.00014
ENST00000612826,0.00014
ENST00000527275,0.00014
ENST00000299492,0.00021
ENST00000528883,0.00026
ENST00000397004,0.00028
ENST00000533723,0.0
ENST00000396553,7e-05
ENST00000423302,0.00013
ENST00000401424,0.0003
ENST00000331587,0.0
ENST00000389817,8e-05
ENST00000250003,0.0
ENST00000339994,0.0
ENST00000672527,0.00035
ENST00000265963,0.00035
ENST00000331079,0.00025
ENST00000263182,0.00014
ENST00000532081,0.0
ENST00000349880,3e-05
ENST00000396087,3e-05
ENST00000356660,0.00037
ENST00000525950,0.00037
ENST00000227868,0.00038
ENST00000527033,0.00038
ENST00000532616,0.00038
ENST00000020926,0.00021
ENST00000020926,0.00021
ENST00000415148,0.00011
ENST00000428726,0.00014
ENST00000622142,6e-05
ENST00000311764,0.0002
ENST00000352508,0.0
ENST00000298854,0.0
ENST00000418331,0.00016
ENST00000406482,4e-05
ENST00000257254,0.00033
ENST00000335099,0.0001
ENST00000527972,0.0002
ENST00000533605,0.0
ENST00000674617,0.00019
ENST00000344931,0.00014
ENST00000334888,0.0
ENST00000340437,0.00037
ENST00000426142,0.00021
ENST00000528621,0.00021
ENST00000530748,0.00021
ENST00000526357,0.00019
ENST00000415361,0.00019
ENST00000532844,0.00019
ENST00000361332,0.00021
ENST00000399050,0.00021
ENST00000402010,0.0001
ENST00000398802,0.00023
ENST00000334944,0.0003
ENST00000342202,0.0
ENST00000532620,0.00024
ENST00000312134,0.0
ENST00000312006,0.0
ENST00000357440,0.00023
ENST00000393893,0.0
ENST00000601538,6e-05
ENST00000393597,0.0
ENST00000393596,0.0
ENST00000426995,0.0
ENST00000278550,4e-05
ENST00000527447,0.00022
ENST00000315765,9e-05
ENST00000243673,0.0
ENST00000524871,0.0002
ENST00000524871,0.0002
ENST00000650373,7e-05
ENST00000529221,0.00018
ENST00000426998,0.00039
ENST00000392996,0.00016
ENST00000528626,7e-05
ENST00000524993,6e-05
ENST00000430170,6e-05
ENST00000526090,0.0
ENST00000431736,0.00021
ENST00000529790,0.0
ENST00000442938,0.00033
ENST00000710552,0.00031
ENST00000538950,0.00031
ENST00000543440,0.00034
ENST00000392793,4e-05
ENST00000260187,5e-05
ENST00000326621,0.00028
ENST00000263593,0.00031
ENST00000281182,0.0003
