ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378785,27,2,411,0.00018,0.4722,0.45742,v36_thyroid_parathyroid
ENST00000378531,25,5,497,0.0004,0.50849,0.40966,v36_thyroid_parathyroid
ENST00000288774,18,2,346,0.00032,0.49534,0.55925,v36_thyroid_parathyroid
ENST00000378567,25,4,592,0.00027,0.51426,0.79772,v36_thyroid_parathyroid
ENST00000377411,10,0,335,0.0,0.63284,,v36_thyroid_parathyroid
ENST00000240185,26,5,414,0.00046,0.56763,0.5,v36_thyroid_parathyroid
ENST00000359621,9,0,269,0.0,0.53697,,v36_thyroid_parathyroid
ENST00000329454,7,0,169,0.0,0.52409,,v36_thyroid_parathyroid
ENST00000375667,16,1,517,0.00012,0.55416,0.66344,v36_thyroid_parathyroid
ENST00000375692,27,2,686,0.00011,0.55183,0.84184,v36_thyroid_parathyroid
ENST00000420770,30,2,505,0.00013,0.53122,0.4693,v36_thyroid_parathyroid
ENST00000375031,16,1,339,0.00018,0.42017,0.20944,v36_thyroid_parathyroid
ENST00000542643,30,3,681,0.00015,0.47954,0.53793,v36_thyroid_parathyroid
ENST00000374392,3,0,102,0.0,0.92157,,v36_thyroid_parathyroid
ENST00000436717,11,1,183,0.0005,0.48783,0.85792,v36_thyroid_parathyroid
ENST00000374395,16,2,241,0.00052,0.48885,0.69917,v36_thyroid_parathyroid
ENST00000412742,15,3,173,0.00116,0.60694,0.7842,v36_thyroid_parathyroid
ENST00000374272,28,2,353,0.0002,0.54745,0.38385,v36_thyroid_parathyroid
ENST00000374276,21,0,372,0.0,0.50423,,v36_thyroid_parathyroid
ENST00000374269,17,5,341,0.00086,0.47162,0.6305,v36_thyroid_parathyroid
ENST00000320567,16,1,398,0.00016,0.63772,0.78643,v36_thyroid_parathyroid
ENST00000374168,30,5,735,0.00023,0.61116,0.60082,v36_thyroid_parathyroid
ENST00000629832,30,5,735,0.00023,0.61116,0.60082,v36_thyroid_parathyroid
ENST00000373888,13,0,373,0.0,0.57393,,v36_thyroid_parathyroid
ENST00000373894,19,0,455,0.0,0.59549,,v36_thyroid_parathyroid
ENST00000373925,25,5,260,0.00077,0.62292,0.78923,v36_thyroid_parathyroid
ENST00000645794,8,2,208,0.0012,0.46875,0.67308,v36_thyroid_parathyroid
ENST00000373842,8,2,208,0.0012,0.46875,0.67308,v36_thyroid_parathyroid
ENST00000465645,5,0,60,0.0,0.59,,v36_thyroid_parathyroid
ENST00000647380,5,0,60,0.0,0.59,,v36_thyroid_parathyroid
ENST00000403528,14,2,425,0.00034,0.57697,0.19765,v36_thyroid_parathyroid
ENST00000536384,20,2,459,0.00022,0.57941,0.72113,v36_thyroid_parathyroid
ENST00000536384,20,2,459,0.00022,0.57941,0.72113,v36_thyroid_parathyroid
ENST00000414241,15,3,424,0.00047,0.49355,0.66588,v36_thyroid_parathyroid
ENST00000354267,16,1,223,0.00028,0.54596,0.83857,v36_thyroid_parathyroid
ENST00000331593,23,1,402,0.00011,0.46626,0.60697,v36_thyroid_parathyroid
ENST00000372815,4,0,236,0.0,0.49046,,v36_thyroid_parathyroid
ENST00000324379,11,0,301,0.0,0.59982,,v36_thyroid_parathyroid
ENST00000372827,22,1,402,0.00011,0.47659,0.60697,v36_thyroid_parathyroid
ENST00000523677,3,1,113,0.00295,0.68142,0.69027,v36_thyroid_parathyroid
ENST00000450269,16,0,291,0.0,0.43729,,v36_thyroid_parathyroid
ENST00000372372,11,0,413,0.0,0.63746,,v36_thyroid_parathyroid
ENST00000262915,13,1,444,0.00017,0.57502,0.1464,v36_thyroid_parathyroid
ENST00000334815,27,3,371,0.0003,0.67465,0.81761,v36_thyroid_parathyroid
ENST00000262746,9,1,199,0.00056,0.64154,0.46734,v36_thyroid_parathyroid
ENST00000319248,9,1,199,0.00056,0.64154,0.46734,v36_thyroid_parathyroid
ENST00000424390,9,1,199,0.00056,0.64154,0.46734,v36_thyroid_parathyroid
ENST00000536120,17,1,244,0.00024,0.55882,0.40984,v36_thyroid_parathyroid
ENST00000322679,6,1,125,0.00133,0.592,0.816,v36_thyroid_parathyroid
ENST00000388876,14,1,201,0.00036,0.5732,0.50746,v36_thyroid_parathyroid
ENST00000361921,6,1,125,0.00133,0.592,0.816,v36_thyroid_parathyroid
ENST00000354412,27,1,700,5e-05,0.46831,0.29286,v36_thyroid_parathyroid
ENST00000347547,28,1,793,5e-05,0.49248,0.96091,v36_thyroid_parathyroid
ENST00000371276,29,2,569,0.00012,0.49664,0.46222,v36_thyroid_parathyroid
ENST00000371250,12,0,311,0.0,0.51072,,v36_thyroid_parathyroid
ENST00000425300,25,2,652,0.00012,0.60429,0.57132,v36_thyroid_parathyroid
ENST00000430330,7,2,140,0.00204,0.67653,0.60715,v36_thyroid_parathyroid
ENST00000370938,21,2,405,0.00024,0.41293,0.37778,v36_thyroid_parathyroid
ENST00000294638,17,4,356,0.00066,0.62525,0.7809,v36_thyroid_parathyroid
ENST00000357692,23,3,529,0.00025,0.4984,0.46503,v36_thyroid_parathyroid
ENST00000370894,13,2,169,0.00091,0.47246,0.30473,v36_thyroid_parathyroid
ENST00000710932,26,11,632,0.00067,0.52605,0.55452,v36_thyroid_parathyroid
ENST00000417775,14,3,329,0.00065,0.54472,0.31712,v36_thyroid_parathyroid
ENST00000394834,6,1,102,0.00163,0.5866,0.52941,v36_thyroid_parathyroid
ENST00000545708,22,3,491,0.00028,0.43779,0.48744,v36_thyroid_parathyroid
ENST00000370137,19,4,335,0.00063,0.50338,0.5791,v36_thyroid_parathyroid
ENST00000370137,19,4,335,0.00063,0.50338,0.5791,v36_thyroid_parathyroid
ENST00000370138,20,5,339,0.00074,0.52065,0.65015,v36_thyroid_parathyroid
ENST00000370083,18,2,511,0.00022,0.41313,0.04208,v36_thyroid_parathyroid
ENST00000369872,16,1,272,0.00023,0.71783,0.88603,v36_thyroid_parathyroid
ENST00000527748,22,1,451,0.0001,0.64281,0.65188,v36_thyroid_parathyroid
ENST00000310611,2,0,133,0.0,0.48872,,v36_thyroid_parathyroid
ENST00000369801,29,5,438,0.00039,0.547,0.56119,v36_thyroid_parathyroid
ENST00000359172,27,4,483,0.00031,0.42896,0.48499,v36_thyroid_parathyroid
ENST00000343210,23,5,555,0.00039,0.4857,0.53189,v36_thyroid_parathyroid
ENST00000369442,25,3,496,0.00024,0.47718,0.68884,v36_thyroid_parathyroid
ENST00000369347,17,3,173,0.00102,0.51377,0.37379,v36_thyroid_parathyroid
ENST00000369347,17,3,173,0.00102,0.51377,0.37379,v36_thyroid_parathyroid
ENST00000582693,15,3,304,0.00066,0.64978,0.61294,v36_thyroid_parathyroid
ENST00000313835,22,6,455,0.0006,0.5005,0.50146,v36_thyroid_parathyroid
ENST00000579512,2,0,103,0.0,0.58252,,v36_thyroid_parathyroid
ENST00000369158,8,0,136,0.0,0.48346,,v36_thyroid_parathyroid
ENST00000578186,2,0,103,0.0,0.58252,,v36_thyroid_parathyroid
ENST00000331128,6,0,130,0.0,0.46026,,v36_thyroid_parathyroid
ENST00000368890,22,4,500,0.00036,0.58873,0.66,v36_thyroid_parathyroid
ENST00000361631,8,2,133,0.00188,0.5968,0.57519,v36_thyroid_parathyroid
ENST00000339643,11,3,137,0.00199,0.45853,0.40146,v36_thyroid_parathyroid
ENST00000503241,10,3,133,0.00226,0.4188,0.41354,v36_thyroid_parathyroid
ENST00000295314,26,6,345,0.00067,0.53623,0.41014,v36_thyroid_parathyroid
ENST00000360379,12,2,72,0.00231,0.39352,0.31944,v36_thyroid_parathyroid
ENST00000392653,12,2,72,0.00231,0.39352,0.31944,v36_thyroid_parathyroid
ENST00000368750,12,2,72,0.00231,0.39352,0.31944,v36_thyroid_parathyroid
ENST00000331860,17,3,169,0.00104,0.33693,0.16765,v36_thyroid_parathyroid
ENST00000368718,1,0,92,0.0,0.69565,,v36_thyroid_parathyroid
ENST00000440685,4,0,98,0.0,0.45408,,v36_thyroid_parathyroid
ENST00000476133,4,0,98,0.0,0.45408,,v36_thyroid_parathyroid
ENST00000368482,19,2,351,0.0003,0.49063,0.60542,v36_thyroid_parathyroid
ENST00000651641,16,1,285,0.00022,0.3761,0.13333,v36_thyroid_parathyroid
ENST00000368431,16,1,294,0.00021,0.50744,0.31633,v36_thyroid_parathyroid
ENST00000327247,25,4,536,0.0003,0.48799,0.49674,v36_thyroid_parathyroid
ENST00000574670,25,4,536,0.0003,0.48799,0.49674,v36_thyroid_parathyroid
ENST00000327247,25,4,536,0.0003,0.48799,0.49674,v36_thyroid_parathyroid
ENST00000574670,25,4,536,0.0003,0.48799,0.49674,v36_thyroid_parathyroid
ENST00000615517,7,0,189,0.0,0.43235,,v36_thyroid_parathyroid
ENST00000438413,12,3,229,0.00109,0.42176,0.32605,v36_thyroid_parathyroid
ENST00000359751,8,0,193,0.0,0.63925,,v36_thyroid_parathyroid
ENST00000427683,8,1,207,0.0006,0.60145,0.87923,v36_thyroid_parathyroid
ENST00000614643,21,1,325,0.00015,0.56102,0.61231,v36_thyroid_parathyroid
ENST00000368232,28,2,370,0.00019,0.55164,0.57567,v36_thyroid_parathyroid
ENST00000368218,16,1,277,0.00023,0.48782,0.22383,v36_thyroid_parathyroid
ENST00000326786,8,2,143,0.00175,0.40385,0.76574,v36_thyroid_parathyroid
ENST00000368165,23,4,298,0.00058,0.46819,0.53272,v36_thyroid_parathyroid
ENST00000475733,14,1,273,0.00026,0.61486,0.43223,v36_thyroid_parathyroid
ENST00000368072,21,3,299,0.00048,0.5743,0.7514,v36_thyroid_parathyroid
ENST00000622395,23,0,393,0.0,0.52262,,v36_thyroid_parathyroid
ENST00000309758,30,0,643,0.0,0.5494,,v36_thyroid_parathyroid
ENST00000294796,13,1,225,0.00034,0.46564,0.52,v36_thyroid_parathyroid
ENST00000612311,15,5,239,0.00139,0.61562,0.54644,v36_thyroid_parathyroid
ENST00000367762,26,8,221,0.00139,0.39506,0.3767,v36_thyroid_parathyroid
ENST00000476371,8,0,128,0.0,0.52149,,v36_thyroid_parathyroid
