Gene,OptionalDataColumns
ENST00000378756,43
ENST00000505820,52
ENST00000520777,51
ENST00000355826,52
ENST00000378712,47
ENST00000377004,47
ENST00000343090,80
ENST00000377093,69
ENST00000361445,167
ENST00000674817,51
ENST00000375799,52
ENST00000480945,33
ENST00000345034,40
ENST00000375254,286
ENST00000404138,72
ENST00000634561,57
ENST00000336689,57
ENST00000374434,67
ENST00000374343,45
ENST00000252992,81
ENST00000361771,34
ENST00000373779,74
ENST00000642937,34
ENST00000291416,34
ENST00000409190,57
ENST00000372856,39
ENST00000372858,42
ENST00000372572,63
ENST00000361776,63
ENST00000372343,75
ENST00000361297,96
ENST00000672818,49
ENST00000396153,40
ENST00000371586,65
ENST00000294353,48
ENST00000294383,153
ENST00000539524,47
ENST00000352171,47
ENST00000674203,46
ENST00000334785,44
ENST00000271234,41
ENST00000465892,36
ENST00000294724,70
ENST00000487146,46
ENST00000393274,49
ENST00000207157,34
ENST00000261443,40
ENST00000369530,42
ENST00000610726,43
ENST00000369356,237
ENST00000618462,228
ENST00000369354,233
ENST00000369349,125
ENST00000368969,64
ENST00000368913,43
ENST00000318247,43
ENST00000271915,63
ENST00000360674,52
ENST00000348159,46
ENST00000708596,46
ENST00000361831,49
ENST00000295566,51
ENST00000368081,48
ENST00000342310,34
ENST00000361200,50
ENST00000312263,44
ENST00000432587,58
ENST00000367840,58
ENST00000367500,51
ENST00000331314,42
ENST00000362061,73
ENST00000335211,126
ENST00000608999,56
ENST00000419091,40
ENST00000366993,76
ENST00000366923,73
ENST00000366777,35
ENST00000284548,395
ENST00000422127,471
ENST00000258243,105
ENST00000366661,52
ENST00000366578,57
ENST00000602682,39
ENST00000224949,62
ENST00000355029,43
ENST00000263125,33
ENST00000417956,47
ENST00000378757,40
ENST00000378747,40
ENST00000378748,40
ENST00000376454,107
ENST00000342386,38
ENST00000355867,113
ENST00000452305,46
ENST00000374794,87
ENST00000346874,94
ENST00000374788,99
ENST00000340077,54
ENST00000374144,78
ENST00000618804,44
ENST00000337910,37
ENST00000309334,50
ENST00000682758,46
ENST00000354393,62
ENST00000613327,85
ENST00000358913,85
ENST00000372919,40
ENST00000372873,45
ENST00000394810,63
ENST00000623056,37
ENST00000429277,32
ENST00000265997,55
ENST00000265986,50
ENST00000370992,59
ENST00000371247,70
ENST00000370162,40
ENST00000677240,92
ENST00000676993,91
ENST00000369519,69
ENST00000263054,59
ENST00000360478,110
ENST00000359988,111
ENST00000369085,46
ENST00000369144,107
ENST00000369043,36
ENST00000513429,61
ENST00000369005,169
ENST00000260733,54
ENST00000359653,38
ENST00000389989,48
ENST00000397111,35
ENST00000633248,35
ENST00000380525,42
ENST00000612826,42
ENST00000380525,42
ENST00000612826,42
ENST00000300737,36
ENST00000359518,50
ENST00000379719,77
ENST00000397004,43
ENST00000396553,38
ENST00000339865,66
ENST00000256194,52
ENST00000528252,78
ENST00000396356,77
ENST00000324559,42
ENST00000378623,71
ENST00000311764,49
ENST00000454345,77
ENST00000395336,88
ENST00000358597,45
ENST00000532048,45
ENST00000300146,68
ENST00000339997,35
ENST00000164139,34
ENST00000377387,41
ENST00000270176,39
ENST00000420247,39
ENST00000513398,65
ENST00000316924,35
ENST00000530165,40
ENST00000532504,47
ENST00000672685,47
ENST00000433060,82
ENST00000393094,49
ENST00000278590,55
ENST00000200135,41
ENST00000003302,75
ENST00000392996,38
ENST00000300650,51
ENST00000260187,32
ENST00000412006,41
ENST00000340908,195
ENST00000642583,95
ENST00000399591,95
ENST00000399466,56
ENST00000229268,39
ENST00000672694,45
ENST00000455147,45
ENST00000261201,60
ENST00000350437,76
ENST00000432584,32
ENST00000421952,46
ENST00000550311,35
ENST00000394023,71
ENST00000550952,46
ENST00000347140,113
ENST00000537215,56
ENST00000550746,42
ENST00000551310,50
ENST00000436874,53
ENST00000434735,52
ENST00000308664,34
ENST00000457474,45
ENST00000314045,69
ENST00000392561,47
ENST00000618760,81
ENST00000300648,140
