Gene,OptionalDataColumns
ENST00000379198,6
ENST00000339381,20
ENST00000379268,9
ENST00000338660,3
ENST00000620829,17
ENST00000288774,11
ENST00000378427,6
ENST00000628389,6
ENST00000352527,9
ENST00000164247,11
ENST00000377507,13
ENST00000604074,16
ENST00000354437,19
ENST00000378285,19
ENST00000348333,15
ENST00000377414,7
ENST00000376637,4
ENST00000441801,7
ENST00000330263,8
ENST00000375535,14
ENST00000375105,7
ENST00000374472,7
ENST00000374497,12
ENST00000308873,9
ENST00000399916,9
ENST00000354361,6
ENST00000454452,5
ENST00000436717,7
ENST00000412742,12
ENST00000374268,7
ENST00000340849,6
ENST00000374271,14
ENST00000531382,15
ENST00000628256,15
ENST00000399173,16
ENST00000236412,2
ENST00000373826,9
ENST00000373831,12
ENST00000403528,6
ENST00000373582,9
ENST00000468695,10
ENST00000336890,16
ENST00000417239,0
ENST00000521580,0
ENST00000373237,8
ENST00000494695,2
ENST00000545417,5
ENST00000262915,12
ENST00000334815,17
ENST00000307089,10
ENST00000428112,17
ENST00000517870,5
ENST00000371330,13
ENST00000302250,18
ENST00000610401,17
ENST00000371509,18
ENST00000370994,19
ENST00000361219,19
ENST00000371014,21
ENST00000371016,20
ENST00000370894,11
ENST00000457880,6
ENST00000370608,23
ENST00000370688,11
ENST00000394839,10
ENST00000616170,15
ENST00000361321,7
ENST00000427103,12
ENST00000315713,9
ENST00000370203,5
ENST00000347652,22
ENST00000538610,9
ENST00000369769,15
ENST00000648608,5
ENST00000369744,16
ENST00000466741,14
ENST00000369716,6
ENST00000369630,3
ENST00000361886,2
ENST00000369478,19
ENST00000331491,8
ENST00000331128,4
ENST00000414276,2
ENST00000360244,4
ENST00000290524,17
ENST00000368888,21
ENST00000368910,4
ENST00000602841,12
ENST00000368905,13
ENST00000368825,16
ENST00000368713,4
ENST00000368531,15
ENST00000368431,9
ENST00000368432,19
ENST00000368445,17
ENST00000303343,7
ENST00000427500,16
ENST00000613861,17
ENST00000615517,6
ENST00000343256,5
ENST00000368392,14
ENST00000611010,16
ENST00000368284,21
ENST00000614643,14
ENST00000368262,3
ENST00000472765,19
ENST00000368279,8
ENST00000368276,10
ENST00000368232,20
ENST00000368184,21
ENST00000368174,18
ENST00000368170,17
ENST00000361835,22
ENST00000326786,7
ENST00000358292,16
ENST00000491942,12
ENST00000368176,12
ENST00000368166,9
ENST00000444681,15
ENST00000368130,17
ENST00000368198,18
ENST00000368106,23
ENST00000368140,18
ENST00000368138,18
ENST00000470705,10
ENST00000302035,11
ENST00000368043,8
ENST00000368046,9
ENST00000613788,12
ENST00000368039,5
ENST00000368055,12
ENST00000368059,15
ENST00000368059,15
ENST00000368057,15
ENST00000368072,18
ENST00000322302,18
ENST00000534968,9
ENST00000311224,12
ENST00000367961,10
ENST00000358671,10
ENST00000350710,4
ENST00000367950,6
ENST00000236938,19
ENST00000367854,16
ENST00000392122,11
ENST00000362089,12
ENST00000530507,6
ENST00000367819,5
ENST00000367818,5
ENST00000271411,3
ENST00000236147,12
ENST00000236147,12
ENST00000367721,11
ENST00000434571,10
ENST00000543215,9
ENST00000304244,4
ENST00000573477,8
ENST00000573679,12
ENST00000491855,20
ENST00000367217,21
ENST00000442561,20
ENST00000454264,23
ENST00000289703,17
ENST00000423557,11
ENST00000270218,10
ENST00000580449,19
ENST00000577571,14
ENST00000508064,18
ENST00000611909,4
ENST00000628511,9
ENST00000442471,10
ENST00000367091,13
ENST00000322875,6
ENST00000366968,9
ENST00000445590,10
ENST00000366890,10
ENST00000317586,8
ENST00000696618,15
ENST00000366503,13
ENST00000542957,7
ENST00000379959,17
ENST00000446108,19
ENST00000304267,18
ENST00000378614,8
ENST00000378278,21
ENST00000377091,7
ENST00000542547,16
ENST00000490841,16
ENST00000395810,18
ENST00000374429,3
ENST00000503753,14
ENST00000374321,14
ENST00000361148,20
ENST00000522165,21
ENST00000354547,20
ENST00000398978,21
ENST00000441259,20
ENST00000373189,8
ENST00000615507,2
ENST00000672429,12
ENST00000372687,12
ENST00000332904,21
ENST00000311575,5
ENST00000479522,2
ENST00000484444,2
ENST00000344386,22
ENST00000369875,7
ENST00000393104,8
ENST00000369315,11
ENST00000369060,22
ENST00000628426,20
ENST00000647406,3
ENST00000332826,21
ENST00000431843,14
ENST00000531214,15
ENST00000528581,19
ENST00000397408,8
ENST00000311604,20
ENST00000672565,20
ENST00000707559,3
ENST00000612541,3
ENST00000412090,3
ENST00000628787,3
ENST00000182290,18
ENST00000528410,18
ENST00000641350,4
ENST00000429814,23
ENST00000477358,1
ENST00000682019,15
ENST00000437750,13
ENST00000452374,8
ENST00000652678,4
ENST00000651785,4
ENST00000342935,9
ENST00000434472,7
ENST00000227163,12
ENST00000405853,20
ENST00000497933,10
ENST00000606794,5
ENST00000287275,14
ENST00000395074,13
ENST00000534668,8
ENST00000345732,8
ENST00000352009,19
ENST00000344931,12
ENST00000426130,3
ENST00000377897,23
ENST00000541278,8
ENST00000394546,9
ENST00000398802,9
ENST00000301886,7
ENST00000394216,4
ENST00000526451,9
ENST00000326294,5
ENST00000312457,17
ENST00000325656,13
ENST00000526387,10
ENST00000542590,23
ENST00000529635,12
ENST00000393979,2
ENST00000528743,5
ENST00000349767,10
ENST00000398492,2
ENST00000393703,11
ENST00000393705,11
ENST00000497194,9
ENST00000404792,11
ENST00000393399,19
ENST00000571244,12
ENST00000393150,12
ENST00000418434,8
ENST00000494737,3
ENST00000393067,10
ENST00000534497,10
ENST00000695719,12
ENST00000398006,13
ENST00000524595,5
ENST00000504030,18
ENST00000299961,16
ENST00000419197,6
ENST00000292067,13
ENST00000227752,20
ENST00000361763,8
ENST00000524993,14
ENST00000532917,17
ENST00000392884,9
ENST00000300692,10
ENST00000539526,2
ENST00000292174,6
ENST00000334418,19
ENST00000625528,19
ENST00000227348,15
ENST00000284292,1
ENST00000438015,16
ENST00000441717,10
ENST00000374786,9
ENST00000237837,8
ENST00000266557,10
ENST00000329858,8
ENST00000613953,9
ENST00000329913,16
ENST00000540085,13
ENST00000229335,6
ENST00000352620,9
ENST00000360500,11
ENST00000229402,10
ENST00000617889,12
ENST00000228434,6
ENST00000240618,12
ENST00000309384,7
ENST00000444971,7
ENST00000261340,11
ENST00000336164,10
ENST00000396484,10
ENST00000298523,5
ENST00000390677,7
ENST00000613662,7
ENST00000574870,7
ENST00000538986,9
ENST00000570941,9
ENST00000634193,9
ENST00000631720,8
ENST00000390675,8
ENST00000572376,8
ENST00000352940,18
ENST00000228936,17
ENST00000316048,11
ENST00000228945,4
ENST00000445537,22
ENST00000335148,9
ENST00000429849,15
ENST00000548766,16
ENST00000354454,16
ENST00000381273,9
ENST00000412352,9
ENST00000337682,10
ENST00000617411,10
ENST00000337682,10
ENST00000617411,10
ENST00000327791,11
ENST00000440781,14
ENST00000552761,15
ENST00000293549,7
ENST00000444214,3
ENST00000552212,11
ENST00000380327,10
ENST00000293662,11
ENST00000301190,22
ENST00000546636,17
ENST00000546378,11
ENST00000591397,2
ENST00000303406,14
ENST00000352268,12
ENST00000257895,12
ENST00000300098,8
ENST00000554764,3
ENST00000430041,21
ENST00000550465,13
ENST00000556825,3
ENST00000557487,17
ENST00000557348,2
ENST00000257848,12
ENST00000551641,17
ENST00000256010,4
ENST00000544406,11
ENST00000556029,12
ENST00000329406,7
ENST00000228463,22
ENST00000550948,22
ENST00000412676,4
ENST00000537496,8
ENST00000242607,11
ENST00000449768,12
ENST00000392465,11
ENST00000337174,17
ENST00000433877,5
ENST00000390680,16
ENST00000382907,7
ENST00000541211,12
ENST00000381120,23
ENST00000380814,13
ENST00000434425,17
ENST00000443765,17
ENST00000358545,12
ENST00000398795,13
ENST00000441843,21
ENST00000282026,4
ENST00000378182,14
ENST00000356017,14
ENST00000360473,12
ENST00000314070,14
ENST00000430559,11
ENST00000397470,9
ENST00000397473,9
ENST00000375353,9
ENST00000206542,11
ENST00000708774,11
ENST00000304677,9
ENST00000358932,17
ENST00000708739,17
ENST00000216714,12
ENST00000708794,12
ENST00000267396,11
ENST00000206513,7
ENST00000397379,17
ENST00000397154,19
ENST00000710588,6
ENST00000543805,1
ENST00000250378,7
ENST00000644309,2
ENST00000533293,2
ENST00000646659,2
ENST00000396789,2
ENST00000553879,16
ENST00000643468,16
ENST00000644874,17
ENST00000396618,17
ENST00000605870,14
ENST00000396249,18
ENST00000540712,3
ENST00000216367,19
ENST00000554396,18
ENST00000395860,9
ENST00000395514,7
ENST00000555278,15
ENST00000557164,19
ENST00000555042,18
ENST00000481935,4
ENST00000540593,20
ENST00000673765,21
ENST00000553716,6
ENST00000286639,11
ENST00000542766,9
ENST00000267549,4
ENST00000335725,21
ENST00000650645,11
ENST00000531499,11
ENST00000610758,21
ENST00000435962,21
ENST00000298845,11
ENST00000402399,5
ENST00000345514,20
ENST00000357223,14
ENST00000448921,14
ENST00000614317,14
ENST00000359366,7
ENST00000359366,7
ENST00000359366,7
ENST00000344102,16
ENST00000358655,16
ENST00000422945,22
ENST00000299135,3
ENST00000392593,20
ENST00000332972,18
ENST00000329797,7
ENST00000336219,9
ENST00000455693,14
ENST00000437966,5
ENST00000561607,22
ENST00000559701,11
ENST00000397573,19
ENST00000562057,15
ENST00000349777,11
ENST00000563065,1
ENST00000300213,18
ENST00000458412,2
ENST00000389425,19
ENST00000261837,10
ENST00000537372,20
ENST00000355522,6
ENST00000268043,23
ENST00000542035,9
ENST00000340912,9
ENST00000395205,19
ENST00000564777,15
ENST00000359750,13
ENST00000541638,18
ENST00000672584,18
ENST00000395105,18
ENST00000616000,18
ENST00000673414,18
ENST00000439220,14
ENST00000359928,22
ENST00000361900,7
ENST00000558012,21
ENST00000424443,6
ENST00000412074,4
ENST00000261751,10
ENST00000559658,11
ENST00000335661,10
ENST00000394652,21
ENST00000559157,13
ENST00000379358,11
ENST00000708204,11
ENST00000394258,10
ENST00000425933,14
ENST00000453270,12
ENST00000254193,7
