NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_148901,ENST00000328596,15,3,255,0.00078,0.54484,0.44575
NM_001146685,ENST00000378821,3,0,163,0.0,0.39059,
NM_194457,ENST00000400929,11,4,207,0.00176,0.65876,0.53502
NM_001256463,ENST00000419704,26,0,499,0.0,0.54424,
NM_000815,ENST00000378585,16,0,452,0.0,0.48106,
NM_014638,ENST00000378486,78,1,1416,1e-05,0.48739,0.32415
NM_014638,ENST00000620687,78,1,1416,1e-05,0.48739,0.32415
NM_001033581,ENST00000400921,17,4,409,0.00058,0.53301,0.70722
NM_001242874,ENST00000461106,20,4,488,0.00041,0.52982,0.75461
NM_015557,ENST00000262450,85,7,1954,4e-05,0.60167,0.65214
NM_018836,ENST00000378191,23,3,411,0.00032,0.46144,0.22871
NM_001195740,ENST00000617400,6,0,192,0.0,0.66406,
NM_001195740,ENST00000537325,6,0,161,0.0,0.60352,
NM_001199861,ENST00000378097,19,2,367,0.00029,0.52359,0.50545
NM_001199860,ENST00000164247,19,2,367,0.00029,0.52359,0.50545
NM_001199862,ENST00000378083,20,1,415,0.00012,0.5353,0.92771
NM_001199863,ENST00000458166,15,1,300,0.00022,0.55511,0.9
NM_181866,ENST00000377842,15,1,329,0.0002,0.60993,0.97568
NM_181864,ENST00000377855,18,1,380,0.00015,0.56023,0.97895
NM_015215,ENST00000303635,105,17,1673,0.0001,0.59187,0.71678
NM_001204188,ENST00000604479,37,5,540,0.00025,0.56862,0.50481
NM_001204191,ENST00000378288,39,6,587,0.00026,0.53318,0.44492
NM_015074,ENST00000263934,87,14,1770,9e-05,0.50166,0.4519
NM_020780,ENST00000294484,70,4,1392,4e-05,0.45457,0.20204
NM_198545,ENST00000294485,17,1,349,0.00017,0.4716,0.61891
NM_001127325,ENST00000376667,12,1,211,0.00039,0.39613,0.02844
NM_001302,ENST00000377049,6,0,105,0.0,0.57619,
NM_012168,ENST00000354287,15,1,296,0.00023,0.42477,0.60473
NM_183413,ENST00000376762,14,1,224,0.00032,0.58578,0.90625
NM_001286,ENST00000346436,38,3,869,9e-05,0.54012,0.2102
NM_012231,ENST00000235372,84,19,1718,0.00013,0.52804,0.52224
NM_178840,ENST00000329454,7,0,169,0.0,0.52409,
NM_182623,ENST00000375662,18,2,280,0.0004,0.50496,0.44822
NM_201628,ENST00000376030,54,4,775,0.0001,0.42167,0.53516
NM_001018001,ENST00000400798,26,3,327,0.00035,0.43707,0.62895
NM_007365,ENST00000707396,24,1,665,6e-05,0.49066,0.91128
NM_007365,ENST00000375486,24,1,665,6e-05,0.49066,0.91128
NM_032880,ENST00000251296,15,2,467,0.00029,0.44511,0.55353
NM_001135254,ENST00000420770,30,2,505,0.00013,0.53122,0.4693
NM_001141974,ENST00000341676,61,3,1158,4e-05,0.50296,0.41105
NM_001040126,ENST00000400548,8,0,226,0.0,0.46571,
NM_018584,ENST00000375078,4,0,78,0.0,0.4423,
