ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000421241,3,1,198,0.00168,0.57407,0.82828,v24_testis
ENST00000330388,21,4,302,0.00063,0.54415,0.5654,v24_testis
ENST00000343938,8,0,214,0.0,0.61098,,v24_testis
ENST00000339381,46,4,852,0.0001,0.52302,0.55164,v24_testis
ENST00000328596,15,4,255,0.00105,0.54484,0.35882,v24_testis
ENST00000347370,11,5,207,0.0022,0.65876,0.57295,v24_testis
ENST00000349431,14,5,259,0.00138,0.59349,0.65869,v24_testis
ENST00000422725,4,0,226,0.0,0.53429,,v24_testis
ENST00000338338,11,2,199,0.00091,0.56693,0.62312,v24_testis
ENST00000540437,32,0,606,0.0,0.52965,,v24_testis
ENST00000378531,25,9,497,0.00072,0.50849,0.41829,v24_testis
ENST00000294600,60,13,656,0.00033,0.60579,0.58138,v24_testis
ENST00000262450,85,10,1954,6e-05,0.60167,0.64089,v24_testis
ENST00000611357,49,8,779,0.00021,0.52152,0.44977,v24_testis
ENST00000378412,49,8,779,0.00021,0.52152,0.44977,v24_testis
ENST00000645284,44,6,854,0.00016,0.57994,0.79196,v24_testis
ENST00000377648,10,1,300,0.00033,0.56167,0.62333,v24_testis
ENST00000377842,15,3,329,0.00061,0.60993,0.92806,v24_testis
ENST00000557126,2,1,101,0.00495,0.55446,0.93069,v24_testis
ENST00000603362,44,9,555,0.00037,0.59115,0.5952,v24_testis
ENST00000378290,38,7,565,0.00033,0.52892,0.43514,v24_testis
ENST00000348333,21,0,372,0.0,0.58436,,v24_testis
ENST00000337907,94,21,1566,0.00014,0.55304,0.46226,v24_testis
ENST00000477755,5,2,78,0.00513,0.68462,0.76282,v24_testis
ENST00000602296,6,0,143,0.0,0.65035,,v24_testis
ENST00000377049,6,0,105,0.0,0.57619,,v24_testis
ENST00000251546,14,1,224,0.00032,0.58578,0.90625,v24_testis
ENST00000376637,6,4,111,0.00601,0.53303,0.66441,v24_testis
ENST00000359318,16,9,407,0.00138,0.52165,0.63172,v24_testis
ENST00000358897,125,40,1412,0.00023,0.51705,0.44949,v24_testis
ENST00000359621,9,1,269,0.00041,0.53697,0.82528,v24_testis
ENST00000537142,38,6,721,0.00022,0.5726,0.57166,v24_testis
ENST00000375471,27,6,663,0.00034,0.54539,0.52866,v24_testis
ENST00000631074,27,6,663,0.00034,0.54539,0.52866,v24_testis
ENST00000289815,61,7,1215,9e-05,0.5325,0.4428,v24_testis
ENST00000400463,60,8,1028,0.00013,0.51782,0.6216,v24_testis
ENST00000247986,60,8,1029,0.00013,0.5174,0.62111,v24_testis
ENST00000166244,43,6,1005,0.00014,0.54409,0.567,v24_testis
ENST00000404138,72,21,1239,0.00024,0.53994,0.47584,v24_testis
ENST00000634683,29,1,437,8e-05,0.51811,0.47597,v24_testis
ENST00000361729,29,1,437,8e-05,0.51811,0.47597,v24_testis
ENST00000356634,51,26,852,0.0006,0.53187,0.51431,v24_testis
ENST00000400181,54,27,876,0.00057,0.52281,0.51205,v24_testis
ENST00000236255,19,6,607,0.00052,0.58216,0.6771,v24_testis
ENST00000003583,11,3,287,0.00095,0.52075,0.79675,v24_testis
ENST00000003583,11,3,287,0.00095,0.52075,0.79675,v24_testis
ENST00000374298,27,13,357,0.00135,0.58253,0.6699,v24_testis
ENST00000252992,81,25,762,0.00041,0.62229,0.62178,v24_testis
ENST00000326279,12,3,209,0.0012,0.60247,0.67942,v24_testis
ENST00000426559,12,4,174,0.00192,0.52299,0.5546,v24_testis
ENST00000349618,33,7,504,0.00042,0.5196,0.34722,v24_testis
ENST00000349618,33,7,504,0.00042,0.5196,0.34722,v24_testis
ENST00000674202,21,9,493,0.00087,0.53869,0.6865,v24_testis
ENST00000335514,10,3,106,0.00283,0.51509,0.48428,v24_testis
ENST00000647074,10,3,106,0.00283,0.51509,0.48428,v24_testis
ENST00000373824,11,5,161,0.00282,0.52456,0.48944,v24_testis
ENST00000360482,75,18,1216,0.0002,0.52811,0.41831,v24_testis
ENST00000536859,19,3,459,0.00034,0.60842,0.52941,v24_testis
ENST00000642937,34,17,655,0.00076,0.52802,0.54423,v24_testis
ENST00000373602,11,0,200,0.0,0.55227,,v24_testis
ENST00000609129,21,7,495,0.00067,0.53285,0.60924,v24_testis
ENST00000373475,25,11,408,0.00108,0.68353,0.60205,v24_testis
ENST00000373456,27,10,732,0.00051,0.55798,0.70068,v24_testis
ENST00000488417,42,15,598,0.0006,0.58198,0.54214,v24_testis
ENST00000373347,54,13,979,0.00025,0.53486,0.48142,v24_testis
ENST00000519684,13,2,186,0.00083,0.53226,0.7285,v24_testis
ENST00000417239,2,0,92,0.0,0.58152,,v24_testis
ENST00000318121,74,35,1339,0.00035,0.567,0.52389,v24_testis
ENST00000505871,32,4,645,0.00019,0.56037,0.35465,v24_testis
ENST00000327331,15,6,280,0.00143,0.51286,0.44345,v24_testis
ENST00000235532,25,6,379,0.00063,0.51937,0.54969,v24_testis
ENST00000354267,16,3,223,0.00084,0.54596,0.5157,v24_testis
ENST00000373036,57,22,753,0.00051,0.57454,0.59749,v24_testis
ENST00000373048,50,6,1008,0.00012,0.56264,0.54068,v24_testis
ENST00000454994,28,8,514,0.00056,0.51216,0.45452,v24_testis
ENST00000327582,18,1,517,0.00011,0.53664,0.82979,v24_testis
ENST00000372565,26,10,365,0.00105,0.52487,0.64822,v24_testis
ENST00000372565,26,10,365,0.00105,0.52487,0.64822,v24_testis
