Gene,OptionalDataColumns
ENST00000379116,16
ENST00000401095,17
ENST00000378378,15
ENST00000378156,36
ENST00000377093,34
ENST00000240185,15
ENST00000613099,137
ENST00000495204,16
ENST00000374434,29
ENST00000361530,20
ENST00000537469,24
ENST00000373104,19
ENST00000372583,32
ENST00000372653,18
ENST00000371528,27
ENST00000357206,42
ENST00000371218,21
ENST00000403491,18
ENST00000357692,16
ENST00000710932,20
ENST00000370768,41
ENST00000334785,31
ENST00000370589,17
ENST00000370425,52
ENST00000436063,25
ENST00000545708,15
ENST00000260506,32
ENST00000294724,49
ENST00000353414,47
ENST00000307546,51
ENST00000369483,19
ENST00000369442,19
ENST00000295598,17
ENST00000369496,16
ENST00000369530,29
ENST00000610726,29
ENST00000369356,111
ENST00000618462,108
ENST00000369349,65
ENST00000295314,15
ENST00000368799,306
ENST00000531094,46
ENST00000356955,15
ENST00000313667,25
ENST00000368165,15
ENST00000361200,18
ENST00000367862,40
ENST00000367762,15
ENST00000538366,22
ENST00000367840,36
ENST00000294848,35
ENST00000417329,17
ENST00000344730,22
ENST00000493293,41
ENST00000367396,16
ENST00000362061,27
ENST00000335211,39
ENST00000367478,171
ENST00000361565,31
ENST00000367278,21
ENST00000439764,22
ENST00000581977,20
ENST00000367019,15
ENST00000391878,53
ENST00000284548,71
ENST00000422127,88
ENST00000642610,20
ENST00000642610,20
ENST00000366578,21
ENST00000316157,22
ENST00000509513,22
ENST00000397053,48
ENST00000326799,25
ENST00000436087,27
ENST00000452305,26
ENST00000350537,31
ENST00000374773,31
ENST00000374446,22
ENST00000540872,29
ENST00000374144,42
ENST00000374103,15
ENST00000579039,28
ENST00000613657,51
ENST00000503366,48
ENST00000354393,34
ENST00000688812,35
ENST00000358913,45
ENST00000399169,42
ENST00000440381,19
ENST00000394890,19
ENST00000394810,19
ENST00000286628,20
ENST00000334512,28
ENST00000327946,18
ENST00000371790,15
ENST00000260762,40
ENST00000371380,79
ENST00000630152,16
ENST00000410012,23
ENST00000370397,29
ENST00000370584,16
ENST00000612478,16
ENST00000371247,27
ENST00000370269,37
ENST00000263054,25
ENST00000348367,24
ENST00000360478,47
ENST00000304129,15
ENST00000369271,15
ENST00000513429,24
ENST00000260733,22
ENST00000457416,16
ENST00000380525,19
ENST00000612826,19
ENST00000299492,28
ENST00000528883,25
ENST00000397004,23
ENST00000423302,22
ENST00000401424,16
ENST00000389817,37
ENST00000672527,27
ENST00000265963,27
ENST00000349880,38
ENST00000396087,39
ENST00000428726,15
ENST00000455725,18
ENST00000622142,15
ENST00000311764,16
ENST00000418331,29
ENST00000406482,28
ENST00000674617,18
ENST00000426142,20
ENST00000528621,22
ENST00000530748,22
ENST00000526357,22
ENST00000415361,20
ENST00000532844,22
ENST00000361332,24
ENST00000399050,24
ENST00000334944,22
ENST00000532620,23
ENST00000601538,22
ENST00000278550,39
ENST00000526033,21
ENST00000315765,20
ENST00000524871,27
ENST00000524871,27
ENST00000650373,201
ENST00000426998,20
ENST00000431736,48
ENST00000543440,17
ENST00000392793,36
ENST00000361953,19
ENST00000399601,35
ENST00000644660,35
ENST00000544040,40
ENST00000261167,23
ENST00000542865,20
ENST00000318304,34
ENST00000548696,24
ENST00000344862,20
ENST00000452445,30
ENST00000421952,16
ENST00000327443,39
ENST00000300134,21
ENST00000379141,27
ENST00000320743,27
ENST00000398016,31
ENST00000550746,29
ENST00000644991,61
ENST00000548651,15
ENST00000256151,20
ENST00000261207,39
ENST00000392934,20
ENST00000547405,23
ENST00000553190,21
ENST00000536007,22
ENST00000541119,23
ENST00000550270,22
ENST00000545503,23
ENST00000361685,21
ENST00000547776,34
ENST00000547446,15
ENST00000280758,21
ENST00000357167,20
ENST00000228347,32
ENST00000312777,23
ENST00000261726,27
ENST00000397659,18
ENST00000652555,16
ENST00000317775,32
ENST00000317775,32
ENST00000618760,32
ENST00000392533,42
ENST00000261833,53
ENST00000397454,24
ENST00000620786,53
ENST00000432561,21
ENST00000319980,29
ENST00000610343,67
ENST00000536435,48
ENST00000381884,63
ENST00000382258,16
ENST00000255486,28
ENST00000280481,78
ENST00000494062,24
ENST00000379673,24
ENST00000403412,17
ENST00000403412,17
ENST00000337343,30
ENST00000492622,50
ENST00000610828,16
ENST00000325089,17
ENST00000397359,16
ENST00000405093,45
ENST00000355349,43
ENST00000446197,16
ENST00000646568,16
ENST00000399332,80
ENST00000416007,19
ENST00000396294,28
ENST00000382041,120
ENST00000440021,16
ENST00000395314,88
ENST00000389722,60
ENST00000261681,28
ENST00000329153,36
ENST00000555238,16
ENST00000216471,16
ENST00000256343,30
ENST00000619027,30
ENST00000334192,22
ENST00000216281,20
ENST00000409874,43
ENST00000650110,26
ENST00000561607,18
ENST00000415757,125
ENST00000356321,35
ENST00000267889,18
ENST00000354670,15
ENST00000220509,17
ENST00000456763,31
ENST00000382448,17
ENST00000648595,16
ENST00000357568,22
ENST00000397163,22
ENST00000450115,70
ENST00000263801,70
