NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_001160184,ENST00000379407,31,7,576,0.00039,0.46948,0.48685
NM_014448,ENST00000378378,51,6,709,0.00017,0.50842,0.4631
NM_024011,ENST00000404249,34,8,780,0.0003,0.44653,0.37756
NM_031475,ENST00000645284,44,6,854,0.00016,0.57994,0.79196
NM_001199862,ENST00000378083,20,1,415,0.00012,0.5353,0.92771
NM_181865,ENST00000377845,15,3,350,0.00057,0.63391,0.93238
NM_018198,ENST00000377577,37,9,559,0.00044,0.50239,0.61757
NM_012102,ENST00000337907,94,21,1566,0.00014,0.55304,0.46226
NM_001428,ENST00000234590,12,2,434,0.00038,0.70968,0.50692
NM_001127325,ENST00000376667,12,2,211,0.00079,0.39613,0.15877
NM_183412,ENST00000251546,14,1,224,0.00032,0.58578,0.90625
NM_001040194,ENST00000376629,5,3,152,0.00395,0.77237,0.68421
NM_024758,ENST00000375826,15,4,352,0.00076,0.46648,0.62642
NM_207348,ENST00000294454,26,4,304,0.00051,0.47723,0.62665
NM_001136216,ENST00000376014,13,1,253,0.0003,0.53846,0.17787
NM_178840,ENST00000329454,7,1,169,0.00085,0.52409,0.20118
NM_182623,ENST00000375662,18,4,280,0.00079,0.50496,0.58304
NM_000085,ENST00000375679,24,3,687,0.00018,0.50328,0.44881
NM_001165945,ENST00000375667,16,2,517,0.00024,0.55416,0.46034
NM_015209,ENST00000503743,34,5,421,0.00035,0.45759,0.73349
NM_001018000,ENST00000361144,33,5,415,0.00037,0.46499,0.72964
NM_004070,ENST00000331433,28,4,687,0.00021,0.56353,0.7682
NM_001042704,ENST00000375692,27,4,686,0.00022,0.55183,0.76859
NM_013358,ENST00000375471,27,6,663,0.00034,0.54539,0.52866
NM_013358,ENST00000631074,27,6,663,0.00034,0.54539,0.52866
NM_152375,ENST00000400664,42,7,777,0.00021,0.42735,0.40118
NM_012067,ENST00000361640,16,3,331,0.00057,0.54513,0.8137
NM_001161504,ENST00000538309,21,2,503,0.00019,0.5488,0.4662
NM_003748,ENST00000375341,24,2,563,0.00015,0.53241,0.52309
NR_040288,ENST00000429712,6,0,105,0.0,0.64127,
NM_019062,ENST00000375121,11,3,227,0.0012,0.4121,0.39501
NM_001039500,ENST00000289815,61,7,1215,9e-05,0.5325,0.4428
NM_207334,ENST00000332947,13,0,329,0.0,0.66799,
NM_001145658,ENST00000495204,35,7,727,0.00028,0.48512,0.53547
NM_001145657,ENST00000542643,30,6,681,0.00029,0.47954,0.58933
NM_007260,ENST00000374514,6,2,231,0.00144,0.70346,0.72728
NM_021258,ENST00000270800,37,10,574,0.00047,0.57407,0.58885
NM_001127621,ENST00000617979,17,2,348,0.00034,0.59179,0.47845
NM_001008216,ENST00000617979,17,2,348,0.00034,0.59179,0.47845
NM_207170,ENST00000354361,8,3,201,0.00187,0.51182,0.41459
NM_001251977,ENST00000374395,16,3,241,0.00078,0.48885,0.57815
NM_001251985,ENST00000374393,10,2,115,0.00174,0.63478,0.73478
NM_000437,ENST00000374282,24,5,392,0.00053,0.47268,0.61123
NM_138616,ENST00000346452,9,2,266,0.00084,0.45614,0.16542
NM_032513,ENST00000374278,20,3,323,0.00046,0.49768,0.66667
NM_001004434,ENST00000374276,21,3,372,0.00038,0.50423,0.66667
NM_152365,ENST00000320567,16,2,398,0.00031,0.63772,0.43593
NM_002953,ENST00000374168,30,8,735,0.00036,0.61116,0.50272
NM_002953,ENST00000629832,30,8,735,0.00036,0.61116,0.50272
NM_001243565,ENST00000526219,23,2,294,0.0003,0.68234,0.45408
NM_001143912,ENST00000010299,31,10,341,0.00095,0.51367,0.54897
NM_001127350,ENST00000645794,8,2,208,0.0012,0.46875,0.67308
NM_001127350,ENST00000373842,8,2,208,0.0012,0.46875,0.67308
NM_178191,ENST00000465645,5,1,60,0.00333,0.59,0.46667
NM_178191,ENST00000647380,5,1,60,0.00333,0.59,0.46667
NM_001199039,ENST00000536384,20,3,459,0.00033,0.57941,0.52941
NM_001143890,ENST00000526031,16,4,335,0.00075,0.36735,0.47015
NM_001256121,ENST00000373476,25,11,408,0.00108,0.68353,0.60205
NM_016257,ENST00000372844,14,2,191,0.00075,0.54675,0.17016
NR_037635,ENST00000621281,3,2,110,0.00606,0.66667,0.91364
NM_005376,ENST00000372815,4,1,236,0.00106,0.49046,0.95339
NM_152373,ENST00000372699,15,6,378,0.00106,0.53439,0.65741
NM_001956,ENST00000372587,11,4,178,0.00204,0.57712,0.68961
NM_001123395,ENST00000372539,10,2,211,0.00095,0.41137,0.5308
NM_148960,ENST00000296387,10,2,224,0.00089,0.3875,0.5
NM_182517,ENST00000523677,3,2,113,0.0059,0.68142,0.76549
NM_001136215,ENST00000498139,8,0,228,0.0,0.47149,
NM_004047,ENST00000472174,2,2,205,0.00488,0.88536,0.88536
NM_005727,ENST00000372003,9,3,241,0.00138,0.62425,0.80083
NM_001202431,ENST00000424390,9,4,199,0.00223,0.64154,0.48995
NM_000778,ENST00000310638,35,14,519,0.00077,0.38222,0.42953
NM_005764,ENST00000294338,5,2,114,0.00351,0.27018,0.20614
NM_001010969,ENST00000371891,34,12,519,0.00068,0.40258,0.45536
NR_045791,ENST00000307089,11,0,151,0.0,0.58519,
NR_045789,ENST00000474844,26,8,384,0.0008,0.54036,0.73372
NM_012186,ENST00000335071,5,0,319,0.0,0.61254,
NM_004474,ENST00000334793,8,0,495,0.0,0.6399,
NM_001194986,ENST00000606738,34,4,517,0.00023,0.54892,0.544
NM_032785,ENST00000371839,26,4,503,0.00031,0.42682,0.3161
NM_001011547,ENST00000438567,24,3,681,0.00018,0.50906,0.70289
NM_001144832,ENST00000413473,27,5,581,0.00032,0.457,0.21102
NM_001190818,ENST00000371568,57,17,861,0.00035,0.54551,0.51377
NM_152265,ENST00000313334,8,6,158,0.00475,0.37816,0.29747
NM_001039715,ENST00000388876,14,2,201,0.00071,0.5732,0.57462
NM_213593,ENST00000525202,1,0,61,0.0,0.06557,
NM_000792,ENST00000361921,6,1,125,0.00133,0.592,0.816
NM_182532,ENST00000371268,6,1,210,0.00079,0.44841,0.96667
NM_001114108,ENST00000371276,29,2,569,0.00012,0.49664,0.46222
NM_017904,ENST00000371274,22,2,372,0.00024,0.54533,0.53226
NM_147161,ENST00000343744,34,4,594,0.0002,0.49634,0.4899
NM_176782,ENST00000302250,28,3,585,0.00018,0.51313,0.4604
NM_176877,ENST00000371158,106,50,1801,0.00026,0.50918,0.50018
NM_014495,ENST00000371129,29,20,460,0.0015,0.40097,0.38663
NM_001199742,ENST00000650283,2,1,60,0.00833,0.35,0.53333
NM_001199741,ENST00000370985,7,3,131,0.00327,0.54526,0.82952
NM_001003680,ENST00000371059,36,19,958,0.00055,0.51775,0.45528
