ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378785,27,18,411,0.00162,0.4722,0.46526,v36_thyroid_parathyroid
ENST00000378531,25,17,497,0.00137,0.50849,0.44715,v36_thyroid_parathyroid
ENST00000288774,18,11,346,0.00177,0.49534,0.39911,v36_thyroid_parathyroid
ENST00000377411,10,9,335,0.00269,0.63284,0.59536,v36_thyroid_parathyroid
ENST00000240185,26,22,414,0.00204,0.56763,0.574,v36_thyroid_parathyroid
ENST00000359621,9,5,269,0.00207,0.53697,0.60966,v36_thyroid_parathyroid
ENST00000329454,7,4,169,0.00338,0.52409,0.42308,v36_thyroid_parathyroid
ENST00000375667,16,10,517,0.00121,0.55416,0.57157,v36_thyroid_parathyroid
ENST00000375375,31,21,520,0.0013,0.53362,0.52079,v36_thyroid_parathyroid
ENST00000400661,31,21,518,0.00131,0.53294,0.52004,v36_thyroid_parathyroid
ENST00000420770,30,20,505,0.00132,0.53122,0.51148,v36_thyroid_parathyroid
ENST00000375031,16,13,339,0.0024,0.42017,0.41252,v36_thyroid_parathyroid
ENST00000374392,3,2,102,0.00654,0.92157,0.88726,v36_thyroid_parathyroid
ENST00000436717,11,7,183,0.00348,0.48783,0.44028,v36_thyroid_parathyroid
ENST00000374395,16,10,241,0.00259,0.48885,0.44647,v36_thyroid_parathyroid
ENST00000412742,15,12,173,0.00462,0.60694,0.62476,v36_thyroid_parathyroid
ENST00000374272,28,23,353,0.00233,0.54745,0.55081,v36_thyroid_parathyroid
ENST00000374276,21,12,372,0.00154,0.50423,0.52912,v36_thyroid_parathyroid
ENST00000374269,17,14,341,0.00242,0.47162,0.52262,v36_thyroid_parathyroid
ENST00000320567,16,13,398,0.00204,0.63772,0.64418,v36_thyroid_parathyroid
ENST00000373943,31,22,276,0.00257,0.4349,0.41271,v36_thyroid_parathyroid
ENST00000373888,13,10,373,0.00206,0.57393,0.54022,v36_thyroid_parathyroid
ENST00000373894,19,15,455,0.00174,0.59549,0.58125,v36_thyroid_parathyroid
ENST00000373925,25,22,260,0.00338,0.62292,0.60122,v36_thyroid_parathyroid
ENST00000645794,8,5,208,0.003,0.46875,0.53173,v36_thyroid_parathyroid
ENST00000373842,8,5,208,0.003,0.46875,0.53173,v36_thyroid_parathyroid
ENST00000465645,5,3,60,0.01,0.59,0.75,v36_thyroid_parathyroid
ENST00000647380,5,3,60,0.01,0.59,0.75,v36_thyroid_parathyroid
ENST00000403528,14,6,425,0.00101,0.57697,0.39373,v36_thyroid_parathyroid
ENST00000536384,20,16,459,0.00174,0.57941,0.59858,v36_thyroid_parathyroid
ENST00000536384,20,16,459,0.00174,0.57941,0.59858,v36_thyroid_parathyroid
ENST00000537469,44,37,546,0.00154,0.45459,0.47827,v36_thyroid_parathyroid
ENST00000414241,15,12,424,0.00189,0.49355,0.49626,v36_thyroid_parathyroid
ENST00000354267,16,11,223,0.00308,0.54596,0.56625,v36_thyroid_parathyroid
ENST00000331593,23,17,402,0.00184,0.46626,0.43357,v36_thyroid_parathyroid
ENST00000372815,4,4,236,0.00424,0.49046,0.49046,v36_thyroid_parathyroid
ENST00000324379,11,7,301,0.00211,0.59982,0.49264,v36_thyroid_parathyroid
ENST00000372827,22,17,402,0.00192,0.47659,0.44513,v36_thyroid_parathyroid
ENST00000372653,60,40,301,0.00221,0.63206,0.65216,v36_thyroid_parathyroid
ENST00000523677,3,1,113,0.00295,0.68142,0.84071,v36_thyroid_parathyroid
ENST00000450269,16,8,291,0.00172,0.43729,0.41967,v36_thyroid_parathyroid
ENST00000372372,11,10,413,0.0022,0.63746,0.62905,v36_thyroid_parathyroid
ENST00000262915,13,12,444,0.00208,0.57502,0.56119,v36_thyroid_parathyroid
ENST00000334815,27,17,371,0.0017,0.67465,0.66894,v36_thyroid_parathyroid
ENST00000672818,49,36,546,0.00135,0.51278,0.48947,v36_thyroid_parathyroid
ENST00000262746,9,7,199,0.00391,0.64154,0.60732,v36_thyroid_parathyroid
ENST00000319248,9,7,199,0.00391,0.64154,0.60732,v36_thyroid_parathyroid
ENST00000424390,9,7,199,0.00391,0.64154,0.60732,v36_thyroid_parathyroid
