NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_001130413,ENST00000379116,38,6,802,0.0002,0.46975,0.41937
NM_001039211,ENST00000378785,27,2,411,0.00018,0.4722,0.45742
NM_024848,ENST00000378531,25,5,497,0.0004,0.50849,0.40966
NM_001242672,ENST00000611612,41,3,566,0.00013,0.47445,0.67432
NM_001242672,ENST00000401095,72,4,1079,5e-05,0.50441,0.65269
NM_014448,ENST00000378378,51,5,709,0.00014,0.50842,0.46009
NM_153818,ENST00000288774,18,2,346,0.00032,0.49534,0.55925
NM_022114,ENST00000270722,51,0,1276,0.0,0.53441,
NM_002744,ENST00000378567,25,4,592,0.00027,0.51426,0.79772
NM_015102,ENST00000378156,92,14,1426,0.00011,0.48348,0.53396
NM_024980,ENST00000377411,10,0,335,0.0,0.63284,
NM_183416,ENST00000377093,69,12,1153,0.00015,0.61704,0.58673
NM_007375,ENST00000240185,26,5,414,0.00046,0.56763,0.5
NM_018156,ENST00000613099,250,48,4363,4e-05,0.48334,0.51783
NM_033440,ENST00000359621,9,0,269,0.0,0.53697,
NM_178840,ENST00000329454,7,0,169,0.0,0.52409,
NM_001165945,ENST00000375667,16,1,517,0.00012,0.55416,0.66344
NM_001042704,ENST00000375692,27,2,686,0.00011,0.55183,0.84184
NM_002584,ENST00000375375,31,4,520,0.00025,0.53362,0.71971
NM_013945,ENST00000400661,31,4,518,0.00025,0.53294,0.7196
NM_001135254,ENST00000420770,30,2,505,0.00013,0.53122,0.4693
NM_001103160,ENST00000375031,16,1,339,0.00018,0.42017,0.20944
NM_001145658,ENST00000495204,35,3,727,0.00012,0.48512,0.56809
NM_002885,ENST00000374765,31,3,663,0.00015,0.49706,0.5264
NM_001145657,ENST00000542643,30,3,681,0.00015,0.47954,0.53793
NM_152372,ENST00000374434,67,4,1437,4e-05,0.47925,0.51531
NM_001010980,ENST00000374392,3,0,102,0.0,0.92157,
NM_001251981,ENST00000436717,11,1,183,0.0005,0.48783,0.85792
NM_013441,ENST00000374395,16,2,241,0.00052,0.48885,0.69917
NM_001251982,ENST00000412742,15,3,173,0.00116,0.60694,0.7842
NM_032588,ENST00000374272,28,2,353,0.0002,0.54745,0.38385
NM_001004434,ENST00000374276,21,0,372,0.0,0.50423,
NM_006314,ENST00000361530,53,10,713,0.00026,0.4952,0.60589
NM_152835,ENST00000374269,17,5,341,0.00086,0.47162,0.6305
NM_152365,ENST00000320567,16,1,398,0.00016,0.63772,0.78643
NM_002953,ENST00000374168,30,5,735,0.00023,0.61116,0.60082
NM_002953,ENST00000629832,30,5,735,0.00023,0.61116,0.60082
NM_177424,ENST00000373943,31,6,276,0.0007,0.4349,0.45652
NM_001009568,ENST00000373888,13,0,373,0.0,0.57393,
NM_014474,ENST00000373894,19,0,455,0.0,0.59549,
NM_004848,ENST00000373925,25,5,260,0.00077,0.62292,0.78923
NM_001127350,ENST00000645794,8,2,208,0.0012,0.46875,0.67308
NM_001127350,ENST00000373842,8,2,208,0.0012,0.46875,0.67308
NM_178191,ENST00000465645,5,0,60,0.0,0.59,
NM_178191,ENST00000647380,5,0,60,0.0,0.59,
NM_001525,ENST00000403528,14,2,425,0.00034,0.57697,0.19765
NM_018565,ENST00000536384,20,2,459,0.00022,0.57941,0.72113
NM_001199039,ENST00000536384,20,2,459,0.00022,0.57941,0.72113
NM_001160042,ENST00000537469,44,12,546,0.0005,0.45459,0.62698
NM_001198972,ENST00000373480,55,5,1035,9e-05,0.49284,0.40831
NM_001135255,ENST00000414241,15,3,424,0.00047,0.49355,0.66588
NM_001162530,ENST00000453908,39,0,756,0.0,0.52798,
NM_206837,ENST00000354267,16,1,223,0.00028,0.54596,0.83857
NM_172313,ENST00000373104,49,5,783,0.00013,0.47934,0.39489
NM_181809,ENST00000331593,23,1,402,0.00011,0.46626,0.60697
NM_005376,ENST00000372815,4,0,236,0.0,0.49046,
NR_036544,ENST00000324379,11,0,301,0.0,0.59982,
NM_001720,ENST00000372827,22,1,402,0.00011,0.47659,0.60697
NM_024503,ENST00000372583,120,11,2406,4e-05,0.46924,0.39779
NM_001142590,ENST00000372653,60,8,301,0.00044,0.63206,0.63289
NM_182517,ENST00000523677,3,1,113,0.00295,0.68142,0.69027
NM_001136537,ENST00000450269,16,0,291,0.0,0.43729,
NM_174971,ENST00000372372,11,0,413,0.0,0.63746,
NM_174963,ENST00000262915,13,1,444,0.00017,0.57502,0.1464
NM_032756,ENST00000334815,27,3,371,0.0003,0.67465,0.81761
NM_012222,ENST00000672818,49,6,546,0.00022,0.51278,0.6801
NM_002574,ENST00000262746,9,1,199,0.00056,0.64154,0.46734
NM_181697,ENST00000319248,9,1,199,0.00056,0.64154,0.46734
NM_001202431,ENST00000424390,9,1,199,0.00056,0.64154,0.46734
NM_001004339,ENST00000371528,51,10,759,0.00026,0.52109,0.60738
NM_007324,ENST00000357206,62,16,1366,0.00019,0.51524,0.27915
NM_001198962,ENST00000536120,17,1,244,0.00024,0.55882,0.40984
NM_001039716,ENST00000322679,6,1,125,0.00133,0.592,0.816
NM_001039715,ENST00000388876,14,1,201,0.00036,0.5732,0.50746
NM_000792,ENST00000361921,6,1,125,0.00133,0.592,0.816
NM_017522,ENST00000354412,27,1,700,5e-05,0.46831,0.29286
NM_033300,ENST00000347547,28,1,793,5e-05,0.49248,0.96091
NM_001018054,ENST00000371454,33,1,904,3e-05,0.49249,0.36947
NM_001114108,ENST00000371276,29,2,569,0.00012,0.49664,0.46222
NM_147161,ENST00000343744,34,1,594,5e-05,0.49634,0.17845
NM_015547,ENST00000371316,33,1,607,5e-05,0.47481,0.17463
NM_003713,ENST00000371250,12,0,311,0.0,0.51072,
NR_026782,ENST00000421030,65,3,1323,3e-05,0.57221,0.55152
NR_037639,ENST00000425300,25,2,652,0.00012,0.60429,0.57132
NM_001007100,ENST00000430330,7,2,140,0.00204,0.67653,0.60715
NM_001113411,ENST00000371218,31,6,575,0.00034,0.4478,0.53333
NM_001134673,ENST00000403491,36,7,509,0.00038,0.48903,0.69773
NM_001902,ENST00000370938,21,2,405,0.00024,0.41293,0.37778
NM_001001933,ENST00000294638,17,4,356,0.00066,0.62525,0.7809
NM_001146110,ENST00000357692,23,3,529,0.00025,0.4984,0.46503
NM_001199329,ENST00000370894,13,2,169,0.00091,0.47246,0.30473
NM_198549,ENST00000710932,26,11,632,0.00067,0.52605,0.55452
