Gene,OptionalDataColumns
ENST00000328596,9
ENST00000378821,2
ENST00000400929,10
ENST00000419704,17
ENST00000378585,9
ENST00000400921,15
ENST00000461106,18
ENST00000378191,15
ENST00000617400,5
ENST00000537325,5
ENST00000378097,11
ENST00000164247,11
ENST00000378083,12
ENST00000458166,9
ENST00000377842,10
ENST00000377855,10
ENST00000294485,9
ENST00000376667,8
ENST00000377049,3
ENST00000354287,13
ENST00000376762,8
ENST00000329454,4
ENST00000375662,10
ENST00000400798,20
ENST00000707396,18
ENST00000375486,18
ENST00000251296,11
ENST00000420770,20
ENST00000400548,7
ENST00000375078,3
ENST00000332947,9
ENST00000375031,13
ENST00000444387,18
ENST00000542643,21
ENST00000322753,4
ENST00000602662,8
ENST00000374619,5
ENST00000315554,8
ENST00000246151,7
ENST00000374399,9
ENST00000436439,10
ENST00000361548,14
ENST00000003583,9
ENST00000374395,10
ENST00000412742,12
ENST00000346452,7
ENST00000340849,6
ENST00000294413,10
ENST00000426559,11
ENST00000455785,8
ENST00000374300,6
ENST00000374024,5
ENST00000234549,23
ENST00000373791,18
ENST00000373736,8
ENST00000609129,17
ENST00000373467,7
ENST00000373471,10
ENST00000373235,11
ENST00000270815,18
ENST00000373237,8
ENST00000373012,14
ENST00000319637,10
ENST00000372990,5
ENST00000397631,5
ENST00000329006,5
ENST00000446189,13
ENST00000372844,12
ENST00000621281,3
ENST00000372809,18
ENST00000372748,23
ENST00000372684,13
ENST00000431473,19
ENST00000413844,12
ENST00000361799,23
ENST00000357730,17
ENST00000360584,19
ENST00000545417,5
ENST00000625766,2
ENST00000404795,5
ENST00000371839,19
ENST00000371827,19
ENST00000357083,19
ENST00000371655,9
ENST00000536120,14
ENST00000354412,19
ENST00000347547,20
ENST00000371513,10
ENST00000371037,21
ENST00000650283,2
ENST00000357692,20
ENST00000371016,20
ENST00000477717,23
ENST00000370688,11
ENST00000610703,13
ENST00000436133,13
ENST00000394839,10
ENST00000614872,13
ENST00000370544,5
ENST00000482504,15
ENST00000370383,11
ENST00000315713,9
ENST00000370207,7
ENST00000613047,14
ENST00000370203,5
ENST00000370202,11
ENST00000263177,11
ENST00000370188,10
ENST00000457765,23
ENST00000315033,10
ENST00000370066,14
ENST00000357155,14
ENST00000527748,15
ENST00000369904,14
ENST00000369907,11
ENST00000369909,11
