Gene,OptionalDataColumns
ENST00000378891,0
ENST00000378756,2
ENST00000520777,4
ENST00000310991,1
ENST00000378466,2
ENST00000615291,2
ENST00000378251,2
ENST00000377658,0
ENST00000377411,0
ENST00000340305,1
ENST00000377004,4
ENST00000674817,3
ENST00000376085,0
ENST00000375799,3
ENST00000294454,2
ENST00000480945,4
ENST00000707396,1
ENST00000375486,1
ENST00000420770,2
ENST00000375534,4
ENST00000450454,1
ENST00000635035,1
ENST00000374434,4
ENST00000436439,2
ENST00000327575,1
ENST00000374272,2
ENST00000374266,0
ENST00000374278,0
ENST00000361547,0
ENST00000361771,3
ENST00000373736,2
ENST00000373779,3
ENST00000536384,2
ENST00000373602,0
ENST00000291416,2
ENST00000373471,1
ENST00000373471,1
ENST00000373237,2
ENST00000373129,1
ENST00000373016,2
ENST00000235628,2
ENST00000509682,2
ENST00000413844,1
ENST00000531451,1
ENST00000372362,2
ENST00000545417,2
ENST00000347631,1
ENST00000372372,0
ENST00000341183,0
ENST00000360840,1
ENST00000371244,3
ENST00000371084,1
ENST00000371083,1
ENST00000370976,2
ENST00000411986,2
ENST00000370867,4
ENST00000370673,1
ENST00000394834,1
ENST00000370668,1
ENST00000260563,3
ENST00000370137,4
ENST00000370137,4
ENST00000342173,3
ENST00000369872,1
ENST00000310611,0
ENST00000487146,2
ENST00000369538,2
ENST00000520113,2
ENST00000207157,2
ENST00000475797,1
ENST00000497365,1
ENST00000357836,1
ENST00000336751,1
ENST00000369347,3
ENST00000369347,3
ENST00000606888,1
ENST00000582693,3
ENST00000583313,2
ENST00000368892,3
ENST00000368884,1
ENST00000368913,1
ENST00000368820,1
ENST00000271690,3
ENST00000368485,0
ENST00000651641,1
ENST00000361147,1
ENST00000271915,3
ENST00000421487,3
ENST00000368336,3
ENST00000368336,3
ENST00000368396,0
ENST00000368396,0
ENST00000360674,4
ENST00000368078,4
ENST00000368074,4
ENST00000458050,1
ENST00000392190,3
ENST00000358671,1
ENST00000359842,2
ENST00000236137,4
ENST00000482587,3
ENST00000540564,3
ENST00000434571,2
ENST00000417584,1
ENST00000361379,1
ENST00000367249,2
ENST00000241651,0
ENST00000255416,1
ENST00000608999,3
ENST00000290419,2
ENST00000367064,3
ENST00000314754,4
ENST00000442471,1
ENST00000322918,1
ENST00000408911,0
ENST00000366938,0
ENST00000366777,1
ENST00000366641,2
ENST00000391858,0
ENST00000366578,0
ENST00000277517,1
ENST00000459912,1
ENST00000397176,4
ENST00000263125,4
ENST00000379775,2
ENST00000396913,0
ENST00000263038,2
ENST00000465530,0
ENST00000433779,1
ENST00000373910,3
ENST00000337910,3
ENST00000355790,0
ENST00000357631,0
ENST00000299432,3
ENST00000359322,3
ENST00000372873,3
ENST00000394810,4
ENST00000394829,4
ENST00000713561,0
ENST00000707120,3
ENST00000713560,0
ENST00000472493,0
ENST00000360830,1
ENST00000464716,1
ENST00000645440,1
ENST00000623056,1
ENST00000372066,0
ENST00000429277,1
ENST00000265997,3
ENST00000492756,0
ENST00000307518,1
ENST00000353979,4
ENST00000543964,2
ENST00000370162,4
ENST00000370002,2
ENST00000369905,0
ENST00000369780,0
ENST00000542051,0
ENST00000425699,0
ENST00000355422,4
ENST00000369085,4
ENST00000381911,1
ENST00000673526,1
ENST00000381905,1
ENST00000672155,1
ENST00000673157,1
ENST00000381558,1
ENST00000250699,0
ENST00000397068,1
ENST00000359918,1
ENST00000397111,4
ENST00000633248,4
ENST00000300737,3
ENST00000526601,4
ENST00000423813,3
ENST00000335790,0
ENST00000300730,1
ENST00000396553,2
ENST00000256194,4
ENST00000528848,0
ENST00000250003,0
ENST00000339994,0
ENST00000528731,0
ENST00000672712,0
ENST00000405158,0
ENST00000672418,0
ENST00000532858,0
ENST00000437761,2
ENST00000651785,2
ENST00000241041,2
ENST00000298852,3
ENST00000539589,4
ENST00000298838,4
ENST00000528494,3
ENST00000352508,0
ENST00000298854,0
ENST00000527972,2
ENST00000302731,1
ENST00000316059,2
ENST00000255681,2
ENST00000309318,0
ENST00000356000,2
ENST00000377432,3
ENST00000164139,4
ENST00000317459,2
ENST00000438980,3
ENST00000270176,4
ENST00000420247,4
ENST00000357440,2
ENST00000513398,3
ENST00000316924,2
ENST00000421552,1
ENST00000425825,2
ENST00000530165,4
ENST00000393877,0
ENST00000393597,0
ENST00000393596,0
ENST00000294064,4
ENST00000314032,0
ENST00000426995,0
ENST00000393324,0
ENST00000529974,1
ENST00000305991,0
ENST00000392996,4
ENST00000359862,2
ENST00000330775,1
ENST00000710542,1
ENST00000710540,1
ENST00000357590,1
ENST00000525735,1
ENST00000260187,1
ENST00000453788,2
ENST00000298317,3
ENST00000358409,1
ENST00000359864,2
