ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378378,51,6,709,0.00017,0.50842,0.4631,v34_kidney
ENST00000404249,34,8,780,0.0003,0.44653,0.37756,v34_kidney
ENST00000645284,44,6,854,0.00016,0.57994,0.79196,v34_kidney
ENST00000377577,37,9,559,0.00044,0.50239,0.61757,v34_kidney
ENST00000337907,94,21,1566,0.00014,0.55304,0.46226,v34_kidney
ENST00000503743,34,5,421,0.00035,0.45759,0.73349,v34_kidney
ENST00000361144,33,5,415,0.00037,0.46499,0.72964,v34_kidney
ENST00000400664,42,7,777,0.00021,0.42735,0.40118,v34_kidney
ENST00000289815,61,7,1215,9e-05,0.5325,0.4428,v34_kidney
ENST00000495204,35,7,727,0.00028,0.48512,0.53547,v34_kidney
ENST00000270800,37,10,574,0.00047,0.57407,0.58885,v34_kidney
ENST00000310638,35,14,519,0.00077,0.38222,0.42953,v34_kidney
ENST00000371891,34,12,519,0.00068,0.40258,0.45536,v34_kidney
ENST00000606738,34,4,517,0.00023,0.54892,0.544,v34_kidney
ENST00000371568,57,17,861,0.00035,0.54551,0.51377,v34_kidney
ENST00000343744,34,4,594,0.0002,0.49634,0.4899,v34_kidney
ENST00000371158,106,50,1801,0.00026,0.50918,0.50018,v34_kidney
ENST00000371059,36,19,958,0.00055,0.51775,0.45528,v34_kidney
ENST00000370793,55,29,942,0.00056,0.4653,0.4392,v34_kidney
ENST00000342203,50,30,614,0.00098,0.49762,0.41156,v34_kidney
ENST00000260506,39,25,551,0.00116,0.44418,0.38461,v34_kidney
ENST00000370214,38,14,659,0.00056,0.52508,0.54422,v34_kidney
ENST00000359785,36,14,807,0.00048,0.47752,0.54789,v34_kidney
ENST00000369486,73,12,1194,0.00014,0.43529,0.42748,v34_kidney
ENST00000369483,76,12,1214,0.00013,0.43439,0.42868,v34_kidney
ENST00000369464,32,10,562,0.00056,0.47904,0.54929,v34_kidney
ENST00000295598,44,13,1023,0.00029,0.52997,0.40672,v34_kidney
ENST00000369496,43,12,992,0.00028,0.52759,0.42171,v34_kidney
ENST00000313431,122,47,1132,0.00034,0.54435,0.57828,v34_kidney
ENST00000369140,48,16,640,0.00052,0.45514,0.44922,v34_kidney
ENST00000369049,44,15,567,0.0006,0.43218,0.3525,v34_kidney
ENST00000312210,34,9,327,0.00081,0.60425,0.50968,v34_kidney
ENST00000356728,40,8,497,0.0004,0.41806,0.33023,v34_kidney
ENST00000529168,62,12,1200,0.00016,0.37633,0.20868,v34_kidney
ENST00000313667,70,10,985,0.00015,0.55063,0.52234,v34_kidney
ENST00000368285,37,6,761,0.00021,0.4987,0.44547,v34_kidney
ENST00000368285,37,6,761,0.00021,0.4987,0.44547,v34_kidney
ENST00000368339,55,23,888,0.00047,0.4605,0.42264,v34_kidney
ENST00000361831,49,22,739,0.00061,0.40797,0.32507,v34_kidney
ENST00000368195,59,14,1297,0.00018,0.51045,0.5798,v34_kidney
ENST00000649689,39,14,645,0.00056,0.38942,0.33743,v34_kidney
ENST00000367662,83,29,1791,0.0002,0.50142,0.52739,v34_kidney
ENST00000367614,60,29,981,0.00049,0.52955,0.53773,v34_kidney
ENST00000621791,106,13,2251,5e-05,0.52685,0.69586,v34_kidney
ENST00000507173,53,20,1058,0.00036,0.53806,0.63436,v34_kidney
ENST00000367500,51,27,900,0.00059,0.54227,0.57025,v34_kidney
ENST00000367342,37,5,677,0.0002,0.44756,0.45465,v34_kidney
