ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000333172,39,0,841,0.0,0.44544,,v39_breast
ENST00000377728,44,6,1006,0.00014,0.59583,0.51425,v39_breast
ENST00000400915,46,6,1043,0.00013,0.58429,0.53148,v39_breast
ENST00000376030,54,4,775,0.0001,0.42167,0.53516,v39_breast
ENST00000373220,72,14,1275,0.00015,0.56747,0.4316,v39_breast
ENST00000372572,63,18,622,0.00046,0.58041,0.56333,v39_breast
ENST00000371714,31,5,723,0.00022,0.40396,0.44288,v39_breast
ENST00000371153,60,8,995,0.00013,0.47864,0.35126,v39_breast
ENST00000371083,22,1,580,8e-05,0.56724,0.18448,v39_breast
ENST00000370565,48,10,943,0.00022,0.48131,0.40361,v39_breast
ENST00000370096,90,18,1806,0.00011,0.50707,0.47438,v39_breast
ENST00000520113,31,2,747,9e-05,0.47882,0.85208,v39_breast
ENST00000682167,64,9,1021,0.00014,0.41747,0.51855,v39_breast
ENST00000369041,66,2,877,3e-05,0.46643,0.27651,v39_breast
ENST00000368912,40,1,922,3e-05,0.42522,0.282,v39_breast
ENST00000368863,88,10,1315,9e-05,0.47967,0.4581,v39_breast
ENST00000643759,194,33,2419,7e-05,0.50385,0.51825,v39_breast
ENST00000367922,40,7,855,0.0002,0.59123,0.65297,v39_breast
ENST00000545172,75,14,1457,0.00013,0.51791,0.54064,v39_breast
ENST00000538366,34,7,714,0.00029,0.54585,0.45478,v39_breast
ENST00000367696,72,13,1133,0.00016,0.33457,0.39976,v39_breast
ENST00000239462,71,9,1299,0.0001,0.49095,0.26114,v39_breast
ENST00000294848,60,15,981,0.00025,0.52955,0.36337,v39_breast
ENST00000344730,48,10,1064,0.0002,0.59461,0.69586,v39_breast
ENST00000362061,73,7,1873,5e-05,0.56142,0.51041,v39_breast
ENST00000367483,29,8,1363,0.0002,0.59119,0.59776,v39_breast
ENST00000439764,37,5,828,0.00016,0.39039,0.19541,v39_breast
ENST00000391911,108,5,1172,4e-05,0.5257,0.43498,v39_breast
ENST00000356082,108,5,1172,4e-05,0.5257,0.43498,v39_breast
ENST00000336119,52,4,1034,7e-05,0.52903,0.61871,v39_breast
ENST00000397146,49,4,942,9e-05,0.47758,0.39596,v39_breast
ENST00000397145,37,4,702,0.00015,0.46135,0.51317,v39_breast
ENST00000357447,58,6,1039,0.0001,0.5304,0.31697,v39_breast
ENST00000396432,109,23,1958,0.00011,0.42572,0.42157,v39_breast
ENST00000436087,47,9,828,0.00023,0.48507,0.50282,v39_breast
ENST00000560721,74,23,1104,0.00028,0.50345,0.49287,v39_breast
ENST00000537177,48,12,758,0.00033,0.53177,0.4812,v39_breast
ENST00000374822,24,4,644,0.00026,0.56942,0.59588,v39_breast
ENST00000417912,35,5,714,0.0002,0.41288,0.39384,v39_breast
ENST00000435790,34,5,704,0.00021,0.42392,0.39432,v39_breast
ENST00000613657,73,15,1790,0.00011,0.45815,0.4476,v39_breast
ENST00000299366,32,5,1061,0.00015,0.41435,0.53252,v39_breast
ENST00000398788,42,4,1114,9e-05,0.52849,0.58169,v39_breast
ENST00000370575,30,1,581,6e-05,0.46603,0.60757,v39_breast
ENST00000371241,42,9,684,0.00031,0.57334,0.68876,v39_breast
ENST00000648076,65,7,1497,7e-05,0.51823,0.46817,v39_breast
ENST00000348367,46,9,828,0.00024,0.55156,0.64157,v39_breast
ENST00000348367,46,9,828,0.00024,0.55156,0.64157,v39_breast
ENST00000277945,36,9,579,0.00043,0.53536,0.57551,v39_breast
ENST00000284694,43,8,699,0.00027,0.59803,0.6563,v39_breast
ENST00000368679,47,3,909,7e-05,0.57145,0.67584,v39_breast
ENST00000368676,35,1,738,4e-05,0.55238,0.09756,v39_breast
ENST00000450649,47,2,807,5e-05,0.58929,0.48451,v39_breast
ENST00000520467,51,3,971,6e-05,0.56667,0.42705,v39_breast
ENST00000256737,44,7,981,0.00016,0.53609,0.61002,v39_breast
ENST00000622144,36,2,737,8e-05,0.45036,0.6194,v39_breast
ENST00000318201,59,3,906,6e-05,0.57822,0.52024,v39_breast
ENST00000377432,31,3,754,0.00013,0.49191,0.56808,v39_breast
ENST00000354024,36,7,609,0.00032,0.49521,0.47807,v39_breast
ENST00000513398,65,3,901,5e-05,0.56998,0.41288,v39_breast
ENST00000393958,54,3,1178,5e-05,0.46465,0.45246,v39_breast
ENST00000393960,54,3,1178,5e-05,0.46465,0.45246,v39_breast
ENST00000393801,47,10,879,0.00024,0.46818,0.39636,v39_breast
ENST00000336898,28,3,605,0.00018,0.48158,0.33168,v39_breast
ENST00000278550,116,12,2769,4e-05,0.58377,0.64166,v39_breast
ENST00000543262,28,0,604,0.0,0.48072,,v39_breast
ENST00000282499,37,7,902,0.00021,0.3886,0.39753,v39_breast
ENST00000304987,94,11,926,0.00013,0.61732,0.61771,v39_breast
ENST00000426998,34,8,603,0.00039,0.55385,0.62023,v39_breast
ENST00000311129,37,8,667,0.00032,0.55302,0.65667,v39_breast
ENST00000527614,33,7,601,0.00035,0.55932,0.69052,v39_breast
ENST00000431736,77,17,1073,0.00021,0.47876,0.60879,v39_breast
ENST00000356063,82,10,1319,9e-05,0.50827,0.49181,v39_breast
ENST00000525863,47,2,921,5e-05,0.53108,0.53529,v39_breast
ENST00000341846,31,1,588,5e-05,0.56589,0.69048,v39_breast
ENST00000342628,42,9,801,0.00027,0.46371,0.56374,v39_breast
ENST00000011684,63,6,790,0.00012,0.46359,0.47363,v39_breast
ENST00000396988,63,6,790,0.00012,0.46359,0.47363,v39_breast
ENST00000356654,80,10,1190,0.00011,0.47581,0.40613,v39_breast
ENST00000609686,56,2,1484,2e-05,0.5239,0.09029,v39_breast
ENST00000545604,26,3,730,0.00016,0.46791,0.76393,v39_breast
ENST00000266503,29,9,636,0.00049,0.50417,0.65461,v39_breast
ENST00000308666,29,7,740,0.00033,0.58663,0.64768,v39_breast
ENST00000337299,68,6,1418,6e-05,0.47116,0.47978,v39_breast
ENST00000423947,44,9,931,0.00022,0.48316,0.35768,v39_breast
ENST00000425752,43,10,929,0.00025,0.45135,0.39946,v39_breast
ENST00000252242,28,1,590,6e-05,0.48777,0.68644,v39_breast
ENST00000332411,36,4,638,0.00017,0.50832,0.3319,v39_breast
ENST00000394048,70,9,1104,0.00012,0.49237,0.57075,v39_breast
ENST00000546141,53,10,1065,0.00018,0.54457,0.62958,v39_breast
ENST00000547405,39,6,1120,0.00014,0.47241,0.53333,v39_breast
ENST00000553190,35,5,1123,0.00013,0.43529,0.46215,v39_breast
ENST00000541119,39,6,1134,0.00014,0.47893,0.5391,v39_breast
ENST00000550270,36,6,1141,0.00015,0.4404,0.49343,v39_breast
ENST00000545503,39,6,1146,0.00013,0.48438,0.54392,v39_breast
ENST00000361685,35,5,1148,0.00012,0.44759,0.47387,v39_breast
ENST00000550527,62,12,1237,0.00016,0.46931,0.45379,v39_breast
ENST00000551662,47,12,670,0.00038,0.44916,0.41542,v39_breast
ENST00000310903,47,9,1038,0.00018,0.53333,0.55705,v39_breast
ENST00000544971,21,0,764,0.0,0.51384,,v39_breast
ENST00000553118,41,12,631,0.00046,0.56878,0.48838,v39_breast
ENST00000351677,36,10,593,0.00047,0.59603,0.6032,v39_breast
ENST00000435159,56,4,1108,6e-05,0.53902,0.5828,v39_breast
ENST00000536435,66,14,947,0.00022,0.45435,0.47006,v39_breast
ENST00000400366,63,8,1354,9e-05,0.45157,0.32552,v39_breast
ENST00000377865,54,9,1237,0.00013,0.55963,0.45361,v39_breast
ENST00000356711,102,25,1858,0.00013,0.46744,0.46403,v39_breast
ENST00000405925,37,13,911,0.00039,0.41831,0.39145,v39_breast
ENST00000375604,66,3,1123,4e-05,0.4444,0.61917,v39_breast
ENST00000361283,31,7,812,0.00028,0.53095,0.41766,v39_breast
ENST00000451119,36,2,722,8e-05,0.493,0.5741,v39_breast
ENST00000355349,129,8,1935,3e-05,0.56748,0.55316,v39_breast
ENST00000396165,38,14,775,0.00048,0.43976,0.40968,v39_breast
ENST00000013125,40,13,846,0.00038,0.51962,0.53583,v39_breast
ENST00000216392,35,2,847,7e-05,0.45377,0.3967,v39_breast
ENST00000356218,31,7,614,0.00037,0.49039,0.40298,v39_breast
ENST00000395606,34,6,879,0.0002,0.48434,0.65586,v39_breast
ENST00000395168,52,14,1203,0.00022,0.5261,0.59595,v39_breast
ENST00000555755,49,11,730,0.00031,0.52038,0.49651,v39_breast
ENST00000682763,84,4,975,5e-05,0.46745,0.73846,v39_breast
ENST00000650110,34,8,875,0.00027,0.46333,0.54886,v39_breast
ENST00000619401,44,13,1023,0.00029,0.52088,0.59651,v39_breast
ENST00000342159,50,0,893,0.0,0.54195,,v39_breast
ENST00000648595,47,3,721,9e-05,0.44991,0.19417,v39_breast
ENST00000441366,46,3,691,9e-05,0.43695,0.17366,v39_breast
ENST00000349114,42,4,638,0.00015,0.5549,0.72531,v39_breast
ENST00000220420,44,4,720,0.00013,0.57576,0.7566,v39_breast
ENST00000357568,40,4,815,0.00012,0.54626,0.78344,v39_breast
ENST00000397163,40,4,821,0.00012,0.54519,0.78502,v39_breast
ENST00000450115,126,24,1975,0.0001,0.46319,0.33901,v39_breast
ENST00000399231,128,22,1855,9e-05,0.5515,0.54688,v39_breast
ENST00000530406,38,0,737,0.0,0.49718,,v39_breast
ENST00000558939,41,4,772,0.00013,0.38171,0.48284,v39_breast
ENST00000565159,31,2,745,9e-05,0.56627,0.31208,v39_breast
ENST00000435464,31,2,745,9e-05,0.56627,0.31208,v39_breast
ENST00000557856,39,2,817,6e-05,0.52641,0.87087,v39_breast
ENST00000562208,63,7,1129,0.0001,0.48966,0.45426,v39_breast
ENST00000574025,47,2,840,5e-05,0.51596,0.40536,v39_breast
ENST00000631534,47,2,840,5e-05,0.51596,0.40536,v39_breast
ENST00000617235,52,2,907,4e-05,0.50513,0.44928,v39_breast
ENST00000537233,52,2,907,4e-05,0.50513,0.44928,v39_breast
ENST00000205557,90,5,1503,4e-05,0.56241,0.53027,v39_breast
ENST00000620078,92,6,1503,4e-05,0.56391,0.51187,v39_breast
ENST00000331849,23,1,579,8e-05,0.51303,0.77029,v39_breast
ENST00000395503,32,2,994,6e-05,0.45479,0.45674,v39_breast
ENST00000690258,39,4,597,0.00017,0.49959,0.80067,v39_breast
ENST00000539836,19,3,642,0.00025,0.59608,0.63032,v39_breast
ENST00000568943,18,2,617,0.00018,0.53368,0.58671,v39_breast
ENST00000219833,19,3,628,0.00025,0.54928,0.71019,v39_breast
ENST00000710316,146,15,2466,4e-05,0.46809,0.53452,v39_breast
ENST00000447066,94,13,1192,0.00012,0.44869,0.46961,v39_breast
ENST00000268613,32,6,760,0.00025,0.37064,0.40636,v39_breast
ENST00000648651,59,4,1063,6e-05,0.52255,0.60489,v39_breast
ENST00000414043,65,9,1241,0.00011,0.59648,0.60865,v39_breast
ENST00000252172,139,14,1938,5e-05,0.58477,0.63504,v39_breast
ENST00000403437,141,22,1937,8e-05,0.57892,0.65819,v39_breast
ENST00000255381,137,29,1939,0.00011,0.5616,0.65619,v39_breast
ENST00000226207,136,29,1939,0.00011,0.55851,0.66922,v39_breast
ENST00000397183,139,22,1941,8e-05,0.5626,0.6487,v39_breast
ENST00000245503,139,22,1941,8e-05,0.5626,0.6487,v39_breast
ENST00000314728,44,5,641,0.00018,0.45898,0.63869,v39_breast
ENST00000444914,27,2,641,0.00012,0.49934,0.76209,v39_breast
ENST00000314669,24,2,592,0.00014,0.50802,0.7424,v39_breast
ENST00000604641,52,7,880,0.00015,0.47216,0.49123,v39_breast
ENST00000614428,128,20,2346,7e-05,0.49745,0.40631,v39_breast
ENST00000613687,128,20,2346,7e-05,0.49745,0.40631,v39_breast
ENST00000254051,47,3,715,9e-05,0.51409,0.41492,v39_breast
ENST00000452774,40,5,729,0.00017,0.46248,0.55555,v39_breast
ENST00000253799,42,5,756,0.00016,0.46762,0.54286,v39_breast
ENST00000468300,43,11,699,0.00037,0.42529,0.36299,v39_breast
ENST00000319977,51,6,647,0.00018,0.48374,0.34827,v39_breast
ENST00000293443,29,1,826,4e-05,0.47111,0.42252,v39_breast
ENST00000514181,88,5,2259,3e-05,0.53178,0.38849,v39_breast
ENST00000507609,88,5,2277,2e-05,0.53036,0.387,v39_breast
ENST00000505165,85,4,2205,2e-05,0.52807,0.26406,v39_breast
ENST00000269081,61,15,1543,0.00016,0.59274,0.60583,v39_breast
ENST00000200181,93,6,1822,4e-05,0.51722,0.51674,v39_breast
ENST00000293217,37,3,660,0.00012,0.53612,0.69192,v39_breast
ENST00000310924,39,1,767,3e-05,0.51315,0.74837,v39_breast
