Gene,OptionalDataColumns
ENST00000304952,221
ENST00000428771,247
ENST00000537107,399
ENST00000476993,445
ENST00000612705,166
ENST00000378453,166
ENST00000444870,78
ENST00000377627,175
ENST00000604074,403
ENST00000356607,377
ENST00000602296,143
ENST00000376629,152
ENST00000334600,474
ENST00000376014,253
ENST00000376008,253
ENST00000487038,120
ENST00000503743,421
ENST00000251296,467
ENST00000375534,182
ENST00000375535,183
ENST00000375111,144
ENST00000615215,215
ENST00000374392,102
ENST00000356046,556
ENST00000436717,183
ENST00000616511,116
ENST00000374393,115
ENST00000374278,323
ENST00000374300,292
ENST00000318074,550
ENST00000373857,342
ENST00000536384,459
ENST00000420504,307
ENST00000609129,495
ENST00000339480,266
ENST00000338513,273
ENST00000373366,270
ENST00000373362,270
ENST00000373484,476
ENST00000621781,84
ENST00000373012,451
ENST00000621281,110
ENST00000372816,364
ENST00000397332,394
ENST00000372815,236
ENST00000372587,178
ENST00000372653,301
ENST00000372508,284
ENST00000539749,218
ENST00000523677,113
ENST00000372359,220
ENST00000372299,389
ENST00000531451,139
ENST00000372362,155
ENST00000351035,429
ENST00000355498,521
ENST00000354383,522
ENST00000672818,546
ENST00000528077,106
ENST00000371946,453
ENST00000371655,219
ENST00000371116,478
ENST00000371092,216
ENST00000354777,543
ENST00000370976,450
ENST00000477717,336
ENST00000534056,340
ENST00000457880,226
ENST00000370867,259
ENST00000370756,297
ENST00000254821,320
ENST00000370689,351
ENST00000652648,390
ENST00000342173,284
ENST00000370068,539
ENST00000686434,501
ENST00000357155,354
ENST00000349334,181
ENST00000369836,218
ENST00000369801,438
ENST00000359172,483
ENST00000369709,184
ENST00000687939,184
ENST00000369516,221
ENST00000369500,362
ENST00000369510,522
ENST00000256585,158
ENST00000313835,455
ENST00000369152,137
ENST00000616917,220
ENST00000295294,275
ENST00000312210,327
ENST00000290583,465
ENST00000290585,415
ENST00000368908,227
ENST00000368762,89
ENST00000368718,92
ENST00000368708,98
ENST00000368600,375
ENST00000271889,395
ENST00000368600,375
ENST00000618489,449
ENST00000428024,449
ENST00000368336,398
ENST00000368390,255
ENST00000368392,264
ENST00000337604,273
ENST00000359751,193
ENST00000295694,394
ENST00000368222,138
ENST00000621784,138
ENST00000392252,452
ENST00000368138,483
ENST00000368012,510
ENST00000367948,426
ENST00000368007,312
ENST00000236937,291
ENST00000367961,303
ENST00000512372,267
ENST00000504010,280
ENST00000294796,225
ENST00000421743,302
ENST00000619224,340
ENST00000627490,420
ENST00000235382,211
ENST00000571439,59
ENST00000309309,59
ENST00000367362,541
ENST00000412633,285
ENST00000533432,193
ENST00000340006,193
ENST00000340006,193
ENST00000367284,371
ENST00000255427,447
ENST00000367145,553
ENST00000367183,164
ENST00000367136,502
ENST00000678498,363
ENST00000358184,396
ENST00000579436,418
ENST00000399639,265
ENST00000367006,436
ENST00000366988,172
ENST00000366965,311
ENST00000526641,253
ENST00000341491,181
ENST00000391895,422
ENST00000424254,179
ENST00000366788,141
ENST00000438896,401
ENST00000366746,128
ENST00000450593,75
ENST00000642610,527
ENST00000366488,135
ENST00000455190,139
ENST00000191063,304
ENST00000379562,393
ENST00000379328,444
ENST00000313519,350
ENST00000376510,182
ENST00000417816,270
ENST00000419761,352
ENST00000351773,561
ENST00000395797,273
ENST00000395794,140
ENST00000490511,113
ENST00000619162,327
ENST00000581478,77
ENST00000373970,266
ENST00000399162,169
ENST00000373306,398
ENST00000644088,122
ENST00000644591,196
ENST00000351293,495
ENST00000680035,539
ENST00000360830,131
ENST00000645440,131
ENST00000339284,357
ENST00000358110,253
ENST00000371930,191
ENST00000277874,445
ENST00000356016,433
ENST00000298808,327
ENST00000371027,485
ENST00000371207,522
ENST00000628193,480
ENST00000343737,351
ENST00000427256,409
ENST00000707079,432
ENST00000476766,128
ENST00000369905,376
ENST00000441178,228
ENST00000404739,561
ENST00000450629,209
ENST00000369707,215
ENST00000361248,182
ENST00000369151,369
ENST00000260723,506
ENST00000528446,107
ENST00000368896,94
ENST00000388920,318
ENST00000611962,419
ENST00000176183,419
ENST00000348655,474
ENST00000633943,474
ENST00000381968,401
ENST00000672195,401
ENST00000673051,277
ENST00000405957,277
ENST00000329957,268
