ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000333172,39,26,841,0.00079,0.44544,0.47046,v39_breast
ENST00000377728,44,30,1006,0.00068,0.59583,0.56776,v39_breast
ENST00000400915,46,31,1043,0.00065,0.58429,0.56475,v39_breast
ENST00000376030,54,42,775,0.001,0.42167,0.46402,v39_breast
ENST00000373220,72,58,1275,0.00063,0.56747,0.55928,v39_breast
ENST00000372572,63,51,622,0.0013,0.58041,0.60485,v39_breast
ENST00000371714,31,28,723,0.00125,0.40396,0.39824,v39_breast
ENST00000371153,60,44,995,0.00074,0.47864,0.48728,v39_breast
ENST00000370565,48,37,943,0.00082,0.48131,0.44407,v39_breast
ENST00000263174,32,31,551,0.00176,0.41408,0.42357,v39_breast
ENST00000370096,90,77,1806,0.00047,0.50707,0.49755,v39_breast
ENST00000207157,34,28,496,0.00166,0.54762,0.51404,v39_breast
ENST00000682167,64,57,1021,0.00087,0.41747,0.42286,v39_breast
ENST00000369041,66,38,877,0.00066,0.46643,0.46261,v39_breast
ENST00000368912,40,26,922,0.0007,0.42522,0.39217,v39_breast
ENST00000368849,33,26,390,0.00202,0.53675,0.53333,v39_breast
ENST00000368863,88,73,1315,0.00063,0.47967,0.49268,v39_breast
ENST00000643759,194,175,2419,0.00037,0.50385,0.49771,v39_breast
ENST00000367922,40,33,855,0.00096,0.59123,0.63186,v39_breast
ENST00000294816,34,28,382,0.00216,0.58439,0.61556,v39_breast
ENST00000545172,75,60,1457,0.00055,0.51791,0.52017,v39_breast
ENST00000538366,34,32,714,0.00132,0.54585,0.53795,v39_breast
ENST00000367696,72,61,1133,0.00075,0.33457,0.32723,v39_breast
ENST00000239462,71,43,1299,0.00047,0.49095,0.47604,v39_breast
ENST00000294848,60,50,981,0.00085,0.52955,0.53878,v39_breast
ENST00000344730,48,41,1064,0.0008,0.59461,0.59621,v39_breast
ENST00000362061,73,57,1873,0.00042,0.56142,0.54829,v39_breast
ENST00000367483,29,28,1363,0.00071,0.59119,0.57688,v39_breast
ENST00000439764,37,32,828,0.00104,0.39039,0.38644,v39_breast
ENST00000391911,108,71,1172,0.00056,0.5257,0.50469,v39_breast
ENST00000356082,108,71,1172,0.00056,0.5257,0.50469,v39_breast
ENST00000336119,52,37,1034,0.00069,0.52903,0.53701,v39_breast
ENST00000397146,49,30,942,0.00065,0.47758,0.53121,v39_breast
ENST00000357447,58,45,1039,0.00075,0.5304,0.49342,v39_breast
ENST00000378748,40,35,577,0.00152,0.54636,0.52978,v39_breast
ENST00000396432,109,87,1958,0.00041,0.42572,0.39831,v39_breast
ENST00000376140,27,25,481,0.00193,0.43898,0.42029,v39_breast
ENST00000436087,47,36,828,0.00093,0.48507,0.46769,v39_breast
ENST00000560721,74,63,1104,0.00077,0.50345,0.49961,v39_breast
ENST00000537177,48,43,758,0.00118,0.53177,0.51798,v39_breast
ENST00000417912,35,28,714,0.00112,0.41288,0.45618,v39_breast
ENST00000435790,34,28,704,0.00117,0.42392,0.45576,v39_breast
ENST00000613657,73,66,1790,0.00051,0.45815,0.47396,v39_breast
ENST00000299366,32,27,1061,0.0008,0.41435,0.44912,v39_breast
ENST00000398788,42,31,1114,0.00066,0.52849,0.5051,v39_breast
ENST00000371027,33,28,485,0.00175,0.49853,0.5229,v39_breast
ENST00000371241,42,32,684,0.00111,0.57334,0.60238,v39_breast
ENST00000648076,65,47,1497,0.00048,0.51823,0.48328,v39_breast
ENST00000348367,46,37,828,0.00097,0.55156,0.58108,v39_breast
ENST00000348367,46,37,828,0.00097,0.55156,0.58108,v39_breast
ENST00000277945,36,31,579,0.00149,0.53536,0.54187,v39_breast
ENST00000284694,43,36,699,0.0012,0.59803,0.5761,v39_breast
ENST00000368679,47,33,909,0.00077,0.57145,0.55752,v39_breast
ENST00000450649,47,33,807,0.00087,0.58929,0.62491,v39_breast
ENST00000520467,51,36,971,0.00073,0.56667,0.59286,v39_breast
ENST00000256737,44,35,981,0.00081,0.53609,0.56659,v39_breast
ENST00000318201,59,46,906,0.00086,0.57822,0.58079,v39_breast
ENST00000377432,31,26,754,0.00111,0.49191,0.44246,v39_breast
ENST00000354024,36,27,609,0.00123,0.49521,0.47941,v39_breast
ENST00000513398,65,57,901,0.00097,0.56998,0.58237,v39_breast
ENST00000393958,54,34,1178,0.00053,0.46465,0.4457,v39_breast
ENST00000393960,54,34,1178,0.00053,0.46465,0.4457,v39_breast
ENST00000393801,47,44,879,0.00107,0.46818,0.47513,v39_breast
ENST00000278550,116,87,2769,0.00027,0.58377,0.57458,v39_breast
ENST00000282499,37,27,902,0.00081,0.3886,0.33054,v39_breast
ENST00000304987,94,69,926,0.00079,0.61732,0.64091,v39_breast
ENST00000426998,34,31,603,0.00151,0.55385,0.53287,v39_breast
ENST00000311129,37,34,667,0.00138,0.55302,0.53188,v39_breast
ENST00000341980,31,29,556,0.00168,0.56452,0.5511,v39_breast
ENST00000527614,33,31,601,0.00156,0.55932,0.54527,v39_breast
ENST00000431736,77,70,1073,0.00085,0.47876,0.49242,v39_breast
ENST00000356063,82,54,1319,0.0005,0.50827,0.53518,v39_breast
ENST00000525863,47,33,921,0.00076,0.53108,0.53828,v39_breast
ENST00000341846,31,25,588,0.00137,0.56589,0.56469,v39_breast
ENST00000422000,41,39,456,0.00209,0.50112,0.49359,v39_breast
ENST00000342628,42,33,801,0.00098,0.46371,0.44267,v39_breast
ENST00000011684,63,38,790,0.00076,0.46359,0.4464,v39_breast
ENST00000396988,63,38,790,0.00076,0.46359,0.4464,v39_breast
ENST00000356654,80,69,1190,0.00072,0.47581,0.46846,v39_breast
ENST00000609686,56,42,1484,0.00051,0.5239,0.49936,v39_breast
ENST00000308666,29,26,740,0.00121,0.58663,0.56575,v39_breast
ENST00000337299,68,45,1418,0.00047,0.47116,0.47062,v39_breast
ENST00000423947,44,34,931,0.00083,0.48316,0.45577,v39_breast
ENST00000425752,43,34,929,0.00085,0.45135,0.43529,v39_breast
ENST00000252252,30,28,564,0.00165,0.53079,0.53312,v39_breast
ENST00000252250,30,26,564,0.00154,0.53079,0.53676,v39_breast
ENST00000332411,36,28,638,0.00122,0.50832,0.51383,v39_breast
ENST00000394048,70,46,1104,0.0006,0.49237,0.50392,v39_breast
ENST00000546141,53,38,1065,0.00067,0.54457,0.54925,v39_breast
ENST00000547405,39,34,1120,0.00078,0.47241,0.47476,v39_breast
ENST00000553190,35,31,1123,0.00079,0.43529,0.44693,v39_breast
ENST00000541119,39,34,1134,0.00077,0.47893,0.48125,v39_breast
ENST00000550270,36,32,1141,0.00078,0.4404,0.45251,v39_breast
ENST00000545503,39,34,1146,0.00076,0.48438,0.48668,v39_breast
ENST00000361685,35,31,1148,0.00077,0.44759,0.45898,v39_breast
ENST00000550527,62,60,1237,0.00078,0.46931,0.47769,v39_breast
ENST00000551662,47,40,670,0.00127,0.44916,0.4772,v39_breast
ENST00000310903,47,40,1038,0.00082,0.53333,0.53054,v39_breast
ENST00000553118,41,36,631,0.00139,0.56878,0.56071,v39_breast
ENST00000351677,36,27,593,0.00126,0.59603,0.59934,v39_breast
ENST00000445409,32,25,414,0.00189,0.55035,0.57942,v39_breast
ENST00000435159,56,36,1108,0.00058,0.53902,0.50995,v39_breast
ENST00000536435,66,59,947,0.00094,0.45435,0.48818,v39_breast
ENST00000403412,26,26,429,0.00233,0.45482,0.45482,v39_breast
ENST00000400366,63,53,1354,0.00062,0.45157,0.39961,v39_breast
ENST00000377865,54,44,1237,0.00066,0.55963,0.5366,v39_breast
ENST00000356711,102,90,1858,0.00047,0.46744,0.45516,v39_breast
ENST00000376440,29,26,309,0.0029,0.5871,0.58402,v39_breast
ENST00000405925,37,33,911,0.00098,0.41831,0.4274,v39_breast
ENST00000375604,66,46,1123,0.00062,0.4444,0.44094,v39_breast
ENST00000361283,31,29,812,0.00115,0.53095,0.51898,v39_breast
ENST00000355349,129,100,1935,0.0004,0.56748,0.54174,v39_breast
ENST00000396165,38,38,775,0.00129,0.43976,0.43976,v39_breast
