Gene,OptionalDataColumns
ENST00000520296,0.23077
ENST00000307786,0.0221
ENST00000378285,0.48978
ENST00000377728,0.51425
ENST00000470413,0.50216
ENST00000375534,0.46978
ENST00000375341,0.26643
ENST00000618761,0.37016
ENST00000360009,0.32635
ENST00000236342,0.32733
ENST00000263702,0.29491
ENST00000373791,0.11448
ENST00000373220,0.4316
ENST00000396148,0.35416
ENST00000371761,0.35416
ENST00000371714,0.44288
ENST00000371153,0.35126
ENST00000371083,0.18448
ENST00000370894,0.30473
ENST00000370565,0.40361
ENST00000263174,0.2561
ENST00000370096,0.47438
ENST00000369041,0.27651
ENST00000360244,0.33198
ENST00000368912,0.282
ENST00000368849,0.48359
ENST00000295314,0.41014
ENST00000368863,0.4581
ENST00000368603,0.37912
ENST00000368276,0.33182
ENST00000368222,0.32609
ENST00000289429,0.23548
ENST00000368168,0.4012
ENST00000368161,0.28851
ENST00000368167,0.48918
ENST00000538366,0.45478
ENST00000367696,0.39976
ENST00000239462,0.26114
ENST00000294848,0.36337
ENST00000362061,0.51041
ENST00000439764,0.19541
ENST00000391911,0.43498
ENST00000356082,0.43498
ENST00000542957,0.13924
ENST00000446108,0.43819
ENST00000397146,0.39596
ENST00000397145,0.51317
ENST00000357447,0.31697
ENST00000378165,0.46145
ENST00000396432,0.42157
ENST00000536334,0.16794
ENST00000376170,0.14634
ENST00000376140,0.33195
ENST00000436087,0.50282
ENST00000560721,0.49287
ENST00000537177,0.4812
ENST00000417912,0.39384
ENST00000435790,0.39432
ENST00000613657,0.4476
ENST00000609923,0.19277
ENST00000359322,0.27536
ENST00000372734,0.47246
ENST00000543964,0.40548
ENST00000370549,0.29963
ENST00000370546,0.29197
ENST00000347978,0.15349
ENST00000320185,0.23156
ENST00000648076,0.46817
ENST00000619563,0.37541
ENST00000361048,0.45691
ENST00000369312,0.37541
ENST00000369310,0.34378
ENST00000368676,0.09756
ENST00000381911,0.36264
ENST00000673526,0.36264
ENST00000672632,0.36264
ENST00000381906,0.36264
ENST00000381905,0.36264
ENST00000672155,0.36264
ENST00000672629,0.02734
ENST00000381589,0.02734
ENST00000506134,0.4345
ENST00000429814,0.39198
ENST00000450649,0.48451
ENST00000520467,0.42705
ENST00000529419,0.42472
ENST00000526063,0.37402
ENST00000336930,0.4682
ENST00000672078,0.5
ENST00000227157,0.5
ENST00000303459,0.48352
ENST00000531794,0.48137
ENST00000652299,0.36375
ENST00000344743,0.38232
ENST00000378149,0.16753
ENST00000325558,0.16753
ENST00000278829,0.3588
ENST00000540857,0.26766
ENST00000301790,0.29391
ENST00000340246,0.4127
ENST00000394618,0.41083
ENST00000415491,0.32727
ENST00000426086,0.35106
ENST00000354024,0.47807
ENST00000398802,0.44097
ENST00000513398,0.41288
ENST00000393958,0.45246
ENST00000393960,0.45246
ENST00000308946,0.26518
ENST00000227507,0.41526
ENST00000393801,0.39636
ENST00000336898,0.33168
ENST00000376262,0.23478
ENST00000228027,0.24742
ENST00000393427,0.5082
ENST00000531380,0.27933
ENST00000305494,0.40684
ENST00000263317,0.50231
ENST00000282499,0.39753
ENST00000458137,0.4881
ENST00000526568,0.33869
ENST00000356063,0.49181
ENST00000527410,0.13246
ENST00000448775,0.47453
ENST00000298251,0.5012
ENST00000441717,0.43887
ENST00000011684,0.47363
ENST00000396988,0.47363
ENST00000356654,0.40613
ENST00000609686,0.09029
ENST00000337630,0.31288
ENST00000337299,0.47978
ENST00000423947,0.35768
ENST00000425752,0.39946
ENST00000301149,0.29226
ENST00000257901,0.2288
ENST00000394815,0.36947
ENST00000332411,0.3319
ENST00000444623,0.48682
ENST00000615206,0.38044
ENST00000332782,0.29945
ENST00000250559,0.44384
ENST00000266719,0.44034
ENST00000441303,0.35465
ENST00000553190,0.46215
ENST00000550270,0.49343
ENST00000361685,0.47387
ENST00000550527,0.45379
ENST00000551662,0.41542
ENST00000553118,0.48838
ENST00000392509,0.20225
ENST00000443358,0.19799
ENST00000536435,0.47006
ENST00000500625,0.36702
ENST00000713589,0.05706
ENST00000400366,0.32552
ENST00000377865,0.45361
ENST00000376958,0.46273
ENST00000356711,0.46403
ENST00000405925,0.39145
ENST00000361283,0.41766
ENST00000396165,0.40968
ENST00000216392,0.3967
ENST00000356218,0.40298
ENST00000353772,0.46667
ENST00000554659,0.39978
ENST00000555755,0.49651
ENST00000445922,0.43204
ENST00000445922,0.43204
ENST00000220507,0.37288
ENST00000645673,0.06471
ENST00000645673,0.06471
ENST00000648595,0.19417
ENST00000441366,0.17366
ENST00000450115,0.33901
ENST00000380565,0.50742
ENST00000332680,0.2381
ENST00000396024,0.19764
ENST00000558939,0.48284
ENST00000565159,0.31208
ENST00000435464,0.31208
ENST00000672913,0.47383
ENST00000358632,0.47383
ENST00000332145,0.05109
ENST00000561421,0.42482
ENST00000616533,0.4984
ENST00000341735,0.39496
ENST00000219409,0.44889
ENST00000562208,0.45426
ENST00000574025,0.40536
ENST00000631534,0.40536
ENST00000617235,0.44928
ENST00000537233,0.44928
ENST00000436368,0.3546
ENST00000620078,0.51187
ENST00000395503,0.45674
ENST00000252797,0.2598
ENST00000290552,0.45217
ENST00000422046,0.37633
ENST00000576783,0.37633
ENST00000571922,0.37566
ENST00000361503,0.37566
ENST00000219235,0.04301
ENST00000451102,0.44017
ENST00000545043,0.48889
ENST00000417693,0.49393
ENST00000355860,0.35714
ENST00000709349,0.49422
ENST00000315467,0.49422
ENST00000393335,0.50223
ENST00000709372,0.50223
ENST00000447066,0.46961
ENST00000268613,0.40636
ENST00000634347,0.06741
ENST00000570182,0.05669
ENST00000333813,0.41526
ENST00000254853,0.1875
ENST00000424747,0.1875
ENST00000339618,0.26575
ENST00000604641,0.49123
ENST00000611911,0.50641
ENST00000605424,0.50641
ENST00000634177,0.06897
ENST00000615024,0.06897
ENST00000619828,0.03509
ENST00000633122,0.03509
ENST00000614428,0.40631
ENST00000613687,0.40631
ENST00000445327,0.42793
ENST00000254051,0.41492
ENST00000311208,0.36343
ENST00000585807,0.12805
ENST00000591713,0.40944
ENST00000468300,0.36299
ENST00000319977,0.34827
ENST00000293443,0.42252
ENST00000393405,0.22469
ENST00000509079,0.51336
ENST00000427699,0.41521
ENST00000514181,0.38849
ENST00000507609,0.387
ENST00000505165,0.26406
ENST00000394239,0.46465
ENST00000340993,0.31658
ENST00000245551,0.39844
ENST00000336509,0.26281
ENST00000446868,0.11432
ENST00000306749,0.46396
ENST00000353319,0.46176
ENST00000400473,0.44608
ENST00000317571,0.46026
ENST00000257189,0.35849
ENST00000434452,0.32999
ENST00000269205,0.35354
ENST00000586448,0.42609
ENST00000255226,0.42609
ENST00000635228,0.47617
ENST00000256413,0.47617
ENST00000634350,0.47542
ENST00000382998,0.47542
ENST00000269468,0.28347
ENST00000262717,0.50458
ENST00000382771,0.384
ENST00000435432,0.43845
ENST00000397914,0.42742
ENST00000332235,0.16627
ENST00000561831,0.48027
ENST00000342063,0.48838
ENST00000414982,0.3886
ENST00000315599,0.39901
ENST00000215555,0.15447
ENST00000215555,0.15447
ENST00000264827,0.50279
ENST00000324340,0.22464
ENST00000301944,0.21226
ENST00000600359,0.40947
ENST00000598381,0.02242
ENST00000397032,0.30531
ENST00000589046,0.05533
ENST00000532141,0.05533
ENST00000586305,0.42451
ENST00000244289,0.2195
ENST00000403444,0.47106
ENST00000454662,0.41435
ENST00000403660,0.29834
ENST00000357701,0.39045
ENST00000250351,0.50196
ENST00000695909,0.22308
ENST00000391806,0.27541
ENST00000597707,0.18785
ENST00000439889,0.26095
ENST00000301096,0.38348
ENST00000391769,0.10248
ENST00000620501,0.50751
ENST00000612634,0.50751
ENST00000610346,0.45593
ENST00000621882,0.4176
ENST00000620822,0.4176
ENST00000615719,0.4176
ENST00000353758,0.4176
ENST00000622470,0.4176
ENST00000620179,0.4176
ENST00000617964,0.4176
ENST00000621755,0.4176
ENST00000618271,0.4176
ENST00000639163,0.4176
ENST00000622646,0.4176
ENST00000402394,0.47877
ENST00000435660,0.5137
ENST00000294954,0.46638
ENST00000337130,0.17716
ENST00000409429,0.39766
ENST00000295802,0.47508
ENST00000709863,0.47508
ENST00000536814,0.49406
ENST00000393526,0.17647
ENST00000377079,0.42062
ENST00000393359,0.35827
ENST00000535617,0.24227
ENST00000535757,0.48077
ENST00000393103,0.38636
ENST00000409078,0.4333
ENST00000409198,0.49971
ENST00000536575,0.42188
ENST00000409680,0.43341
ENST00000348328,0.40625
ENST00000243349,0.49087
ENST00000259075,0.32362
ENST00000374866,0.38786
ENST00000260950,0.46438
ENST00000708566,0.30052
ENST00000304636,0.30052
ENST00000392320,0.22009
ENST00000439802,0.49958
ENST00000341685,0.44667
ENST00000352451,0.41494
ENST00000695538,0.2314
ENST00000373426,0.34151
ENST00000409223,0.44579
ENST00000381922,0.32008
ENST00000380605,0.44346
ENST00000254963,0.47668
ENST00000284951,0.23663
ENST00000707932,0.23663
ENST00000310450,0.2973
ENST00000456297,0.27137
ENST00000374369,0.21258
ENST00000612493,0.43126
ENST00000360596,0.21969
ENST00000373345,0.42568
ENST00000427442,0.34603
ENST00000373100,0.29791
ENST00000341458,0.29791
ENST00000438466,0.40278
ENST00000360607,0.44074
ENST00000537548,0.44492
ENST00000352551,0.23333
ENST00000372330,0.03112
ENST00000371075,0.24082
ENST00000381291,0.39582
ENST00000380618,0.1629
ENST00000291527,0.45238
ENST00000433957,0.0837
ENST00000324198,0.49738
