Gene,OptionalDataColumns
ENST00000379407,7
ENST00000378378,6
ENST00000404249,8
ENST00000645284,6
ENST00000378083,1
ENST00000377845,3
ENST00000377577,9
ENST00000234590,2
ENST00000376667,2
ENST00000251546,1
ENST00000376629,3
ENST00000375826,4
ENST00000294454,4
ENST00000376014,1
ENST00000329454,1
ENST00000375662,4
ENST00000375679,3
ENST00000375667,2
ENST00000503743,5
ENST00000361144,5
ENST00000331433,4
ENST00000375692,4
ENST00000375471,6
ENST00000631074,6
ENST00000400664,7
ENST00000361640,3
ENST00000538309,2
ENST00000375341,2
ENST00000429712,0
ENST00000375121,3
ENST00000289815,7
ENST00000332947,0
ENST00000495204,7
ENST00000542643,6
ENST00000374514,2
ENST00000617979,2
ENST00000617979,2
ENST00000354361,3
ENST00000374395,3
ENST00000374393,2
ENST00000374282,5
ENST00000346452,2
ENST00000374278,3
ENST00000374276,3
ENST00000320567,2
ENST00000374168,8
ENST00000629832,8
ENST00000526219,2
ENST00000645794,2
ENST00000373842,2
ENST00000465645,1
ENST00000647380,1
ENST00000536384,3
ENST00000526031,4
ENST00000372844,2
ENST00000621281,2
ENST00000372815,1
ENST00000372699,6
ENST00000372587,4
ENST00000372539,2
ENST00000296387,2
ENST00000523677,2
ENST00000498139,0
ENST00000472174,2
ENST00000372003,3
ENST00000424390,4
ENST00000294338,2
ENST00000307089,0
ENST00000474844,8
ENST00000335071,0
ENST00000334793,0
ENST00000606738,4
ENST00000371839,4
ENST00000438567,3
ENST00000413473,5
ENST00000313334,6
ENST00000388876,2
ENST00000525202,0
ENST00000361921,1
ENST00000371268,1
ENST00000371276,2
ENST00000371274,2
ENST00000343744,4
ENST00000302250,3
ENST00000650283,1
ENST00000370985,3
ENST00000370871,7
ENST00000340866,7
ENST00000417775,7
ENST00000370756,7
ENST00000628037,3
ENST00000460330,3
ENST00000356595,6
ENST00000306666,3
ENST00000370924,5
ENST00000479918,7
ENST00000271227,5
ENST00000415432,4
ENST00000538610,3
ENST00000331565,1
ENST00000256644,3
ENST00000541986,6
ENST00000472422,7
ENST00000369781,3
ENST00000369779,7
ENST00000359172,9
ENST00000369722,7
ENST00000607941,1
ENST00000393316,4
ENST00000369500,7
ENST00000325945,4
ENST00000361035,4
ENST00000328189,1
ENST00000369458,3
ENST00000419275,3
ENST00000451928,8
ENST00000414276,1
ENST00000368954,3
ENST00000312210,9
ENST00000339643,3
ENST00000356728,8
ENST00000368718,0
ENST00000368708,0
ENST00000622330,6
ENST00000368439,2
ENST00000392414,2
ENST00000571194,2
ENST00000427500,6
ENST00000613861,6
ENST00000245564,7
ENST00000245564,7
ENST00000438413,5
ENST00000338684,5
ENST00000338684,5
ENST00000343256,1
ENST00000368393,4
ENST00000368392,5
ENST00000368390,5
ENST00000337604,5
ENST00000620103,8
ENST00000368285,6
ENST00000368285,6
ENST00000537040,2
ENST00000537040,2
ENST00000613460,0
ENST00000368155,8
ENST00000255040,5
ENST00000644903,5
ENST00000289707,3
ENST00000368100,2
ENST00000392190,5
ENST00000412844,5
ENST00000367985,5
ENST00000426740,5
ENST00000271417,8
ENST00000367846,2
ENST00000367740,4
ENST00000356198,7
ENST00000367554,7
ENST00000571439,2
ENST00000309309,2
ENST00000367342,5
ENST00000413687,3
ENST00000412633,1
ENST00000422165,1
ENST00000272190,5
ENST00000367202,3
ENST00000308302,1
ENST00000367177,7
ENST00000367147,4
ENST00000367183,6
ENST00000539706,9
ENST00000367136,9
ENST00000367134,8
ENST00000659997,4
ENST00000450945,5
ENST00000508064,7
ENST00000367079,8
ENST00000361322,4
ENST00000367028,1
ENST00000367028,1
ENST00000413764,5
ENST00000627903,5
ENST00000532324,9
ENST00000322067,7
ENST00000366878,8
ENST00000493603,6
ENST00000493603,6
ENST00000359162,6
ENST00000361395,6
ENST00000391867,2
ENST00000391858,2
ENST00000470540,3
ENST00000334232,6
ENST00000366559,8
ENST00000472531,1
ENST00000340684,6
ENST00000315238,1
ENST00000479328,5
ENST00000380419,8
ENST00000497571,2
ENST00000459912,1
ENST00000379328,3
ENST00000346208,3
ENST00000378614,3
ENST00000476166,0
ENST00000374391,1
ENST00000610656,1
ENST00000340258,3
