NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_001160184,ENST00000379407,31,8,576,0.00045,0.46948,0.29991
NM_014448,ENST00000378378,51,15,709,0.00041,0.50842,0.51942
NM_024011,ENST00000404249,34,19,780,0.00072,0.44653,0.38219
NM_031475,ENST00000645284,44,6,854,0.00016,0.57994,0.63134
NM_001199862,ENST00000378083,20,5,415,0.0006,0.5353,0.62313
NM_181865,ENST00000377845,15,2,350,0.00038,0.63391,0.90142
NM_018198,ENST00000377577,37,17,559,0.00082,0.50239,0.49868
NM_012102,ENST00000337907,94,31,1566,0.00021,0.55304,0.55232
NM_001428,ENST00000234590,12,6,434,0.00115,0.70968,0.67742
NM_001127325,ENST00000376667,12,5,211,0.00197,0.39613,0.26256
NM_183412,ENST00000251546,14,5,224,0.00159,0.58578,0.75089
NM_001040194,ENST00000376629,5,3,152,0.00395,0.77237,0.85965
NM_024758,ENST00000375826,15,5,352,0.00095,0.46648,0.525
NM_207348,ENST00000294454,26,6,304,0.00076,0.47723,0.53948
NM_001136216,ENST00000376014,13,4,253,0.00122,0.53846,0.53755
NM_178840,ENST00000329454,7,2,169,0.00169,0.52409,0.3639
NM_182623,ENST00000375662,18,5,280,0.00099,0.50496,0.59786
NM_000085,ENST00000375679,24,7,687,0.00042,0.50328,0.4685
NM_001165945,ENST00000375667,16,4,517,0.00048,0.55416,0.66199
NM_015209,ENST00000503743,34,9,421,0.00063,0.45759,0.62682
NM_001018000,ENST00000361144,33,9,415,0.00066,0.46499,0.6324
NM_004070,ENST00000331433,28,8,687,0.00042,0.56353,0.62573
NM_001042704,ENST00000375692,27,8,686,0.00043,0.55183,0.62609
NM_013358,ENST00000375471,27,8,663,0.00045,0.54539,0.55562
NM_013358,ENST00000631074,27,8,663,0.00045,0.54539,0.55562
NM_152375,ENST00000400664,42,12,777,0.00037,0.42735,0.44005
NM_012067,ENST00000361640,16,4,331,0.00076,0.54513,0.6435
NM_001161504,ENST00000538309,21,5,503,0.00047,0.5488,0.36064
NM_003748,ENST00000375341,24,5,563,0.00037,0.53241,0.42878
NR_040288,ENST00000429712,6,0,105,0.0,0.64127,
NM_019062,ENST00000375121,11,4,227,0.0016,0.4121,0.36784
NM_001039500,ENST00000289815,61,19,1215,0.00026,0.5325,0.44436
NM_207334,ENST00000332947,13,2,329,0.00047,0.66799,0.65046
NM_001145658,ENST00000495204,35,16,727,0.00063,0.48512,0.45994
NM_001145657,ENST00000542643,30,11,681,0.00054,0.47954,0.52476
NM_007260,ENST00000374514,6,3,231,0.00216,0.70346,0.58442
NM_021258,ENST00000270800,37,14,574,0.00066,0.57407,0.58922
NM_001127621,ENST00000617979,17,4,348,0.00068,0.59179,0.53161
NM_001008216,ENST00000617979,17,4,348,0.00068,0.59179,0.53161
NM_207170,ENST00000354361,8,3,201,0.00187,0.51182,0.61857
NM_001251977,ENST00000374395,16,5,241,0.0013,0.48885,0.48216
NM_001251985,ENST00000374393,10,7,115,0.00609,0.63478,0.73789
NM_000437,ENST00000374282,24,9,392,0.00096,0.47268,0.53827
NM_138616,ENST00000346452,9,4,266,0.00167,0.45614,0.4032
NM_032513,ENST00000374278,20,7,323,0.00108,0.49768,0.53118
NM_001004434,ENST00000374276,21,7,372,0.0009,0.50423,0.5553
NM_152365,ENST00000320567,16,2,398,0.00031,0.63772,0.70352
NM_002953,ENST00000374168,30,10,735,0.00045,0.61116,0.53619
NM_002953,ENST00000629832,30,10,735,0.00045,0.61116,0.53619
NM_001243565,ENST00000526219,23,5,294,0.00074,0.68234,0.63537
NM_001143912,ENST00000010299,31,14,341,0.00132,0.51367,0.52702
NM_001127350,ENST00000645794,8,3,208,0.0018,0.46875,0.48558
NM_001127350,ENST00000373842,8,3,208,0.0018,0.46875,0.48558
NM_178191,ENST00000465645,5,1,60,0.00333,0.59,0.46667
NM_178191,ENST00000647380,5,1,60,0.00333,0.59,0.46667
NM_001199039,ENST00000536384,20,6,459,0.00065,0.57941,0.60675
NM_001143890,ENST00000526031,16,6,335,0.00112,0.36735,0.3786
NM_001256121,ENST00000373476,25,12,408,0.00118,0.68353,0.69097
NM_016257,ENST00000372844,14,7,191,0.00262,0.54675,0.61032
NR_037635,ENST00000621281,3,2,110,0.00606,0.66667,0.55454
NM_005376,ENST00000372815,4,2,236,0.00212,0.49046,0.55296
NM_152373,ENST00000372699,15,9,378,0.00159,0.53439,0.62228
NM_001956,ENST00000372587,11,5,178,0.00255,0.57712,0.69888
NM_001123395,ENST00000372539,10,3,211,0.00142,0.41137,0.21485
NM_148960,ENST00000296387,10,3,224,0.00134,0.3875,0.20238
NM_182517,ENST00000523677,3,1,113,0.00295,0.68142,0.84071
NM_001136215,ENST00000498139,8,0,228,0.0,0.47149,
NM_004047,ENST00000472174,2,2,205,0.00488,0.88536,0.88536
NM_005727,ENST00000372003,9,5,241,0.00231,0.62425,0.64232
NM_001202431,ENST00000424390,9,5,199,0.00279,0.64154,0.5809
NM_000778,ENST00000310638,35,24,519,0.00132,0.38222,0.43128
NM_005764,ENST00000294338,5,0,114,0.0,0.27018,
NM_001010969,ENST00000371891,34,21,519,0.00119,0.40258,0.48445
NR_045791,ENST00000307089,11,5,151,0.00301,0.58519,0.51126
NR_045789,ENST00000474844,26,11,384,0.0011,0.54036,0.5071
NM_012186,ENST00000335071,5,0,319,0.0,0.61254,
NM_004474,ENST00000334793,8,0,495,0.0,0.6399,
