NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_001160184,ENST00000379407,31,18,576,0.00101,0.46948,0.4455
NM_014448,ENST00000378378,51,39,709,0.00108,0.50842,0.53145
NM_024011,ENST00000404249,34,30,780,0.00113,0.44653,0.46004
NM_031475,ENST00000645284,44,26,854,0.00069,0.57994,0.62345
NM_001199862,ENST00000378083,20,12,415,0.00145,0.5353,0.53233
NM_181865,ENST00000377845,15,10,350,0.0019,0.63391,0.626
NM_018198,ENST00000377577,37,29,559,0.0014,0.50239,0.48461
NM_012102,ENST00000337907,94,59,1566,0.0004,0.55304,0.51305
NM_001428,ENST00000234590,12,10,434,0.00192,0.70968,0.67673
NM_001127325,ENST00000376667,12,8,211,0.00316,0.39613,0.29384
NM_183412,ENST00000251546,14,8,224,0.00255,0.58578,0.69922
NM_001040194,ENST00000376629,5,4,152,0.00526,0.77237,0.7204
NM_024758,ENST00000375826,15,9,352,0.0017,0.46648,0.49337
NM_207348,ENST00000294454,26,16,304,0.00202,0.47723,0.478
NM_001136216,ENST00000376014,13,9,253,0.00274,0.53846,0.63724
NM_178840,ENST00000329454,7,4,169,0.00338,0.52409,0.42308
NM_182623,ENST00000375662,18,10,280,0.00198,0.50496,0.58393
NM_000085,ENST00000375679,24,17,687,0.00103,0.50328,0.49482
NM_001165945,ENST00000375667,16,10,517,0.00121,0.55416,0.57157
NM_015209,ENST00000503743,34,24,421,0.00168,0.45759,0.49327
NM_001018000,ENST00000361144,33,23,415,0.00168,0.46499,0.50498
NM_004070,ENST00000331433,28,20,687,0.00104,0.56353,0.56135
NM_001042704,ENST00000375692,27,19,686,0.00103,0.55183,0.54427
NM_013358,ENST00000375471,27,20,663,0.00112,0.54539,0.53152
NM_013358,ENST00000631074,27,20,663,0.00112,0.54539,0.53152
NM_152375,ENST00000400664,42,25,777,0.00077,0.42735,0.44906
NM_012067,ENST00000361640,16,13,331,0.00245,0.54513,0.62212
NM_001161504,ENST00000538309,21,14,503,0.00133,0.5488,0.48949
NM_003748,ENST00000375341,24,17,563,0.00126,0.53241,0.46223
NR_040288,ENST00000429712,6,3,105,0.00476,0.64127,0.74921
NM_019062,ENST00000375121,11,5,227,0.002,0.4121,0.35859
NM_001039500,ENST00000289815,61,38,1215,0.00051,0.5325,0.48902
