Gene,OptionalDataColumns
ENST00000338591,1
ENST00000421241,1
ENST00000342066,2
ENST00000330388,3
ENST00000343938,0
ENST00000339381,1
ENST00000379289,2
ENST00000379288,1
ENST00000328596,3
ENST00000347370,4
ENST00000349431,4
ENST00000422725,0
ENST00000338338,0
ENST00000540437,0
ENST00000378585,0
ENST00000612705,0
ENST00000378453,0
ENST00000444870,0
ENST00000378191,3
ENST00000377674,4
ENST00000377648,0
ENST00000351136,0
ENST00000333172,0
ENST00000377842,1
ENST00000557126,1
ENST00000348333,0
ENST00000377424,4
ENST00000377414,2
ENST00000340381,2
ENST00000294484,4
ENST00000294485,1
ENST00000309048,4
ENST00000477755,1
ENST00000400900,3
ENST00000602296,0
ENST00000377049,0
ENST00000251546,1
ENST00000263932,4
ENST00000376637,0
ENST00000614859,3
ENST00000359318,3
ENST00000334600,3
ENST00000602960,2
ENST00000616484,0
ENST00000357367,0
ENST00000632222,0
ENST00000636073,0
ENST00000359621,0
ENST00000375910,0
ENST00000537142,2
ENST00000375471,4
ENST00000631074,4
ENST00000375121,2
ENST00000289815,3
ENST00000444387,1
ENST00000400463,3
ENST00000247986,3
ENST00000166244,3
ENST00000566855,0
ENST00000374619,0
ENST00000634683,1
ENST00000361729,1
ENST00000236255,3
ENST00000003583,0
ENST00000337248,3
ENST00000003583,0
ENST00000374409,3
ENST00000374298,1
ENST00000294413,0
ENST00000326279,2
ENST00000426559,2
ENST00000357865,1
ENST00000374221,2
ENST00000674202,3
ENST00000478104,0
ENST00000373912,1
ENST00000339145,0
ENST00000335514,2
ENST00000647074,2
ENST00000373824,3
ENST00000460170,3
ENST00000536859,2
ENST00000373602,0
ENST00000432622,0
ENST00000373534,0
ENST00000294517,3
ENST00000419121,3
ENST00000455895,3
ENST00000356990,2
ENST00000339480,1
ENST00000519684,1
ENST00000417239,0
ENST00000207457,4
ENST00000505871,0
ENST00000327331,3
ENST00000235532,2
ENST00000354267,1
ENST00000373012,0
ENST00000373048,2
ENST00000372852,1
ENST00000454994,4
ENST00000361584,3
ENST00000327582,0
ENST00000335282,1
ENST00000439569,1
ENST00000302946,1
ENST00000372521,3
ENST00000310955,3
ENST00000431635,3
ENST00000372299,4
ENST00000535358,1
ENST00000372318,3
ENST00000371992,2
ENST00000334122,2
ENST00000371975,2
ENST00000442598,2
ENST00000537428,4
ENST00000335071,0
ENST00000404795,0
ENST00000371839,4
ENST00000236495,2
ENST00000371827,2
ENST00000371750,2
ENST00000312233,3
ENST00000194214,1
ENST00000354412,1
ENST00000347547,1
ENST00000371454,1
ENST00000312553,1
ENST00000371273,2
ENST00000358193,2
ENST00000421030,3
ENST00000421030,3
ENST00000425300,2
ENST00000414150,4
ENST00000371201,4
ENST00000371088,4
ENST00000371092,2
ENST00000371023,4
ENST00000294638,4
ENST00000401041,3
ENST00000357692,3
ENST00000371014,3
ENST00000401042,3
ENST00000370673,1
ENST00000394834,1
ENST00000370668,1
ENST00000370290,1
ENST00000370203,1
ENST00000457765,3
ENST00000361544,4
ENST00000370066,3
ENST00000369949,0
ENST00000369870,2
ENST00000369907,1
ENST00000351050,3
ENST00000538610,3
ENST00000538610,3
ENST00000361066,4
ENST00000334179,1
ENST00000331565,0
ENST00000271331,0
ENST00000369784,1
ENST00000369770,3
ENST00000485275,4
ENST00000393614,4
ENST00000369716,1
ENST00000369717,1
ENST00000369686,1
ENST00000369684,0
ENST00000309276,2
ENST00000361886,0
ENST00000538576,3
ENST00000628110,3
ENST00000369489,4
ENST00000369442,3
ENST00000369458,2
ENST00000369458,2
ENST00000369390,1
ENST00000400889,1
ENST00000368926,1
ENST00000312210,4
ENST00000368912,1
ENST00000479191,0
ENST00000290583,4
ENST00000290585,4
ENST00000368905,1
ENST00000400999,1
ENST00000368824,4
ENST00000368755,2
ENST00000468739,2
ENST00000331860,3
ENST00000476133,0
ENST00000368480,2
ENST00000368482,2
ENST00000368424,3
ENST00000368439,0
ENST00000368408,0
ENST00000417934,2
ENST00000334634,2
ENST00000611379,2
ENST00000316721,2
ENST00000342741,1
ENST00000572740,1
ENST00000338684,3
ENST00000339922,1
ENST00000405535,2
ENST00000472765,2
ENST00000368255,4
ENST00000361588,1
ENST00000329117,3
ENST00000368154,2
ENST00000452291,2
ENST00000368166,2
ENST00000368165,4
ENST00000368156,4
ENST00000444681,3
ENST00000392302,4
ENST00000368094,2
ENST00000470705,1
ENST00000392192,0
ENST00000368011,2
ENST00000368010,3
ENST00000367935,2
ENST00000437437,3
ENST00000426197,3
ENST00000436743,2
ENST00000294818,0
ENST00000271417,1
ENST00000619224,2
ENST00000271373,0
ENST00000404377,1
ENST00000281834,1
ENST00000344529,1
ENST00000682279,2
ENST00000682279,2
ENST00000361539,4
ENST00000478442,1
ENST00000341785,0
ENST00000263726,3
ENST00000417329,4
ENST00000540564,3
ENST00000539888,3
ENST00000339948,3
ENST00000367579,2
ENST00000367555,3
ENST00000308641,3
ENST00000331872,1
ENST00000367440,0
ENST00000367440,0
ENST00000367400,4
ENST00000367390,2
ENST00000367387,2
ENST00000367318,0
ENST00000646651,4
ENST00000367262,1
ENST00000309017,3
ENST00000255416,1
ENST00000367236,1
ENST00000272190,3
ENST00000367194,0
ENST00000367202,1
ENST00000331830,4
ENST00000367155,2
ENST00000391936,1
ENST00000367152,0
ENST00000289703,1
ENST00000367128,1
ENST00000367028,1
ENST00000322918,1
ENST00000413764,3
ENST00000627903,3
ENST00000332912,1
ENST00000366965,1
ENST00000366968,1
ENST00000366935,4
ENST00000613104,1
ENST00000613104,1
ENST00000366933,4
ENST00000343410,3
ENST00000366938,0
ENST00000272133,0
ENST00000400952,3
ENST00000366850,1
ENST00000420304,2
ENST00000366815,0
ENST00000366698,2
ENST00000456946,2
ENST00000336520,1
ENST00000295050,1
ENST00000359362,1
ENST00000602567,3
ENST00000646525,1
ENST00000317586,1
ENST00000450372,2
ENST00000302550,1
ENST00000366510,4
ENST00000366488,1
ENST00000366481,0
ENST00000479214,0
ENST00000487338,0
ENST00000339986,2
ENST00000366503,2
ENST00000366523,0
ENST00000568584,1
ENST00000451251,2
ENST00000298375,2
ENST00000315238,1
ENST00000479328,1
ENST00000378572,3
ENST00000407572,4
ENST00000378614,2
ENST00000327347,3
ENST00000378228,2
ENST00000378202,2
ENST00000378203,2
ENST00000378325,1
ENST00000377091,0
ENST00000331161,2
ENST00000642324,2
ENST00000617711,2
ENST00000621805,2
ENST00000374706,2
ENST00000361807,1
ENST00000356053,0
ENST00000374726,0
ENST00000354759,2
ENST00000342105,4
ENST00000342105,4
ENST00000487763,1
ENST00000374314,2
ENST00000395769,1
ENST00000395771,0
ENST00000585316,2
ENST00000585281,2
ENST00000374160,0
ENST00000511769,3
ENST00000417247,3
ENST00000580018,1
ENST00000487519,4
ENST00000373783,1
ENST00000316629,1
ENST00000395284,2
ENST00000373880,3
ENST00000373878,3
ENST00000337910,3
ENST00000637191,1
ENST00000637191,1
ENST00000287078,2
ENST00000436817,4
ENST00000298649,4
ENST00000619887,3
ENST00000615507,0
ENST00000351293,4
ENST00000472493,0
ENST00000256039,4
ENST00000372213,0
ENST00000313455,4
ENST00000652092,0
ENST00000371939,3
ENST00000404743,3
ENST00000238983,1
ENST00000394375,1
ENST00000371703,2
ENST00000371719,2
ENST00000336152,3
ENST00000265997,3
ENST00000371531,1
ENST00000371418,2
ENST00000371483,1
ENST00000427197,0
ENST00000370664,1
ENST00000370640,0
ENST00000393760,4
ENST00000356713,4
ENST00000370602,0
ENST00000423344,4
ENST00000370549,1
ENST00000357540,0
ENST00000370200,0
ENST00000467928,0
ENST00000370151,1
ENST00000355243,3
ENST00000619208,3
ENST00000476766,2
ENST00000370228,4
ENST00000346714,0
ENST00000370162,4
ENST00000415897,3
ENST00000318364,1
ENST00000370005,0
ENST00000361198,1
ENST00000369887,2
ENST00000369899,3
ENST00000369875,0
ENST00000369729,3
ENST00000369727,3
ENST00000338595,0
ENST00000539281,1
ENST00000448814,2
ENST00000423273,2
ENST00000454061,1
ENST00000621607,0
ENST00000709151,2
ENST00000369210,2
ENST00000277905,1
ENST00000369151,4
ENST00000355422,4
ENST00000398250,1
ENST00000260723,3
ENST00000528446,0
ENST00000481909,3
ENST00000368887,4
ENST00000368858,1
ENST00000368898,0
ENST00000368693,1
ENST00000522781,3
ENST00000298630,0
ENST00000304477,0
ENST00000631148,2
ENST00000433452,0
ENST00000625755,0
ENST00000344079,2
ENST00000368614,4
ENST00000368614,4
ENST00000480071,0
ENST00000278060,1
ENST00000342878,0
ENST00000308020,1
ENST00000633628,0
ENST00000270115,4
ENST00000611111,4
ENST00000621319,3
ENST00000329451,3
ENST00000176195,1
ENST00000622382,1
ENST00000611962,0
ENST00000176183,0
ENST00000531214,1
ENST00000632527,1
ENST00000533410,1
ENST00000323578,1
ENST00000707533,1
ENST00000308219,1
ENST00000529433,1
ENST00000707534,1
ENST00000672632,1
ENST00000381906,1
ENST00000696290,2
ENST00000397068,1
ENST00000359918,1
ENST00000316375,4
ENST00000300773,0
ENST00000449352,1
ENST00000306904,0
ENST00000299498,1
ENST00000278302,3
ENST00000309166,2
ENST00000305253,3
ENST00000396991,3
ENST00000396993,1
ENST00000532017,0
ENST00000465307,2
ENST00000463452,1
ENST00000479072,1
ENST00000299596,1
ENST00000396648,2
ENST00000528848,0
ENST00000547195,3
ENST00000334636,3
ENST00000396275,0
ENST00000379472,1
ENST00000251968,3
ENST00000280706,0
ENST00000396213,0
ENST00000501599,1
ENST00000541669,1
ENST00000541669,1
ENST00000358540,4
ENST00000532434,4
ENST00000533227,4
ENST00000455601,2
ENST00000529533,3
ENST00000640961,4
ENST00000673007,3
ENST00000379412,3
ENST00000530998,1
ENST00000379079,1
ENST00000452863,3
ENST00000379011,1
ENST00000356660,1
ENST00000530639,0
ENST00000527033,3
ENST00000532616,3
ENST00000334307,4
ENST00000652299,2
ENST00000241014,2
ENST00000682254,0
ENST00000326737,4
ENST00000241041,2
ENST00000421244,3
ENST00000359513,3
ENST00000302514,0
ENST00000642567,0
ENST00000326674,2
ENST00000402192,2
ENST00000337672,2
ENST00000316059,2
ENST00000684409,3
ENST00000016913,2
ENST00000308287,1
ENST00000227520,3
ENST00000344931,1
ENST00000432063,4
ENST00000338608,4
ENST00000334888,0
ENST00000305885,2
ENST00000244930,0
ENST00000244926,0
ENST00000278849,2
ENST00000278893,3
ENST00000407022,2
ENST00000360796,2
ENST00000294117,1
ENST00000294244,1
ENST00000540857,1
ENST00000301790,1
ENST00000539221,1
ENST00000328404,1
ENST00000301891,1
ENST00000541278,2
ENST00000377559,1
ENST00000265459,2
ENST00000279168,2
ENST00000275517,1
ENST00000394532,1
ENST00000438980,3
ENST00000377702,3
ENST00000438980,3
ENST00000652489,1
ENST00000310597,2
ENST00000309880,4
ENST00000710881,2
ENST00000335987,2
ENST00000312106,1
ENST00000338369,2
ENST00000357519,2
ENST00000311445,0
ENST00000417856,2
ENST00000544963,4
ENST00000530676,3
ENST00000398536,0
ENST00000528743,0
ENST00000672873,1
ENST00000298231,2
ENST00000298223,0
ENST00000393591,1
ENST00000339764,0
ENST00000331597,3
ENST00000310109,0
ENST00000263671,3
ENST00000562197,1
ENST00000289488,2
ENST00000541614,2
ENST00000307198,0
ENST00000539798,1
ENST00000434603,0
ENST00000315938,1
ENST00000313578,1
ENST00000531274,1
ENST00000527447,1
ENST00000623787,1
ENST00000315765,4
ENST00000335080,3
ENST00000279839,3
ENST00000536441,2
ENST00000534360,1
ENST00000434758,4
ENST00000299855,3
ENST00000393150,4
ENST00000320578,4
ENST00000278618,0
ENST00000393084,2
ENST00000703420,1
ENST00000458137,1
ENST00000417998,1
ENST00000280325,1
ENST00000375618,3
ENST00000332814,3
ENST00000260276,1
ENST00000280358,3
ENST00000529221,4
ENST00000362072,0
ENST00000325636,1
ENST00000389586,3
ENST00000227322,3
ENST00000236850,2
ENST00000530272,3
ENST00000437212,2
ENST00000260282,0
ENST00000503566,2
ENST00000264033,4
ENST00000615496,4
ENST00000260187,1
ENST00000422003,4
ENST00000307257,4
ENST00000529187,0
ENST00000641972,2
ENST00000358524,1
ENST00000227135,2
ENST00000533050,2
ENST00000428830,2
ENST00000532449,2
ENST00000281437,4
ENST00000458238,0
ENST00000431683,2
ENST00000684302,1
ENST00000646030,1
ENST00000299194,1
ENST00000352618,4
ENST00000228843,4
ENST00000682686,3
ENST00000347598,0
ENST00000229238,0
ENST00000540656,0
ENST00000534837,0
ENST00000203629,4
ENST00000444704,2
ENST00000423703,3
ENST00000412586,3
ENST00000396858,0
ENST00000007969,2
ENST00000443597,2
ENST00000613953,2
ENST00000542353,2
ENST00000672694,4
ENST00000455147,4
ENST00000672776,4
ENST00000266564,4
ENST00000396570,2
ENST00000355819,2
ENST00000396502,4
ENST00000240618,0
ENST00000290855,2
ENST00000381908,3
ENST00000651487,1
ENST00000266434,3
ENST00000631251,3
ENST00000628783,2
ENST00000396367,2
ENST00000609686,2
ENST00000432710,3
ENST00000351606,3
ENST00000330828,2
ENST00000445537,3
ENST00000240652,0
ENST00000229329,3
ENST00000429849,2
ENST00000535986,3
ENST00000342945,1
ENST00000261192,1
ENST00000381273,4
ENST00000545668,4
ENST00000281471,1
ENST00000266529,3
ENST00000402685,3
ENST00000539469,3
ENST00000327791,2
ENST00000555248,2
ENST00000449194,3
ENST00000395580,3
ENST00000335017,3
ENST00000340802,2
ENST00000293549,1
ENST00000649637,0
ENST00000257860,1
ENST00000334221,1
ENST00000380327,1
ENST00000533372,1
ENST00000293599,0
ENST00000199280,3
ENST00000228468,2
ENST00000423828,1
ENST00000228515,2
ENST00000228515,2
ENST00000257901,1
ENST00000354310,2
ENST00000293745,2
ENST00000708949,3
ENST00000267103,3
ENST00000267017,1
ENST00000305879,2
ENST00000336133,1
ENST00000449260,3
ENST00000548493,3
ENST00000448789,1
ENST00000695999,0
ENST00000228534,1
ENST00000652304,1
ENST00000547967,2
ENST00000338193,2
ENST00000300101,0
ENST00000293502,2
ENST00000357616,1
ENST00000349394,0
ENST00000551116,3
ENST00000571490,1
ENST00000300145,1
ENST00000354636,1
ENST00000403681,4
ENST00000247843,1
ENST00000440835,4
ENST00000312442,1
ENST00000320460,2
ENST00000532498,3
ENST00000347404,4
ENST00000441303,3
ENST00000318066,0
ENST00000575847,0
ENST00000378113,3
ENST00000392934,4
ENST00000341752,3
ENST00000527879,2
ENST00000550402,0
ENST00000229387,4
ENST00000299162,3
ENST00000392672,3
ENST00000228827,1
ENST00000543199,1
ENST00000340766,1
ENST00000242607,4
ENST00000242607,4
ENST00000550831,4
ENST00000299732,4
ENST00000257575,1
ENST00000335209,1
ENST00000327554,4
ENST00000257552,1
ENST00000308366,0
ENST00000392509,1
ENST00000355329,3
ENST00000392465,4
ENST00000377069,3
ENST00000543163,2
ENST00000324774,1
ENST00000339777,1
ENST00000339777,1
ENST00000397389,0
ENST00000442833,1
ENST00000540285,1
ENST00000280560,1
ENST00000281703,2
ENST00000543796,1
ENST00000672504,0
ENST00000330579,0
ENST00000376608,1
ENST00000357997,4
ENST00000351222,2
ENST00000343948,2
ENST00000348800,1
ENST00000317555,0
ENST00000400113,0
ENST00000241125,2
ENST00000390680,4
ENST00000400103,4
ENST00000541009,2
ENST00000500625,2
ENST00000314759,4
ENST00000403372,2
ENST00000379864,4
ENST00000379864,4
ENST00000440264,3
ENST00000440264,3
ENST00000255465,3
ENST00000379800,2
ENST00000389704,2
ENST00000423210,2
ENST00000338625,1
ENST00000379179,1
ENST00000358545,3
ENST00000611198,2
ENST00000310521,2
ENST00000218721,0
ENST00000345941,2
ENST00000400393,0
ENST00000521255,1
ENST00000360473,3
ENST00000610828,4
ENST00000377962,3
ENST00000377595,2
ENST00000377208,1
ENST00000267291,0
ENST00000376335,0
ENST00000267273,1
ENST00000376032,2
ENST00000375915,3
ENST00000397473,2
ENST00000283547,1
ENST00000337344,3
ENST00000554964,0
ENST00000554964,0
ENST00000404716,0
ENST00000358932,3
ENST00000708739,3
ENST00000382951,1
ENST00000321760,1
ENST00000397359,3
ENST00000382809,0
ENST00000344777,0
ENST00000710588,0
ENST00000543805,0
ENST00000611366,4
ENST00000642486,4
ENST00000339917,2
ENST00000645272,2
ENST00000287913,2
ENST00000643387,2
ENST00000399409,3
ENST00000644383,3
ENST00000646165,0
ENST00000288087,0
ENST00000534348,2
ENST00000644921,2
ENST00000288014,4
ENST00000313071,0
ENST00000644309,0
ENST00000533293,0
ENST00000554345,2
ENST00000555417,2
ENST00000555211,2
ENST00000331299,1
ENST00000325192,1
ENST00000298283,0
ENST00000298288,2
ENST00000554869,0
ENST00000216367,3
ENST00000554396,3
ENST00000261700,3
ENST00000321662,2
ENST00000216420,2
ENST00000543643,2
ENST00000440021,4
ENST00000556826,4
ENST00000395116,1
ENST00000261249,3
ENST00000412908,0
ENST00000360945,1
ENST00000216294,4
ENST00000298705,4
ENST00000612183,3
ENST00000353772,1
ENST00000428130,0
ENST00000341516,3
ENST00000409014,1
ENST00000409949,1
ENST00000361956,1
ENST00000381280,1
ENST00000621525,0
ENST00000331628,2
ENST00000394026,3
ENST00000557413,0
ENST00000266126,1
ENST00000439583,3
ENST00000238671,0
ENST00000256319,1
ENST00000251089,2
ENST00000298351,1
ENST00000238667,2
ENST00000380835,1
ENST00000542766,4
