Gene,OptionalDataColumns
ENST00000421241,0.57407
ENST00000330388,0.54415
ENST00000343938,0.61098
ENST00000339381,0.52302
ENST00000328596,0.54484
ENST00000347370,0.65876
ENST00000349431,0.59349
ENST00000422725,0.53429
ENST00000338338,0.56693
ENST00000540437,0.52965
ENST00000378531,0.50849
ENST00000294600,0.60579
ENST00000262450,0.60167
ENST00000611357,0.52152
ENST00000378412,0.52152
ENST00000645284,0.57994
ENST00000377648,0.56167
ENST00000377842,0.60993
ENST00000557126,0.55446
ENST00000603362,0.59115
ENST00000378290,0.52892
ENST00000348333,0.58436
ENST00000337907,0.55304
ENST00000477755,0.68462
ENST00000602296,0.65035
ENST00000377049,0.57619
ENST00000251546,0.58578
ENST00000376637,0.53303
ENST00000359318,0.52165
ENST00000358897,0.51705
ENST00000359621,0.53697
ENST00000537142,0.5726
ENST00000375471,0.54539
ENST00000631074,0.54539
ENST00000289815,0.5325
ENST00000400463,0.51782
ENST00000247986,0.5174
ENST00000166244,0.54409
ENST00000404138,0.53994
ENST00000634683,0.51811
ENST00000361729,0.51811
ENST00000356634,0.53187
ENST00000400181,0.52281
ENST00000236255,0.58216
ENST00000003583,0.52075
ENST00000003583,0.52075
ENST00000374298,0.58253
ENST00000252992,0.62229
ENST00000326279,0.60247
ENST00000426559,0.52299
ENST00000349618,0.5196
ENST00000349618,0.5196
ENST00000674202,0.53869
ENST00000335514,0.51509
ENST00000647074,0.51509
ENST00000373824,0.52456
ENST00000360482,0.52811
ENST00000536859,0.60842
ENST00000642937,0.52802
ENST00000373602,0.55227
ENST00000609129,0.53285
ENST00000373475,0.68353
ENST00000373456,0.55798
ENST00000488417,0.58198
ENST00000373347,0.53486
ENST00000519684,0.53226
ENST00000417239,0.58152
ENST00000318121,0.567
ENST00000505871,0.56037
ENST00000327331,0.51286
ENST00000235532,0.51937
ENST00000354267,0.54596
ENST00000373036,0.57454
ENST00000373048,0.56264
ENST00000454994,0.51216
ENST00000327582,0.53664
ENST00000372565,0.52487
ENST00000372565,0.52487
ENST00000439569,0.59387
ENST00000302946,0.59387
ENST00000372521,0.63182
ENST00000431635,0.56934
ENST00000610710,0.5646
ENST00000372224,0.55589
ENST00000372318,0.55145
ENST00000350030,0.53677
ENST00000420542,0.55475
ENST00000537428,0.53952
ENST00000335071,0.61254
ENST00000360380,0.55483
ENST00000236495,0.51173
ENST00000371568,0.54551
ENST00000371568,0.54551
ENST00000371528,0.52109
ENST00000357206,0.51524
ENST00000194214,0.53588
ENST00000371429,0.59521
ENST00000371273,0.50979
ENST00000358193,0.51471
ENST00000421030,0.57221
ENST00000421030,0.57221
ENST00000425300,0.60429
ENST00000414150,0.57897
ENST00000456315,0.52589
ENST00000354431,0.58385
ENST00000326665,0.52388
ENST00000294638,0.62525
ENST00000401041,0.50841
ENST00000371014,0.56191
ENST00000401042,0.56208
ENST00000370859,0.53626
ENST00000370855,0.52084
ENST00000370673,0.6365
ENST00000394834,0.5866
ENST00000370668,0.5866
ENST00000370425,0.52295
ENST00000637221,0.5131
ENST00000401026,0.53947
ENST00000370290,0.65972
ENST00000370203,0.68137
ENST00000263177,0.53057
ENST00000370188,0.50949
ENST00000457765,0.52947
ENST00000361544,0.60393
ENST00000370138,0.52065
ENST00000369907,0.5358
ENST00000538610,0.5847
ENST00000538610,0.5847
ENST00000361066,0.57641
ENST00000334179,0.51756
ENST00000369784,0.59741
ENST00000369770,0.53317
ENST00000485275,0.54837
ENST00000369716,0.57097
ENST00000413052,0.58377
ENST00000358039,0.50866
ENST00000361886,0.54135
ENST00000369702,0.5817
ENST00000538576,0.57522
ENST00000628110,0.57522
ENST00000369615,0.54962
ENST00000393276,0.56387
ENST00000393274,0.5616
ENST00000334163,0.54076
ENST00000322343,0.50671
ENST00000361824,0.51124
ENST00000368918,0.62123
ENST00000368926,0.57478
ENST00000312210,0.60425
ENST00000290583,0.60272
ENST00000290585,0.60364
ENST00000368905,0.53217
ENST00000271854,0.50886
ENST00000368559,0.51528
ENST00000368480,0.51978
ENST00000368424,0.56874
ENST00000368439,0.5291
ENST00000316721,0.59323
ENST00000620103,0.55379
ENST00000339922,0.52788
ENST00000361170,0.51151
ENST00000708577,0.51151
ENST00000472765,0.54114
ENST00000368255,0.62255
ENST00000361588,0.51555
ENST00000329117,0.54043
ENST00000337428,0.54376
ENST00000368154,0.71296
ENST00000452291,0.55825
ENST00000368166,0.57073
ENST00000368195,0.51045
ENST00000368099,0.52406
ENST00000368016,0.53765
ENST00000392192,0.59375
ENST00000368011,0.54556
ENST00000437437,0.55501
ENST00000426197,0.53038
ENST00000294818,0.56328
ENST00000367900,0.55455
ENST00000271452,0.55455
ENST00000294816,0.58439
ENST00000342310,0.58439
ENST00000619224,0.50662
ENST00000367851,0.52015
ENST00000367805,0.60428
ENST00000361580,0.52273
ENST00000271373,0.59645
ENST00000404377,0.52429
ENST00000367714,0.5664
ENST00000361539,0.51034
ENST00000478442,0.67824
ENST00000367639,0.53535
ENST00000367639,0.53535
ENST00000367618,0.53788
ENST00000367614,0.52955
ENST00000444136,0.52134
ENST00000444136,0.52134
ENST00000417329,0.53485
ENST00000540564,0.521
ENST00000539888,0.51409
ENST00000339948,0.57877
ENST00000367573,0.53061
ENST00000367579,0.58545
ENST00000367555,0.54278
ENST00000308641,0.59452
ENST00000367506,0.53475
ENST00000367501,0.54227
ENST00000367500,0.54227
ENST00000367400,0.52357
ENST00000367409,0.56983
ENST00000367390,0.57539
ENST00000367387,0.55787
ENST00000367350,0.5431
ENST00000367396,0.52866
ENST00000335211,0.52513
ENST00000367318,0.62262
ENST00000367265,0.56189
ENST00000309017,0.53394
ENST00000367202,0.59821
ENST00000367114,0.62084
ENST00000472886,0.56806
ENST00000472886,0.56806
ENST00000367019,0.57948
ENST00000540251,0.60589
ENST00000366999,0.58513
ENST00000366998,0.57676
ENST00000419091,0.62098
ENST00000322918,0.66921
ENST00000366992,0.60174
ENST00000366994,0.59886
ENST00000366965,0.67758
ENST00000366968,0.53177
ENST00000366935,0.50699
ENST00000613104,0.62742
ENST00000613104,0.62742
ENST00000366929,0.51331
ENST00000366938,0.59264
ENST00000469075,0.51637
ENST00000420304,0.5428
ENST00000328205,0.51006
ENST00000336520,0.57734
ENST00000264183,0.55156
ENST00000359362,0.54085
ENST00000366565,0.54243
ENST00000602567,0.53226
ENST00000646525,0.65507
ENST00000317586,0.54743
ENST00000366548,0.51167
ENST00000348581,0.51167
ENST00000302550,0.64605
ENST00000366531,0.56542
ENST00000366533,0.63938
ENST00000366534,0.60031
ENST00000479214,0.60951
ENST00000487338,0.61846
ENST00000366523,0.61317
ENST00000568584,0.51169
ENST00000451251,0.55042
ENST00000298375,0.70192
ENST00000558098,0.54388
ENST00000451104,0.50662
ENST00000378572,0.51772
ENST00000298428,0.52521
ENST00000475268,0.55035
ENST00000378372,0.51038
ENST00000378748,0.54636
ENST00000377091,0.68056
ENST00000377072,0.60861
ENST00000307729,0.62497
ENST00000331161,0.59922
ENST00000642920,0.57911
ENST00000436985,0.55731
ENST00000621805,0.57602
ENST00000277657,0.61968
ENST00000362006,0.61968
ENST00000537177,0.53177
ENST00000421317,0.53545
ENST00000374788,0.59063
ENST00000356053,0.57635
ENST00000345491,0.54081
ENST00000342105,0.57019
ENST00000342105,0.57019
ENST00000487763,0.51488
ENST00000585316,0.51685
ENST00000511769,0.57518
ENST00000580018,0.64784
ENST00000487519,0.53228
ENST00000395405,0.56513
ENST00000361148,0.56651
ENST00000373944,0.56513
ENST00000316629,0.54375
ENST00000373880,0.53539
ENST00000373878,0.5419
ENST00000361320,0.51684
ENST00000287078,0.52566
ENST00000298649,0.51604
ENST00000619887,0.52451
ENST00000372979,0.5211
ENST00000615507,0.67451
ENST00000256039,0.59766
ENST00000313455,0.52216
ENST00000652092,0.68881
ENST00000371939,0.50979
ENST00000238983,0.58339
ENST00000394375,0.5936
ENST00000260753,0.54432
ENST00000371719,0.59992
ENST00000336152,0.57235
ENST00000260731,0.55947
ENST00000371531,0.50664
ENST00000371418,0.68084
ENST00000371483,0.5099
ENST00000371485,0.54896
ENST00000371485,0.54896
ENST00000370664,0.64852
ENST00000370640,0.57922
ENST00000358531,0.50724
ENST00000356713,0.56196
ENST00000423344,0.53125
ENST00000410012,0.54364
ENST00000370549,0.54501
ENST00000370200,0.66036
ENST00000467928,0.58625
ENST00000370269,0.53663
ENST00000238961,0.55105
ENST00000370151,0.53292
ENST00000619208,0.54452
ENST00000318364,0.65312
ENST00000370005,0.54781
ENST00000361198,0.57054
ENST00000369887,0.55965
ENST00000369899,0.53328
ENST00000357060,0.58925
ENST00000369729,0.52701
ENST00000369727,0.51939
ENST00000338595,0.52767
ENST00000539281,0.53756
ENST00000251864,0.54477
ENST00000448814,0.79193
ENST00000423273,0.80597
ENST00000454061,0.52621
ENST00000621607,0.53009
ENST00000277905,0.6017
ENST00000334464,0.52237
ENST00000277945,0.53536
ENST00000369395,0.53204
ENST00000369151,0.53646
ENST00000528446,0.70249
ENST00000224652,0.5144
ENST00000481909,0.61969
ENST00000368988,0.51255
ENST00000392790,0.617
ENST00000368898,0.65426
ENST00000368808,0.5503
ENST00000284694,0.59803
ENST00000356792,0.54799
ENST00000522781,0.55513
ENST00000368759,0.5132
ENST00000284690,0.5672
ENST00000368586,0.52035
ENST00000304477,0.56184
ENST00000631148,0.54821
ENST00000433452,0.59139
ENST00000625755,0.57202
ENST00000344079,0.51896
ENST00000368614,0.57175
ENST00000368614,0.57175
ENST00000278060,0.57061
ENST00000342878,0.74736
ENST00000303903,0.5891
ENST00000368517,0.56998
ENST00000343131,0.56535
ENST00000308020,0.52506
ENST00000270115,0.51433
ENST00000611111,0.51433
ENST00000323578,0.54998
ENST00000707533,0.51475
ENST00000308219,0.51475
ENST00000529433,0.52708
ENST00000707534,0.52708
ENST00000397068,0.54231
ENST00000359918,0.54231
ENST00000380184,0.56654
ENST00000311659,0.51042
ENST00000316375,0.52718
ENST00000300773,0.66941
ENST00000379936,0.63056
ENST00000306904,0.56409
ENST00000299498,0.52503
ENST00000534127,0.57142
ENST00000324932,0.54677
ENST00000396991,0.54642
ENST00000396993,0.58929
ENST00000465307,0.57989
ENST00000463452,0.60958
ENST00000479072,0.71631
ENST00000528848,0.50661
ENST00000547195,0.51124
ENST00000278174,0.52544
ENST00000524803,0.58474
ENST00000396275,0.80021
ENST00000379472,0.57697
ENST00000672527,0.558
ENST00000265963,0.558
ENST00000251968,0.61571
ENST00000280706,0.51941
ENST00000396213,0.51941
ENST00000501599,0.66102
ENST00000358540,0.61222
ENST00000527884,0.56195
ENST00000256737,0.53609
ENST00000455601,0.53721
ENST00000263181,0.51946
ENST00000328697,0.51556
ENST00000530998,0.5157
ENST00000379079,0.51932
ENST00000379011,0.62487
ENST00000356660,0.57637
ENST00000341394,0.58367
ENST00000348124,0.56234
ENST00000334307,0.53054
ENST00000682254,0.55741
ENST00000421244,0.57284
ENST00000359513,0.52427
ENST00000326674,0.57531
ENST00000337672,0.68127
ENST00000395005,0.63776
ENST00000300187,0.646
ENST00000308287,0.5191
ENST00000278853,0.55437
ENST00000227520,0.53141
ENST00000344931,0.54473
ENST00000432063,0.5351
ENST00000338608,0.53065
ENST00000244930,0.62105
ENST00000244926,0.63333
ENST00000278849,0.56918
ENST00000278893,0.60894
ENST00000407022,0.56732
ENST00000360796,0.56277
ENST00000301459,0.58137
ENST00000628077,0.628
ENST00000328404,0.576
ENST00000325234,0.5849
ENST00000377559,0.55296
ENST00000265459,0.55463
ENST00000394532,0.52579
ENST00000438980,0.52336
ENST00000377702,0.52157
ENST00000438980,0.52336
ENST00000310597,0.55568
ENST00000710881,0.58276
ENST00000335987,0.5811
ENST00000311445,0.54375
ENST00000333861,0.52448
ENST00000533211,0.53329
ENST00000255078,0.52922
ENST00000255087,0.55897
ENST00000544963,0.65523
ENST00000530676,0.60333
ENST00000398536,0.78788
ENST00000528743,0.73795
ENST00000532504,0.54261
ENST00000672685,0.54261
ENST00000294053,0.52677
ENST00000298223,0.51046
ENST00000393591,0.57644
ENST00000313663,0.50913
ENST00000331597,0.52013
ENST00000263671,0.52791
ENST00000340360,0.5843
ENST00000539798,0.57744
ENST00000315938,0.575
ENST00000316398,0.52609
ENST00000418306,0.56159
ENST00000527447,0.56193
ENST00000445632,0.57663
ENST00000315765,0.56997
ENST00000335080,0.51809
ENST00000279839,0.51461
ENST00000393150,0.53405
ENST00000278618,0.51629
ENST00000282249,0.51127
ENST00000703420,0.70161
ENST00000458137,0.62004
ENST00000417998,0.62004
ENST00000260257,0.57865
ENST00000280358,0.71748
ENST00000311129,0.55302
ENST00000393055,0.55782
ENST00000362072,0.56528
ENST00000389586,0.53953
ENST00000227322,0.51738
ENST00000375300,0.57928
ENST00000375445,0.64108
ENST00000260282,0.70263
ENST00000503566,0.52698
ENST00000264033,0.53347
ENST00000615496,0.54698
ENST00000260187,0.50956
ENST00000422003,0.53564
ENST00000227349,0.53488
ENST00000641972,0.52411
ENST00000344762,0.50758
ENST00000358524,0.54425
ENST00000263576,0.54092
ENST00000428830,0.57448
ENST00000532449,0.57448
ENST00000533904,0.59468
ENST00000527795,0.51445
ENST00000530048,0.53615
ENST00000281437,0.59185
ENST00000310343,0.55525
ENST00000423662,0.62977
ENST00000431683,0.56055
ENST00000239830,0.52176
ENST00000646030,0.52688
ENST00000299194,0.52688
ENST00000540757,0.56897
ENST00000545990,0.55446
ENST00000643701,0.55876
ENST00000399649,0.55876
ENST00000710487,0.55828
ENST00000399603,0.55433
ENST00000647327,0.55433
ENST00000399629,0.55697
ENST00000644891,0.55697
ENST00000643038,0.55798
ENST00000229238,0.79531
ENST00000229243,0.53501
ENST00000540656,0.56166
ENST00000534837,0.57387
ENST00000203629,0.54159
ENST00000538862,0.5722
ENST00000007969,0.67623
ENST00000443597,0.67623
ENST00000613953,0.53869
ENST00000229307,0.56245
ENST00000290855,0.56492
ENST00000381908,0.60386
ENST00000266434,0.60891
ENST00000631251,0.60891
ENST00000628783,0.53182
ENST00000396367,0.53182
ENST00000609686,0.5239
ENST00000261168,0.64272
ENST00000445537,0.65368
ENST00000424268,0.52488
ENST00000282881,0.62084
ENST00000458174,0.52796
ENST00000413632,0.52733
ENST00000429849,0.58208
ENST00000381273,0.60711
ENST00000536442,0.5741
ENST00000381352,0.54754
ENST00000282884,0.54155
ENST00000281471,0.54877
ENST00000395805,0.55865
ENST00000687797,0.5078
ENST00000266529,0.59217
ENST00000402685,0.53043
ENST00000539469,0.50889
ENST00000398675,0.56511
ENST00000332700,0.58003
ENST00000555248,0.58404
ENST00000334344,0.55616
ENST00000449194,0.51772
ENST00000395580,0.52463
ENST00000335017,0.51495
ENST00000320516,0.52692
ENST00000547230,0.52746
ENST00000257860,0.52275
ENST00000334221,0.77591
ENST00000552918,0.54225
ENST00000327337,0.55647
ENST00000545061,0.52539
ENST00000708949,0.60536
ENST00000267103,0.58323
ENST00000379791,0.54507
ENST00000257863,0.52228
ENST00000449260,0.51344
ENST00000548493,0.51732
ENST00000448789,0.5453
ENST00000228534,0.50794
ENST00000425394,0.5477
ENST00000547967,0.58671
ENST00000300101,0.54244
ENST00000349394,0.54924
ENST00000543426,0.53659
ENST00000228682,0.55107
ENST00000551116,0.66853
ENST00000333722,0.68903
ENST00000543942,0.63837
ENST00000247843,0.5837
ENST00000299300,0.58598
ENST00000543146,0.54611
ENST00000247833,0.5566
ENST00000440835,0.50787
ENST00000312442,0.65579
ENST00000320460,0.51044
ENST00000552864,0.72755
ENST00000261183,0.55198
ENST00000532498,0.55466
ENST00000316824,0.525
ENST00000347404,0.58601
ENST00000318066,0.57237
ENST00000339839,0.5227
ENST00000344280,0.58955
ENST00000261211,0.547
ENST00000557644,0.5844
ENST00000392979,0.56315
ENST00000327680,0.5153
ENST00000378113,0.50814
ENST00000392924,0.63842
ENST00000392924,0.63842
ENST00000229330,0.55723
ENST00000008527,0.5761
ENST00000527879,0.51051
ENST00000550402,0.61729
ENST00000310903,0.53333
ENST00000552912,0.55422
ENST00000455511,0.56653
ENST00000361006,0.55687
ENST00000228827,0.52797
ENST00000419234,0.60827
ENST00000242607,0.72711
ENST00000242607,0.72711
ENST00000552374,0.56521
ENST00000299732,0.52777
ENST00000257575,0.54176
ENST00000327554,0.5129
ENST00000308366,0.52872
ENST00000392465,0.51489
ENST00000267199,0.56024
ENST00000543163,0.54713
ENST00000333479,0.51234
ENST00000339777,0.51245
ENST00000339777,0.51245
ENST00000464942,0.64932
ENST00000442833,0.60121
ENST00000540285,0.67361
ENST00000280560,0.66195
ENST00000267176,0.54051
ENST00000281703,0.5214
ENST00000376608,0.62779
ENST00000320574,0.54136
ENST00000357997,0.54724
ENST00000351222,0.68646
ENST00000343948,0.57445
ENST00000432561,0.50821
ENST00000471658,0.70653
ENST00000382905,0.52456
ENST00000351808,0.5099
ENST00000500625,0.51463
ENST00000403372,0.61601
ENST00000381527,0.6411
ENST00000381736,0.61828
ENST00000612955,0.59633
ENST00000380473,0.54827
ENST00000379881,0.55368
ENST00000239859,0.55003
ENST00000379800,0.65811
ENST00000389704,0.57298
ENST00000350612,0.64215
ENST00000423210,0.53144
ENST00000358477,0.52676
ENST00000455146,0.53646
ENST00000379179,0.51077
ENST00000628433,0.56551
ENST00000325686,0.533
ENST00000690772,0.56681
ENST00000690772,0.56681
ENST00000611198,0.62791
ENST00000310521,0.53707
ENST00000218721,0.67516
ENST00000345941,0.61228
ENST00000355568,0.52057
ENST00000311234,0.57612
ENST00000398119,0.56982
ENST00000420995,0.52621
ENST00000356017,0.52967
ENST00000377962,0.62425
ENST00000400324,0.52004
ENST00000465066,0.52771
ENST00000196169,0.52888
ENST00000390667,0.52911
ENST00000377208,0.61285
ENST00000267291,0.51816
ENST00000376065,0.55582
ENST00000376032,0.77533
ENST00000397473,0.5637
ENST00000547889,0.69503
ENST00000358932,0.54461
ENST00000708739,0.54461
ENST00000397359,0.51465
ENST00000357460,0.54112
ENST00000382809,0.638
ENST00000339917,0.65178
ENST00000645272,0.65178
ENST00000287913,0.6503
ENST00000643387,0.6503
ENST00000646165,0.54458
ENST00000288087,0.54458
ENST00000534348,0.51176
ENST00000644921,0.51176
ENST00000644309,0.60568
ENST00000533293,0.60568
ENST00000261475,0.51236
ENST00000358716,0.52679
ENST00000216774,0.62302
ENST00000555211,0.59198
ENST00000684589,0.59794
ENST00000325192,0.53306
ENST00000357362,0.56627
ENST00000399232,0.54313
ENST00000554869,0.54682
ENST00000261700,0.5527
ENST00000321662,0.54617
ENST00000216420,0.59593
ENST00000360586,0.56788
ENST00000543643,0.54316
ENST00000440021,0.51777
