Gene,OptionalDataColumns
ENST00000377939,0.00029
ENST00000428161,0.00029
ENST00000343090,0.00028
ENST00000377093,0.00036
ENST00000235329,0.00026
ENST00000613099,0.0001
ENST00000294454,0.00051
ENST00000696689,0.0
ENST00000375662,0.00079
ENST00000375499,0.00051
ENST00000374434,0.00012
ENST00000374395,0.00078
ENST00000374272,0.0004
ENST00000252992,0.00041
ENST00000374300,0.00086
ENST00000373713,0.0
ENST00000373471,0.00086
ENST00000235628,0.00095
ENST00000431473,0.00047
ENST00000372597,0.00038
ENST00000311672,0.0
ENST00000343744,0.0002
ENST00000371244,0.00071
ENST00000343433,0.00075
ENST00000371204,0.00064
ENST00000371158,0.00026
ENST00000371083,0.00024
ENST00000370899,0.00054
ENST00000326637,0.00054
ENST00000334785,0.00084
ENST00000465892,0.00039
ENST00000370163,0.00034
ENST00000294724,0.00034
ENST00000357155,0.0004
ENST00000369697,0.0002
ENST00000630362,0.00078
ENST00000369626,0.00078
ENST00000261448,0.00068
ENST00000336751,0.00078
ENST00000369530,0.00076
ENST00000610726,0.00074
ENST00000369356,0.00015
ENST00000618462,0.00016
ENST00000369349,0.00042
ENST00000579774,0.00061
ENST00000545683,0.0
ENST00000368921,0.0
ENST00000368914,0.00026
ENST00000541576,0.00026
ENST00000427500,0.00059
ENST00000613861,0.00059
ENST00000368304,0.0
ENST00000295566,0.00054
ENST00000545495,0.0003
ENST00000512372,0.00072
ENST00000511676,0.00049
ENST00000426197,0.00091
ENST00000361200,0.00017
ENST00000367797,0.00019
ENST00000367843,0.00053
ENST00000367840,0.00047
ENST00000367661,0.0003
ENST00000251507,0.00054
ENST00000367589,0.00065
ENST00000412633,0.00021
ENST00000422165,0.0002
ENST00000367318,0.00018
ENST00000608999,0.00022
ENST00000491336,0.00074
ENST00000290419,0.00089
ENST00000429964,0.00017
ENST00000506784,0.00022
ENST00000360066,0.00017
ENST00000367137,0.0
ENST00000367135,0.00018
ENST00000367079,0.00071
ENST00000408911,0.00066
ENST00000391890,0.00069
ENST00000493603,0.00069
ENST00000493603,0.00069
ENST00000359162,0.00069
ENST00000284548,2e-05
ENST00000422127,2e-05
ENST00000674635,0.00019
ENST00000366578,0.00022
ENST00000366574,9e-05
ENST00000439617,0.00048
ENST00000407071,6e-05
ENST00000335698,0.00048
ENST00000376495,0.00044
ENST00000282343,0.00054
ENST00000377329,0.00059
ENST00000377122,0.00032
ENST00000436985,0.00036
ENST00000396271,0.00081
ENST00000452305,0.00056
ENST00000374144,0.00025
ENST00000419399,0.00039
ENST00000579039,0.00071
ENST00000583565,0.00074
ENST00000395433,0.00032
ENST00000373827,0.00019
ENST00000337910,0.00039
ENST00000433211,0.00051
ENST00000354393,0.00043
ENST00000613327,0.00033
ENST00000358913,0.00033
ENST00000298596,0.00054
ENST00000355790,0.00078
ENST00000372873,0.00018
ENST00000394810,0.00019
ENST00000394936,0.00033
ENST00000707120,0.0009
ENST00000472493,0.00032
ENST00000225174,0.0
ENST00000623056,0.00011
ENST00000372066,0.0
ENST00000623007,0.00015
ENST00000361373,0.00013
ENST00000429277,0.0001
ENST00000307534,0.00077
ENST00000357947,0.00028
ENST00000298808,0.00048
ENST00000307518,0.00042
ENST00000453258,0.00075
ENST00000371247,0.00024
ENST00000467928,0.00043
ENST00000299206,0.00043
ENST00000370033,0.00036
ENST00000370002,0.00047
ENST00000348850,0.00063
ENST00000343195,0.0007
ENST00000353068,0.00063
