Gene,OptionalDataColumns
ENST00000328596,4
ENST00000338660,2
ENST00000518681,8
ENST00000342348,5
ENST00000627654,1
ENST00000537325,1
ENST00000645284,6
ENST00000378083,1
ENST00000400897,6
ENST00000400898,0
ENST00000470413,3
ENST00000334600,7
ENST00000616484,4
ENST00000357367,4
ENST00000632222,4
ENST00000636073,4
ENST00000375826,4
ENST00000375499,2
ENST00000361640,3
ENST00000538309,2
ENST00000375341,2
ENST00000429712,0
ENST00000400548,1
ENST00000375111,2
ENST00000374490,7
ENST00000617979,2
ENST00000374421,5
ENST00000399916,0
ENST00000254227,1
ENST00000354982,2
ENST00000270879,2
ENST00000526031,4
ENST00000373237,3
ENST00000494695,0
ENST00000372809,6
ENST00000372811,6
ENST00000372699,6
ENST00000431635,9
ENST00000372237,2
ENST00000351035,2
ENST00000372070,4
ENST00000401061,2
ENST00000424390,4
ENST00000371946,6
ENST00000438567,3
ENST00000371486,8
ENST00000322679,1
ENST00000388876,2
ENST00000525202,0
ENST00000361921,1
ENST00000371269,1
ENST00000371273,3
ENST00000302118,7
ENST00000408941,4
ENST00000371204,8
ENST00000371212,9
ENST00000540265,1
ENST00000235345,4
ENST00000346806,5
ENST00000370938,5
ENST00000370872,4
ENST00000370871,7
ENST00000340866,7
ENST00000417775,7
ENST00000361321,3
ENST00000479918,7
ENST00000315713,5
ENST00000370203,4
ENST00000370202,6
ENST00000529992,6
ENST00000369716,2
ENST00000325945,4
ENST00000361035,4
ENST00000544913,5
ENST00000369406,5
ENST00000475797,7
ENST00000357836,7
ENST00000336751,8
ENST00000451928,8
ENST00000441068,6
ENST00000369272,0
ENST00000254090,7
ENST00000616917,2
ENST00000436748,2
ENST00000368954,3
ENST00000356728,8
ENST00000648231,4
ENST00000392414,2
ENST00000571194,2
ENST00000471283,1
ENST00000359751,3
ENST00000362007,4
ENST00000368174,4
ENST00000255040,5
ENST00000368092,2
ENST00000368093,2
ENST00000361509,5
ENST00000368094,5
ENST00000368072,6
ENST00000367990,4
ENST00000236937,1
ENST00000358671,2
ENST00000504010,5
ENST00000437437,5
ENST00000505005,5
ENST00000508740,5
ENST00000511676,5
ENST00000367984,5
ENST00000367981,5
ENST00000442691,5
ENST00000428574,5
ENST00000367982,5
ENST00000367980,5
ENST00000458626,4
ENST00000254521,7
ENST00000443193,5
ENST00000367967,5
ENST00000361897,3
ENST00000367755,5
ENST00000271373,2
ENST00000367698,3
ENST00000539888,6
ENST00000320493,8
ENST00000367425,9
ENST00000367393,4
ENST00000255409,4
ENST00000367202,3
ENST00000308302,1
ENST00000400962,5
ENST00000367078,3
ENST00000367076,3
ENST00000243611,3
ENST00000367076,3
ENST00000391923,3
ENST00000367027,1
ENST00000540251,7
ENST00000531963,8
ENST00000366913,4
ENST00000424254,7
ENST00000272167,3
ENST00000366837,3
ENST00000438896,3
ENST00000366672,7
ENST00000318160,0
ENST00000366560,7
ENST00000366559,8
ENST00000366514,7
ENST00000348069,9
ENST00000380872,4
ENST00000263126,5
ENST00000357700,2
ENST00000439082,4
ENST00000277570,3
ENST00000379033,8
ENST00000491614,3
ENST00000378325,6
ENST00000377091,3
ENST00000340058,2
ENST00000395794,3
ENST00000487763,1
ENST00000373995,7
ENST00000373997,8
ENST00000373993,8
ENST00000395495,7
ENST00000373997,8
ENST00000277746,9
ENST00000395255,7
ENST00000225171,2
ENST00000358769,3
ENST00000495025,2
ENST00000358141,0
ENST00000299299,1
ENST00000644591,4
ENST00000373189,1
ENST00000299366,8
ENST00000398788,5
ENST00000334011,2
ENST00000418483,7
ENST00000539909,6
ENST00000372734,6
ENST00000225174,0
ENST00000372213,4
ENST00000481124,2
ENST00000277865,3
ENST00000456849,4
ENST00000342512,5
ENST00000307534,6
ENST00000371531,2
ENST00000224356,2
ENST00000479522,1
ENST00000371464,0
ENST00000371321,7
ENST00000260682,6
ENST00000339022,5
ENST00000285979,7
ENST00000535898,3
ENST00000623108,4
ENST00000371270,6
ENST00000623108,4
ENST00000370647,1
ENST00000370646,3
ENST00000266066,2
ENST00000357540,0
ENST00000421367,9
ENST00000370483,4
ENST00000467928,1
ENST00000210633,7
ENST00000517724,7
ENST00000369713,3
ENST00000351270,3
ENST00000260723,8
ENST00000682550,5
ENST00000368839,3
ENST00000368671,1
ENST00000651593,1
ENST00000368547,1
ENST00000252945,3
ENST00000685335,0
ENST00000463201,0
ENST00000433452,1
ENST00000368552,0
ENST00000278025,0
ENST00000622100,9
ENST00000397583,9
ENST00000449825,2
ENST00000707536,2
ENST00000531197,2
ENST00000649076,2
ENST00000610526,2
ENST00000356578,2
ENST00000695541,0
ENST00000265983,3
ENST00000342245,5
ENST00000318881,5
ENST00000335425,0
ENST00000477358,0
ENST00000331587,0
ENST00000331587,0
ENST00000278222,1
ENST00000524555,1
ENST00000414546,0
ENST00000256733,1
ENST00000454584,3
ENST00000454584,3
ENST00000443524,3
ENST00000672996,4
ENST00000430553,4
ENST00000647104,7
ENST00000645634,7
ENST00000651785,2
ENST00000526817,1
ENST00000314134,1
ENST00000311907,7
ENST00000672073,7
ENST00000528450,5
ENST00000278426,5
ENST00000352187,5
ENST00000278400,9
ENST00000317391,7
ENST00000300079,9
ENST00000532726,7
ENST00000420732,2
ENST00000426738,3
ENST00000300184,7
ENST00000263846,1
ENST00000279178,6
ENST00000394546,3
ENST00000528057,2
ENST00000527043,2
ENST00000393955,5
ENST00000255082,2
ENST00000356135,6
ENST00000308946,3
ENST00000530676,3
ENST00000398536,0
ENST00000407721,2
ENST00000334805,2
ENST00000355693,4
ENST00000428359,5
ENST00000333090,2
ENST00000313578,3
ENST00000353172,3
ENST00000281030,1
ENST00000528288,4
ENST00000265838,8
ENST00000260270,1
ENST00000534497,5
ENST00000280362,1
ENST00000227667,0
ENST00000299964,3
ENST00000236850,2
ENST00000542499,2
ENST00000302783,4
ENST00000445823,4
ENST00000529790,0
ENST00000330775,2
ENST00000710542,2
ENST00000545985,2
ENST00000642844,2
ENST00000264027,6
ENST00000278903,5
ENST00000445055,3
ENST00000359674,3
ENST00000684302,3
ENST00000345598,9
ENST00000228918,2
ENST00000261407,8
ENST00000360817,6
ENST00000450991,2
ENST00000348658,4
ENST00000298527,4
ENST00000304361,6
ENST00000228936,7
ENST00000428559,5
ENST00000396207,0
ENST00000447411,2
ENST00000266579,2
ENST00000444214,0
ENST00000453172,0
ENST00000316299,4
ENST00000549441,8
ENST00000379846,4
ENST00000394252,3
ENST00000449260,8
ENST00000652304,1
ENST00000338146,1
ENST00000311966,6
ENST00000322165,5
ENST00000398138,3
ENST00000300098,3
ENST00000266646,3
ENST00000309668,7
ENST00000556825,2
ENST00000557348,2
ENST00000414700,5
ENST00000555116,2
ENST00000553474,5
ENST00000299178,4
ENST00000420120,7
ENST00000261208,4
ENST00000266736,6
ENST00000392989,8
ENST00000266744,1
ENST00000553106,8
ENST00000416293,4
ENST00000257549,3
ENST00000345635,1
ENST00000261313,0
ENST00000242592,1
ENST00000257555,7
ENST00000289004,3
ENST00000281703,4
ENST00000376608,2
ENST00000317479,1
ENST00000443358,3
ENST00000382848,0
ENST00000298248,6
ENST00000542711,3
ENST00000266943,6
ENST00000380814,6
ENST00000338625,2
ENST00000181383,9
ENST00000646948,4
ENST00000375547,6
ENST00000342783,6
ENST00000346342,2
ENST00000375581,2
ENST00000680505,3
ENST00000375431,2
ENST00000336811,3
ENST00000397990,3
ENST00000555597,1
ENST00000250383,1
ENST00000267426,2
ENST00000644407,2
ENST00000645709,5
ENST00000396973,5
ENST00000216780,5
ENST00000645217,5
ENST00000710584,0
ENST00000313250,0
ENST00000710588,0
ENST00000335125,0
ENST00000559115,9
ENST00000642239,9
ENST00000644602,0
ENST00000557802,0
ENST00000645200,2
ENST00000558914,2
ENST00000396941,7
ENST00000644566,7
ENST00000258807,2
ENST00000642223,2
ENST00000646650,5
ENST00000554591,5
ENST00000250448,1
ENST00000216410,5
ENST00000556766,1
ENST00000536224,3
ENST00000491895,4
ENST00000543643,3
ENST00000395514,4
ENST00000395153,9
ENST00000412908,2
ENST00000551171,0
ENST00000428130,3
ENST00000216540,2
ENST00000361956,5
ENST00000381280,5
ENST00000326303,4
ENST00000617124,1
ENST00000381139,5
ENST00000394234,1
ENST00000334696,7
ENST00000256319,1
ENST00000238667,4
ENST00000539311,3
ENST00000341584,3
ENST00000621384,3
ENST00000614630,7
ENST00000393096,7
ENST00000393078,4
ENST00000361529,1
ENST00000557311,8
ENST00000359366,4
ENST00000299155,1
ENST00000688303,8
ENST00000551177,2
ENST00000539711,3
ENST00000379937,7
ENST00000632478,2
ENST00000560830,2
ENST00000322805,2
ENST00000479013,3
ENST00000487418,5
ENST00000260447,1
ENST00000355166,9
ENST00000349777,8
ENST00000396659,4
ENST00000267814,3
ENST00000560031,6
ENST00000260442,2
ENST00000305901,2
ENST00000564609,2
ENST00000219919,2
ENST00000299022,8
ENST00000380290,1
ENST00000288840,2
ENST00000703585,5
ENST00000395205,6
ENST00000379727,4
ENST00000343932,6
ENST00000433983,5
ENST00000557943,6
ENST00000561421,5
ENST00000302824,2
ENST00000258874,4
ENST00000258874,4
ENST00000559722,4
ENST00000564367,6
ENST00000379403,9
ENST00000451195,1
ENST00000394573,5
ENST00000352732,2
ENST00000565973,2
ENST00000300060,6
ENST00000618548,8
ENST00000615296,4
ENST00000611967,6
ENST00000331826,6
ENST00000615296,4
ENST00000219481,1
ENST00000613476,1
ENST00000325437,4
ENST00000361871,0
ENST00000709225,0
ENST00000215539,1
ENST00000415638,3
ENST00000566435,1
ENST00000709296,1
ENST00000427358,1
ENST00000356120,2
ENST00000709271,2
ENST00000562238,2
ENST00000382450,1
ENST00000646147,0
ENST00000566198,3
ENST00000440815,2
ENST00000614397,8
ENST00000355296,8
ENST00000268251,7
ENST00000331808,0
ENST00000433677,2
ENST00000600761,0
ENST00000575728,0
ENST00000331849,5
ENST00000329697,7
ENST00000568663,3
ENST00000440284,8
ENST00000286096,2
ENST00000356897,3
ENST00000395630,2
ENST00000314752,3
ENST00000314752,3
ENST00000314752,3
ENST00000395384,1
ENST00000478753,0
ENST00000262520,1
ENST00000394975,3
ENST00000576219,9
ENST00000290567,9
ENST00000306061,0
ENST00000290705,0
ENST00000245185,0
ENST00000332374,0
ENST00000444837,0
ENST00000422046,7
ENST00000576783,7
ENST00000571922,7
ENST00000361503,7
ENST00000543856,5
ENST00000317091,5
ENST00000568146,1
ENST00000288025,7
ENST00000264005,3
ENST00000288022,1
ENST00000355962,4
ENST00000219240,5
ENST00000540303,5
ENST00000426362,3
ENST00000450168,1
ENST00000300051,1
ENST00000199936,4
ENST00000567951,9
ENST00000393306,0
ENST00000505473,1
ENST00000353379,1
ENST00000570182,2
ENST00000450523,8
ENST00000615103,8
ENST00000453066,8
ENST00000618883,8
ENST00000622842,8
ENST00000382061,8
ENST00000419248,7
ENST00000613381,8
ENST00000225519,7
ENST00000331264,2
ENST00000416307,1
ENST00000544061,1
ENST00000576951,1
ENST00000649488,2
ENST00000573648,2
ENST00000433363,2
ENST00000308027,1
ENST00000619926,5
ENST00000269299,5
ENST00000446679,7
ENST00000691900,7
ENST00000254850,7
ENST00000250124,3
ENST00000250124,3
ENST00000441599,6
ENST00000416273,5
ENST00000380450,9
ENST00000575903,8
ENST00000269298,3
ENST00000380173,6
ENST00000341871,3
ENST00000581552,6
ENST00000360954,0
ENST00000395783,0
ENST00000711531,4
ENST00000354098,4
ENST00000640392,4
ENST00000316694,4
ENST00000419071,4
ENST00000536323,4
ENST00000540200,6
ENST00000612814,1
ENST00000323372,5
ENST00000611905,1
ENST00000621559,1
ENST00000619040,2
ENST00000622526,2
ENST00000616694,2
ENST00000632206,2
ENST00000610751,2
ENST00000632208,2
ENST00000614050,2
ENST00000617897,2
ENST00000253801,4
ENST00000587209,2
ENST00000293404,1
ENST00000586346,7
ENST00000616347,1
ENST00000611547,1
ENST00000225512,1
ENST00000642017,7
ENST00000240333,4
ENST00000007708,2
ENST00000508540,1
ENST00000427699,4
ENST00000268896,4
ENST00000258975,2
ENST00000205948,3
ENST00000592554,7
ENST00000592554,7
ENST00000255559,3
ENST00000612771,0
ENST00000588479,6
ENST00000538886,9
ENST00000411744,5
ENST00000409257,8
ENST00000327898,8
ENST00000449803,2
ENST00000671794,5
ENST00000400723,5
ENST00000350690,4
ENST00000331483,2
ENST00000409678,4
ENST00000306869,1
ENST00000570388,3
ENST00000538721,4
ENST00000647584,5
ENST00000434239,2
ENST00000578919,1
ENST00000579963,2
ENST00000237014,0
ENST00000580774,3
ENST00000261292,6
ENST00000285093,8
ENST00000398439,6
ENST00000588444,4
ENST00000491143,3
ENST00000312828,2
ENST00000358821,5
ENST00000397914,2
ENST00000340533,2
ENST00000632301,9
ENST00000215368,0
ENST00000233596,1
ENST00000252288,1
ENST00000447102,1
ENST00000649857,5
ENST00000078445,6
ENST00000543264,4
ENST00000305232,0
ENST00000306390,4
ENST00000262947,2
ENST00000592528,6
ENST00000320699,1
ENST00000286955,4
ENST00000599359,4
ENST00000245912,4
ENST00000381407,8
ENST00000596148,1
ENST00000306708,7
ENST00000328853,1
ENST00000328853,1
ENST00000450331,4
ENST00000537716,1
ENST00000596363,5
ENST00000327325,6
ENST00000327325,6
ENST00000253110,4
ENST00000253109,5
ENST00000252453,5
ENST00000222214,3
ENST00000669674,5
ENST00000673296,5
ENST00000340880,3
ENST00000269703,7
ENST00000550308,5
ENST00000221700,4
ENST00000402119,6
ENST00000248041,6
ENST00000586182,2
ENST00000591058,2
ENST00000221307,2
ENST00000291442,0
ENST00000361619,1
ENST00000389363,4
ENST00000023064,4
ENST00000023064,4
ENST00000436370,2
ENST00000397032,2
ENST00000222304,3
ENST00000262626,1
ENST00000392226,1
ENST00000605618,2
ENST00000246532,2
ENST00000222284,1
ENST00000329420,1
ENST00000307751,5
ENST00000634573,5
ENST00000614135,5
ENST00000634704,0
ENST00000407800,0
ENST00000301141,3
ENST00000324071,6
ENST00000330436,3
ENST00000291764,4
ENST00000301146,4
ENST00000221943,3
ENST00000402988,2
ENST00000614577,4
ENST00000647358,5
ENST00000592535,2
ENST00000252486,3
ENST00000344956,5
ENST00000403059,5
ENST00000592954,0
ENST00000585685,0
ENST00000252490,1
ENST00000302177,2
ENST00000601649,3
ENST00000222002,5
ENST00000389208,2
ENST00000376916,1
ENST00000595125,3
ENST00000423777,3
ENST00000614318,9
ENST00000616618,9
ENST00000449561,9
ENST00000621867,9
ENST00000619608,9
ENST00000350790,3
ENST00000614704,2
ENST00000620757,3
ENST00000617861,3
ENST00000621993,2
ENST00000612194,2
ENST00000618725,2
ENST00000621652,3
ENST00000612645,3
ENST00000621059,3
ENST00000617973,3
ENST00000612577,3
ENST00000615309,2
ENST00000611120,2
ENST00000620180,3
ENST00000617304,3
ENST00000621684,6
ENST00000617778,6
ENST00000345937,6
ENST00000622543,6
ENST00000640582,7
ENST00000612150,6
ENST00000617025,6
ENST00000615888,6
ENST00000610397,6
ENST00000612918,6
ENST00000638206,6
ENST00000621009,6
ENST00000425675,4
ENST00000085068,5
ENST00000357330,1
ENST00000411543,2
ENST00000263093,3
ENST00000263100,2
ENST00000611411,8
ENST00000327435,1
ENST00000627048,1
ENST00000382062,2
ENST00000349077,3
ENST00000418971,4
ENST00000404205,1
ENST00000403096,2
ENST00000272224,2
ENST00000260585,2
ENST00000264703,4
ENST00000260598,1
ENST00000310574,6
ENST00000302188,4
ENST00000622030,3
ENST00000515877,6
ENST00000324589,9
ENST00000402003,1
ENST00000378661,1
ENST00000294973,3
ENST00000405322,7
ENST00000345249,2
ENST00000260649,8
ENST00000410067,2
ENST00000244217,3
ENST00000272433,3
ENST00000707634,1
ENST00000272425,1
ENST00000460508,3
ENST00000272430,6
ENST00000393913,0
ENST00000233712,0
ENST00000305165,3
ENST00000254644,1
ENST00000450066,7
ENST00000295834,1
ENST00000359481,2
ENST00000355705,2
ENST00000709680,5
ENST00000233379,5
ENST00000377060,2
ENST00000409930,0
ENST00000306406,1
ENST00000393106,3
ENST00000393110,3
ENST00000393106,3
ENST00000401466,3
ENST00000409094,1
ENST00000234071,1
ENST00000272644,1
ENST00000356140,1
ENST00000329321,2
ENST00000375773,6
ENST00000264170,6
ENST00000409512,6
ENST00000553424,1
ENST00000618893,4
ENST00000397206,6
ENST00000682840,4
ENST00000409805,6
ENST00000295079,6
ENST00000313728,9
ENST00000295417,0
ENST00000258415,8
ENST00000258362,6
ENST00000409638,6
ENST00000313597,4
ENST00000392055,1
ENST00000392054,1
ENST00000373640,2
ENST00000324695,9
ENST00000354728,6
ENST00000373424,3
ENST00000305139,7
ENST00000373414,6
ENST00000373409,6
ENST00000482026,6
ENST00000305208,4
ENST00000264601,2
ENST00000449891,1
ENST00000307503,1
ENST00000388934,0
ENST00000217233,1
ENST00000381962,0
ENST00000407683,0
ENST00000621851,0
ENST00000407683,0
ENST00000621851,0
ENST00000381583,5
ENST00000217386,0
ENST00000419308,3
ENST00000377115,3
ENST00000217456,6
ENST00000444511,2
ENST00000373433,9
ENST00000217407,3
ENST00000344795,3
ENST00000373100,3
ENST00000423407,3
ENST00000341458,3
ENST00000262605,3
ENST00000415691,3
ENST00000316099,4
ENST00000335046,2
ENST00000359271,0
ENST00000357410,4
ENST00000290317,2
ENST00000279027,2
ENST00000290317,2
ENST00000340954,9
ENST00000371677,4
ENST00000434344,7
ENST00000395636,7
ENST00000370351,4
ENST00000370263,2
ENST00000370263,2
ENST00000309546,2
ENST00000270142,0
ENST00000399286,2
ENST00000443408,3
ENST00000399139,0
ENST00000399137,0
ENST00000399136,0
ENST00000380900,5
ENST00000380618,4
ENST00000398585,8
ENST00000291554,0
ENST00000398165,3
ENST00000359624,3
ENST00000291592,3
ENST00000348499,1
ENST00000291577,1
ENST00000330942,0
ENST00000398227,3
ENST00000335440,6
ENST00000355480,9
ENST00000710295,9
ENST00000625846,3
ENST00000291670,1
ENST00000625846,1
ENST00000397746,1
ENST00000327451,5
ENST00000522411,3
ENST00000537045,4
ENST00000407755,8
ENST00000400521,6
ENST00000406520,2
ENST00000215727,3
ENST00000448514,0
ENST00000215770,0
ENST00000621454,0
ENST00000398344,0
ENST00000626871,0
ENST00000615721,0
ENST00000350608,0
ENST00000326010,3
ENST00000407471,3
ENST00000215855,2
ENST00000216121,2
ENST00000216121,2
ENST00000336726,5
ENST00000255858,3
ENST00000615189,4
ENST00000326132,6
ENST00000266088,4
ENST00000249044,4
ENST00000617827,4
ENST00000249042,2
ENST00000346753,2
