ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378083,20,5,415,0.0006,0.5353,0.62313,v34_kidney
ENST00000377845,15,2,350,0.00038,0.63391,0.90142,v34_kidney
ENST00000377577,37,17,559,0.00082,0.50239,0.49868,v34_kidney
ENST00000234590,12,6,434,0.00115,0.70968,0.67742,v34_kidney
ENST00000376667,12,5,211,0.00197,0.39613,0.26256,v34_kidney
ENST00000251546,14,5,224,0.00159,0.58578,0.75089,v34_kidney
ENST00000376629,5,3,152,0.00395,0.77237,0.85965,v34_kidney
ENST00000375826,15,5,352,0.00095,0.46648,0.525,v34_kidney
ENST00000294454,26,6,304,0.00076,0.47723,0.53948,v34_kidney
ENST00000376014,13,4,253,0.00122,0.53846,0.53755,v34_kidney
ENST00000329454,7,2,169,0.00169,0.52409,0.3639,v34_kidney
ENST00000375662,18,5,280,0.00099,0.50496,0.59786,v34_kidney
ENST00000375667,16,4,517,0.00048,0.55416,0.66199,v34_kidney
ENST00000503743,34,9,421,0.00063,0.45759,0.62682,v34_kidney
ENST00000361144,33,9,415,0.00066,0.46499,0.6324,v34_kidney
ENST00000361640,16,4,331,0.00076,0.54513,0.6435,v34_kidney
ENST00000538309,21,5,503,0.00047,0.5488,0.36064,v34_kidney
ENST00000429712,6,0,105,0.0,0.64127,,v34_kidney
ENST00000375121,11,4,227,0.0016,0.4121,0.36784,v34_kidney
ENST00000332947,13,2,329,0.00047,0.66799,0.65046,v34_kidney
ENST00000374514,6,3,231,0.00216,0.70346,0.58442,v34_kidney
ENST00000617979,17,4,348,0.00068,0.59179,0.53161,v34_kidney
ENST00000617979,17,4,348,0.00068,0.59179,0.53161,v34_kidney
ENST00000354361,8,3,201,0.00187,0.51182,0.61857,v34_kidney
ENST00000374395,16,5,241,0.0013,0.48885,0.48216,v34_kidney
ENST00000374393,10,7,115,0.00609,0.63478,0.73789,v34_kidney
ENST00000374282,24,9,392,0.00096,0.47268,0.53827,v34_kidney
ENST00000346452,9,4,266,0.00167,0.45614,0.4032,v34_kidney
ENST00000374278,20,7,323,0.00108,0.49768,0.53118,v34_kidney
ENST00000374276,21,7,372,0.0009,0.50423,0.5553,v34_kidney
ENST00000320567,16,2,398,0.00031,0.63772,0.70352,v34_kidney
ENST00000526219,23,5,294,0.00074,0.68234,0.63537,v34_kidney
ENST00000010299,31,14,341,0.00132,0.51367,0.52702,v34_kidney
ENST00000645794,8,3,208,0.0018,0.46875,0.48558,v34_kidney
ENST00000373842,8,3,208,0.0018,0.46875,0.48558,v34_kidney
ENST00000465645,5,1,60,0.00333,0.59,0.46667,v34_kidney
ENST00000647380,5,1,60,0.00333,0.59,0.46667,v34_kidney
ENST00000536384,20,6,459,0.00065,0.57941,0.60675,v34_kidney
ENST00000526031,16,6,335,0.00112,0.36735,0.3786,v34_kidney
ENST00000373476,25,12,408,0.00118,0.68353,0.69097,v34_kidney
ENST00000372844,14,7,191,0.00262,0.54675,0.61032,v34_kidney
ENST00000621281,3,2,110,0.00606,0.66667,0.55454,v34_kidney
ENST00000372815,4,2,236,0.00212,0.49046,0.55296,v34_kidney
ENST00000372699,15,9,378,0.00159,0.53439,0.62228,v34_kidney
ENST00000372587,11,5,178,0.00255,0.57712,0.69888,v34_kidney
ENST00000372539,10,3,211,0.00142,0.41137,0.21485,v34_kidney
ENST00000296387,10,3,224,0.00134,0.3875,0.20238,v34_kidney
ENST00000523677,3,1,113,0.00295,0.68142,0.84071,v34_kidney
ENST00000498139,8,0,228,0.0,0.47149,,v34_kidney
ENST00000472174,2,2,205,0.00488,0.88536,0.88536,v34_kidney
ENST00000372003,9,5,241,0.00231,0.62425,0.64232,v34_kidney
ENST00000424390,9,5,199,0.00279,0.64154,0.5809,v34_kidney
ENST00000310638,35,24,519,0.00132,0.38222,0.43128,v34_kidney
ENST00000294338,5,0,114,0.0,0.27018,,v34_kidney
ENST00000371891,34,21,519,0.00119,0.40258,0.48445,v34_kidney
ENST00000307089,11,5,151,0.00301,0.58519,0.51126,v34_kidney
ENST00000474844,26,11,384,0.0011,0.54036,0.5071,v34_kidney
ENST00000335071,5,0,319,0.0,0.61254,,v34_kidney
ENST00000334793,8,0,495,0.0,0.6399,,v34_kidney
ENST00000606738,34,8,517,0.00046,0.54892,0.61605,v34_kidney
ENST00000371839,26,10,503,0.00076,0.42682,0.42048,v34_kidney
ENST00000313334,8,3,158,0.00237,0.37816,0.47047,v34_kidney
ENST00000388876,14,4,201,0.00142,0.5732,0.63682,v34_kidney
ENST00000525202,1,0,61,0.0,0.06557,,v34_kidney
ENST00000361921,6,1,125,0.00133,0.592,0.816,v34_kidney
ENST00000371268,6,1,210,0.00079,0.44841,0.96667,v34_kidney
ENST00000371274,22,4,372,0.00049,0.54533,0.67406,v34_kidney
ENST00000371129,29,24,460,0.0018,0.40097,0.4269,v34_kidney
ENST00000650283,2,2,60,0.01667,0.35,0.35,v34_kidney
ENST00000370985,7,4,131,0.00436,0.54526,0.64122,v34_kidney
ENST00000420607,25,20,425,0.00188,0.46984,0.44306,v34_kidney
ENST00000370871,13,10,295,0.00261,0.54707,0.57153,v34_kidney
ENST00000340866,14,10,329,0.00217,0.54472,0.5538,v34_kidney
ENST00000417775,14,10,329,0.00217,0.54472,0.5538,v34_kidney
ENST00000370756,13,10,297,0.00259,0.55115,0.53468,v34_kidney
ENST00000628037,13,5,365,0.00105,0.70158,0.80438,v34_kidney
ENST00000460330,14,5,374,0.00095,0.70588,0.78502,v34_kidney
ENST00000356595,19,9,418,0.00113,0.70473,0.79293,v34_kidney
ENST00000306666,14,5,390,0.00092,0.67857,0.75282,v34_kidney
ENST00000370924,16,7,388,0.00113,0.7181,0.81848,v34_kidney
ENST00000479918,13,11,193,0.00438,0.67916,0.69571,v34_kidney
ENST00000260506,39,32,551,0.00149,0.44418,0.37086,v34_kidney
ENST00000415432,11,7,287,0.00222,0.29617,0.30363,v34_kidney
ENST00000538610,11,4,183,0.00199,0.5847,0.54235,v34_kidney
ENST00000256644,7,4,173,0.0033,0.57226,0.49422,v34_kidney
ENST00000541986,10,8,425,0.00188,0.50941,0.46912,v34_kidney
ENST00000472422,13,10,439,0.00175,0.42369,0.41276,v34_kidney
ENST00000369781,8,6,319,0.00235,0.40792,0.39133,v34_kidney
ENST00000369779,13,10,487,0.00158,0.45775,0.45092,v34_kidney
ENST00000359172,27,10,483,0.00077,0.42896,0.6089,v34_kidney
ENST00000369722,21,9,256,0.00167,0.64174,0.72873,v34_kidney
ENST00000607941,11,3,425,0.00064,0.37604,0.66981,v34_kidney
ENST00000393316,11,8,163,0.00446,0.53319,0.4954,v34_kidney
ENST00000369500,27,9,362,0.00092,0.47422,0.46286,v34_kidney
ENST00000369464,32,9,562,0.0005,0.47904,0.49802,v34_kidney
ENST00000325945,22,11,351,0.00142,0.46957,0.4934,v34_kidney
ENST00000361035,22,11,364,0.00137,0.48851,0.51149,v34_kidney
ENST00000328189,6,2,166,0.00201,0.39257,0.61747,v34_kidney
ENST00000369458,10,5,282,0.00177,0.48156,0.51915,v34_kidney
ENST00000419275,5,3,164,0.00366,0.5439,0.50203,v34_kidney
ENST00000451928,19,7,408,0.0009,0.34933,0.43382,v34_kidney
ENST00000417171,25,9,519,0.00069,0.37295,0.46457,v34_kidney
ENST00000344770,25,9,519,0.00069,0.37295,0.46457,v34_kidney
ENST00000414276,4,1,195,0.00128,0.88077,0.86667,v34_kidney
ENST00000368954,16,6,380,0.00099,0.38141,0.3921,v34_kidney
ENST00000312210,34,12,327,0.00108,0.60425,0.59939,v34_kidney
ENST00000339643,11,3,137,0.00199,0.45853,0.26034,v34_kidney
ENST00000356728,40,13,497,0.00065,0.41806,0.38353,v34_kidney
ENST00000368718,1,1,92,0.01087,0.69565,0.69565,v34_kidney
ENST00000368708,7,3,98,0.00437,0.62099,0.80612,v34_kidney
ENST00000271889,24,10,395,0.00105,0.54747,0.53595,v34_kidney
ENST00000622330,21,6,352,0.00081,0.62189,0.66335,v34_kidney
ENST00000368439,3,1,63,0.00529,0.5291,0.55556,v34_kidney
ENST00000392414,25,5,543,0.00037,0.47285,0.55985,v34_kidney
ENST00000571194,25,5,543,0.00037,0.47285,0.55985,v34_kidney
ENST00000427500,21,11,487,0.00108,0.50699,0.48777,v34_kidney
ENST00000613861,21,11,487,0.00108,0.50699,0.48777,v34_kidney
ENST00000438413,12,5,229,0.00182,0.42176,0.41747,v34_kidney
ENST00000338684,13,5,241,0.0016,0.43154,0.44647,v34_kidney
ENST00000338684,13,5,241,0.0016,0.43154,0.44647,v34_kidney
ENST00000343256,6,1,203,0.00082,0.45156,0.65025,v34_kidney
ENST00000368393,13,5,198,0.00194,0.51865,0.58586,v34_kidney
ENST00000368392,15,6,264,0.00152,0.44394,0.4596,v34_kidney
ENST00000368390,15,6,255,0.00157,0.42667,0.44052,v34_kidney
ENST00000337604,16,6,273,0.00137,0.44322,0.47741,v34_kidney
ENST00000620103,20,9,475,0.00095,0.55379,0.52327,v34_kidney
ENST00000537040,21,8,458,0.00083,0.53888,0.59416,v34_kidney
ENST00000537040,21,8,458,0.00083,0.53888,0.59416,v34_kidney
ENST00000613460,3,1,97,0.00344,0.15807,0.13402,v34_kidney
ENST00000368155,18,14,231,0.00337,0.49543,0.57421,v34_kidney
ENST00000255040,11,5,223,0.00204,0.59967,0.53005,v34_kidney
