Gene,OptionalDataColumns
ENST00000378486,78
ENST00000620687,78
ENST00000262450,85
ENST00000303635,105
ENST00000604479,37
ENST00000378288,39
ENST00000263934,87
ENST00000294484,70
ENST00000346436,38
ENST00000235372,84
ENST00000376030,54
ENST00000341676,61
ENST00000495204,35
ENST00000374280,37
ENST00000345512,74
ENST00000460170,74
ENST00000373347,54
ENST00000373388,153
ENST00000373253,38
ENST00000373243,39
ENST00000356090,39
ENST00000373091,38
ENST00000373048,50
ENST00000372748,41
ENST00000354383,49
ENST00000493793,37
ENST00000357206,62
ENST00000371454,33
ENST00000371316,33
ENST00000414851,43
ENST00000395325,55
ENST00000329654,39
ENST00000341517,39
ENST00000423207,37
ENST00000326665,61
ENST00000557284,47
ENST00000260505,58
ENST00000437941,49
ENST00000342203,50
ENST00000342203,50
ENST00000370563,36
ENST00000370563,36
ENST00000640258,38
ENST00000640258,38
ENST00000428239,34
ENST00000637221,78
ENST00000271234,41
ENST00000358392,90
ENST00000370096,90
ENST00000271332,138
ENST00000369962,57
ENST00000400794,58
ENST00000369965,58
ENST00000256578,39
ENST00000369615,63
ENST00000369146,32
ENST00000290585,51
ENST00000290583,53
ENST00000614923,493
ENST00000271915,63
ENST00000334634,49
ENST00000334634,49
ENST00000611379,48
ENST00000541576,69
ENST00000360674,52
ENST00000355956,56
ENST00000368330,50
ENST00000329117,42
ENST00000524377,40
ENST00000314485,32
ENST00000614243,32
ENST00000361897,40
ENST00000530878,39
ENST00000367862,82
ENST00000361580,39
ENST00000367731,49
ENST00000367674,71
ENST00000361539,45
ENST00000361833,62
ENST00000489615,32
ENST00000367589,34
ENST00000621791,106
ENST00000367570,106
ENST00000367573,109
ENST00000367623,58
ENST00000413720,35
ENST00000367462,40
ENST00000367399,62
ENST00000367400,65
ENST00000358823,91
ENST00000461742,110
ENST00000422435,111
ENST00000331830,44
ENST00000367176,34
ENST00000358024,53
ENST00000545499,46
ENST00000367162,57
ENST00000513543,64
ENST00000430393,64
ENST00000539706,65
ENST00000271751,42
ENST00000639952,40
ENST00000440600,74
ENST00000366959,39
ENST00000343537,94
ENST00000354537,33
ENST00000366668,46
ENST00000366662,47
ENST00000258229,125
ENST00000366574,233
ENST00000319653,104
ENST00000535983,43
ENST00000439617,56
ENST00000621831,80
ENST00000366543,80
ENST00000366542,85
ENST00000366513,48
ENST00000366496,49
ENST00000381312,36
ENST00000381075,35
ENST00000602682,39
ENST00000416382,46
ENST00000417956,47
ENST00000378116,58
ENST00000377374,39
ENST00000377369,42
ENST00000324631,35
ENST00000352115,37
ENST00000643096,33
ENST00000645287,34
ENST00000396576,32
ENST00000396432,109
ENST00000376351,63
ENST00000376462,70
ENST00000446923,75
ENST00000355710,40
ENST00000374201,78
ENST00000374103,45
ENST00000417912,35
ENST00000249601,35
ENST00000682911,46
ENST00000395495,32
ENST00000373965,70
ENST00000617271,64
ENST00000361849,83
ENST00000320301,83
ENST00000361849,83
ENST00000373957,84
ENST00000468840,38
ENST00000280772,211
ENST00000682758,46
ENST00000361320,32
ENST00000395198,50
ENST00000399169,73
ENST00000373207,64
ENST00000335350,44
ENST00000372919,40
ENST00000639489,44
ENST00000372141,40
ENST00000372141,40
ENST00000372142,35
ENST00000327946,48
ENST00000361373,33
ENST00000225235,36
ENST00000357947,35
ENST00000266058,92
ENST00000356713,33
