ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000520296,6,1,65,0.00256,0.5718,0.23077,v39_breast
ENST00000307786,9,1,181,0.00061,0.37446,0.0221,v39_breast
ENST00000378285,28,5,450,0.0004,0.52992,0.48978,v39_breast
ENST00000377728,44,6,1006,0.00014,0.59583,0.51425,v39_breast
ENST00000470413,10,3,77,0.0039,0.42987,0.50216,v39_breast
ENST00000375534,17,4,182,0.00129,0.38849,0.46978,v39_breast
ENST00000375341,24,1,563,7e-05,0.53241,0.26643,v39_breast
ENST00000618761,9,2,181,0.00123,0.53837,0.37016,v39_breast
ENST00000360009,28,3,334,0.00032,0.65654,0.32635,v39_breast
ENST00000236342,27,3,333,0.00033,0.6531,0.32733,v39_breast
ENST00000263702,25,1,373,0.00011,0.61844,0.29491,v39_breast
ENST00000373791,23,1,297,0.00015,0.58469,0.11448,v39_breast
ENST00000373220,72,14,1275,0.00015,0.56747,0.4316,v39_breast
ENST00000396148,9,2,168,0.00132,0.45437,0.35416,v39_breast
ENST00000371761,9,2,168,0.00132,0.45437,0.35416,v39_breast
ENST00000371714,31,5,723,0.00022,0.40396,0.44288,v39_breast
ENST00000371153,60,8,995,0.00013,0.47864,0.35126,v39_breast
ENST00000371083,22,1,580,8e-05,0.56724,0.18448,v39_breast
ENST00000370894,13,2,169,0.00091,0.47246,0.30473,v39_breast
ENST00000370565,48,10,943,0.00022,0.48131,0.40361,v39_breast
ENST00000263174,32,9,551,0.00051,0.41408,0.2561,v39_breast
ENST00000370096,90,18,1806,0.00011,0.50707,0.47438,v39_breast
ENST00000369041,66,2,877,3e-05,0.46643,0.27651,v39_breast
ENST00000360244,5,1,247,0.00081,0.59838,0.33198,v39_breast
ENST00000368912,40,1,922,3e-05,0.42522,0.282,v39_breast
ENST00000368849,33,5,390,0.00039,0.53675,0.48359,v39_breast
ENST00000295314,26,6,345,0.00067,0.53623,0.41014,v39_breast
ENST00000368863,88,10,1315,9e-05,0.47967,0.4581,v39_breast
ENST00000368603,24,4,395,0.00042,0.54747,0.37912,v39_breast
ENST00000368276,18,1,220,0.00025,0.58889,0.33182,v39_breast
