Gene,OptionalDataColumns
ENST00000635198,894
ENST00000437606,894
ENST00000345512,1446
ENST00000373091,919
ENST00000373048,1008
ENST00000347132,695
ENST00000306052,963
ENST00000414150,1334
ENST00000498273,865
ENST00000371060,896
ENST00000370563,919
ENST00000512756,1690
ENST00000361965,593
ENST00000369805,594
ENST00000359785,807
ENST00000682167,1021
ENST00000369259,693
ENST00000431239,825
ENST00000618040,746
ENST00000502732,1182
ENST00000511413,1079
ENST00000294732,1892
ENST00000367342,677
ENST00000403080,619
ENST00000367030,1172
ENST00000639952,962
ENST00000366992,942
ENST00000271971,690
ENST00000354537,664
ENST00000264187,1247
ENST00000439617,854
ENST00000381312,739
ENST00000397176,643
ENST00000396576,605
ENST00000442986,828
ENST00000452305,818
ENST00000355710,1114
ENST00000537517,1245
ENST00000351556,630
ENST00000395562,666
ENST00000435790,704
ENST00000433211,895
ENST00000372724,1890
ENST00000628523,1890
ENST00000286627,1178
ENST00000626620,1219
ENST00000286628,1236
ENST00000623527,859
ENST00000332904,745
ENST00000517724,702
ENST00000020673,1024
ENST00000263054,1168
ENST00000263054,1168
ENST00000263054,1168
ENST00000357555,707
ENST00000397542,845
ENST00000617105,845
ENST00000713550,5130
ENST00000630886,2817
ENST00000529681,5762
ENST00000528841,736
ENST00000707535,736
ENST00000525074,744
ENST00000278853,638
ENST00000532787,840
ENST00000529873,887
ENST00000530748,885
ENST00000361391,941
ENST00000682287,674
ENST00000350490,709
ENST00000325234,1167
ENST00000322147,1256
ENST00000311034,802
ENST00000393801,879
ENST00000621128,726
ENST00000525704,600
ENST00000358825,1160
ENST00000252318,637
ENST00000252321,613
ENST00000647521,2146
ENST00000399595,2146
ENST00000710487,2127
ENST00000682686,2127
ENST00000261170,1073
ENST00000545668,970
ENST00000402685,1036
ENST00000539469,778
ENST00000312377,632
ENST00000300119,1043
ENST00000442789,1043
ENST00000319106,682
ENST00000549396,1257
ENST00000359972,1194
ENST00000257604,582
ENST00000317775,1434
ENST00000317775,1434
ENST00000282397,1338
ENST00000615840,687
ENST00000338947,804
ENST00000690772,643
ENST00000647374,841
ENST00000397118,628
ENST00000346562,901
ENST00000396165,775
ENST00000298355,710
ENST00000420622,611
ENST00000315266,736
ENST00000312994,621
ENST00000262233,815
ENST00000333244,5795
ENST00000447393,904
ENST00000619401,1023
ENST00000453182,734
ENST00000456763,1514
ENST00000263801,1972
ENST00000360135,1406
ENST00000347644,658
ENST00000399334,1654
ENST00000558939,772
ENST00000565159,745
ENST00000453268,745
ENST00000258873,724
ENST00000336292,1565
ENST00000250894,1336
ENST00000568887,1124
ENST00000256797,926
ENST00000539836,642
ENST00000379906,617
ENST00000251102,1251
ENST00000674443,764
ENST00000282849,1221
ENST00000447066,1192
ENST00000341690,775
ENST00000347992,1303
ENST00000421306,938
ENST00000343344,938
ENST00000685675,901
ENST00000620260,662
ENST00000246914,1243
ENST00000471181,1884
ENST00000262418,911
ENST00000393606,727
ENST00000571629,903
ENST00000413513,691
ENST00000443584,628
ENST00000262406,674
ENST00000156626,600
ENST00000359865,1586
ENST00000358232,826
ENST00000351393,800
ENST00000262150,772
ENST00000586263,947
ENST00000215582,679
ENST00000447275,606
ENST00000262805,680
ENST00000536220,665
ENST00000592533,660
ENST00000628705,5405
ENST00000616721,4204
ENST00000221992,702
ENST00000587152,850
ENST00000236877,921
ENST00000263434,937
ENST00000593695,1462
ENST00000345813,621
ENST00000404103,597
ENST00000402415,1250
ENST00000389048,1620
ENST00000360906,1024
ENST00000389975,678
ENST00000378520,661
ENST00000406316,1477
ENST00000404971,1547
ENST00000449090,738
ENST00000402114,1158
ENST00000406226,735
ENST00000355733,643
ENST00000409544,1978
ENST00000404568,717
ENST00000429174,2101
ENST00000410111,758
ENST00000436404,676
ENST00000264047,580
ENST00000310323,789
ENST00000428314,2116
ENST00000409672,1977
ENST00000392552,870
ENST00000320370,1256
ENST00000260926,733
ENST00000349953,1104
ENST00000357118,901
ENST00000360409,931
ENST00000272895,2595
ENST00000248444,827
ENST00000423636,889
ENST00000295718,979
ENST00000305409,617
ENST00000341772,737
ENST00000264051,710
ENST00000392000,808
ENST00000392004,1237
ENST00000323482,689
ENST00000612493,1070
ENST00000344359,1014
ENST00000354192,639
ENST00000612277,726
ENST00000269844,1207
ENST00000291539,593
ENST00000399163,598
ENST00000405089,604
ENST00000541492,1078
ENST00000347557,917
ENST00000333137,915
ENST00000358763,580
ENST00000256509,1224
ENST00000457250,738
ENST00000339732,639
ENST00000302328,1791
ENST00000414099,1998
ENST00000435508,895
ENST00000357948,1274
ENST00000498215,677
ENST00000318789,677
ENST00000389672,1130
ENST00000329463,994
ENST00000231706,771
ENST00000402825,883
ENST00000404464,765
ENST00000357474,811
ENST00000361715,979
ENST00000626364,1125
ENST00000349607,1125
ENST00000463781,5412
ENST00000310917,1228
ENST00000675613,825
ENST00000511884,1247
ENST00000512946,1057
ENST00000508502,1205
ENST00000434046,1109
ENST00000354960,875
ENST00000339452,1369
ENST00000639512,1369
ENST00000506455,690
ENST00000334602,1069
ENST00000487836,1004
ENST00000437304,824
ENST00000359040,681
ENST00000507116,745
ENST00000342785,1642
ENST00000357872,990
ENST00000407847,595
ENST00000357096,622
ENST00000507093,1509
ENST00000361059,847
ENST00000398454,916
ENST00000708292,950
ENST00000522353,950
ENST00000529310,950
ENST00000708302,950
ENST00000622527,811
ENST00000616887,828
ENST00000616430,820
ENST00000327245,1461
ENST00000523094,625
ENST00000292385,651
ENST00000537886,1011
ENST00000437635,652
ENST00000373057,678
ENST00000345201,1030
ENST00000230588,746
ENST00000370598,1522
ENST00000342056,951
ENST00000342056,951
ENST00000369303,998
ENST00000671703,1982
ENST00000551025,1964
ENST00000413795,869
ENST00000533624,605
ENST00000438100,734
ENST00000367608,1222
ENST00000399429,1125
ENST00000405010,590
ENST00000406451,1066
ENST00000543117,747
ENST00000396127,852
ENST00000354613,831
ENST00000643230,775
ENST00000394503,688
ENST00000536621,5335
ENST00000340010,764
ENST00000350908,715
ENST00000350908,715
ENST00000350908,715
ENST00000003084,1480
ENST00000393386,2315
ENST00000393386,2315
ENST00000357628,634
ENST00000471234,859
ENST00000360937,751
ENST00000332007,803
ENST00000389418,1015
ENST00000312841,1134
ENST00000519301,590
ENST00000335922,812
ENST00000347528,1881
ENST00000262209,1119
ENST00000426744,847
ENST00000027335,832
ENST00000454170,604
ENST00000358397,677
ENST00000396594,753
ENST00000348208,1043
ENST00000375751,612
ENST00000429896,1296
ENST00000416899,861
ENST00000374448,869
ENST00000362012,599
ENST00000458322,590
ENST00000380682,1322
ENST00000317552,667
ENST00000349874,591
ENST00000379361,888
ENST00000297875,730
ENST00000456733,752
ENST00000343523,970
