ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378891,24,0,670,0.0,0.58812,,v26_muscle
ENST00000378756,43,2,586,8e-05,0.45273,0.14249,v26_muscle
ENST00000505820,52,5,955,0.0001,0.50284,0.49445,v26_muscle
ENST00000520777,51,4,951,8e-05,0.50605,0.54101,v26_muscle
ENST00000355826,52,5,955,0.0001,0.50284,0.49445,v26_muscle
ENST00000378712,47,5,753,0.00014,0.50708,0.55803,v26_muscle
ENST00000310991,11,1,209,0.00043,0.50065,0.4067,v26_muscle
ENST00000378466,26,2,773,0.0001,0.48751,0.4185,v26_muscle
ENST00000615291,26,2,773,0.0001,0.48751,0.4185,v26_muscle
ENST00000378251,25,2,583,0.00014,0.48734,0.7916,v26_muscle
ENST00000377658,25,0,597,0.0,0.43745,,v26_muscle
ENST00000377411,10,0,335,0.0,0.63284,,v26_muscle
ENST00000340305,25,1,392,0.0001,0.48918,0.51276,v26_muscle
ENST00000377004,47,4,823,0.0001,0.51614,0.39277,v26_muscle
ENST00000343090,80,13,1302,0.00012,0.49915,0.41859,v26_muscle
ENST00000377093,69,12,1153,0.00015,0.61704,0.58673,v26_muscle
ENST00000361445,167,17,2549,4e-05,0.49263,0.48074,v26_muscle
ENST00000674817,51,3,757,8e-05,0.57513,0.47072,v26_muscle
ENST00000376085,8,0,294,0.0,0.5557,,v26_muscle
ENST00000375799,52,3,1019,6e-05,0.56211,0.36834,v26_muscle
ENST00000294454,26,2,304,0.00025,0.47723,0.64638,v26_muscle
ENST00000480945,33,4,399,0.0003,0.49373,0.44925,v26_muscle
ENST00000707396,24,1,665,6e-05,0.49066,0.91128,v26_muscle
ENST00000375486,24,1,665,6e-05,0.49066,0.91128,v26_muscle
ENST00000420770,30,2,505,0.00013,0.53122,0.4693,v26_muscle
ENST00000375254,286,41,5183,3e-05,0.48541,0.48178,v26_muscle
ENST00000404138,72,10,1239,0.00011,0.53994,0.4226,v26_muscle
ENST00000450454,11,1,348,0.00026,0.52247,0.12356,v26_muscle
ENST00000635035,11,1,348,0.00026,0.52247,0.12356,v26_muscle
ENST00000634561,57,5,903,0.0001,0.41837,0.3763,v26_muscle
ENST00000336689,57,5,903,0.0001,0.41837,0.3763,v26_muscle
ENST00000374434,67,4,1437,4e-05,0.47925,0.51531,v26_muscle
ENST00000327575,13,1,244,0.00032,0.49622,0.36475,v26_muscle
ENST00000374272,28,2,353,0.0002,0.54745,0.38385,v26_muscle
ENST00000374266,8,0,134,0.0,0.38806,,v26_muscle
ENST00000252992,81,13,762,0.00021,0.62229,0.64254,v26_muscle
ENST00000374278,20,0,323,0.0,0.49768,,v26_muscle
ENST00000361547,8,0,126,0.0,0.58929,,v26_muscle
ENST00000361771,34,3,676,0.00013,0.55956,0.63215,v26_muscle
ENST00000373779,74,3,1436,3e-05,0.44566,0.35979,v26_muscle
ENST00000536384,20,2,459,0.00022,0.57941,0.72113,v26_muscle
ENST00000642937,34,6,655,0.00027,0.52802,0.52443,v26_muscle
ENST00000373602,11,0,200,0.0,0.55227,,v26_muscle
ENST00000291416,34,2,475,0.00012,0.47666,0.51158,v26_muscle
ENST00000373471,11,1,212,0.00043,0.53345,0.69811,v26_muscle
ENST00000373471,11,1,212,0.00043,0.53345,0.69811,v26_muscle
ENST00000409190,57,8,482,0.00029,0.63981,0.74015,v26_muscle
ENST00000373129,25,1,435,9e-05,0.59871,0.95862,v26_muscle
ENST00000373016,19,2,280,0.00038,0.57218,0.54107,v26_muscle
ENST00000235628,20,2,368,0.00027,0.49035,0.9769,v26_muscle
ENST00000372856,39,8,631,0.00033,0.63156,0.66561,v26_muscle
ENST00000372858,42,8,660,0.00029,0.62789,0.65284,v26_muscle
ENST00000509682,27,2,641,0.00012,0.52233,0.51404,v26_muscle
ENST00000372343,75,12,963,0.00017,0.46009,0.53886,v26_muscle
ENST00000413844,12,1,252,0.00033,0.55622,0.65079,v26_muscle
ENST00000347631,12,1,375,0.00022,0.57022,0.13333,v26_muscle
ENST00000372372,11,0,413,0.0,0.63746,,v26_muscle
ENST00000361297,96,15,1798,9e-05,0.49667,0.4436,v26_muscle
ENST00000672818,49,6,546,0.00022,0.51278,0.6801,v26_muscle
ENST00000341183,19,0,329,0.0,0.55447,,v26_muscle
ENST00000371586,65,6,858,0.00011,0.53369,0.48873,v26_muscle
ENST00000294353,48,13,744,0.00036,0.52316,0.53743,v26_muscle
ENST00000360840,21,1,423,0.00011,0.57402,0.43735,v26_muscle
ENST00000294383,153,30,2620,7e-05,0.5609,0.51784,v26_muscle
ENST00000371244,23,3,552,0.00024,0.45038,0.46679,v26_muscle
ENST00000539524,47,8,1087,0.00016,0.49837,0.53921,v26_muscle
ENST00000352171,47,10,1151,0.00018,0.51866,0.47402,v26_muscle
ENST00000371084,26,1,562,7e-05,0.47481,0.15836,v26_muscle
ENST00000371083,22,1,580,8e-05,0.56724,0.18448,v26_muscle
ENST00000674203,46,12,862,0.0003,0.51445,0.43078,v26_muscle
ENST00000370976,15,2,450,0.0003,0.61467,0.53334,v26_muscle
ENST00000411986,20,2,373,0.00027,0.40523,0.3673,v26_muscle
ENST00000465892,36,7,850,0.00023,0.51307,0.50571,v26_muscle
ENST00000260563,19,3,379,0.00042,0.50201,0.59367,v26_muscle
ENST00000294724,70,15,1532,0.00014,0.45267,0.3876,v26_muscle
ENST00000369872,16,1,272,0.00023,0.71783,0.88603,v26_muscle
ENST00000310611,2,0,133,0.0,0.48872,,v26_muscle
ENST00000487146,46,2,969,4e-05,0.60237,0.89164,v26_muscle
ENST00000369538,30,2,743,9e-05,0.49157,0.85128,v26_muscle
ENST00000520113,31,2,747,9e-05,0.47882,0.85208,v26_muscle
ENST00000393274,49,14,928,0.00031,0.5616,0.47552,v26_muscle
ENST00000207157,34,2,496,0.00012,0.54762,0.57964,v26_muscle
ENST00000475797,16,1,200,0.00031,0.38875,0.425,v26_muscle
ENST00000497365,16,1,200,0.00031,0.38875,0.425,v26_muscle
ENST00000357836,20,1,313,0.00016,0.51502,0.63259,v26_muscle
ENST00000336751,24,1,426,0.0001,0.55419,0.73005,v26_muscle
ENST00000261443,40,10,767,0.00033,0.51004,0.44537,v26_muscle
ENST00000369530,42,11,813,0.00032,0.51447,0.43744,v26_muscle
ENST00000610726,43,11,844,0.0003,0.51598,0.44474,v26_muscle
ENST00000369356,237,44,2362,8e-05,0.4429,0.35527,v26_muscle
ENST00000618462,228,43,2240,8e-05,0.43462,0.34427,v26_muscle
ENST00000369354,233,43,2346,8e-05,0.43639,0.34276,v26_muscle
ENST00000369349,125,32,969,0.00026,0.47503,0.48936,v26_muscle
ENST00000606888,24,1,496,8e-05,0.52873,0.88911,v26_muscle
ENST00000368969,64,12,1290,0.00015,0.45924,0.34328,v26_muscle
ENST00000368892,21,3,364,0.00039,0.43734,0.37729,v26_muscle
ENST00000368884,19,1,377,0.00014,0.57602,0.26525,v26_muscle
ENST00000368913,43,1,962,2e-05,0.42122,0.31185,v26_muscle
ENST00000368820,23,1,593,7e-05,0.35956,0.18044,v26_muscle
ENST00000318247,43,8,518,0.00036,0.41178,0.26448,v26_muscle
ENST00000368485,22,0,468,0.0,0.50573,,v26_muscle
ENST00000651641,16,1,285,0.00022,0.3761,0.13333,v26_muscle
ENST00000361147,18,1,426,0.00013,0.66654,0.73239,v26_muscle
ENST00000271915,63,3,731,7e-05,0.31855,0.36936,v26_muscle
ENST00000245564,31,5,570,0.00028,0.5103,0.63228,v26_muscle
ENST00000368336,20,3,398,0.00038,0.42852,0.4598,v26_muscle
ENST00000368336,20,3,398,0.00038,0.42852,0.4598,v26_muscle
ENST00000368396,7,0,159,0.0,0.43307,,v26_muscle
ENST00000368396,7,0,159,0.0,0.43307,,v26_muscle
ENST00000360674,52,4,772,0.0001,0.54031,0.45207,v26_muscle
ENST00000361831,49,10,739,0.00028,0.40797,0.35102,v26_muscle
ENST00000295566,51,10,796,0.00025,0.44775,0.41005,v26_muscle
ENST00000368081,48,7,1029,0.00014,0.49119,0.45856,v26_muscle
ENST00000368074,28,4,597,0.00024,0.49294,0.52554,v26_muscle
