ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,1,221,0.0009,0.49955,0.42534,v32_lung
ENST00000428771,7,2,247,0.00116,0.46154,0.35425,v32_lung
ENST00000379289,33,8,673,0.00036,0.48404,0.50594,v32_lung
ENST00000379268,15,3,241,0.00083,0.56957,0.17566,v32_lung
ENST00000611612,41,7,566,0.0003,0.47445,0.45331,v32_lung
ENST00000401095,72,17,1079,0.00022,0.50441,0.4466,v32_lung
ENST00000377507,14,10,255,0.0028,0.52913,0.50431,v32_lung
ENST00000378295,41,13,636,0.0005,0.54268,0.47666,v32_lung
ENST00000378288,39,13,587,0.00057,0.53318,0.43297,v32_lung
ENST00000378290,38,13,565,0.00061,0.52892,0.41089,v32_lung
ENST00000344008,43,13,1166,0.00026,0.50985,0.47592,v32_lung
ENST00000614859,10,6,194,0.00309,0.48247,0.49141,v32_lung
ENST00000375448,30,12,663,0.0006,0.50593,0.38952,v32_lung
ENST00000628229,30,12,663,0.0006,0.50593,0.38952,v32_lung
ENST00000375534,17,8,182,0.00259,0.38849,0.37569,v32_lung
ENST00000289749,10,4,216,0.00185,0.55509,0.34722,v32_lung
ENST00000615215,12,3,215,0.00116,0.47248,0.44961,v32_lung
ENST00000302291,53,26,1076,0.00046,0.48234,0.44552,v32_lung
ENST00000374421,22,7,491,0.00065,0.44918,0.42537,v32_lung
ENST00000328664,11,5,417,0.00109,0.4371,0.37362,v32_lung
ENST00000618490,6,2,116,0.00287,0.51437,0.46552,v32_lung
ENST00000374395,16,5,241,0.0013,0.48885,0.48216,v32_lung
ENST00000346452,9,4,266,0.00167,0.45614,0.4032,v32_lung
ENST00000349438,12,6,354,0.00141,0.50494,0.50753,v32_lung
ENST00000361530,53,20,713,0.00053,0.4952,0.50673,v32_lung
ENST00000373765,23,7,496,0.00061,0.48545,0.49769,v32_lung
ENST00000526031,16,6,335,0.00112,0.36735,0.3786,v32_lung
ENST00000339480,5,1,266,0.00075,0.32181,0.29699,v32_lung
ENST00000373362,12,2,270,0.00062,0.5179,0.50556,v32_lung
ENST00000207457,34,12,430,0.00082,0.43523,0.3876,v32_lung
ENST00000373087,33,10,599,0.00051,0.56038,0.48881,v32_lung
ENST00000373106,52,18,836,0.00041,0.47898,0.4782,v32_lung
ENST00000373103,56,20,863,0.00041,0.49485,0.5011,v32_lung
ENST00000361689,512,263,5430,9e-05,0.49881,0.49874,v32_lung
ENST00000372583,120,32,2406,0.00011,0.46924,0.4684,v32_lung
ENST00000335282,8,4,134,0.00373,0.34888,0.38433,v32_lung
ENST00000236040,42,18,804,0.00053,0.47154,0.41107,v32_lung
ENST00000610710,97,42,1283,0.00034,0.5646,0.45747,v32_lung
ENST00000372372,11,5,413,0.0011,0.63746,0.49443,v32_lung
ENST00000528266,48,20,622,0.00067,0.42283,0.34936,v32_lung
ENST00000271153,21,4,511,0.00037,0.50759,0.45206,v32_lung
ENST00000404795,16,1,542,0.00012,0.47821,0.35055,v32_lung
ENST00000306052,35,11,963,0.00033,0.49304,0.47522,v32_lung
