Gene,OptionalDataColumns
ENST00000379116,6
ENST00000378531,5
ENST00000294600,8
ENST00000262450,7
ENST00000611357,7
ENST00000378412,7
ENST00000645284,5
ENST00000603362,6
ENST00000378290,6
ENST00000337907,10
ENST00000377223,5
ENST00000361445,17
ENST00000358897,16
ENST00000264211,20
ENST00000400422,21
ENST00000682284,8
ENST00000454000,7
ENST00000318249,9
ENST00000404138,10
ENST00000356634,13
ENST00000400181,13
ENST00000252992,13
ENST00000308182,8
ENST00000349618,6
ENST00000349618,6
ENST00000360482,11
ENST00000642937,6
ENST00000609129,5
ENST00000291358,11
ENST00000373475,6
ENST00000373456,5
ENST00000488417,8
ENST00000373347,8
ENST00000373388,12
ENST00000257118,17
ENST00000314607,24
ENST00000318121,14
ENST00000373036,12
ENST00000373104,5
ENST00000357771,5
ENST00000372565,5
ENST00000372565,5
ENST00000528956,5
ENST00000610710,11
ENST00000372224,8
ENST00000447098,10
ENST00000372192,10
ENST00000354383,6
ENST00000359942,5
ENST00000350030,13
ENST00000420542,7
ENST00000360380,16
ENST00000371847,6
ENST00000396153,14
ENST00000371568,9
ENST00000371568,9
ENST00000371528,10
ENST00000357206,16
ENST00000371429,6
ENST00000610401,8
ENST00000539524,8
ENST00000371218,6
ENST00000498273,7
ENST00000498273,7
ENST00000371146,14
ENST00000371146,14
ENST00000347310,9
ENST00000371026,11
ENST00000456315,14
ENST00000354431,7
ENST00000326665,15
ENST00000263187,11
ENST00000370859,8
ENST00000370855,7
ENST00000557284,9
ENST00000370792,13
ENST00000260505,7
ENST00000294664,11
ENST00000437941,16
ENST00000342203,16
ENST00000342203,16
ENST00000342203,16
ENST00000616170,5
ENST00000482504,5
ENST00000640258,12
ENST00000370425,25
ENST00000234626,9
ENST00000428239,9
ENST00000637221,22
ENST00000394530,25
ENST00000394530,25
ENST00000399546,25
ENST00000399546,25
ENST00000362005,25
ENST00000402388,25
ENST00000401026,50
ENST00000370298,5
ENST00000263177,6
ENST00000370188,5
ENST00000287482,23
ENST00000370138,5
ENST00000370161,13
ENST00000353414,17
ENST00000415641,7
ENST00000711667,7
ENST00000370001,14
ENST00000651461,6
ENST00000370032,6
ENST00000369962,15
ENST00000361965,7
ENST00000369763,15
ENST00000413052,5
ENST00000490067,6
ENST00000358039,6
ENST00000343210,5
ENST00000369604,7
ENST00000369702,9
ENST00000369615,13
ENST00000393276,13
ENST00000393274,14
ENST00000369483,5
ENST00000336338,23
ENST00000682167,9
ENST00000369354,43
ENST00000334163,5
ENST00000313835,6
ENST00000534502,6
ENST00000314163,6
ENST00000369259,7
ENST00000431239,8
ENST00000322343,5
ENST00000361824,5
ENST00000368918,6
ENST00000271640,12
ENST00000614923,66
ENST00000271854,22
ENST00000368559,24
ENST00000620103,5
ENST00000423025,5
ENST00000295542,6
ENST00000361170,13
ENST00000708577,13
ENST00000368330,10
ENST00000295566,10
ENST00000337428,5
ENST00000368195,8
ENST00000368099,9
ENST00000368081,7
ENST00000368016,10
ENST00000367900,8
ENST00000271452,8
ENST00000294816,5
ENST00000342310,5
ENST00000367872,6
ENST00000367851,14
ENST00000329281,8
ENST00000367805,16
ENST00000361580,9
ENST00000367843,10
ENST00000367714,18
ENST00000333279,5
ENST00000367702,6
ENST00000367701,8
ENST00000367639,7
ENST00000367639,7
ENST00000367618,18
ENST00000367607,5
ENST00000367614,15
ENST00000444136,15
ENST00000444136,15
ENST00000367573,8
ENST00000367510,5
ENST00000508461,23
ENST00000507469,23
ENST00000367506,8
ENST00000367501,6
ENST00000367500,6
ENST00000367409,74
ENST00000367350,26
ENST00000367396,6
ENST00000335211,17
ENST00000367342,5
ENST00000360529,11
ENST00000461742,11
ENST00000367444,7
ENST00000367478,74
ENST00000367265,12
ENST00000439764,5
ENST00000367261,5
ENST00000367114,8
ENST00000367109,5
ENST00000367108,5
ENST00000472886,6
ENST00000472886,6
ENST00000367019,7
ENST00000540251,5
ENST00000366999,6
ENST00000366998,5
ENST00000419091,10
ENST00000294829,5
ENST00000366992,19
ENST00000366994,19
ENST00000366991,6
ENST00000366955,75
ENST00000307340,50
ENST00000366929,5
ENST00000469075,10
ENST00000328205,16
ENST00000258243,12
ENST00000366624,10
ENST00000358966,5
ENST00000408888,8
ENST00000264183,7
ENST00000366565,11
ENST00000366548,9
ENST00000348581,9
ENST00000366531,9
ENST00000366533,10
ENST00000366534,10
ENST00000326225,35
ENST00000558098,5
ENST00000451104,10
ENST00000328090,33
ENST00000344293,5
ENST00000277575,8
ENST00000609104,8
ENST00000341083,10
ENST00000378714,13
ENST00000298428,6
ENST00000475268,5
ENST00000378372,7
ENST00000378748,9
ENST00000354919,5
ENST00000298032,5
ENST00000313311,9
ENST00000376624,8
ENST00000376603,8
ENST00000377072,23
ENST00000307729,25
ENST00000642920,24
ENST00000436985,46
ENST00000305242,5
ENST00000436087,9
ENST00000277657,12
ENST00000362006,12
ENST00000537177,12
ENST00000421317,12
ENST00000350537,6
ENST00000374788,10
ENST00000345491,5
ENST00000685392,5
ENST00000344646,8
ENST00000344646,8
ENST00000537517,17
ENST00000329428,9
ENST00000583565,7
ENST00000395430,20
ENST00000395405,8
ENST00000361148,7
ENST00000373944,8
ENST00000373789,8
ENST00000361320,7
ENST00000358410,13
ENST00000522165,5
ENST00000372979,5
ENST00000372204,6
ENST00000298767,5
ENST00000260753,45
ENST00000260731,19
ENST00000371485,16
ENST00000371485,16
ENST00000348459,11
ENST00000614149,27
ENST00000371174,5
ENST00000358531,6
ENST00000410012,10
ENST00000370584,7
ENST00000370584,7
ENST00000370269,15
ENST00000238961,15
ENST00000357060,32
ENST00000369839,9
ENST00000369704,21
ENST00000361804,21
ENST00000251864,13
ENST00000341276,7
ENST00000369250,9
ENST00000334464,13
ENST00000704414,5
ENST00000277945,9
ENST00000369395,6
ENST00000224652,5
ENST00000368988,7
ENST00000392790,5
ENST00000368808,5
ENST00000284694,8
ENST00000356792,12
ENST00000368759,5
ENST00000284690,7
ENST00000368653,56
ENST00000368654,67
ENST00000368586,19
ENST00000331244,5
ENST00000543663,5
ENST00000303903,8
ENST00000368517,7
ENST00000343131,8
ENST00000380525,5
ENST00000612826,5
ENST00000380525,5
ENST00000612826,5
ENST00000380184,14
ENST00000311659,10
ENST00000379936,6
ENST00000254579,52
ENST00000299481,12
ENST00000533663,5
ENST00000315204,5
ENST00000299492,10
ENST00000534127,6
ENST00000324932,18
ENST00000361367,24
ENST00000278174,7
ENST00000527619,22
ENST00000528252,22
ENST00000524803,7
ENST00000672527,7
ENST00000265963,7
ENST00000349215,11
ENST00000671838,11
ENST00000527884,7
ENST00000256737,7
ENST00000263181,22
ENST00000328697,9
ENST00000335185,23
ENST00000241051,6
ENST00000311388,6
ENST00000341394,20
ENST00000348124,6
ENST00000525123,5
ENST00000645431,5
ENST00000616973,7
ENST00000616973,7
ENST00000256999,5
ENST00000407859,5
ENST00000395005,18
ENST00000300187,18
ENST00000278853,6
ENST00000422652,6
ENST00000301459,5
ENST00000628077,5
ENST00000325234,6
ENST00000354024,7
ENST00000265465,7
ENST00000532620,9
ENST00000322535,5
ENST00000333861,7
ENST00000533211,10
ENST00000356135,5
ENST00000265689,6
ENST00000255078,5
ENST00000255087,5
ENST00000389547,25
ENST00000672559,26
ENST00000253925,26
ENST00000532504,17
ENST00000672685,17
ENST00000294053,5
ENST00000313663,25
ENST00000340360,5
ENST00000533655,18
ENST00000529689,6
ENST00000393392,5
ENST00000316398,6
ENST00000418306,10
ENST00000445632,17
ENST00000533892,5
ENST00000359152,30
ENST00000298050,20
ENST00000325212,106
ENST00000299001,9
ENST00000646818,15
ENST00000282249,6
ENST00000322536,12
ENST00000260257,6
ENST00000280350,5
ENST00000200135,12
ENST00000311129,8
ENST00000393055,5
ENST00000375300,20
ENST00000375445,9
ENST00000531452,6
ENST00000227349,16
ENST00000344762,18
ENST00000263576,6
ENST00000618733,5
ENST00000356438,7
ENST00000425380,7
ENST00000533904,7
ENST00000527795,7
ENST00000530048,7
ENST00000310343,12
ENST00000423662,10
ENST00000239830,9
ENST00000361953,7
ENST00000361953,7
ENST00000342628,9
ENST00000540757,5
ENST00000545990,8
ENST00000252318,7
ENST00000643701,7
ENST00000399649,7
ENST00000710487,7
ENST00000399603,7
ENST00000647327,7
ENST00000399629,7
ENST00000644891,7
ENST00000643038,7
ENST00000229243,6
ENST00000538862,6
ENST00000229307,6
ENST00000544916,22
ENST00000261168,17
ENST00000261167,10
ENST00000307378,7
ENST00000424268,16
ENST00000282881,8
ENST00000458174,10
ENST00000413632,9
ENST00000396007,9
ENST00000451604,18
ENST00000545133,13
ENST00000320267,15
ENST00000395987,15
ENST00000536442,14
ENST00000266503,9
ENST00000381352,10
ENST00000282884,10
ENST00000395805,28
ENST00000687797,28
ENST00000398675,6
ENST00000332700,5
ENST00000334344,61
ENST00000380518,6
ENST00000548364,6
ENST00000320516,6
ENST00000301042,9
ENST00000261900,9
ENST00000547230,5
ENST00000552918,9
ENST00000257909,10
ENST00000257894,5
ENST00000261897,18
ENST00000312377,9
ENST00000547905,9
ENST00000427314,9
ENST00000327337,43
ENST00000453097,6
ENST00000545061,11
ENST00000257934,20
ENST00000379791,5
